,Breakdown,Total Revenue,Pretax Income,Tax Provision,Net Income Common Stockholders,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"8,178,559","2,611,123","619,460","1,891,469",11,"1,891,480",-,-,-,-,"1,991,663","2,249,802","6,247,120","425,164","5,821,956","434,143","1,991,663","-338,321","-338,321",0,"-80,182"
1,3/31/2023,"2,405,397","926,167","224,543","675,511",-,"675,511",4.03,4.01,"167,621","168,410","701,624","701,624","2,326,985","508,721","1,818,264","17,208","701,624",0,0,0,0
2,12/31/2022,"2,372,911","1,010,623","245,252","739,126",5,"739,126",4.32,4.29,"171,094","172,149","765,371","696,540","2,072,209","244,835","1,827,374","17,600","765,371","90,887","90,887",0,"22,056"
3,9/30/2022,"2,241,770","847,517","200,921","620,554",5,"620,554",3.55,3.53,"174,804","175,682","646,596","687,052","1,781,513","102,822","1,678,691","18,384","646,596","-53,027","-53,027",0,"-12,571"
4,6/30/2022,"1,982,817","277,663","60,141","192,236",-,"192,236",1.08,1.08,"177,996","178,277","217,522","581,655","1,465,142","53,425","1,411,717","18,384","217,522","-464,809","-464,809",0,"-100,676"
5,3/31/2022,"1,445,061","475,320","113,146","339,590",2,"339,590",2.63,2.62,"129,122","129,416","362,174","375,411","928,256","24,082","904,174","1,256","362,174","-17,372","-17,372",0,"-4,135"
6,12/31/2021,"1,512,430","599,930","141,962","434,171",-,"434,171",3.37,3.37,"128,834","128,888","457,968","474,144","958,518","24,725","933,793","1,954","457,968","-21,190","-21,190",0,"-5,014"
7,9/30/2021,"1,536,376","657,042","161,582","475,961",-,"475,961",3.70,3.69,"128,638","128,844","495,460","502,115","992,946","25,696","967,250","2,738","495,460","-8,826","-8,826",0,"-2,171"
8,6/30/2021,"1,455,973","605,628","147,559","438,759",3,"438,759",3.41,3.41,"128,668","128,842","458,069","461,013","970,358","28,018","942,340","2,737","458,069","-3,893","-3,893",0,-948.5149
9,3/31/2021,"1,486,993","592,549","145,300","428,093",2,"428,093",3.33,3.33,"128,556","128,669","447,249","454,760","1,016,962","35,567","981,395","2,738","447,249","-9,951","-9,951",0,"-2,440"
10,12/31/2020,"1,540,530","620,522","149,382","451,869",-,"451,869",3.52,3.52,"128,372","128,379","471,140","471,140","1,038,890","49,610","989,280","3,129","471,140",-,-,0,0
11,9/30/2020,"1,463,656","486,882","114,746","353,400",1,"353,400",2.75,2.75,"128,509","128,509","372,136","372,136","1,001,161","58,066","943,095","3,914","372,136",-,-,0,0
