,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/31/2023Current,20.12B,N/A,9.39,7.27,1.17,2.31,0.86,N/A,N/A
1,3/31/2023,19.83B,N/A,10.37,6.91,1.57,2.40,0.85,N/A,N/A
2,12/31/2022,25.04B,N/A,13.80,7.21,0.53,3.09,1.06,N/A,N/A
3,9/30/2022,30.48B,N/A,16.76,8.90,0.63,3.85,1.28,N/A,N/A
4,6/30/2022,28.05B,N/A,12.18,12.36,2.69,3.46,1.74,N/A,N/A
5,3/31/2022,21.88B,N/A,12.28,14.16,5.24,3.64,1.35,N/A,N/A
6,12/31/2021,19.76B,N/A,11.01,13.30,1.32,3.28,1.25,N/A,N/A
7,9/30/2021,19.22B,N/A,11.49,11.95,1.28,3.23,1.24,N/A,N/A
8,6/30/2021,18.70B,N/A,12.81,11.24,1.84,3.14,1.23,N/A,N/A
9,3/31/2021,19.50B,N/A,15.25,12.92,2.05,3.28,1.31,N/A,N/A
10,12/31/2020,16.33B,N/A,12.72,12.85,42.86,2.77,1.10,N/A,N/A
11,9/30/2020,11.81B,N/A,8.58,8.89,14.81,1.99,0.80,N/A,N/A
12,6/30/2020,13.34B,N/A,8.43,11.47,3.10,2.24,0.92,N/A,N/A
13,3/31/2020,13.27B,N/A,7.52,7.82,1.48,2.25,0.92,N/A,N/A
14,12/31/2019,22.16B,N/A,12.21,12.25,2.19,3.74,1.53,N/A,N/A
15,9/30/2019,20.89B,N/A,11.32,10.89,1.91,3.58,1.45,N/A,N/A
16,6/30/2019,23.24B,N/A,12.27,11.78,1.59,3.98,1.59,N/A,N/A
17,3/31/2019,21.74B,N/A,12.32,10.98,1.48,3.82,1.51,N/A,N/A
18,12/31/2018,19.82B,N/A,13.00,10.19,0.69,3.59,1.40,N/A,N/A
19,9/30/2018,23.66B,N/A,16.95,12.09,0.87,4.25,1.62,N/A,N/A
20,6/30/2018,24.71B,N/A,19.31,14.01,1.33,4.50,1.70,N/A,N/A
21,3/31/2018,27.38B,N/A,21.19,15.34,1.46,4.99,1.80,N/A,N/A
22,12/31/2017,25.74B,N/A,19.72,17.30,1.84,4.77,1.70,N/A,N/A
23,9/30/2017,24.47B,N/A,18.86,16.18,1.72,4.58,1.62,N/A,N/A
24,6/30/2017,24.70B,N/A,19.82,17.86,2.08,4.72,1.65,N/A,N/A
25,3/31/2017,23.79B,N/A,19.89,17.57,2.48,4.60,1.56,N/A,N/A
26,12/31/2016,24.25B,N/A,21.08,17.73,2.21,4.67,1.62,N/A,N/A
27,9/30/2016,17.99B,N/A,15.99,13.44,1.68,3.49,1.18,N/A,N/A
28,6/30/2016,18.67B,N/A,16.29,14.18,2.18,3.50,1.23,N/A,N/A
29,3/31/2016,17.66B,N/A,15.46,11.92,1.83,3.26,1.18,N/A,N/A
30,12/31/2015,19.34B,N/A,16.20,13.74,2.11,3.53,1.65,N/A,N/A
31,9/30/2015,16.25B,N/A,16.35,13.32,2.05,3.55,1.42,N/A,N/A
32,6/30/2015,16.62B,N/A,16.75,13.68,2.10,3.68,1.47,N/A,N/A
33,3/31/2015,16.88B,N/A,17.12,12.97,2.76,3.74,1.52,N/A,N/A
34,12/31/2014,16.62B,N/A,17.79,14.39,2.36,3.71,1.50,N/A,N/A
35,9/30/2014,16.29B,N/A,16.98,13.93,2.28,3.60,1.49,N/A,N/A
36,6/30/2014,16.36B,N/A,15.84,13.33,2.62,3.56,1.54,N/A,N/A
37,3/31/2014,15.94B,N/A,14.79,12.90,1.92,3.45,1.53,N/A,N/A
38,12/31/2013,15.19B,N/A,13.21,12.95,1.93,3.29,1.50,N/A,N/A
39,9/30/2013,14.57B,N/A,12.62,11.92,1.17,3.17,1.48,N/A,N/A
40,6/30/2013,14.42B,N/A,13.93,12.36,1.21,3.25,1.51,N/A,N/A
41,3/31/2013,13.28B,N/A,13.68,11.34,1.11,3.27,1.43,N/A,N/A
42,12/31/2012,12.62B,N/A,13.06,12.14,1.19,3.12,1.35,N/A,N/A
43,9/30/2012,12.06B,N/A,17.21,12.64,1.86,3.06,1.38,N/A,N/A
44,6/30/2012,10.45B,N/A,13.19,11.04,1.53,2.53,1.22,N/A,N/A
45,3/31/2012,10.98B,N/A,13.68,11.68,1.03,2.88,1.31,N/A,N/A
46,12/31/2011,9.59B,N/A,11.05,11.14,0.87,2.42,1.12,N/A,N/A
47,9/30/2011,8.78B,N/A,10.12,9.55,1.36,2.22,1.03,N/A,N/A
48,6/30/2011,11.04B,N/A,12.39,11.74,1.68,2.95,1.32,N/A,N/A
49,3/31/2011,10.65B,N/A,14.43,11.95,1.71,3.07,1.37,N/A,N/A
50,12/31/2010,10.42B,N/A,15.30,14.77,2.11,2.97,1.37,N/A,N/A
51,9/30/2010,9.77B,N/A,15.89,N/A,N/A,3.20,1.19,N/A,N/A
52,6/30/2010,10.12B,N/A,18.27,N/A,N/A,3.09,1.37,N/A,N/A
53,3/31/2010,9.43B,N/A,22.36,N/A,N/A,2.90,1.31,N/A,N/A
54,12/31/2009,7.91B,N/A,23.15,19.38,2.09,2.45,1.13,N/A,N/A
55,9/30/2009,7.36B,N/A,22.58,19.01,1.91,2.30,1.07,N/A,N/A
56,6/30/2009,6.01B,N/A,19.59,N/A,N/A,2.01,0.81,N/A,N/A
57,3/31/2009,5.02B,N/A,12.29,N/A,N/A,1.76,0.79,N/A,N/A
58,12/31/2008,6.33B,N/A,11.46,N/A,N/A,2.18,0.93,N/A,N/A
59,9/30/2008,9.84B,N/A,18.99,N/A,N/A,3.52,1.53,N/A,N/A
60,6/30/2008,7.77B,N/A,12.38,N/A,N/A,2.68,1.19,N/A,N/A
61,3/31/2008,9.09B,N/A,13.33,N/A,N/A,3.15,1.40,N/A,N/A
62,12/31/2007,8.96B,N/A,13.71,N/A,N/A,3.23,1.38,N/A,N/A
63,9/30/2007,11.04B,N/A,14.29,N/A,N/A,4.03,1.79,N/A,N/A
64,6/30/2007,11.66B,N/A,15.17,N/A,N/A,4.33,1.86,N/A,N/A
65,3/31/2007,12.54B,N/A,15.72,N/A,N/A,4.61,2.00,N/A,N/A
66,12/31/2006,13.46B,N/A,16.80,N/A,N/A,4.92,2.19,N/A,N/A
67,9/30/2006,13.27B,N/A,16.99,N/A,N/A,4.95,2.21,N/A,N/A
68,6/30/2006,13.09B,N/A,16.70,N/A,N/A,4.87,2.18,N/A,N/A
69,3/31/2006,12.71B,N/A,16.59,N/A,N/A,4.76,2.15,N/A,N/A
70,12/31/2005,12.22B,N/A,16.62,N/A,N/A,4.69,2.09,N/A,N/A
71,9/30/2005,11.92B,N/A,16.11,N/A,N/A,4.55,2.04,N/A,N/A
72,6/30/2005,11.98B,N/A,16.23,N/A,N/A,4.54,2.05,N/A,N/A
73,3/31/2005,11.62B,N/A,16.15,N/A,N/A,4.49,2.05,N/A,N/A
74,12/31/2004,12.43B,N/A,17.97,N/A,N/A,4.85,2.17,N/A,N/A
75,9/30/2004,11.12B,N/A,16.64,N/A,N/A,4.38,1.95,N/A,N/A
76,6/30/2004,10.23B,N/A,15.93,N/A,N/A,4.06,1.81,N/A,N/A
77,3/31/2004,10.68B,N/A,17.90,N/A,N/A,4.20,1.86,N/A,N/A
78,12/31/2003,11.81B,N/A,19.86,N/A,N/A,4.69,2.07,N/A,N/A
79,9/30/2003,10.46B,N/A,17.78,N/A,N/A,4.25,1.88,N/A,N/A
80,6/30/2003,10.07B,N/A,17.33,N/A,N/A,4.26,1.85,N/A,N/A
81,3/31/2003,7.27B,N/A,15.35,N/A,N/A,4.20,2.19,N/A,N/A
82,12/31/2002,7.31B,N/A,15.65,N/A,N/A,4.31,2.30,N/A,N/A
83,9/30/2002,7.24B,N/A,16.42,N/A,N/A,4.38,2.37,N/A,N/A
84,6/30/2002,7.90B,N/A,20.32,N/A,N/A,5.03,2.68,N/A,N/A
85,3/31/2002,7.47B,N/A,21.04,N/A,N/A,4.86,2.54,N/A,N/A
86,12/31/2001,6.82B,N/A,19.07,N/A,N/A,4.41,2.32,N/A,N/A
87,9/30/2001,7.00B,N/A,21.37,N/A,N/A,4.84,2.34,N/A,N/A
88,6/30/2001,7.27B,N/A,22.02,N/A,N/A,5.13,2.43,N/A,N/A
89,3/31/2001,6.77B,N/A,20.32,N/A,N/A,4.93,2.51,N/A,N/A
90,12/31/2000,6.34B,N/A,19.25,N/A,N/A,4.98,3.27,N/A,N/A
91,9/30/2000,3.92B,N/A,14.91,N/A,N/A,3.80,2.12,N/A,N/A
92,6/30/2000,3.44B,N/A,13.15,N/A,N/A,3.36,1.86,N/A,N/A
93,3/31/2000,3.43B,N/A,13.47,N/A,N/A,3.41,1.87,N/A,N/A
94,12/31/1999,3.20B,N/A,12.62,N/A,N/A,3.22,1.78,N/A,N/A
95,9/30/1999,3.62B,N/A,14.45,N/A,N/A,3.67,1.99,N/A,N/A
96,6/30/1999,4.33B,N/A,18.18,N/A,N/A,4.54,2.44,N/A,N/A
97,3/31/1999,3.71B,N/A,17.44,N/A,N/A,4.03,2.22,N/A,N/A
98,12/31/1998,3.99B,N/A,19.84,N/A,N/A,4.41,2.49,N/A,N/A
99,9/30/1998,3.07B,N/A,17.97,N/A,N/A,3.97,1.86,N/A,N/A
100,6/30/1998,3.69B,N/A,21.76,N/A,N/A,4.82,2.23,N/A,N/A
101,3/31/1998,3.33B,N/A,18.89,N/A,N/A,4.45,3.12,N/A,N/A
102,12/31/1997,3.07B,N/A,18.41,N/A,N/A,4.32,2.98,N/A,N/A
