,Breakdown,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Additional Paid in Capital,Retained Earnings,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Unrealized Gain Loss,Minimum Pension Liabilities,Other Equity Adjustments,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"90,144,000","81,320,000","8,824,000","8,824,000","510,000","503,000","7,000","8,130,000","1,041,000","237,000","-620,000","-626,000","-46,000","52,000",-,"30,156,000","503,000","8,321,000","122,000","5,078,000","29,653,000","4,575,000","21,454,000","19,300,000","705,429","681,217",515,"24,212"
1,12/31/2021,"59,527,000","52,483,000","7,044,000","7,044,000","508,000","503,000","5,000","6,126,000","741,000","246,000","-85,000","-45,000","-31,000","-9,000",-,"23,606,000","503,000","6,541,000","249,000","4,618,000","23,103,000","4,115,000","16,811,000","14,351,000","490,439","465,016","20,600","25,423"
2,12/31/2020,"56,306,120","49,464,476","6,841,644","6,841,644","507,744","502,840","4,904","6,122,690","494,229","257,541","-25,478","66,880","-59,345","-33,013",-,"22,925,188","502,840","6,338,804","266,846","4,415,265","22,422,348","3,912,425","16,350,390","14,135,613","490,439","463,902","20,600","26,537"
3,12/31/2019,"53,640,821","46,929,127","6,711,694","6,711,694","507,744","502,840","4,904","6,115,487","342,023","220,717","-32,843","25,440","-59,136",853,-,"21,269,287","502,840","6,208,854","285,991","4,285,315","20,766,447","3,782,475","14,843,584","13,815,723","490,439","467,347","20,600","23,092"
4,12/31/2018,"51,899,376","45,244,141","6,655,235","6,655,235","507,744","502,840","4,904","6,099,940","297,202","161,998","-87,653","-16,576","-71,077",-,-,"20,863,101","502,840","6,152,395",-,"4,219,104","20,360,261","3,716,264","14,207,866","12,732,911","490,439","473,537","20,600","16,902"
5,12/31/2017,"49,124,195","42,328,819","6,795,376","6,795,376","507,731","502,840","4,891","6,072,559","237,868","7,615","-15,167","33,967","-49,134",-,-,"19,709,055","502,840","6,292,536",-,"4,359,245","19,206,215","3,856,405","12,913,679","10,385,510","489,072","488,490","20,600",581.749
6,12/31/2016,"48,926,555","42,802,564","6,123,991","6,123,991","4,871",0,"4,871","6,047,558","128,435",160,"-56,713","-5,994","-50,719",-,-,"19,797,370",-,"6,123,991",-,"3,687,652","19,797,370","3,687,652","13,673,379","13,115,529","487,068","487,057",-,11.213
7,12/31/2015,"50,317,796","44,383,100","5,934,696","5,934,696","4,850",-,"4,850","6,023,882","-36,568",447,"-57,021","-2,287","-54,734",-,-,"21,683,101",-,"5,934,696",-,"3,495,966","21,683,101","3,495,966","15,748,405","15,210,731","484,968","484,943",-,24.716
8,12/31/2014,"48,559,217","42,777,402","5,781,815","5,781,815","4,427",0,"4,427","5,369,623","464,569","1,118","-55,686","-2,397","-53,289",-,-,"20,008,302",-,"5,781,815",-,"3,337,741","20,008,302","3,337,741","14,226,487","13,662,337","442,659","442,587",-,72.27
9,12/31/2013,"46,688,287","40,952,625","5,735,662","5,735,662","4,409",0,"4,409","5,346,017","422,761","1,032","-36,493","-5,327","-31,166",-,-,"20,840,664",-,"5,735,662",-,"3,283,291","20,840,664","3,283,291","15,105,002","14,460,452","440,873","440,809",-,63.92
10,12/31/2012,"44,145,100","38,488,836","5,656,264","5,656,264","4,391",0,"4,391","5,327,111","387,534","1,067","-61,705",-911,"-60,794",-,-,"19,086,455",-,"5,656,264",-,"3,188,109","19,086,455","3,188,109","13,430,191","11,002,933","439,134","439,051",-,82.985
