,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Unrealized Gain Loss,Minimum Pension Liabilities,Other Equity Adjustments,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"123,754,000","22,250,000","22,250,000","22,250,000",-,-,"1,356,000",-,-,"1,564,000","7,613,000","14,000",-,"7,599,000","83,302,000","83,852,000","1,305,000","23,357,000",-,"18,601,000","40,589,000","550,000",-,"3,140,000",-,"3,140,000","628,000","628,000","628,000","4,194,000","2,426,000","1,768,000",-,-,"2,847,000","112,972,000","84,800,000","61,803,000","61,803,000","22,997,000",-,-,-,-,-,-,-,-,-,"21,360,000","21,360,000","20,350,000",-,-,"6,812,000","10,782,000","10,782,000","510,000","503,000","7,000","2,923,000","8,197,000","219,000","-629,000","-566,000","-44,000","-19,000",-,"32,142,000","503,000","10,279,000",-,"6,588,000","31,639,000","6,085,000","21,360,000",-,"744,461","722,150",515,"22,311"
1,12/31/2022,"90,144,000","2,032,000","2,032,000","2,032,000",-,-,"1,267,000",-,-,"1,561,000","9,074,000","14,000",-,"9,060,000","69,723,000","70,116,000","1,115,000","12,260,000",-,"16,322,000","40,419,000","393,000",-,"1,679,000",-,"1,679,000","610,000","610,000","610,000","3,746,000","2,713,000","1,033,000",-,-,"3,692,000","81,320,000","58,721,000","46,666,000","46,666,000","12,055,000",-,-,0,-,-,-,"10,325,000","10,325,000","10,325,000","21,454,000","21,332,000","10,000,000","122,000",-,"1,145,000","8,824,000","8,824,000","510,000","503,000","7,000","1,041,000","8,130,000","237,000","-620,000","-626,000","-46,000","52,000",-,"30,156,000","503,000","8,321,000","122,000","5,078,000","29,653,000","4,575,000","21,454,000","19,300,000","705,429","681,217",515,"24,212"
2,9/30/2022,"62,956,000","1,700,000","1,700,000","1,700,000",-,-,"630,000",-,-,"1,200,000","6,703,000","14,000",-,"6,689,000","48,766,000","48,984,000",-,"578,000",-,"44,137,000","4,269,000","218,000",-,"1,697,000",-,"1,697,000","477,000","477,000","477,000","2,426,000","2,426,000",-,-,-,"2,254,000","56,210,000","41,705,000","37,866,000","37,866,000","3,839,000","300,000",-,"300,000",-,-,-,-,-,-,"14,025,000","13,798,000","12,840,000","227,000",-,"480,000","6,746,000","6,746,000","508,000","503,000","5,000","957,000","6,121,000","238,000","-602,000","-612,000","-30,000","40,000",-,"20,544,000","503,000","6,243,000","227,000","4,320,000","20,041,000","3,817,000","14,025,000","12,098,000","490,439","466,136",515,"24,303"
3,6/30/2022,"63,093,000","3,277,000","3,277,000","3,277,000",-,-,"635,000","6,000",-,"1,192,000","5,678,000","14,000",-,"5,664,000","48,321,000","48,537,000",-,"549,000",-,"43,836,000","4,152,000","216,000",-,"1,756,000",-,"1,756,000","484,000","484,000","484,000","2,426,000","2,426,000",-,-,-,"2,272,000","56,269,000","41,244,000","36,859,000","36,859,000","4,385,000","800,000",-,"800,000",-,-,-,-,-,-,"14,539,000","14,307,000","12,850,000","232,000",-,"486,000","6,824,000","6,824,000","508,000","503,000","5,000","893,000","6,114,000","238,000","-453,000","-436,000","-31,000","14,000",-,"21,131,000","503,000","6,321,000","232,000","4,398,000","20,628,000","3,895,000","14,539,000","11,030,000","490,439","466,243",515,"24,196"
4,3/31/2022,"61,005,000","2,900,000","2,900,000","2,900,000",-,-,"679,000","7,000",-,"1,186,000","5,627,000","15,000",-,"5,612,000","46,561,000","46,758,000",-,"549,000",-,"42,863,000","3,346,000","197,000",-,"1,878,000","215,000","1,663,000","509,000","509,000","509,000","2,426,000","2,426,000",-,-,-,"2,303,000","54,096,000","37,954,000","33,521,000","33,521,000","4,433,000","800,000",-,"800,000",-,-,-,-,-,-,"15,580,000","15,337,000","13,880,000","243,000",-,"562,000","6,909,000","6,909,000","508,000","503,000","5,000","809,000","6,107,000","231,000","-284,000","-260,000","-31,000","7,000",-,"22,246,000","503,000","6,406,000","243,000","4,483,000","21,743,000","3,980,000","15,580,000","12,437,000","490,439","467,024","20,600","23,415"
5,12/31/2021,"59,527,000","2,211,000","2,211,000","2,211,000",-,-,"734,000","8,000",-,"1,184,000","5,796,000","16,000",-,"5,780,000","45,539,000","45,738,000",0,"526,000",-,"41,698,000","3,514,000","199,000",-,"1,984,000","214,000","1,770,000","519,000","519,000","519,000","2,426,000","2,426,000",-,-,-,"2,302,000","52,483,000","35,059,000","30,525,000","30,525,000","4,534,000","800,000",-,"800,000","18,000","18,000","18,000","3,750,000","3,750,000","3,750,000","16,811,000","16,562,000","15,105,000","249,000",-,"613,000","7,044,000","7,044,000","508,000","503,000","5,000","741,000","6,126,000","246,000","-85,000","-45,000","-31,000","-9,000",-,"23,606,000","503,000","6,541,000","249,000","4,618,000","23,103,000","4,115,000","16,811,000","14,351,000","490,439","465,016","20,600","25,423"
6,9/30/2021,"57,890,000","2,522,000","2,522,000","2,522,000",-,-,"684,000","9,000",-,"1,178,000","5,914,000","16,000",-,"5,898,000","43,487,000","43,687,000",0,"560,000",-,"39,950,000","3,177,000","200,000",-,"1,989,000","221,000","1,768,000","526,000","526,000","526,000","2,426,000","2,426,000",-,-,-,"2,331,000","50,923,000","34,621,000","29,731,000","29,731,000","4,890,000","800,000",-,"800,000",-,-,-,-,-,-,"15,686,000","15,434,000","13,978,000","252,000",-,"616,000","6,967,000","6,967,000","508,000","503,000","5,000","678,000","6,119,000","246,000","-92,000","-22,000","-52,000","-18,000",-,"22,401,000","503,000","6,464,000","252,000","4,541,000","21,898,000","4,038,000","15,686,000","12,912,000","490,439","465,021","20,600","25,418"
7,6/30/2021,"57,469,000","2,086,000","2,086,000","2,086,000",-,-,"686,000","8,000",-,"1,171,000","6,093,000","16,000",-,"6,077,000","43,373,000","43,575,000",0,"553,000",-,"39,758,000","3,264,000","202,000",-,"1,846,000",-,"1,846,000","534,000","534,000","534,000","2,426,000","2,426,000",-,"57,000",-,"2,271,000","50,553,000","34,177,000","29,642,000","29,642,000","4,535,000","800,000",-,"800,000",-,-,-,-,-,-,"15,715,000","15,459,000","14,003,000","256,000",-,"661,000","6,916,000","6,916,000","508,000","503,000","5,000","617,000","6,111,000","245,000","-75,000","1,000","-54,000","-22,000",-,"22,375,000","503,000","6,413,000","256,000","4,490,000","21,872,000","3,987,000","15,715,000","13,373,000","490,439","465,057","20,600","25,382"
8,3/31/2021,"57,656,892","2,722,915","2,722,915","2,722,915",-,-,"698,984","8,153",-,"1,165,765","6,193,706","15,801",-,"6,177,905","43,068,816","43,266,574","141,435","351,969",-,"39,574,972","3,198,198","197,758","63,469","1,898,980",-,"1,898,980","544,603","544,603","544,603","2,426,379","2,426,379",-,"63,469",-,"2,001,489","50,860,452","34,197,136","29,322,902","29,322,902","4,874,234","800,000",-,"800,000",-,-,-,-,-,-,"16,020,956","15,758,787","14,302,661","262,169",-,"642,360","6,796,440","6,796,440","507,744","502,840","4,904","552,566","6,103,251","245,005","-122,116","-41,809","-54,855","-25,452",-,"22,555,227","502,840","6,293,600","262,169","4,370,061","22,052,387","3,867,221","16,020,956","13,035,872","490,439","465,074","20,600","25,365"
9,12/31/2020,"56,306,120","1,947,931","1,947,931","1,947,931",-,-,"714,005","8,318",-,"1,164,196","5,844,909","31,576",-,"5,813,333","42,806,691","43,000,734","117,136","394,404",-,"39,426,186","3,063,008","194,043","61,808","1,734,824",-,"1,734,824","554,311","554,311","554,311","2,426,379","2,426,379",-,"61,808",-,"2,011,894","49,464,476","32,436,813","29,356,361","29,356,361","3,080,452","800,000",-,"800,000",-,-,-,-,-,-,"16,350,390","16,083,544","14,627,661","266,846",-,"677,273","6,841,644","6,841,644","507,744","502,840","4,904","494,229","6,122,690","257,541","-25,478","66,880","-59,345","-33,013",-,"22,925,188","502,840","6,338,804","266,846","4,415,265","22,422,348","3,912,425","16,350,390","14,135,613","490,439","463,902","20,600","26,537"
10,9/30/2020,"54,931,755","1,458,641","1,458,641","1,458,641",-,-,"697,483","9,526",-,"1,159,036","5,265,192","31,448",-,"5,233,744","42,758,184","42,946,491","117,272","394,305",-,"39,372,531","3,062,383","188,307","61,668","1,771,168",-,"1,771,168","561,303","561,303","561,303","2,426,379","2,426,379",-,"61,668",-,"1,764,573","48,197,025","31,704,941","28,649,043","28,649,043","3,055,898","800,000",-,"800,000",-,-,-,-,-,-,"15,954,802","15,683,303","14,227,661","271,499",-,"537,282","6,734,730","6,734,730","507,744","502,840","4,904","391,528","6,117,902","257,521","-24,923","67,755","-55,137","-37,541",-,"22,418,033","502,840","6,231,890","271,499","4,308,351","21,915,193","3,805,511","15,954,802","14,224,662","490,439","463,904","20,600","26,535"
11,6/30/2020,"54,210,416","1,404,527","1,404,527","1,404,527",-,-,"668,698","9,526",-,"1,156,137","5,201,700","33,518",-,"5,168,182","42,235,262","42,409,549","103,362","380,862",-,"39,000,278","2,925,047","174,287","60,292","1,693,640",-,"1,693,640","575,456","575,456","575,456","2,426,379","2,426,379",-,"60,292",-,"1,698,394","47,517,403","31,729,581","28,808,416","28,808,416","2,921,165","800,000",-,"800,000",-,-,-,-,-,-,"15,286,336","15,008,064","13,552,661","278,272",-,"501,486","6,693,013","6,693,013","507,744","502,840","4,904","362,724","6,109,597","257,232","-29,820","66,548","-56,470","-39,898",-,"21,701,077","502,840","6,190,173","278,272","4,266,634","21,198,237","3,763,794","15,286,336","13,603,537","490,439","463,934","20,600","26,505"
12,3/31/2020,"54,261,093","1,334,206","1,334,206","1,334,206",-,-,"663,870","9,526","9,526","1,152,444","5,487,861","32,616",-,"5,455,245","42,129,515","42,291,759",-,"433,883",-,"38,816,027","3,041,849","162,244","55,782","1,484,263",-,"1,484,263","588,530","588,530","588,530","2,426,379","2,426,379",-,"55,782",-,"1,630,732","47,623,708","31,972,766","29,279,134","29,279,134","2,693,632","800,000",-,"800,000",-,-,-,-,-,-,"15,214,680","14,932,827","13,477,661","281,853",-,"436,262","6,637,385","6,637,385","507,744","502,840","4,904","344,344","6,101,540","235,678","-80,565","12,740","-57,803","-35,502",-,"21,570,212","502,840","6,134,545","281,853","4,211,006","21,067,372","3,708,166","15,214,680","13,598,621","490,439","466,361","20,600","24,078"
13,12/31/2019,"53,640,821","741,870","741,870","741,870",-,-,"647,562","12,268","12,268","1,145,058","5,885,887","32,830",-,"5,853,057","41,746,517","41,894,155",-,"3,038,297",-,"38,847,726","8,132","147,638","50,136","1,271,998",-,"1,271,998","598,820","598,820","598,820","2,426,379","2,426,379",-,"50,136",-,"1,593,786","46,929,127","31,657,132","29,225,009","29,225,009","2,432,123","800,000",-,"800,000",-,-,-,-,-,-,"14,843,584","14,557,593","13,102,661","285,991",-,"428,411","6,711,694","6,711,694","507,744","502,840","4,904","342,023","6,115,487","220,717","-32,843","25,440","-59,136",853,-,"21,269,287","502,840","6,208,854","285,991","4,285,315","20,766,447","3,782,475","14,843,584","13,815,723","490,439","467,347","20,600","23,092"
14,9/30/2019,"52,537,629","854,678","854,678","854,678",-,-,"606,371","11,691","11,691","1,028,707","5,887,429","32,861",-,"5,854,568","40,694,787","40,844,220",-,"2,864,944",-,"37,970,502","8,774","149,433","45,780","1,058,071",-,"1,058,071","622,747","622,747","622,747","2,426,379","2,426,379",-,"45,780",-,"1,445,238","45,842,622","31,572,176","29,042,271","29,042,271","2,529,905","800,000",-,"800,000",-,-,-,-,-,-,"13,926,970","13,626,360","12,171,661","300,610",-,"343,476","6,695,007","6,695,007","507,744","502,840","4,904","328,407","6,107,376","220,669","-27,851","37,762","-65,613",-,-,"20,321,367","502,840","6,192,167","300,610","4,268,628","19,818,527","3,765,788","13,926,970","12,771,682","490,431","467,351","20,600","23,080"
15,6/30/2019,"52,776,253","1,228,295","1,228,295","1,228,295",-,-,"582,348","11,691","11,691","987,528","5,770,731","32,585",-,"5,738,146","40,725,589","40,876,701",-,"2,796,462",-,"38,071,874","8,365","151,112","43,255","1,009,347",-,"1,009,347","636,200","636,200","636,200","2,426,379","2,426,379",-,"43,255",-,"1,406,711","46,101,575","32,332,526","29,856,669","29,856,669","2,475,857","800,000",-,"800,000",-,-,-,-,-,-,"13,390,211","13,082,138","11,627,661","308,073",-,"378,838","6,674,678","6,674,678","507,744","502,840","4,904","316,921","6,099,474","220,546","-28,915","38,519","-67,434",-,-,"19,756,816","502,840","6,171,838","308,073","4,248,299","19,253,976","3,745,459","13,390,211","11,853,843","490,439","467,359","20,600","23,080"
