,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Asset Impairment Charge,Stock based compensation,Other non-cash items,Change in working capital,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Intangibles Purchase And Sale,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"1,026,000","1,026,000","650,000","-164,000","-159,000","-2,000","2,000",-,"23,000","23,000","18,000","5,000","5,000","-3,000","-3,000",-,"29,000","147,000","248,000","348,000","-100,000",-,"-6,323,000","-6,323,000","-3,000",-,-,-,"331,000",-,"331,000","-1,282,000","-2,242,000","960,000","-188,000","5,168,000","5,168,000","-1,931,000","-4,481,000","9,479,000","-13,960,000","2,550,000","2,550,000",-,"-24,000",-,"-24,000",-,-,"-350,000","-317,000","-33,000",-,"-189,000",-,"2,082,000","-129,000","2,211,000",-,"17,000","657,000","-3,000",-,"12,029,000","-13,960,000","-24,000","1,023,000"
1,12/31/2022,"1,026,000","1,026,000","650,000","-164,000","-159,000","-2,000","2,000",-,"23,000","23,000","18,000","5,000","5,000","-3,000","-3,000",-,"29,000","147,000","248,000","348,000","-100,000",-,"-6,323,000","-6,323,000","-3,000",-,-,-,"331,000",-,"331,000","-1,282,000","-2,242,000","960,000","-188,000","5,168,000","5,168,000","-1,931,000","-4,481,000","9,479,000","-13,960,000","2,550,000","2,550,000",-,"-24,000",-,"-24,000",-,-,"-350,000","-317,000","-33,000",-,"-189,000",-,"2,082,000","-129,000","2,211,000",-,"17,000","657,000","-3,000",-,"12,029,000","-13,960,000","-24,000","1,023,000"
2,12/31/2021,"290,000","291,000","596,000",-,-,0,0,-,"21,000","21,000","21,000",-,-,"-13,000","-13,000",-,"31,000","-53,000","-290,000","-284,000","-6,000",-,"-2,762,000","-2,762,000","-4,000",-,-,-,-,-,-,"-68,000","-1,796,000","1,728,000","-8,000","2,735,000","2,735,000","478,000","-472,000","2,072,000","-2,544,000","950,000","950,000",-,"-16,000",-,"-16,000",-,-,"-349,000","-316,000","-33,000",-,-,-,"2,211,000","263,000","1,948,000",-,"471,000","402,000","-4,000",-,"3,022,000","-2,544,000","-16,000","286,000"
3,12/31/2020,"334,196","334,196","511,109","-1,288",-,0,"-1,288",-,"23,871","23,871","23,871",-,-,"219,342","219,342",-,"29,401","-119,158","-402,432","-411,074","8,619",23,"-1,025,359","-1,025,359","1,308",-,-,-,-,-,-,"31,775","-2,513,853","2,545,628","-54,147","1,897,224","1,897,224","1,525,000","375,000","6,925,000","-6,550,000","1,150,000","1,150,000",-,"-59,022",-,"-59,022",-,-,"-348,435","-315,607","-32,828",-,-,-,"1,947,931","1,206,061","741,870",-,"117,873","632,660",-,-,"8,075,000","-6,550,000","-59,022","334,196"
4,12/31/2019,"509,750","509,750","395,043","-15,118",-,"-7,402","-7,791",-,"27,096","27,096","27,096",0,0,"100,813","100,813",-,"32,048",-,"-45,188","-55,825","10,571",66,"-2,058,907","-2,058,907","9,297",-,-,-,-,-,-,"-179,504","-2,503,248","2,323,744","-141,091","816,072","816,072","348,812","-751,188","4,785,812","-5,537,000","1,100,000",-,-,"-75,220",-,"-75,220",0,0,"-350,222","-317,394","-32,828",-,-,-,"741,870","-733,085","1,474,955",-,"75,680","813,161",-,0,"4,785,812","-5,537,000","-75,220","509,750"
5,12/31/2018,"540,355","540,355","422,417",-319,-,-,-208,-,"32,323","32,323","32,323",0,0,"23,197","23,197",-,"36,260","35,258","-23,146","29,952","-53,320",222,"-4,020,466","-4,020,466","-9,847","-9,847",-,-,-,-,-,"-2,191,843","-3,288,204","1,096,361","-24,468","2,426,897","2,426,897","1,293,768","1,293,768","5,667,268","-4,373,500",0,-,-,"-163,249",-,"-163,249",0,0,"-365,889","-333,061","-32,828",-,-,-,"1,474,955","-1,053,214","2,528,169",-,"44,123","645,588","-9,847",0,"5,667,268","-4,373,500","-163,249","530,508"
6,12/31/2017,"1,326,710","1,326,710","466,201","-117,541",-,-,"-30,240",-,"33,011","33,011","32,803",208,208,"21,444","21,444",-,"36,029","379,361","475,518","451,873","23,329",316,"1,061,740","1,061,740","-27,783","-27,783",-,-,-,-,-,"388,877","-1,176,073","1,564,950","-12,885","-418,131","-418,131","-760,000","-300,000","3,000,000","-3,300,000","-460,000",-,-,"-18,463",0,"-18,463","502,840","502,840","-356,768","-332,147","-24,621",-,-,-,"2,528,169","1,970,319","557,850",-,"217,682","447,476","-27,783","502,840","3,000,000","-3,300,000","-18,463","1,298,927"
7,12/31/2016,"755,653","755,653","495,401","-60,745",-,-,"-3,347",-,"35,202","35,202","32,811","2,391","2,391","44,746","44,746",-,"32,661","-91,988","322,454","326,790","-4,336",-,"1,218,165","1,218,165","-84,179","-84,179",-,-,-,-,-,"2,380,122","-492,610","2,872,732","73,037","-1,953,642","-1,953,642","-2,075,300","1,181,000","1,181,000",0,"-3,256,300",-,-,"-8,677",0,"-8,677",-,-,"-330,810","-330,810",-,0,-,-,"557,850","20,176","537,674",-,"180,238","382,135","-84,179",0,"1,181,000",0,"-8,677","671,474"
8,12/31/2015,"-420,426","-420,426","-47,156","-69,703",-,-,"-4,054",-,"36,841","36,841","31,497","5,344","5,344","-31,289","-31,289",-,"30,205","-134,777","-181,474","-196,899","15,425",-,"-1,397,159","-1,397,159","-34,802","-34,802",-,-,-,-,-,"935,214","-338,048","1,273,262","-148,644","1,791,109","1,791,109","1,521,918","753,818","11,243,500","-10,489,682","768,100",-,-,"622,662","629,682","-7,020",-,-,"-453,981","-453,981",-,-,"2,486",-,"537,674","-26,476","564,150",-,"187,608","540,818","-34,802","629,682","11,243,500","-10,489,682","-7,020","-455,228"
9,12/31/2014,"722,417","722,417","485,397","-41,951",-,-,"-14,029",-,"36,089","36,089","27,792","8,297","8,297","26,151","26,151",-,"27,454","126,602","89,555","105,575","-16,020",-,"-2,145,842","-2,145,842","-73,495","-73,495",-,-,-,-,-,"885,671","-376,338","1,262,009","46,063","1,343,025","1,343,025","-878,515","-110,615",-,"-110,615","-767,900",-,-,"-7,283",-,"-7,283",-,-,"-442,204","-442,204",-,60,"3,225",-,"564,150","-80,400","644,550",-,"247,589","553,811","-73,495",-,-,"-110,615","-7,283","648,922"
10,12/31/2013,"1,375,930","1,375,930","475,547","-71,309",0,-,"-21,036",-,"43,876","43,876","28,092","15,784","15,784","25,177","25,177",-,"22,247","895,881","-42,647","-92,089","49,442",-,"-5,173,311","-5,173,311","-37,242","-37,242",-,-,0,-,0,"-3,021,199","-4,584,220","1,563,021","-92,245","2,014,673","2,014,673","1,674,811","-791,289",-,"-791,289","2,466,100",-,-,"-5,319",-,"-5,319",-,-,"-440,308","-440,308",-,326,"1,692",-,"644,550","-1,782,708","2,427,258",-,"212,181","552,501","-37,242",-,-,"-791,289","-5,319","1,338,688"
11,12/31/2012,"576,016","576,016","501,106","-195,268",0,-,"-2,041",-,"45,115","45,115","25,471","19,644","19,644",-,-,-,"20,721","65,724","78,418","33,108","6,597",-,"-1,730,668","-1,730,668","-38,761","-38,761",-,-,0,-,0,"-349,023","-4,066,276","3,717,253","21,083","1,580,173","1,580,173","-530,222","-218,222",-,"-218,222","-312,000",-,-,"-3,522",0,"-3,522",-,-,"-438,539","-438,539",-,0,589,-,"2,427,258","425,521","2,001,737",-,"286,550","667,905","-38,761",0,-,"-218,222","-3,522","537,255"
12,12/31/2011,"830,207","830,207","480,037","-108,611","-9,823",-,"-36,608",-,"49,601","49,601","23,535","26,066","26,066",-,-,-,"16,735","265,250","28,112","126,654","-126,812",-,"-1,210,976","-1,210,976","-40,746","-40,746",-,-,"100,027",-,"100,027","261,982","-3,905,416","4,167,398","-44,214","454,964","454,964","424,297","-637,703",-,"-637,703","1,062,000",-,-,"-3,696",0,"-3,696",-,-,"-436,914","-436,914",-,"3,519","2,679",-,"2,001,737","74,195","1,927,542",-,"152,115","686,245","-40,746",0,-,"-637,703","-3,696","789,461"
