,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Deferred Charges,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"1,026,000","1,026,000","650,000","-164,000","-159,000","-2,000","2,000",-,"-5,000","23,000","23,000","18,000","5,000","5,000","-3,000","-3,000","147,000","-37,000",-,"29,000","133,000","248,000",-,-,-,-,-,-,"348,000","-100,000",-,"-6,323,000","-6,323,000","-1,282,000","-2,242,000","960,000","-5,181,000",0,"-5,181,000","-3,000",-,-,"331,000","331,000","-188,000","5,168,000","5,168,000","-1,931,000","-4,481,000","9,479,000","-13,960,000","2,550,000","2,550,000","-24,000",-,"-24,000",-,-,"-350,000","-317,000","-33,000",-,"-189,000",-,"2,082,000","-129,000","2,211,000",-,"17,000","657,000","-3,000",-,"12,029,000","-13,960,000","-24,000","1,023,000"
1,3/31/2023,"3,035,000","3,035,000","2,006,000","-2,021,000","-2,001,000",-,-,-,"-20,000","25,000","25,000","8,000","17,000","17,000","11,000","11,000","62,000","-36,000",-,"9,000","170,000","2,809,000",-,-,-,-,-,-,"112,000","2,697,000",-,"25,105,000","25,105,000","1,454,000","-443,000","1,897,000","-1,301,000",-,"-1,301,000","-11,000","-11,000",-,"25,043,000","25,043,000","-80,000","-7,793,000","-7,793,000","25,000","-2,375,000",0,"-2,375,000","2,400,000",-,"-9,000",-,"-9,000",-,-,"-124,000","-8,000","-116,000",-,"-189,000",-,"22,429,000","20,347,000","2,082,000",-,"13,000","489,000","-11,000",-,0,"-2,375,000","-9,000","3,024,000"
2,12/31/2022,"395,000","396,000","172,000",-,-,0,0,-,"-5,000","10,000","10,000","5,000",-,-,"-3,000","-3,000","146,000","-29,000",-,"7,000","124,000","132,000",-,-,-,-,-,-,"283,000","-151,000",-,"-1,581,000","-1,581,000","337,000","-52,000","389,000","-1,940,000",0,"-1,940,000","-12,000",-,-,-,-,"-297,000","1,568,000","1,568,000","834,000","-1,601,000","2,549,000","-4,150,000","2,435,000",-,"-5,000",-,"-5,000",-,-,"-88,000","-80,000","-8,000",-,-,-,"2,082,000","382,000","1,700,000",-,"4,000","258,000",-,-,"5,099,000","-4,150,000","-5,000","392,000"
3,9/30/2022,"232,000","231,000","152,000",-,-,0,"1,000",-,0,"4,000","4,000","4,000",-,-,"15,000","15,000",-,"-6,000",-,"7,000","2,000","56,000",-,-,-,-,-,-,"23,000","33,000",-,"-1,672,000","-1,672,000","-1,228,000","-1,402,000","174,000","-447,000",0,"-447,000","-2,000",-,-,-,-,"5,000","-137,000","-137,000","-510,000","-2,325,000","3,975,000","-6,300,000","1,815,000",-,0,-,0,-,-,"-88,000","-79,000","-9,000",-,-,-,"1,700,000","-1,577,000","3,277,000",-,"5,000","170,000",-,-,"3,975,000","-6,300,000",0,"232,000"
4,6/30/2022,"214,000","214,000","171,000",-,-,-,-,-,-,"4,000","4,000","4,000",-,-,"-7,000","-7,000",-,"-1,000",-,"8,000","9,000","31,000",-,-,-,-,-,-,"42,000","-11,000",-,"-2,002,000","-2,002,000","-285,000","-519,000","234,000","-1,773,000",0,"-1,773,000","12,000",-,-,-,-,"44,000","2,165,000","2,165,000","-1,030,000","-480,000","1,955,000","-2,435,000","-550,000",-,"-8,000",-,"-8,000",-,-,"-87,000","-79,000","-8,000",-,-,-,"3,277,000","377,000","2,900,000",-,"8,000","119,000",-,-,"1,955,000","-2,435,000","-8,000","215,000"
5,3/31/2022,"185,000","185,000","155,000",-,-,-,-,-,-,"5,000","5,000","5,000",-,-,"-8,000","-8,000",-,"-1,000",-,"7,000","-2,000","29,000",-,-,-,-,-,0,0,"29,000",-,"-1,068,000","-1,068,000","-106,000","-269,000","163,000","-1,021,000",0,"-1,021,000","-1,000","-1,000",-,-,-,"60,000","1,572,000","1,572,000","-1,225,000","-75,000","1,000,000","-1,075,000","-1,150,000",-,"-11,000",-,"-11,000",-,-,"-87,000","-79,000","-8,000",-,-,-,"2,900,000","689,000","2,211,000",-,0,"110,000","-1,000",-,"1,000,000","-1,075,000","-11,000","184,000"
6,12/31/2021,"215,000","216,000","150,000",-,-,-,-,-,-,"5,000","5,000","5,000",-,-,"-7,000","-7,000",-,"-1,000",-,"7,000","4,000","109,000",-,-,-,-,-,-,"30,000","27,000",-,"-2,005,000","-2,005,000","100,000","-229,000","329,000","-2,056,000",0,"-2,056,000","-1,000",-,-,-,-,"-48,000","1,479,000","1,479,000","1,128,000","178,000","1,422,000","-1,244,000","950,000",-,0,-,0,-,-,"-87,000","-79,000","-8,000",-,-,-,"2,211,000","-311,000","2,522,000",-,0,"91,000","-1,000",-,"2,372,000","-1,244,000",0,"214,000"
7,9/30/2021,"61,000","61,000","149,000",0,-,-,-,-,0,"5,000","5,000","5,000",-,-,"-32,000","-32,000",-,"-1,000",-,"8,000","-1,000","-67,000",-,-,-,-,-,0,"-59,000","-8,000",-,"45,000","45,000","153,000","-315,000","468,000","-112,000","4,000","-116,000","-1,000",-,-,-,-,"5,000","330,000","330,000","-25,000","-25,000","26,000","-51,000",0,-,"-1,000",-,"-1,000",-,-,"-88,000","-79,000","-9,000",-,-,-,"2,522,000","436,000","2,086,000",-,"135,000","105,000","-1,000",-,"26,000","-51,000","-1,000","60,000"
8,6/30/2021,"-109,614","-109,614","151,404",-645,-,-,-,-,-256,"5,643","5,643","5,643",-,-,"-5,279","-5,279",-,"-4,344",-,"7,388","-3,569","-260,212",-,-,-,-,-,-234,"-262,891","3,007",-,"-120,821","-120,821","169,252","-266,406","435,658","-301,187",71,"-301,258","-1,683","-1,683",-,-,-,"12,797","-406,549","-406,549","-300,000","-300,000","299,000","-599,000",0,-,515,-,515,-,-,"-86,741","-78,948","-7,793",-,-,-,"2,086,000","-636,984","2,722,915",-,"321,995","92,811","-1,683",-,"299,000","-599,000",515,"-111,297"
9,3/31/2021,"123,614","123,614","145,596",-355,-,-,389,-,-744,"5,357","5,357","5,357",-,-,"31,279","31,279",-,"1,344",-,"8,612","3,569","-71,788",-,-,-,-,-,"-51,766","7,891","-28,007",94,"-681,179","-681,179","-490,252","-985,594","495,342","-212,813","32,929","-245,742",-317,-317,-,-,-,"22,203","1,332,549","1,332,549","-325,000","-325,000","325,000","-650,000",0,-,"-15,515",-,"-15,515",-,-,"-87,259","-79,052","-8,207",-,-,-,"2,722,915","774,984","1,947,931",-,"14,005","113,189",-317,-,"325,000","-650,000","-15,515","123,297"
