,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 4/27/2023Current,7.72B,N/A,8.48,8.90,0.47,3.50,0.93,N/A,N/A
1,3/31/2023,6.17B,N/A,7.17,7.54,N/A,2.96,0.74,N/A,N/A
2,12/31/2022,5.86B,N/A,6.83,7.75,0.51,2.85,0.94,N/A,N/A
3,9/30/2022,3.98B,N/A,6.77,6.27,0.41,2.85,0.63,N/A,N/A
4,6/30/2022,4.26B,N/A,7.48,6.77,N/A,3.11,0.66,N/A,N/A
5,3/31/2022,5.01B,N/A,8.93,7.65,N/A,3.69,0.77,N/A,N/A
6,12/31/2021,5.68B,N/A,9.47,8.21,N/A,4.24,0.88,N/A,N/A
7,9/30/2021,5.98B,N/A,10.55,8.66,N/A,4.59,0.93,N/A,N/A
8,6/30/2021,5.12B,N/A,9.93,9.18,N/A,4.14,0.81,N/A,N/A
9,3/31/2021,5.87B,N/A,12.37,11.07,N/A,5.03,0.93,N/A,N/A
10,12/31/2020,4.89B,N/A,12.71,9.57,N/A,4.49,0.79,N/A,N/A
11,9/30/2020,3.84B,N/A,10.47,8.27,N/A,3.67,0.62,N/A,N/A
12,6/30/2020,4.73B,N/A,13.08,12.58,N/A,4.65,0.77,N/A,N/A
13,3/31/2020,4.38B,N/A,12.19,10.98,N/A,4.26,0.71,N/A,N/A
14,12/31/2019,5.62B,N/A,15.82,13.99,N/A,5.41,0.91,N/A,N/A
15,9/30/2019,5.87B,N/A,16.30,14.41,N/A,5.61,0.95,N/A,N/A
16,6/30/2019,4.66B,N/A,12.79,12.63,N/A,4.39,0.76,N/A,N/A
17,3/31/2019,5.41B,N/A,14.65,14.10,N/A,5.02,0.88,N/A,N/A
18,12/31/2018,4.46B,N/A,10.94,12.14,N/A,4.02,0.71,N/A,N/A
19,9/30/2018,5.09B,N/A,11.92,12.50,N/A,4.03,0.81,N/A,N/A
20,6/30/2018,5.41B,N/A,12.40,13.50,N/A,4.08,0.86,N/A,N/A
21,3/31/2018,6.39B,N/A,14.48,15.60,N/A,4.67,1.02,N/A,N/A
22,12/31/2017,6.37B,N/A,14.97,15.13,1.58,4.49,1.02,N/A,N/A
23,9/30/2017,6.30B,N/A,14.01,13.72,1.43,4.50,1.01,N/A,N/A
24,6/30/2017,6.42B,N/A,13.82,15.46,1.44,4.54,1.05,N/A,N/A
25,3/31/2017,6.83B,N/A,13.83,15.70,1.33,4.71,1.12,N/A,N/A
