,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,3/31/2023,"1,940,674",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,383",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,940,674","1,799,204","1,769,176",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"30,028","141,470","141,470",-,-,-,-,-,-,-,-,-,"141,470",-,"141,470",-,"141,470",-,-,"8,282","8,282",-
1,12/31/2022,"1,968,346","434,869","415,803","415,803",-,-,"5,236","5,236","13,830","13,830","13,830",-,-,-,"30,218","530,428","2,990","527,438","14,582","905,035","915,758","82,506",375,"811,826","21,051","9,468","-1,255","7,930","7,930",-,"1,537","23,055","34,071","5,195","10,790","4,735",239,"5,357","7,755","-11,016","3,558",-,-,"17,134","17,134","1,968,346","1,841,719","1,814,297","611,976","611,976","1,202,321",-,"27,423","27,423","27,423",-,-,-,-,-,-,-,-,"27,422","126,627","126,627","25,435",-,"25,435","126,728","5,190","-30,727",-,-,-,"126,627",-,"126,627",-,"126,627",-,-,"8,258","8,258",-
2,9/30/2022,"1,962,470","445,060","401,055",-,-,"401,055",-,-,"44,005","44,005","44,005",-,-,-,"30,028","512,993","2,948","510,045",-,"899,939","912,235","84,989",369,"806,899","19,978","10,997","-1,299","55,678","55,678",-,-,"15,191",-,-,-,-,-,-,-,-,"3,581",-,-,-,-,"1,962,470","1,856,282","1,830,882","625,211","625,211","1,205,671",-,"25,400","25,400","25,400",-,-,-,-,-,-,-,-,"25,400","106,188","106,188","25,435",-,"25,435","117,253","5,044","-41,544",-,-,-,"106,188",-,"106,188",-,"106,188",-,-,"8,259","8,259",-
3,6/30/2022,"1,991,235","499,905","451,075",-,-,"451,075",-,-,"48,830","48,830","48,830",-,-,-,"29,839","504,647","3,107","501,540",-,"895,641","907,627","91,717",410,"788,291","27,209","10,785","-1,201","42,352","42,352",-,-,"15,248",-,-,-,-,-,-,-,-,"3,603",-,-,-,-,"1,991,235","1,872,537","1,852,502","643,650","643,650","1,208,852",-,"20,035","20,035","20,035",-,-,-,-,-,-,-,-,"20,035","118,698","118,698","25,435",-,"25,435","111,691","4,903","-23,331",-,-,-,"118,698",-,"118,698",-,"118,698",-,-,"8,255","8,255",-
4,3/31/2022,"1,946,019","669,225","627,775",-,-,"627,775",-,-,"41,450","41,450","41,450",-,-,-,"29,652","352,371","3,229","349,142",-,"846,878","858,763","97,654",380,"737,543","23,186","10,762","-1,123","29,044","29,044",-,-,"15,224",-,-,-,-,-,-,-,-,"3,625",-,-,-,-,"1,946,019","1,814,370","1,799,305","628,148","628,148","1,171,157",-,"15,065","15,065","15,065",-,-,-,-,-,-,-,-,"15,065","131,649","131,649","25,435",-,"25,435","107,433","4,752","-5,971",-,-,-,"131,649",-,"131,649",-,"131,649",-,-,"8,256","8,256",-
5,12/31/2021,"1,964,599","783,760","735,332",-,-,"735,332","5,493","5,493","42,935","42,935","42,935",-,-,-,"29,469","266,280","3,391","262,889","4,359","847,847","860,037","109,554",416,"717,567","32,500","10,738","-1,452","4,058","4,058",-,973,"21,956","31,668","5,195","10,557","3,949",209,"5,224","6,534","-9,712","3,647",-,-,"2,129","2,129","1,964,599","1,821,987","1,806,966","596,813","596,813","1,210,153",-,"14,900","14,900","14,900",-,-,-,-,-,-,-,-,"15,021","142,612","142,612","25,435",-,"25,435","106,300","4,689","6,188",-,-,-,"142,612",-,"142,612",-,"142,612",-,-,"8,239","8,239",-
6,9/30/2021,"1,856,759","682,113","623,408",-,-,"623,408",-,-,"58,705","58,705","58,705",-,-,-,"28,856","245,093","3,406","241,687",-,"858,233","872,110","149,559",493,"696,910","25,148","11,351","-2,526","23,349","23,349",-,-,"15,444",-,-,-,-,-,-,-,-,"3,671",-,-,-,-,"1,856,759","1,716,971","1,701,180","567,315","567,315","1,133,865",-,"15,791","15,791","15,791",-,-,-,-,-,-,-,-,"15,791","139,788","139,788","25,435",-,"25,435","102,833","4,544","6,976",-,-,-,"139,788",-,"139,788",-,"139,788",-,-,"8,239","8,239",-
7,6/30/2021,"1,764,464","525,802","478,712",-,-,"478,712",-,-,"47,090","47,090","47,090",-,-,-,"28,673","240,188","3,413","236,775",-,"927,543","943,894","231,494",536,"689,141","22,723","11,327","-5,024","22,922","22,922",-,-,"15,642",-,-,-,-,-,-,-,-,"3,694",-,-,-,-,"1,764,464","1,627,844","1,614,480","539,369","539,369","1,075,111",-,"13,364","13,364","13,364",-,-,-,-,-,-,-,-,"13,364","136,620","136,620","25,435",-,"25,435","99,474","4,430","7,281",-,-,-,"136,620",-,"136,620",-,"136,620",-,-,"8,232","8,232",-
8,3/31/2021,"1,665,394","366,760","303,665",-,-,"303,665",-,-,"63,095","63,095","63,095",-,-,-,"25,489","218,877","3,397","215,480",-,"1,011,423","1,028,776","314,506",589,"691,891","21,790","11,312","-6,041","23,384","23,384",-,-,"15,744",-,-,-,-,-,-,-,-,"3,717",-,-,-,-,"1,665,394","1,533,452","1,517,785","511,870","511,870","1,005,915",-,"15,667","15,667","15,667",-,-,-,-,-,-,-,-,"15,667","131,942","131,942","25,435",-,"25,435","95,514","4,279","6,714",-,-,-,"131,942",-,"131,942",-,"131,942",-,-,"8,236","8,236",-
9,12/31/2020,"1,511,478","231,413","193,571",-,-,"193,571","4,757","4,757","33,085","33,085","33,085",-,-,-,"25,325","220,589","3,425","217,164","4,688","997,246","1,013,115","292,006",636,"692,218","28,255","11,297","-4,572","5,689","5,689",-,"1,070","20,355","35,096","5,195","10,601","9,007",518,"5,190","4,585","-14,741","3,740",-,-,"1,363","1,363","1,511,478","1,381,784","1,367,809","459,896","459,896","907,913",-,"13,975","13,975","13,975",-,-,-,-,-,-,-,-,"13,975","129,694","129,694","25,435",-,"25,435","92,349","4,216","7,694",-,-,-,"129,694",-,"129,694",-,"129,694",-,-,"8,219","8,219",-
