,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Accrued Expense,Change in Deferred Charges,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"23,320","23,320","22,902",-,-,-,"1,151","1,151","1,151",-,-,-,-,-749,"1,328",-,622,-,"-1,350",475,"-1,059","-3,872","-3,872",875,875,875,-,-686,"2,624",-,-,"-376,690","-376,690","-319,602","-360,160","40,558",-,-,"-55,641",-,"-55,641","-1,190","-1,190",-,-,-,-257,"4,736","4,736",-,-,-,-,-,-,-,-,-,-,-,"-2,474","-2,474",-,-,-121,"429,633","-348,634","778,267","3,910","1,119","-1,190",-,-,-,-,"22,130"
1,12/31/2022,"23,320","23,320","22,902",-,-,-,"1,151","1,151","1,151",-,-,-,-,-749,"1,328",-,622,-,"-1,350",475,"-1,059","-3,872","-3,872",875,875,875,-,-686,"2,624",-,-,"-376,690","-376,690","-319,602","-360,160","40,558",-,-,"-55,641",-,"-55,641","-1,190","-1,190",-,-,-,-257,"4,736","4,736",-,-,-,-,-,-,-,-,-,-,-,"-2,474","-2,474",-,-,-121,"429,633","-348,634","778,267","3,910","1,119","-1,190",-,-,-,-,"22,130"
2,12/31/2021,"11,271","11,271","16,337",-154,-,-,"1,326","1,326","1,326",-,-,-,-,-719,410,-,581,-,-635,-,"-5,875","1,631","1,631","1,455","1,455","1,455",-,"-2,986","-5,975",-,-,"103,677","103,677","-44,339","-80,459","36,120",-,-,"153,154",-,-,-978,-978,-,-,-,"-4,160","436,663","436,663",-,0,0,0,0,-,-,-,-,-,-,"-2,386",-,-,-,-108,"778,267","551,611","226,656","5,724",971,-978,-,0,0,-,"10,293"
3,12/31/2020,"19,240","19,240","13,687",-2,-,-2,"1,199","1,199","1,199",-,-,-,-,-728,545,-,549,-,"2,165",-,"1,825","-2,232","-2,232",262,262,262,-,"3,301",494,-,-,"-285,649","-285,649","-21,799","-70,330","48,531",-,-,"-262,281",-,"-262,281","-1,740","-1,740",-,-,-,171,"345,471","345,471",-,0,0,"50,000","-50,000",-,-,-,-,-,-,"-2,299","-2,299",-,0,-110,"226,656","79,062","147,594","4,338","1,149","-1,740",-,"50,000","-50,000",-,"17,500"
4,12/31/2019,"17,209","17,209","12,489",-138,0,-138,"1,091","1,091","1,091",-,-,-,-,-602,899,-,549,-,545,-,"2,376",298,298,"6,527","6,527","6,527",-,-433,"-4,016",-,-,"-26,856","-26,856","19,099","-26,866","45,965",0,0,"-39,168",-,"-39,168","-1,383","-1,383",0,-,-,"-5,404","31,096","31,096",-,-,-,-,-,-,-,-,-,-,-,"-2,214","-2,214",-,6,-130,"147,594","21,449","126,145","3,870","1,558","-1,383",-,-,-,-,"15,826"
5,12/31/2018,"13,033","13,033","11,537",-83,-2,-81,"1,187","1,187","1,187",-,-,-,-,-704,"1,121",-,431,-,555,-,"-1,011",-584,-584,"4,151","4,151","4,151",-,"-1,221","-3,357",-,-,"-81,564","-81,564","-30,752","-51,785","21,033",447,447,"-49,393",-,-,"-1,644","-1,646",2,-,-,225,"45,503","45,503",-,-,-,-,-,-,7,7,-,-,-,"-2,117","-2,117",-,-,-,"126,145","-23,028","149,173","4,145","1,611","-1,646",7,-,-,-,"11,387"
6,12/31/2017,"9,399","9,399","9,094",-504,-109,-395,"1,124","1,124","1,124",-,-,-,-,-725,841,-,103,-,350,-,-884,-340,-340,-364,-364,-364,-,"1,511","-1,691",-,-,"-73,894","-73,894","-20,686","-50,882","30,196","1,168","1,168","-52,231",-,-,"-1,805","-2,193",388,-,-,828,"22,858","22,858",-,-,-,-,-,-,91,91,-,-,-,"-2,022","-2,022",-,-,-,"149,173","-41,637","190,810","5,922","1,065","-2,193",91,-,-,-,"7,206"
7,12/31/2016,"9,906","9,906","7,665",-56,-4,-52,"1,252","1,252","1,252",-,-,-,-,-347,409,-,256,0,484,-,243,-411,-411,"1,483","1,483","1,483",-,-706,-123,-,-,"-107,161","-107,161","-32,193","-53,955","21,762","1,012","1,012","-71,428",-,-,-659,-663,4,0,0,"-2,881","97,462","97,462",-,-,-,-,-,-,-,-,-,-,-,"-1,940","-1,940",-,-,-,"190,810",207,"190,603","2,331",756,-663,-,-,-,-,"9,243"
8,12/31/2015,"4,311","4,311","4,908",-211,-5,-206,"1,207","1,207","1,207",-,-,35,35,-495,188,50,261,-46,-125,-,"-1,461",-33,-33,"-1,214","-1,214","-1,214",-,-124,-90,-,-,"-30,332","-30,332","-10,759","-42,694","31,935",-,-,"-41,778",-,-,"-1,413","-1,418",5,"23,468","23,468",150,"72,336","72,336",-,-,-,-,-,-,0,0,-,-,-,"-1,695","-1,695",-,-,46,"190,603","46,315","144,288","4,152",618,"-1,418",0,-,-,-,"2,893"
9,12/31/2014,"7,408","7,407","7,122",-212,-3,-209,"1,174","1,174","1,174",-,-,-,-,-432,147,32,271,-102,"-1,877",-,"1,285",-13,-13,"1,134","1,134","1,134",-,-365,529,-,-,"-34,966","-34,966","1,001","-17,883","18,884",0,0,"-33,281",-,-,"-1,553","-1,556",3,-,-,"-1,133","66,656","66,656",-,-,-,-,-,-,924,924,0,-,0,"-1,318","-1,318",0,-,102,"144,288","39,098","105,191","3,005",668,"-1,556",924,-,-,0,"5,852"
