,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Other non-cash items,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Accrued Expense,Change in Deferred Charges,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"23,320","23,320","22,902",-,-,-,"1,151","1,151","1,151",-,-,-749,"1,328",-,622,-,"-1,350",475,"-1,059","-3,872","-3,872",875,875,875,-,-686,"2,624",-,"-376,690","-376,690","-319,602","-360,160","40,558",-,-,"-55,641",-,"-55,641","-1,190","-1,190",-,-257,"4,736","4,736",-,-,-,-,-,-,-,-,-,-,"-2,474","-2,474",-,-,-121,"429,633","-348,634","778,267","3,910","1,119","-1,190",-,-,-,-,"22,130"
1,12/31/2022,"8,002","8,002","9,475",-,-,-,163,163,163,-,-,-190,354,-,146,-,"-1,550",-,-871,"-1,127","-1,127",-365,-365,-365,-,-532,"1,153",-,"-6,844","-6,844","-2,908","-23,904","20,996",-,-,"-3,503",-,-,-433,-433,-,0,"-16,585","-16,585",-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,"429,633","-15,427","445,060","2,500",345,-433,-,-,-,-,"7,569"
2,9/30/2022,"8,441","8,441","6,800",-,-,-,321,321,321,-,-,-189,396,-,154,-,-,-,759,-284,-284,821,821,821,-,97,125,-,"-40,415","-40,415","-35,556","-47,690","12,134",-,-,"-4,595",-,-,-264,-264,-,0,"-22,871","-22,871",-,-,-,-,-,-,-,-,-,-,"-1,238","-1,238",-,-,-13,"445,060","-54,845","499,905",559,291,-264,-,-,-,-,"8,177"
3,6/30/2022,"4,515","4,515","4,258",-,-,-,334,334,334,-,-,-188,357,-,164,-,-,-,-410,"-2,294","-2,294",254,254,254,-,78,"1,552",-,"-227,019","-227,019","-177,563","-180,771","3,208",-,-,"-48,841",-,-,-358,-358,-,-,"53,184","53,184",-,-,-,-,-,-,-,-,-,-,0,-,-,-,-13,"499,905","-169,320","669,225",-,242,-358,-,-,-,-,"4,157"
4,3/31/2022,"2,362","2,362","2,369",-,-,-,333,333,333,-,-,-182,221,-,158,-,-,-,-537,-167,-167,165,165,165,-,-329,-206,-,"-102,412","-102,412","-103,575","-107,795","4,220",-,-,"1,298",-,-,-135,-135,-,-,"-8,992","-8,992",-,-,-,-,-,-,-,-,-,-,"-1,236",-,-,-,-95,"669,225","-109,042","778,267",-,241,-135,-,-,-,-,"2,227"
5,12/31/2021,"-3,045","-3,045","3,467",-153,-,-,333,333,333,-,-,-188,70,-,145,-,-635,-,"-6,084",-257,-257,-891,-891,-891,-,-940,"-3,996",-,"-6,587","-6,587","-17,946","-36,372","18,426",-,-,"12,095",-,-,-311,-311,-,-425,"105,786","105,786",-,0,0,0,0,-,-,-,-,-,0,-,-,-,0,"778,267","96,154","682,113","1,689",231,-311,-,0,0,-,"-3,356"
6,9/30/2021,"4,881","4,881","4,554",0,-,0,325,325,325,-,-,-183,129,-,138,-,0,-,-82,767,767,"2,692","2,692","2,692",-,"-2,498","-1,043",-,"65,949","65,949","-5,732","-10,058","4,326",-,-,"71,808",-,-,-127,-127,-,0,"85,481","85,481",-,0,0,0,0,-,-,-,-,-,"-1,195",-,-,-,-24,"682,113","156,311","525,802",520,243,-127,-,0,0,-,"4,754"
7,6/30/2021,"2,159","2,159","3,959",-,-,-,334,334,334,-,-,-184,120,-,151,-,0,-,"-2,220",513,513,"-2,185","-2,185","-2,185",-,"-1,017",469,-,"60,187","60,187","-20,743","-28,074","7,331",-,-,"84,897",-,-,-232,-232,-,-,"96,696","96,696",-,-,-,-,-,-,-,-,-,-,1,-,-,-,0,"525,802","159,042","366,760",-,261,-232,-,-,-,-,"1,927"
8,3/31/2021,"7,276","7,276","4,357",-,-,-,334,334,334,-,-,-164,91,-,147,-,0,-,"2,511",608,608,"1,839","1,839","1,839",-,"1,469","-1,405",-,"-15,872","-15,872",82,"-5,955","6,037",-,-,"-15,646",-,"-15,646",-308,-308,-,-,"148,700","148,700",-,-,-,-,-,-,-,-,-,-,"-1,192",-,-,-,-84,"366,760","140,104","226,656",-,236,-308,-,-,-,-,"6,968"
9,12/31/2020,"2,865","2,867","4,649",-1,-,-1,329,329,329,-,-,-206,101,-,133,-,-338,-,"-1,802",-396,-396,251,251,251,-,"-2,090",433,-,"24,371","24,371","10,808","-1,225","12,033",-,-,"13,735",-,"13,735",-343,-343,-,-,"56,620","56,620",-,0,0,0,0,-,-,-,-,-,0,0,-,0,-1,"226,656","83,856","142,800","1,584",240,-343,-,0,0,-,"2,522"
