,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Credit Card,Other Customer Services,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Other Non Interest Expense,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"65,647","60,076","61,195","38,887","38,887","14,155","7,738",415,"1,119","1,119",-,-,-,-,"5,571",749,"3,403","3,403","1,669","1,734",-,0,0,-,"1,419","1,350","37,308","4,151","4,151","23,045","23,045","23,045",-,-,"10,112","29,689","6,787","22,902","22,902","22,902","22,902",-,"22,902",-,-,-,-,"61,426","22,902","22,902","8,153","1,151","22,902",-,-,0,0
1,12/31/2022,"65,647","60,076","60,076","38,887","38,887","14,155","7,738",415,"1,119","1,119",-,-,-,-,"5,571",749,"3,403","3,403","1,669","1,734",-,0,0,-,"5,571","1,350","37,308","4,151","4,151","23,045","23,045","23,045",-,-,"10,112","29,689","6,787","22,902","22,902","22,902","22,902",-,"22,902",-,-,-,-,"61,426","22,902","22,902","8,153","1,151","22,902",-,-,0,0
2,12/31/2021,"54,261","48,835","48,835","43,766","43,766","5,403",601,36,971,971,-,-,-,-,"5,426",719,"3,132","3,132","3,132",-,-,154,154,0,"5,426",635,"33,219","3,972","3,972","20,210","20,210","20,210",-,"2,766","9,037","21,677","5,340","16,337","16,337","16,337","16,337",-,"16,337",2.01,2.00,"8,128","8,169","49,470","16,337","16,337",637,"1,326","16,337",0,0,0,0
3,12/31/2020,"49,772","44,957","44,957","39,952","39,952","5,640",461,57,"1,153","1,119",-,34,-,-,"4,815",694,"2,757","2,757","2,757",-,-,36,2,34,"4,815","-2,165","29,864","3,642","3,642","17,972","17,972","17,972",-,"2,386","8,250","17,743","4,056","13,687","13,687","13,687","13,687",-,"13,687",1.68,1.68,"8,123","8,138","42,792","13,687","13,687",518,"1,199","13,687",34,34,0,0
4,12/31/2019,"46,080","41,034","41,034","34,813","34,813","5,872","1,675",242,"1,568","1,568",-,-,-,-,"5,046",602,"3,004","3,004","3,004",-,-,138,138,0,"5,046",-545,"28,846","3,493","3,493","17,400","17,400","17,400",-,"2,177","7,954","16,689","4,200","12,489","12,489","12,489","12,489",-,"12,489",1.54,1.54,"8,102","8,117","40,489","12,489","12,489","1,917","1,091","12,489",0,0,0,0
5,12/31/2018,"43,279","38,567","38,567","31,700","31,700","5,637","2,646",191,"1,606","1,606",-,-,-,-,"4,712",511,"2,844","2,844","2,844",-,-,274,81,193,"4,712",-555,"27,378","3,631","3,631","16,287","16,287","16,287",-,"2,147","7,460","15,346","3,809","11,537","11,537","11,537","11,537",-,"11,537",1.43,1.42,"8,081","8,100","38,012","11,537","11,537","2,837","1,187","11,537",193,193,0,0
6,12/31/2017,"40,156","34,180","34,180","29,128","29,128","4,504","1,513",100,"1,065","1,065",-,-,-,-,"5,976",514,"1,592","1,592","1,592",-,-,395,395,-,"5,976",-350,"24,565","3,346","3,346","14,110","14,110","14,110",-,"2,052","7,109","15,241","6,147","9,094","9,094","9,094","9,094",-,"9,094",1.13,1.13,"8,048","8,048","33,830","9,094","9,094","1,613","1,124","9,094",-,-,0,0
7,12/31/2016,"35,938","31,526","31,526","27,463","27,463","4,124",667,35,764,764,-,-,-,-,"4,412",441,"1,558","1,558","1,558",-,-,52,52,-,"4,412",-484,"24,315","3,284","3,284","13,564","13,564","13,564",-,"2,247","7,467","11,139","3,474","7,665","7,665","7,665","7,665",-,"7,665",0.95,0.95,"8,047","8,083","31,042","7,665","7,665",702,"1,252","7,665",-,-,0,0
8,12/31/2015,"29,512","25,402","25,402","22,053","22,053","3,629",304,34,615,615,-,-,-,-,"4,110",429,"1,388","1,388","1,388",-,-,206,206,-,"4,110",125,"22,676","3,009","3,009","11,717","11,717","11,717",-,"1,972","7,949","6,961","2,053","4,908","4,908","4,908","4,908",-,"4,908",0.61,0.61,"7,989","8,037","25,527","4,908","4,908",338,"1,207","4,908",-,-,0,0
9,12/31/2014,"29,052","25,289","25,289","22,011","22,011","3,708",179,38,647,647,-,-,-,-,"3,763",433,"1,503","1,503","1,503",-,-,209,209,-,"3,763","1,877","20,234","2,902","2,902","11,120","11,120","11,120",-,"1,795","6,212","10,695","3,573","7,122","7,122","7,122","7,122",-,"7,122",0.90,0.89,"7,938","7,993","27,166","7,122","7,122",217,"1,174","7,122",-,-,0,0
10,12/31/2013,"27,556","24,275","24,275","21,406","21,406","3,462",210.792,25.101,827.748,827.747,-,0.001,-,-,"3,281",403.812,"1,466","1,466","1,466",-,-,60.356,60.356,-,"3,281",-300,"18,660","2,923","2,923","9,978","9,978","9,978",-,"1,787","5,758","8,596","2,710","5,818","5,886","5,886","5,886",68,"5,818",0.75,0.74,"7,797","7,846","23,975","5,886","5,886",235.893,"1,160","5,886",-,-,0,0
11,12/31/2012,"27,993","24,845","24,845","22,449","22,449","3,369",135.26,28.565,"1,137","1,133",-,4.707,0,-,"3,148",423.757,"1,413","1,413","1,413",-,-,-,-,-,"3,148","-1,150","18,249","2,948","2,948","10,009","10,009","10,009",-,"1,589","5,292","8,594","2,813","5,329","5,781","5,781","5,781",452,"5,329",0.69,0.69,"7,741","7,767","23,695","5,781","5,781",163.825,"1,138","5,781",-,-,0,0
12,12/31/2011,"27,931","25,180","26,828","23,609","23,609","3,077",100.249,41.884,"1,648","1,580",-,68.081,0.051,-,"2,751",432.234,"1,224","1,224","1,120",-,103.935,-,-,-,"1,095","-1,500","17,394","2,829","2,829","10,342","10,342","9,326",-,"1,016","4,222","9,037","3,176","4,700","5,861","5,861","5,861","1,161","4,700",0.61,0.61,"7,709","7,739","23,680","5,861","5,861",142.133,998.014,"5,861",-,-,0,0
13,12/31/2010,"27,777","25,007","27,926","25,504","25,504","2,362",41.595,19.133,"2,919","2,591",-,327.9,0.11,-,"2,770",435.884,"1,173","1,173","1,065",-,107.848,-,-,-,"1,161","-4,020","16,776","3,338","2,700","9,404","9,404","8,457",-,947.338,"4,034","6,981","2,353","3,786","4,627","4,627","4,627",841.648,"3,786",0.49,0.49,"7,690","7,721","20,987","4,627","4,627",60.728,957.355,"4,627",-,-,0,0
14,12/31/2009,"26,283","23,642","23,642","26,687","26,687","2,586",5.205,5.117,"5,641","4,956",-,684.137,0.419,-,"2,641",408.628,"1,303","1,303","1,164",-,139.757,-,-,-,"2,641","-5,862","18,218","2,717","2,717","9,671","9,671","7,781",996.288,894.056,"5,830","2,203",203,"1,158","2,000","2,000","2,000",842,"1,158",0.15,0.15,"7,720","7,720","17,780","2,000","2,000",10.322,"1,034","2,000",-,-,0,0
15,12/31/2008,"23,037","20,515","29,247","27,611","27,611","1,616",1.887,17.996,"8,732","7,240",-,"1,485",7.748,-,"2,522",-,"1,400","1,400","1,299",-,100.857,-,-,-,"1,123","-2,188","17,865","2,695",-,"9,306","9,306","9,306",-,-,"5,865","2,984",822.045,"2,098","2,162","2,162","2,162",63.819,"2,098",0.27,0.27,"7,643","7,739","18,327","2,162","2,162",19.883,"1,116","2,162",-,-,0,0
16,12/31/2007,"21,028","18,831","31,837","30,133","30,133","1,541",4.203,159.163,"13,006","11,228",-,-,48.286,"1,731","2,198",-,"1,090","1,090","1,090",-,-,-,-,-,"1,107",-555,"14,171","2,181","2,181","8,586","8,586","8,586",-,-,"3,404","6,302","2,334","3,968","3,968","3,968","3,968",-,"3,968",0.53,0.52,"7,365","7,548","18,276","3,968","3,968",163.366,-,"3,968",-,-,0,0
17,12/31/2006,"19,022","17,333","28,695","26,946","26,946","1,623",2.479,124.106,"11,362","10,635",-,670.933,56.259,-,"1,689",-,"1,111","1,111",865.545,-,245.673,-,-,-,577.571,-595,"12,184","1,750",-,"7,585","7,585","7,585",-,-,"2,850","6,243","2,413","3,831","3,831","3,831","3,831",-,"3,831",0.54,0.52,"7,103","7,103","16,738","3,831","3,831",126.585,893.467,"3,831",-,-,0,0
18,12/31/2005,"16,476","15,161","21,445","19,885","19,885","1,412",-,147.793,"6,284","5,718",-,554.424,11.538,-,"1,315",-,931.101,931.101,931.101,-,-,-,-,-,384.202,-705,"9,342","1,173",-,"5,805","5,805","5,805",-,-,"2,363","6,430","2,495","3,935","3,935","3,935","3,935",-,"3,935",0.57,0.54,"6,946","7,339","14,456","3,935","3,935",147.793,870.969,"3,935",-,-,0,0
19,12/31/2004,"14,188","12,736","16,346","14,984","14,984","1,327",13.366,21.463,"3,610","3,046",-,554.303,10.151,-,"1,452",-,546.17,546.17,546.17,-,-,-,-,-,905.94,-937.5,"7,940",854.952,-,"4,915","4,915","4,915",-,-,"2,169","5,311","2,059","3,251","3,251","3,251","3,251",-,"3,251",0.49,0.47,"6,654","7,007","11,798","3,251","3,251",34.829,616.698,"3,251",-,-,0,0
20,12/31/2003,"11,272","9,538","12,883","11,545","11,545","1,293",24.625,20.138,"3,346","2,781",562.243,-,1.998,-,"1,734",-,509.28,509.28,509.28,-,-,56.682,56.682,-,"1,168",-655,"6,837",778.451,-,"4,157","4,157","4,157",-,-,"1,902","3,780","1,462","2,318","2,318","2,318","2,318",-,"2,318",0.41,0.40,"5,615","5,884","8,883","2,318","2,318",44.763,605.851,"2,318",-,-,0,0
