,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Credit Card,Other Customer Services,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Other Non Interest Expense,Special Income Charges,Restructuring & Mergers Acquisition,Write Off,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"65,647","60,076","61,195","38,887","38,887","14,155","7,738",415,-,"1,119","1,119",-,-,-,"5,571",749,"3,403","3,403","1,669","1,734",-,0,0,-,"1,419","1,350","37,308","4,151","4,151","23,045","23,045","23,045",-,-,"10,112",-,-,-,-,"29,689","6,787","22,902","22,902","22,902","22,902",-,"22,902",-,-,-,-,"61,426","22,902","22,902","8,153","1,151","22,902",-,-,0,0
1,3/31/2023,"21,198","19,543","19,543",-,-,-,-,-,-,-,-,-,-,-,"1,655",-,-,-,-,-,-,-,-,-,"1,655",460,"9,757",-,-,-,-,-,-,-,-,-,-,-,-,"11,901","2,676","9,225","9,225","9,225","9,225",-,"9,225",1.13,1.12,"8,183","8,227","20,003","9,225","9,225",-,-,"9,225",-,-,0,0
2,12/31/2022,"20,534","19,113","19,113","10,395","10,395","4,945","3,843",272,-,342,342,-,-,-,"1,421",190,836,836,-898,-,-,0,0,-,"1,421","1,550","9,611","1,062","1,062","5,961","5,961","5,961",-,-,"2,589",-,-,-,-,"12,473","2,998","9,475","9,475","9,475","9,475",-,"9,475",1.16,1.15,"8,176","8,214","20,663","9,475","9,475","4,115",163,"9,475",-,-,0,0
3,9/30/2022,"18,383","16,772","16,772","9,956","9,956","4,187","2,833",87,-,291,291,-,-,-,"1,611",189,865,865,865,-,-,0,0,-,"1,611",-200,"9,370","1,063","1,063","5,750","5,750","5,750",-,-,"2,557",-,-,-,-,"8,813","2,013","6,800","6,800","6,800","6,800",-,"6,800",0.83,0.83,"8,173","8,206","16,572","6,800","6,800","2,920",321,"6,800",-,-,0,0
4,6/30/2022,"14,604","13,233","13,233","9,414","9,414","3,210",807,46,-,244,244,-,-,-,"1,371",188,878,878,878,-,-,0,0,-,"1,371",0,"9,205",991,991,"5,658","5,658","5,658",-,859,"2,556",-,-,-,-,"5,399","1,141","4,258","4,258","4,258","4,258",-,"4,258",0.52,0.52,"8,170","8,201","13,233","4,258","4,258",853,334,"4,258",-,-,0,0
5,3/31/2022,"12,126","10,958","10,958","9,122","9,122","1,813",256,10,-,243,243,-,-,-,"1,168",182,824,824,824,-,-,-,-,-,"1,168",0,"9,122","1,035","1,035","5,676","5,676","5,676",-,820,"2,411",-,-,-,-,"3,004",635,"2,369","2,369","2,369","2,369",-,"2,369",0.29,0.29,"8,158","8,197","10,958","2,369","2,369",266,333,"2,369",-,-,0,0
6,12/31/2021,"12,851","11,309","11,309","9,736","9,736","1,522",271,9,-,229,229,-,-,-,"1,542",188,807,807,807,-,-,153,153,-,"1,542",635,"8,877","1,032","1,032","5,210","5,210","5,210",-,825,"2,635",-,-,-,-,"4,609","1,143","3,466","3,466","3,466","3,466",-,"3,466",0.43,0.42,"8,060","8,252","11,944","3,466","3,466",280,333,"3,466",-,-,0,0
7,9/30/2021,"14,599","13,296","13,296","11,982","11,982","1,344",205,12,-,247,247,-,-,-,"1,303",183,814,814,814,-,-,0,0,-,"1,303",0,"8,407",989,989,"5,205","5,205","5,205",-,667,"2,213",-,-,-,-,"6,192","1,638","4,554","4,554","4,554","4,554",-,"4,554",0.56,0.56,"8,148","8,183","13,296","4,554","4,554",217,325,"4,554",-,-,0,0
8,6/30/2021,"13,393","11,988","11,988","10,865","10,865","1,299",76,7,-,259,259,-,-,-,"1,405",184,802,802,802,-,-,1,1,-,"1,405",0,"8,215",985,985,"5,052","5,052","5,052",-,663,"2,178",-,-,-,-,"5,178","1,218","3,960","3,960","3,960","3,960",-,"3,960",0.49,0.48,"8,146","8,178","11,988","3,960","3,960",83,334,"3,960",-,-,0,0
9,3/31/2021,"13,418","12,242","12,242","11,184","11,184","1,238",49,6,-,235,235,-,-,-,"1,176",164,707,707,707,-,-,-,-,-,"1,176",0,"7,720",966,966,"4,742","4,742","4,742",-,611,"2,012",-,-,-,-,"5,698","1,341","4,357","4,357","4,357","4,357",-,"4,357",0.54,0.53,"8,135","8,166","12,242","4,357","4,357",55,334,"4,357",-,-,0,0
