,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 4/20/2023Current,218.64M,N/A,7.29,N/A,N/A,2.90,1.55,N/A,N/A
1,3/31/2023,195.95M,N/A,8.48,N/A,N/A,2.96,1.55,N/A,N/A
2,12/31/2022,187.06M,N/A,10.94,N/A,N/A,3.20,1.76,N/A,N/A
3,9/30/2022,147.51M,N/A,9.98,N/A,N/A,2.70,1.24,N/A,N/A
4,6/30/2022,142.00M,N/A,9.77,N/A,N/A,2.66,1.08,N/A,N/A
5,3/31/2022,152.01M,N/A,9.22,N/A,N/A,2.78,1.07,N/A,N/A
6,12/31/2021,143.36M,N/A,8.13,N/A,N/A,2.59,1.03,N/A,N/A
7,9/30/2021,144.39M,N/A,8.56,N/A,N/A,2.71,1.06,N/A,N/A
8,6/30/2021,149.63M,N/A,9.66,N/A,N/A,2.86,1.13,N/A,N/A
9,3/31/2021,140.95M,N/A,10.21,N/A,N/A,2.80,1.09,N/A,N/A
10,12/31/2020,136.60M,N/A,11.08,N/A,N/A,2.82,1.10,N/A,N/A
11,9/30/2020,94.15M,N/A,7.96,N/A,N/A,1.98,0.79,N/A,N/A
12,6/30/2020,104.19M,N/A,8.51,N/A,N/A,2.23,0.91,N/A,N/A
13,3/31/2020,129.33M,N/A,10.22,N/A,N/A,2.77,1.15,N/A,N/A
14,12/31/2019,159.78M,N/A,12.89,N/A,N/A,3.44,1.46,N/A,N/A
15,9/30/2019,137.64M,N/A,11.18,N/A,N/A,3.01,1.29,N/A,N/A
16,6/30/2019,160.50M,N/A,13.48,N/A,N/A,3.58,1.57,N/A,N/A
17,3/31/2019,144.57M,N/A,12.42,N/A,N/A,3.30,1.46,N/A,N/A
18,12/31/2018,149.94M,N/A,14.52,N/A,N/A,3.52,1.57,N/A,N/A
19,9/30/2018,160.80M,N/A,16.79,N/A,N/A,3.89,1.71,N/A,N/A
20,6/30/2018,187.15M,N/A,18.90,N/A,N/A,4.51,2.04,N/A,N/A
21,3/31/2018,182.37M,N/A,19.73,N/A,N/A,4.49,2.01,N/A,N/A
22,12/31/2017,158.25M,N/A,16.15,N/A,N/A,4.03,1.76,N/A,N/A
23,9/30/2017,135.82M,N/A,14.60,N/A,N/A,3.55,1.54,N/A,N/A
24,6/30/2017,112.36M,N/A,13.50,N/A,N/A,3.05,1.34,N/A,N/A
25,3/31/2017,106.69M,N/A,13.89,N/A,N/A,2.97,1.29,N/A,N/A
26,12/31/2016,101.55M,N/A,17.43,N/A,N/A,2.95,1.23,N/A,N/A
27,9/30/2016,82.55M,N/A,15.69,N/A,N/A,2.51,1.01,N/A,N/A
28,6/30/2016,78.86M,N/A,15.98,N/A,N/A,2.54,1.00,N/A,N/A
29,3/31/2016,74.98M,N/A,15.20,N/A,N/A,2.52,0.96,N/A,N/A
30,12/31/2015,84.01M,N/A,13.87,N/A,N/A,2.82,1.09,N/A,N/A
31,9/30/2015,76.42M,N/A,12.13,N/A,N/A,2.56,1.00,N/A,N/A
32,6/30/2015,79.56M,N/A,10.95,N/A,N/A,2.69,1.05,N/A,N/A
33,3/31/2015,79.62M,N/A,11.08,N/A,N/A,2.71,1.06,N/A,N/A
34,12/31/2014,82.04M,N/A,11.16,N/A,N/A,2.83,1.13,N/A,N/A
35,9/30/2014,80.99M,N/A,11.14,N/A,N/A,2.83,1.13,N/A,N/A
36,6/30/2014,80.19M,N/A,13.07,10.45,N/A,2.81,1.18,N/A,N/A
37,3/31/2014,75.95M,N/A,12.72,9.90,N/A,2.68,1.18,N/A,N/A
38,12/31/2013,66.37M,N/A,11.96,9.26,N/A,2.39,1.05,N/A,N/A
39,9/30/2013,63.12M,N/A,11.54,8.69,N/A,2.26,0.99,N/A,N/A
40,6/30/2013,60.71M,N/A,11.28,8.38,N/A,2.17,0.95,N/A,N/A
41,3/31/2013,64.82M,N/A,11.87,9.52,N/A,2.27,1.03,N/A,N/A
42,12/31/2012,58.91M,N/A,10.80,8.64,N/A,2.07,0.93,N/A,N/A
43,9/30/2012,59.10M,N/A,11.35,8.94,N/A,2.07,0.98,N/A,N/A
44,6/30/2012,54.85M,N/A,10.55,8.04,N/A,1.91,0.95,N/A,N/A
45,3/31/2012,58.26M,N/A,12.11,N/A,N/A,2.05,1.02,N/A,N/A
46,12/31/2011,52.10M,N/A,11.07,N/A,N/A,1.86,0.93,N/A,N/A
47,9/30/2011,39.67M,N/A,8.43,N/A,N/A,1.42,0.71,N/A,N/A
48,6/30/2011,45.13M,N/A,10.26,N/A,N/A,1.62,0.83,N/A,N/A
49,3/31/2011,46.21M,N/A,11.75,N/A,N/A,1.66,0.88,N/A,N/A
