,Breakdown,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Additional Paid in Capital,Retained Earnings,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
0,12/31/2022,"41,228,936","37,278,405","3,950,531","3,950,531","499,746","498,516","1,230","2,927,903","1,420,624","106,839","-790,903","6,581,648","498,516","3,950,531","2,542,414","2,631,117","2,542,414","2,631,117","390,895","123,001","120,222","2,779"
1,12/31/2021,"40,443,344","36,443,714","3,999,630","3,999,630","1,221",0,"1,221","3,013,399","1,016,350","97,308","65,968","4,862,913",-,"3,999,630","2,548,937","863,283","2,548,937","863,283",-,"122,106","119,585","2,521"
2,12/31/2020,"29,498,442","25,903,491","3,594,951","3,594,951","1,207",0,"1,207","3,100,633","409,391","88,803","172,523","4,065,763",-,"3,594,951","2,492,640","470,812","2,492,640","470,812",-,"120,737","118,415","2,322"
3,12/31/2019,"26,770,806","21,816,109","4,954,697","4,954,697","1,219",0,"1,219","3,306,006","1,652,248","83,434","78,658","7,171,914",-,"4,954,697","2,367,633","2,217,217","2,367,633","2,217,217","1,579,593","121,890","119,782","2,108"
4,12/31/2018,"25,731,354","20,905,766","4,825,588","4,825,588","1,251",0,"1,251","3,722,723","1,182,674","74,985","-6,075","6,650,548",-,"4,825,588","2,219,798","1,824,960","2,219,798","1,824,960","1,439,193","125,080","123,190","1,890"
5,12/31/2017,"24,994,876","20,017,278","4,977,598","4,977,598","1,305",-,"1,305","4,287,487","723,471","65,836","31,171","5,907,377",-,"4,977,598","2,349,302","929,779","2,349,302","929,779","531,342","129,055","127,347","1,708"
6,12/31/2016,"21,869,767","17,390,712","4,479,055","4,479,055","1,228",0,"1,228","4,162,132","366,073","56,360","5,982","5,825,611",-,"4,479,055","2,268,740","1,346,556","2,268,740","1,346,556","926,886","122,803","121,284","1,519"
7,12/31/2015,"21,288,490","16,890,799","4,397,691","4,397,691","1,228",-,"1,228","4,405,775","13,907","51,047","27,828","5,455,605",-,"4,397,691","2,168,180","1,057,914","2,168,180","1,057,914","661,428","122,792","121,414","1,378"
8,12/31/2014,"16,234,800","12,728,375","3,506,425","3,506,425","1,042",0,"1,042","3,807,167","-285,517","42,647","26,380","4,323,410",-,"3,506,425","1,768,742","816,985","1,768,742","816,985","503,759","104,219","103,022","1,197"
9,12/31/2013,"6,533,363","5,724,270","809,093","809,093",465,0,465,"1,286,737","-454,422","20,340","-3,347","1,055,464",-,"809,093","583,102","246,371","583,102","246,371","98,949","46,526","45,823",703.29
10,12/31/2012,"5,463,658","4,874,537","589,121","589,121",377,0,377,"1,062,184","-499,537","6,803","32,900","709,962",-,"589,121","494,532","120,841","494,532","120,841",-,"37,773","37,421",351.65
11,12/31/2011,"5,528,237","4,982,034","546,203","546,203",375,0,375,"1,084,691","-556,338","5,328","22,803","900,474",-,"546,203","489,647","900,474","489,647","354,271","58,654","37,542","37,254",287.969
12,12/31/2010,"5,529,021","5,050,224","478,797","478,797",369,-,369,"1,085,364","-607,042","3,863","3,969","833,369",-,"478,797","405,653","833,369","405,653","354,572","246,020","36,880","36,672",207.796
13,12/31/2009,"5,324,079","4,817,304","506,775","506,775",351,-,351,"1,053,584","-545,026","2,032",-104,"1,179,336",-,"506,775","473,479","1,179,336","473,479","672,561","461,513","35,128","35,015",113.13
14,12/31/2008,"4,495,502","4,119,776","375,726","375,726",285,-,285,"909,922","-535,676",257,"1,452","955,720",-,"375,726","335,804","955,720","335,804","579,994","420,289","32,346","32,334",12.36
15,12/31/2007,"5,179,040","4,040,688","1,138,352","1,138,352",-,-,-,"936,608","201,220",-,524,"1,888,840",-,"1,138,352","332,577","1,888,840","332,577","750,488","650,705","28,002","28,002",-
16,12/31/2006,"5,553,323","4,384,995","1,168,328","1,168,328",-,-,-,"1,020,132","148,367",-,-171,"1,816,547",-,"1,168,328","379,818","1,816,547","379,818","648,219","518,808","28,825","28,825",-
17,12/31/2005,"3,226,411","2,725,633","500,778","500,778","410,419",-,"410,419",-,"102,325",-,"-11,966","782,732",-,"500,778","177,590","782,732","177,590","281,954","181,202","18,347","18,347",-
18,12/31/2004,"3,046,854","2,672,978","373,876","373,876","318,880",-,"318,880",-,"67,911",-,"-12,915","585,530",-,"373,876","116,921","585,530","116,921","211,654","138,371","15,568","15,568",-
19,12/31/2003,"2,422,327","2,084,764","337,563","337,563","308,336",-,"308,336",-,"44,706",-,"-15,479","451,061",-,"337,563","115,607","451,061","115,607","113,498","11,219","15,893","15,893",-
20,12/31/2002,"2,115,877","1,799,585","316,292","316,292","291,803",-,"291,803",-,"23,039",-,"1,450","355,515",-,"316,292","128,242","355,515","128,242","39,223",-,"15,297","15,297",-
21,12/31/2001,"770,217","714,920","55,297","55,297","43,137",-,"43,137",-,"11,852",-,308,"84,399",-,"55,297","45,504","84,399","45,504","29,102",-,"5,277","5,277",-
22,12/31/2000,"358,287","330,515","27,772","27,772","20,402",-,"20,402",-,"7,432",-,-62,"29,461",-,"27,772","27,772","29,461","27,772","1,689",-,"3,971","3,971",-
23,12/31/1999,"304,362","278,507","25,855","25,855","19,394",0,"19,394",-,"7,026",-,-565,"27,512",-,"25,855","25,855","27,512","25,855","1,657",-,-,-,-
