,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Accrued Expense,Change in Deferred Charges,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Purchase of Investment Properties,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"701,972","701,972","423,613","48,818",-,104,"50,321",-518,"97,399","97,399","83,823","13,576","13,576",-,-,"-3,441","52,749",-,"29,000","34,769",-,"24,500","-5,435","78,231","78,231",-,-,"78,231",-,-,"-83,666",-,"-3,570,070","-3,570,070",-,-,"2,292,413","-380,251","2,672,664",-,-,-,"-5,744,394","72,214","-5,816,608","-120,851","-120,862",11,0,-,0,"2,762","1,051,086","1,051,086","1,763,119","1,763,119","1,763,119",-,-,"-9,531",-,"-9,531","498,516","498,516","-139,595","-120,256","-19,339",-,-,"2,240,222","-1,817,012","4,057,234","97,254","238,377","-120,862","498,516","1,763,119",-,"-9,531","581,110"
1,12/31/2022,"701,972","701,972","423,613","48,818",-,104,"50,321",-518,"97,399","97,399","83,823","13,576","13,576",-,-,"-3,441","52,749",-,"29,000","34,769",-,"24,500","-5,435","78,231","78,231",-,-,"78,231",-,-,"-83,666",-,"-3,570,070","-3,570,070",-,-,"2,292,413","-380,251","2,672,664",-,-,-,"-5,744,394","72,214","-5,816,608","-120,851","-120,862",11,0,-,0,"2,762","1,051,086","1,051,086","1,763,119","1,763,119","1,763,119",-,-,"-9,531",-,"-9,531","498,516","498,516","-139,595","-120,256","-19,339",-,-,"2,240,222","-1,817,012","4,057,234","97,254","238,377","-120,862","498,516","1,763,119",-,"-9,531","581,110"
2,12/31/2021,"502,956","502,956","606,959","-4,408",-,74,"-1,615","-1,733","95,335","95,335","82,601","12,734","12,734",-,-,-883,"44,197",-,0,"32,223",-,"-162,000","-108,467","-11,286","-11,286",-,-,"-11,286",-,-,"-97,181",-,"-5,714,459","-5,714,459",-,-,"-5,649,130","-6,863,950","1,214,820",-,-,-,"-3,781,279","144,550","-3,925,829","-47,953","-48,048",95,"3,757,122",-,"3,757,122","6,781","6,108,076","6,108,076","339,098","339,098","394,308","-55,210",-,"-8,505",-,"-8,505",-,-,"-119,443",-,-,-,-,"4,057,234","896,573","3,160,661","136,015","53,446","-48,048",-,"394,308","-55,210","-8,505","454,908"
3,12/31/2020,"483,873","483,873","-1,237,574","-14,898",-,346,"-13,171","-2,139","89,024","89,024","74,271","14,753","14,753",-,-,-228,"16,311","16,311","1,470,000","24,363",-,"339,000","-202,125","-96,376","-96,376",-,-,"-96,376",-,-,"-105,749",-,"-1,680,979","-1,680,979",-,-,"-1,312,019","-1,924,917","612,898",-,-,-,"-335,505","128,138","-463,643","-59,286","-59,294",8,-,-,-,"25,831","3,720,143","3,720,143","-1,754,008","-1,754,008",-,"-1,754,008",-,"-75,369",-,"-75,369",-,-,"-159,748","-159,748",-,-,-,"3,160,661","2,523,037","637,624","114,235","99,605","-59,294",-,-,"-1,754,008","-75,369","424,579"
4,12/31/2019,"582,660","582,660","468,636","-26,188",-,599,"-25,445","-1,114","87,234","87,234","68,508","18,726","18,726",-,-,"-3,611","13,962","13,962",-,"26,815",-,"22,000","-6,188","-36,449","-36,449",-,-,"-36,449",-,"14,714","15,547",-,"-631,306","-631,306",-,-,"341,302","-1,569,421","1,910,723","8,590",-,"8,590","-902,905","102,573","-1,005,478","-70,027","-70,100",73,0,-,0,324,"300,503","300,503","387,894","387,894","387,894",0,-,"-162,965",-,"-162,965",-,-,"-289,048","-289,048",-,-,-,"637,624","251,857","385,767","123,533","200,463","-70,100",-,"387,894",0,"-162,965","512,560"
5,12/31/2018,"608,027","608,027","465,339","-13,196",0,-20,"-8,176","-4,675","57,674","57,674","35,168","22,506","22,506",-,-,"-1,873","23,938","23,938",-,"29,768",0,"45,000","1,377","-23,604","-23,604",-,-,"-23,604",-,-136,"25,117",-,"-917,193","-917,193",-,-,"-318,568","-1,180,545","861,977","13,479",-,"13,479","-563,399","646,587","-1,209,986","-40,938","-40,995",57,0,0,0,"5,712","296,496","296,496","891,400","891,400","903,772","-12,372",-,"-315,542",-,"-315,542",-,-,"-288,193","-288,193",-,-,-,"385,767","-12,670","398,437","98,575","119,042","-40,995",-,"903,772","-12,372","-315,542","567,032"
6,12/31/2017,"483,968","483,968","357,818","-6,471",-,-386,541,"-6,197","46,269","46,269","32,029","14,240","14,240",-,-,217,"41,450","41,450",-,"25,568",-,"57,752","-38,635","2,982","2,982",-,-,"2,982",-,"76,860","-118,477",-,"32,741","32,741",-,-,"-102,880","-1,298,105","1,195,225","12,345",-,"12,345","18,704","1,322,456","-1,303,752","-71,206","-81,515","10,309","160,318",-,"160,318","27,805","-537,942","-537,942","-461,349","-461,349",-,"-461,349",-,"-109,153",-,"-109,153",-,-,"-247,403","-247,403",-,-,-,"398,437","-21,233","419,670","208,066","69,477","-81,515",-,-,"-461,349","-109,153","402,453"
7,12/31/2016,"581,107","581,107","352,166","-9,798",720,78,"-9,485",-909,"49,401","49,401","32,884","16,517","16,517",-,-,"1,200","39,797","39,797",0,"23,319","-4,406","65,729","63,699","3,702","3,702",-,-,"3,702",-,"53,556","6,441",-,"-958,552","-958,552",-,-,"268,418","-375,261","643,679","8,186",-,"8,186","-1,136,681","121,053","-1,257,734","-59,716","-59,740",24,"-39,837","-178,792","138,955","9,264","400,629","400,629","285,928","285,928","285,928",0,-,"-33,244",-,"-33,244",-,-,"-243,437","-243,437",-,-,"4,406","419,670","23,184","396,486","133,897","54,389","-59,740",-,"285,928",0,"-33,244","521,367"
8,12/31/2015,"593,878","593,878","299,619","-4,305",-,-28,"-3,744",-373,"53,970","53,970","53,970",-,-,-,-,"2,261",-,-,-,"15,630",-841,"45,481","182,063","-15,773","-15,773",-,-,"-15,773",-,"149,664","48,172",-,"-642,497","-642,497",-,-,"188,093","-992,680","1,180,773","32,812",-,"32,812","-1,073,932","31,993","-1,105,925","-74,092","-74,238",146,"260,936",-,"260,936","56,498","131,879","131,879","238,512","238,512","238,512",-,-,"-8,400",-,"-8,400",-,-,"-215,110","-215,110",-,-,841,"396,486","83,260","313,226","16,602","65,868","-74,238",-,"238,512",-,"-8,400","519,640"
9,12/31/2014,"332,110","332,110","168,905","-10,449",0,"-1,520","-4,841",-601,"39,153","39,153","39,153",-,-,-,-,"3,894",-,-,"6,645","36,474","-4,625","11,499","80,614","-61,141","-61,141",-,-,"-61,141",-,"92,257","22,708","26,790","556,558","556,558",-,-,"836,902","-236,739","1,073,641","24,464",-,"24,464","-715,828","66,596","-782,424","31,583","-2,669","34,252","346,047",0,"346,047","57,854","-722,864","-722,864","-722,368","-722,368","269,741","-992,109",-,"-22,307",-,"-22,307",-,-,"-114,162","-114,162",-,-,"4,625","313,226","165,804","147,422",-,"34,788","-2,669",-,"269,741","-992,109","-22,307","329,441"
10,12/31/2013,"50,252","50,252","45,115","-1,949",0,-21,-137,"-1,791","31,509","31,509","31,509",-,-,-,-,"-7,908",-,-,-,"21,246","-2,133","-4,210","-31,418","-51,207","-51,207","2,198","2,198","-53,405",-,-,"-9,403","29,192","412,939","412,939",-,-,"-221,260","-550,211","328,951","36,490",0,"36,490","309,564","309,564",-,"-3,573","-3,604",31,"273,013",0,"273,013","18,705","-480,173","-480,173","101,250","101,250","101,250",0,-,"-13,537",-,"-13,537",-,-,"-41,006","-41,006",-,-,"2,133","147,422","-16,982","164,404","27,665","13,275","-3,604",-,"101,250",0,"-13,537","46,648"
11,12/31/2012,"117,980","117,980","56,801","-3,033",-297,155,"-1,239","-2,767","25,792","25,792","25,792",-,-,-,-,"8,547",-,-,-,"5,999",-283,"-12,819","36,976","-19,490","-19,490","-3,737","-3,737","-15,753",-,-,"18,754","37,712","170,921","170,921",-,-,"20,739","-485,860","506,599","59,614",0,"59,614","291,240","291,240",-,"-4,210","-4,914",704,"-206,854","-206,854",-,"10,392","-420,114","-420,114","-427,461","-427,461",-,"-427,461",-,"-1,475",0,"-1,475",-,-,"-28,787","-28,787",-,-,283,"164,404","-131,213","295,617","40,772","21,614","-4,914",0,-,"-427,461","-1,475","113,066"
12,12/31/2011,"170,273","170,273","50,704","-9,163",0,"-9,163",-,-,"20,084","20,084",-,-,-,-,-,937,-,-,0,"7,896",-,"43,564","56,251","17,033",-,-,-,-,"17,033",-,"39,218",-,"99,065","99,065",-,-,"-426,412","-658,310","231,898","61,954",-,"61,954","452,987","452,987",-,"-5,909","-5,936",27,0,-,-,"16,445","-82,273","-82,273",0,0,-,-,-,0,-,-,-,-,"-7,626",-,-,-,"-2,402","295,617","187,065","108,552","19,083","33,000","-5,936",-,-,-,-,"164,337"
13,12/31/2010,"239,844","239,844","-62,016","-5,529",0,"-5,529",0,0,"16,722","16,722",-,-,-,-,-,"1,840",-,"8,496",874,-,-,"235,698","43,759","-51,115","-8,553",-,-,"-8,553","-42,562",-,"94,874",-,"221,021","221,021",-,-,"-412,771","-627,884","215,113",-,-,-,"379,395","379,395",-,"-5,244","-5,271",27,"171,366",-,"171,366","88,275","-563,361","-563,361","-387,776","-387,776",-,"-387,776",-,"26,587","26,587",-,-,-,"-1,445",-,-,-,"-3,671","108,552","-102,496","211,048","4,193","41,844","-5,271","26,587",-,"-387,776",-,"234,573"
14,12/31/2009,"76,121","76,121","-9,350","-65,692","-66,989",-11,0,0,"14,617","14,617",-,-,-,-,-,-,-,"8,199",-,-,"2,108","177,695","-51,456","-37,992","-18,718",-,-,"-18,718","-19,274",-,"-13,464",-,"244,811","244,811","-36,097","-36,097","-145,763","-227,546","81,783","42,496",-,"42,496","159,627","159,627",-,"-3,262","-3,343",81,"229,314",-,-,"-1,504","-328,107","-328,107","-213,039","-213,039",-,"-213,039",-,"147,007","147,007",-,-,-,"-11,145",-,-,0,"-2,108","93,915","-7,175","101,090","11,426","57,565","-3,343","147,007",-,"-213,039",-,"72,778"
15,12/31/2008,"113,909","113,909","-728,065",-123,-,-,-81,-,"14,538","14,538",-,-,-,-,-,"806,100",-,-,-,-,-,-,"21,459",-,-,-,-,-,-,-,-,-,"289,947","289,947",-,-,"-15,321","-62,532","47,211",-,-,-,-,-,-,"-3,792",-,-,"395,134",-,-,"-86,074","-404,129","-404,129","-170,248","-170,248",-,"-170,248",-,-515,-,-,-,-,"-35,438",-,-,-,-466,"101,090",-273,"101,363",-,-,"-3,792",-,-,"-170,248",-,"110,117"
16,12/31/2007,"185,065","185,065","90,326","-8,880",-,-,-,-,"23,057","23,057",-,-,-,-,-,"83,963",-,-,-,-,-,-,"-3,401",-,-,-,-,-,-,-,-,-,"344,031","344,031",-,-,"-10,601","-72,451","61,850",-,-,-,-,-,-,"5,055",-,-,"-1,600",-,-,"351,177","-578,643","-578,643","18,606","18,606","113,000","-94,394",-,"-122,536",-,-,-,-,"-37,473",-,-,-,"3,347","101,363","-49,547","150,910",-,-,-,-,"113,000","-94,394",-,"185,065"
17,12/31/2006,"94,420","94,420","75,998","2,273",-,-,"2,332",-,"18,874","18,874",-,-,-,-,-,"7,030",-,-,-,-,-,-,"-9,755",-,-,-,-,-,-,-,-,-,"-47,343","-47,343",-,-,"218,182","-2,058","220,240",-,-,-,-,-,-,"-7,235",-,-,-218,-,-,"-258,072","-1,429","-1,429","284,885","284,885","305,505","-20,620",-,"110,545",-,-,-,-,"-29,956",-,-,-,"6,585","150,910","45,648","105,262",-,-,"-7,235",-,"305,505","-20,620",-,"87,185"
18,12/31/2005,"71,906","71,906","50,366",-551,-,-,45,-,"12,740","12,740",-,-,-,-,-,"2,709",-,-,-,-,-,-,"6,642",-,-,-,-,-,-,-,-,-,"-4,687","-4,687",-,-,"29,654","-37,550","67,204",-,-,-,-,-,-,"-2,992",-,-,"92,308",-,-,"-123,657","-281,238","-281,238","70,300",-,-,-,"70,300","51,058",-,-,-,-,"-15,952",-,-,-,-,"105,262","-214,019","319,281",-,-,"-2,992",-,-,-,-,"68,914"
19,12/31/2004,"49,818","49,818","36,363","-1,798",-,-,6,-,"16,840","16,840",-,-,-,-,-,"2,097",-,-,-,-,-,-,"-3,684",-,-,-,-,-,-,-,-,-,"-188,797","-188,797",-,-,"161,636","-10,874","172,510",-,-,-,-,-,-,"-2,724",-,-,"-37,347",-,-,"-310,362","353,692","353,692","37,456","1,156","61,856","-60,700","36,300","3,456",-,-,-,-,"-13,158",-,-,-,-,"319,281","214,713","104,568",-,-,"-2,724",-,"61,856","-60,700",-,"47,094"
20,12/31/2003,"13,986","13,986","32,055","-2,669",-,-,"-1,756",-,"9,988","9,988",-,-,-,-,-,19,-,-,-,-,-,-,"-25,407",-,-,-,-,-,-,-,-,-,"-68,418","-68,418",-,-,"-110,486","-491,764","381,278",-,-,-,-,-,-,"-3,518",-,-,-806,-,-,"46,392","34,634","34,634","73,097","20,620","20,620",-,"52,477","1,716",-,-,-,-,"-10,388",-,-,-,-,"104,568","-19,798","124,366",-,-,"-3,518",-,"20,620",-,-,"10,468"
21,12/31/2002,"-7,079","-7,079","16,912","-1,293",-,-,"-1,608",-,"6,017","6,017",-,-,-,-,-,"4,338",-,-,-,-,-,-,"-33,053",-,-,-,-,-,-,-,-,-,"31,867","31,867",-,-,"27,858","-216,669","244,527",-,-,-,-,-,-,"-3,413",-,-,-,-,-,"7,422","-5,125","-5,125","-57,322","9,886","10,000",-114,"-67,208","113,692",-,-,-,-,"-5,725",-,-,-,-,"124,366","19,663","104,703",-,-,"-3,413",-,"10,000",-114,-,"-10,492"
22,12/31/2001,"12,199","12,199","6,110",-461,-,-,-17,-,"1,952","1,952",-,-,-,490,490,"6,651",-,-,-,-,-,-,"-2,543",-,-,-,-,-,-,-,-,-,"23,420","23,420",-,-,"4,844","-52,113","56,957",-,-,-,-,-,-,"-1,469",-,-,-,-,-,"20,045","16,429","16,429","12,734","20,000","20,000",-,"-7,266","1,035",-,-,-,-,"-1,690",-,-,-,-651,"104,703","52,048","52,655",-,-,"-1,469",-,"20,000",-,-,"10,730"
23,12/31/2000,"4,569","4,569","1,904",-303,-,-,11,-,"1,198","1,198",-,-,-,-31,-31,"1,388",-,-,-,-,-,-,413,-,-,-,-,-,-,-,-,-,"-33,959","-33,959",-,-,"4,840","-23,426","28,266",-,-,-,-,-,-,-737,-,-,-,-,-,"-38,062","50,008","50,008",32,32,32,-,-,306,-,-,-,-,"-1,156",-,-,-,"8,120","52,655","20,618","32,037",-,-,-737,-,32,-,-,"3,832"
24,12/31/1999,"6,081","6,081","4,264",-,-,-,-,-,893,893,-,-,-,-925,-925,"1,849",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-52,363","-52,363",-,-,"-52,588","-80,144","27,556",-,-,-,-,-,-,225,"-1,093","1,318",-,-,-,-,"23,353","23,353","1,188","1,188","1,188",-,-,96,96,-,0,-,-742,-,-,-,"22,811","32,037","-22,929","54,966",-,-,"-1,093",96,"1,188",-,-,"4,988"
