,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Net Foreign Currency Exchange Gain Loss,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Accrued Expense,Change in Deferred Charges,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment in Interest Bearing Deposits in Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"701,972","701,972","423,613","48,818",-,104,-,"50,321",-518,"97,399","97,399","83,823","13,576","13,576",-,-,"-3,441","52,749",-,"29,000","34,769",-,"24,500","-5,435","78,231","78,231",-,-,"78,231",-,-,"-83,666",-,"-3,570,070","-3,570,070",-,-,"2,292,413","-380,251","2,672,664",-,-,"-5,744,394","72,214","-5,816,608","-120,851","-120,862",11,0,-,0,"2,762","1,051,086","1,051,086","1,763,119","1,763,119","1,763,119",-,-,"-9,531",-,"-9,531","498,516","498,516","-139,595","-120,256","-19,339",-,"2,240,222","-1,817,012","4,057,234","97,254","238,377","-120,862","498,516","1,763,119",-,"-9,531","581,110"
1,3/31/2023,"-20,991","-20,991","-1,195,424","-4,750",-,-7,-,0,"-2,962","23,005","23,005","20,594","2,411","2,411",-,-,-19,"9,526",-,"1,376,736","4,983",-,"3,000","-238,048","-108,825","-108,825",-,-,"-108,825",-,-,"-129,223",-,"133,454","133,454",-,-,"56,694",-550,"57,244",-,-,"196,972","290,228","-93,256","-14,320","-14,333",13,-,-,-,"-105,892","4,327,451","4,327,451","10,119,680","10,119,680",-,-,-,"-4,053",-,"-4,053",-,-,"-39,403","-29,456","-9,947",-,"6,680,136","4,439,914","2,240,222",786,"209,340","-14,333",-,-,-,"-4,053","-35,324"
2,12/31/2022,"202,877","202,877","49,509","49,893",-,107,-,"49,302",-388,"23,450","23,450","20,821","2,629","2,629",-,-,-88,"10,659",-,-,"7,863",-,"10,000","22,591","107,702","107,702",-,-,"107,702",-,-,"-85,111",-,"-22,032","-22,032",-,-,"1,058,738","-5,000","1,063,738",-,-,"-1,004,989","11,432","-1,016,421","-81,228","-81,230",2,0,-,-,"5,447","-401,331","-401,331","-101,696","-101,696","-101,696",-,-,-101,-,-101,0,0,"-39,996","-30,049","-9,947",-,"2,240,222","-220,486","2,460,708","6,498","136,764","-81,230",0,"-101,696",-,-101,"121,647"
3,9/30/2022,"227,526","227,526","131,616",-773,-,2,-,-86,-58,"24,605","24,605","20,956","3,649","3,649",-,-,-183,"12,348",-,-,"9,651",-,"3,000","47,262","21,191","21,191",-,-,"21,191",-,-,"26,071",-,"-616,996","-616,996",-,-,"592,339",-330,"592,669",-,-,"-1,179,725","19,693","-1,199,418","-26,013","-26,013",0,0,0,-,"-3,597","460,274","460,274","272,815","272,815","272,815",-,-,-660,-,-660,0,0,"-39,601",-,-,-,"2,460,708","70,804","2,389,904","14,719","63,017","-26,013",0,"272,815",-,-660,"201,513"
4,6/30/2022,"137,363","137,363","122,360","1,040",-,-3,-,"1,209",-12,"24,675","24,675","21,026","3,649","3,649",-,-,7,"14,136",-,-,"9,698",-,"11,500","-46,053","7,735","7,735",-,-,"7,735",-,-,"-53,788",-,"-1,626,422","-1,626,422",-,-,"547,419","-18,725","566,144",-,-,"-2,147,746","4,331","-2,152,077","-10,987","-6,332","-4,655",0,0,-,"-15,108","1,808,282","1,808,282","601,000","601,000",-,-,-,"-4,289",-,"-4,289",-,-,"-30,202",-,-,-,"2,389,904","319,223","2,070,681","73,899","27,961","-6,332",-,-,-,"-4,289","131,031"
5,3/31/2022,"134,206","134,206","120,128","-1,342",-,-2,-,-104,-60,"24,669","24,669","21,020","3,649","3,649",-,-,"-3,177","15,606",-,-,"7,557",-,0,"-29,235","-58,397","-58,397",-,-,"-58,397",-,-,"29,162",-,"-1,304,620","-1,304,620",-,-,"93,917","-356,196","450,113",-,-,"-1,411,934","36,758","-1,448,692","-2,623","-7,287","4,664",0,0,-,"16,020","-816,139","-816,139","991,000","991,000",-,-,-,"-4,481",-,"-4,481",-,-,"-29,796",-,-,-,"2,070,681","-1,986,553","4,057,234","2,138","10,635","-7,287",-,-,-,"-4,481","126,919"
6,12/31/2021,"110,645","110,645","136,045","-1,422",-,79,-,-999,-172,"25,300","25,300","21,424","3,876","3,876",-,-,-271,"15,717",-,0,"8,316",-,"-6,000","-67,040","28,625","28,625",-,-,"28,625",-,-,"-95,665",-,"-37,572","-37,572",-,-,"-1,477,912","-1,942,393","464,481",-,-,"-2,424,040","16,009","-2,440,049","-16,624","-16,624",0,"3,880,212",-,-,792,"284,963","284,963",0,0,0,0,-,-305,-,-305,-,-,"-29,969",-,-,-,"4,057,234","358,036","3,699,198","41,245","17,941","-16,624",-,0,0,-305,"94,021"
7,9/30/2021,"161,706","161,706","139,996",-271,-,53,-,-515,0,"23,288","23,288","20,398","2,890","2,890",-,-,-361,"11,919",-,0,"8,501",-,"-20,000","-1,366","22,958","22,958",-,-,"22,958",-,-,"-24,324",-,"-3,196,599","-3,196,599",-,-,"-2,154,192","-2,424,118","269,926",-,-,"-1,005,731","2,175","-1,007,906","-39,830","-26,877","-12,953",0,0,-,"3,154","875,999","875,999","-6,625","-6,625",0,"-6,625",-,-116,-,-116,-,-,"-29,971",-,-,-,"3,699,198","-2,158,894","5,858,092","20,623","10,822","-26,877",-,0,"-6,625",-116,"134,829"
8,6/30/2021,"83,902","83,902","180,512","-1,901",-,-30,-,0,"-1,422","23,196","23,196","20,307","2,889","2,889",-,-,-192,"8,986",-,0,"8,989",-,"-88,000","-47,688","-10,336","-10,336",-,-,"-10,336",-,-,"-37,352",-,"-1,689,151","-1,689,151",-,-,"-1,211,828","-1,447,222","235,394",-,-,"-493,204","-15,330",-,"14,662","1,678","12,984","-1,181","-1,181",-,"2,400","1,768,475","1,768,475","381,183","381,183",-,-,-,"-6,176",-,"-6,176",-,-,"-29,916",-,-,-,"5,858,092","163,226","5,694,866","71,441","12,262",-,-,-,-,"-6,176","85,580"
9,3/31/2021,"146,703","146,703","150,406",-814,-,-28,-,-101,-139,"23,551","23,551","20,472","3,079","3,079",-,-,-59,"7,575","7,575",0,"6,417",-,"-48,000","7,627","-52,533","-52,533",-,-,"-52,533",-,-,"60,160",-,"-791,137","-791,137",-,-,"-805,198","-1,050,217","245,019",-,-,"141,696","141,696",-,"-6,161","-6,225",64,"-121,909","-121,909",-,435,"3,178,639","3,178,639","-35,460","-35,460",-,-,-,"-1,908",-,"-1,908",-,-,"-29,587",-,-,-,"5,694,866","2,534,205","3,160,661","2,706","12,421","-6,225",-,-,-,"-1,908","140,478"
