,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Other Customer Services,Fees & Commission Expense,Dividend Income,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"1,285,744","1,290,762","1,556,489","1,312,580",-,"209,751","34,158",-,-,"265,727","200,449",-,"65,278",-,"-5,018",-,"-22,219","57,626","13,991","43,635","79,845","-3,389","-47,313","-47,831",518,-,"67,903","-24,500","658,973","60,964","60,964",-,"30,278","432,325","432,325","406,839","25,486",-,-,"49,234","49,234","35,658","13,576","13,576","86,172","-34,703",-,"5,703","29,000",-,-,-,-,"567,568","143,955","396,800","423,613","423,613","423,613",-,-,"19,339","396,800",-,-,-,-,"1,266,262","423,613","449,501","34,158","97,399","423,613","-34,703","-34,703",0,"-8,815"
1,12/31/2022,"1,285,744","1,290,762","1,556,489","1,312,580",-,"209,751","34,158",-,-,"265,727","200,449",-,"65,278",-,"-5,018",-,"-22,219","57,626","13,991","43,635","79,845","-3,389","-47,313","-47,831",518,-,"67,903","-24,500","658,973","60,964","60,964",-,"30,278","432,325","432,325","406,839","25,486",-,-,"49,234","49,234","35,658","13,576","13,576","86,172","-34,703",-,"5,703","29,000",-,-,-,-,"567,568","143,955","396,800","423,613","423,613","423,613",-,-,"19,339","396,800",3.37,3.37,"117,629","117,629","1,266,262","423,613","449,501","34,158","49,234","423,613","-34,703","-34,703",0,"-8,815"
2,12/31/2021,"1,260,216","1,103,824","1,158,729","996,457",-,"153,468","8,804",-,-,"54,905","27,808",-,"27,097",-,"156,392",-,"18,021","55,556","13,269","42,287","37,535","23,115","3,348","1,615","1,733",-,"135,023","162,000","590,467","58,422","58,422",-,"21,492","416,092","416,092","368,450","17,365","30,277",-,"48,489","48,489","35,755","12,734","12,734","45,972","-9,415",-,"9,415",0,-,-,-,-,"822,334","215,375","596,711","606,959","606,959","606,959",-,-,-,"596,711",5.10,5.10,"117,094","117,094","1,265,824","606,959","613,907","8,804","48,489","606,959","-9,415","-9,415",0,"-2,467"
3,12/31/2020,"1,129,632","1,014,558","1,103,491","993,138",-,"106,770","3,583",-,-,"88,933","59,663",-,"29,270",-,"115,074",-,"19,712","50,698","10,351","40,347","30,986",-,"15,310","13,171","2,139",-,"80,052","-339,000","481,973","57,555","57,555",-,"19,917","320,898","320,898","271,494","22,625","26,779",-,"43,618","43,618","28,865","14,753","14,753","39,985","-1,471,060",-,"1,060","1,470,000",-,-,-,-,"-1,162,401","75,173","-1,239,356","-1,237,574","-1,237,574","-1,237,574",-,-,-,"-1,239,356",-10.61,-10.61,"116,853","116,853","675,558","-1,237,574","-163,700","3,583","43,618","-1,237,574","-1,471,060","-1,471,060",0,"-397,186"
4,12/31/2019,"1,130,421","1,014,629","1,219,893","1,097,845",-,"115,569","6,479",-,-,"205,264","148,460",-,"56,804",-,"115,792",-,"31,490","58,260","14,637","43,623","26,770",-,"26,559","25,445","1,114",-,"57,743","-22,000","475,132","57,407","57,407",-,"17,803","329,822","329,822","285,862","16,404","27,556",-,"42,742","42,742","24,016","18,726","18,726","27,358",-349,-,349,-,-,-,-,-,"632,940","164,304","463,454","468,636","468,636","468,636",-,-,-,"463,454",3.90,3.90,"118,966","118,966","992,629","468,636","468,894","6,479","42,742","468,636",-349,-349,0,-90.74
5,12/31/2018,"1,178,980","1,040,914","1,161,670","1,047,969",-,"111,619","2,082",-,-,"120,756","80,140",-,"40,616",-,"138,066",-,"51,483","62,052","16,509","45,543","10,569",-,"12,851","8,176","4,675",-,"73,732","-45,000","498,893","53,223","53,223",-,"21,952","330,498","330,498","282,568","20,705","27,225",-,"43,877","43,877","21,371","22,506","22,506","49,343","-1,770",-,"1,770",-,-,-,-,-,"633,317","167,978","460,220","465,339","465,339","465,339",-,-,-,"460,220",3.72,3.72,"123,640","123,640","995,914","465,339","466,640","2,082","43,877","465,339","-1,770","-1,770",0,-469.05
6,12/31/2017,"1,094,312","979,571","1,052,516","952,771",-,"98,202","1,543",-,-,"72,945","45,694",-,"27,251",-,"114,741",-,"42,897","56,729","15,307","41,422","13,832",-,"5,656",-541,"6,197",-,"66,188","-57,752","462,094","48,863","48,863",-,"17,353","312,875","312,875","266,567","19,733","26,575",-,"35,007","35,007","20,767","14,240","14,240","47,996","-19,735",-,"19,735",-,-,-,-,-,"554,731","196,913","353,634","357,818","357,818","357,818",-,-,-,"353,634",2.91,2.91,"121,613","121,613","921,819","357,818","370,547","1,543","35,007","357,818","-19,735","-19,735",0,"-7,006"
7,12/31/2016,"1,082,683","961,291","1,015,912","924,294",-,"90,557","1,061",-,-,"54,621","31,512",-,"23,109",-,"121,392",-,"61,660","61,660","14,534","47,126",-,-,"10,394","9,485",909,-,"49,338","-65,729","458,818","48,911","48,911",-,"16,478","303,550","303,550","251,913","27,281","24,356",-,"37,416","37,416","20,899","16,517","16,517","52,463",-200,-,200,-,-,-,-,-,"557,936","205,770","348,178","352,166","352,166","352,166",0,-,-,"348,178",2.90,2.90,"120,239","120,239","895,562","352,166","352,292","1,061","37,416","352,166",-200,-200,0,-73.8
8,12/31/2015,"925,902","823,346","883,938","819,094",-,"64,368",476,-,-,"60,592","41,503",-,"19,089",-,"102,556",-,"43,274","43,274","11,688","31,586",-,-,"4,117","3,744",373,-,"55,165","-45,481","379,038","44,144","44,144",-,"13,760","257,773","257,773","203,914","35,242","18,617",-,"23,013","23,013","13,603","9,410","9,410","40,348","-21,247",-,"21,247",-,-,-,-,-,"480,136","180,517","296,727","299,619","299,619","299,619",0,-,-,"296,727",2.79,2.79,"106,327","106,327","777,865","299,619","312,877",476,"23,013","299,619","-21,247","-21,247",0,"-7,989"
9,12/31/2014,"736,294","662,377","704,775","657,097",-,"47,345",333,-,-,"42,398","27,332",-,"15,066",-,"73,917",-,"29,835","29,835","11,233","18,602",-,-,"5,442","4,841",601,-,"38,640","-11,499","339,458","40,606","40,606",-,"11,234","222,754","222,754","165,499","42,637","14,618",-,"15,427","15,427","9,159","6,268","6,268","49,437","-101,016",-,"101,016",-,-,0,-,-,"284,321","113,853","166,964","168,905","168,905","170,468","-1,563",-,-,"166,964",1.92,1.92,"86,853","86,853","650,878","168,905","231,078",333,"15,427","170,468","-101,016","-101,016",0,"-40,406"
