,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Other Customer Services,Fees & Commission Expense,Dividend Income,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"1,285,744","1,290,762","1,556,489","1,312,580",-,"209,751","34,158",-,-,"265,727","200,449",-,"65,278",-,"-5,018",-,"-22,219","57,626","13,991","43,635","79,845","-3,389","-47,313","-47,831",518,-,"67,903","-24,500","658,973","60,964","60,964",-,"30,278","432,325","432,325","406,839","25,486",-,-,"49,234","49,234","35,658","13,576","13,576","86,172","-34,703",-,"5,703","29,000",-,-,-,-,"567,568","143,955","396,800","423,613","423,613","423,613",-,-,"19,339","396,800",-,-,-,-,"1,266,262","423,613","449,501","34,158","97,399","423,613","-34,703","-34,703",0,"-8,815"
1,3/31/2023,"285,134","279,272","517,788","430,685",-,"44,237","42,866",-,-,"238,516","155,892",-,"82,624",-,"5,862",-,"-16,612","13,917","3,573","10,344","30,529","1,098","2,629",-333,"2,962",-,"18,747","-3,000","157,224","15,067","15,067",-,"6,073","100,193","100,193","88,476","11,717",-,-,"11,786","11,786","9,375","2,411","2,411","24,105","-1,385,250",-,"8,514","1,376,736",-,-,-,-,"-1,260,340","-64,916","-1,206,581","-1,195,424","-1,195,424","-1,195,424",-,-,"9,947","-1,206,581",-10.22,-10.22,"117,930","117,930","276,272","-1,195,424","117,793","42,866","11,786","-1,195,424","-1,385,250","-1,385,250",0,"-72,033"
2,12/31/2022,"279,636","322,939","473,023","404,985",-,"50,292","17,746",-,-,"150,084","117,591",-,"32,493",-,"-43,303",-,"-9,961","14,386","3,178","11,208","24,347",661,"-48,960","-49,348",388,-,"14,957","-10,000","167,782","14,922","14,922",-,"6,924","113,329","113,329","106,124","7,205",-,-,"11,256","11,256","8,627","2,629","2,629","21,351","-34,703",-,"5,703","29,000",-,-,-,-,"67,151","17,642","38,848","49,509","49,509","49,509",-,-,"9,947","38,848",0.33,0.33,"117,811","117,811","312,939","49,509","75,085","17,746","11,256","49,509","-34,703","-34,703",0,"-9,127"
3,9/30/2022,"354,899","335,181","410,044","346,550",-,"53,135","10,359",-,-,"74,863","61,288",-,"13,575",-,"19,718",-,"-5,259","13,642","3,608","10,034","18,901","3,228",436,378,58,-,"21,313","-3,000","176,717","15,574","15,574",-,"10,674","122,660","122,660","105,933","7,159","9,568",-,"12,557","12,557","8,908","3,649","3,649","15,252",0,-,0,-,-,-,-,-,"175,182","43,566","119,893","131,616","131,616","131,616",-,-,"9,392","119,893",1.02,1.02,"117,786","117,786","332,181","131,616","131,616","10,359","12,557","131,616",0,0,0,0
4,6/30/2022,"339,486","323,925","350,518","293,286",-,"52,902","4,330",-,-,"26,593","15,362",-,"11,231",-,"15,561",-,"-4,338","14,447","3,634","10,813","18,785","4,097",418,406,12,-,"15,384","-11,500","164,860","15,268","15,268",-,"6,726","117,432","117,432","102,542","5,632","9,258",-,"12,583","12,583","8,934","3,649","3,649","12,851",0,-,0,-,-,-,-,-,"163,126","40,766","120,009","122,360","122,360","122,360",-,-,-,"120,009",1.02,1.02,"117,562","117,562","312,425","122,360","122,360","4,330","12,583","122,360",0,0,0,0
5,3/31/2022,"311,723","308,717","322,904","267,759",-,"53,422","1,723",-,-,"14,187","6,208",-,"7,979",-,"3,006",-,"-2,661","15,151","3,571","11,580","17,812","-11,375",793,733,60,-,"16,249",0,"149,614","15,200","15,200",-,"5,954","107,359","107,359","92,240","5,490","9,629",-,"12,838","12,838","9,189","3,649","3,649","8,263",0,-,0,-,-,-,-,-,"162,109","41,981","118,091","120,128","120,128","120,128",-,-,-,"118,091",1.01,1.01,"117,349","117,349","308,717","120,128","120,128","1,723","12,838","120,128",0,0,0,0
6,12/31/2021,"345,985","300,405","314,805","263,662",-,"48,469","2,674",-,-,"14,400","6,622",-,"7,778",-,"45,580",-,"2,307","14,109","3,476","10,633","11,802",-,"1,171",999,172,-,"42,102","6,000","158,718","14,656","14,656",-,"5,946","112,903","112,903","99,700","5,032","8,171",-,"13,445","13,445","9,569","3,876","3,876","11,768","-5,590",-,"5,590",0,-,-,-,-,"187,677","51,632","133,734","136,045","136,045","136,045",-,-,-,"133,734",1.14,1.14,"117,263","117,263","306,405","136,045","140,098","2,674","13,445","136,045","-5,590","-5,590",0,"-1,537"
7,9/30/2021,"318,469","275,842","290,082","246,722",-,"40,780","2,580",-,-,"14,240","6,417",-,"7,823",-,"42,627",-,"6,481","15,199","3,407","11,792","8,718",-,515,515,0,-,"35,631","20,000","150,503","14,928","14,928",-,"5,164","109,137","109,137","98,061","3,685","7,391",-,"11,493","11,493","8,603","2,890","2,890","9,781",-200,-,200,0,-,-,-,-,"187,766","47,770","137,579","139,996","139,996","139,996",-,-,-,"137,579",1.17,1.17,"117,229","117,229","295,842","139,996","140,145","2,580","11,493","139,996",-200,-200,0,-50.8
8,6/30/2021,"297,675","266,308","280,505","244,529",-,"33,954","2,022",-,-,"14,197","7,269",-,"6,928",-,"31,367",-,"5,152","14,156","3,452","10,704","9,004",-,"1,422",0,"1,422",-,"24,793","88,000","142,546","14,784","14,784",-,"5,256","102,310","102,310","90,807","3,745","7,758",-,"11,503","11,503","8,614","2,889","2,889","8,693",-200,-,200,0,-,-,-,-,"242,929","62,417","177,340","180,512","180,512","180,512",-,-,-,"177,340",1.52,1.52,"117,030","117,030","354,308","180,512","180,661","2,022","11,503","180,512",-200,-200,0,-51.4
9,3/31/2021,"298,087","261,269","273,337","241,544",-,"30,265","1,528",-,-,"12,068","7,500",-,"4,568",-,"36,818",-,"4,081","12,092","2,934","9,158","8,011",-,240,101,139,-,"32,497","48,000","138,700","14,054","14,054",-,"5,126","91,742","91,742","79,882","4,903","6,957",-,"12,048","12,048","8,969","3,079","3,079","15,730","-3,425",-,"3,425",0,-,-,-,-,"203,962","53,556","148,051","150,406","150,406","150,406",-,-,-,"148,051",1.27,1.27,"116,849","116,849","309,269","150,406","152,930","1,528","12,048","150,406","-3,425","-3,425",0,-900.775
