,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/31/2023Current,808.02M,N/A,5.90,3.81,N/A,0.63,0.36,N/A,N/A
1,3/31/2023,1.17B,N/A,2.89,2.78,N/A,0.89,0.34,N/A,N/A
2,12/31/2022,2.70B,N/A,5.49,5.56,N/A,1.99,0.82,N/A,N/A
3,9/30/2022,2.72B,N/A,5.20,4.75,N/A,2.02,0.78,N/A,N/A
4,6/30/2022,3.21B,N/A,5.51,5.95,N/A,2.45,0.88,N/A,N/A
5,3/31/2022,5.16B,N/A,8.46,9.35,N/A,4.01,1.29,N/A,N/A
6,12/31/2021,5.40B,N/A,9.13,10.21,N/A,4.39,1.38,N/A,N/A
7,9/30/2021,5.42B,N/A,10.92,11.27,N/A,4.54,1.41,N/A,N/A
8,6/30/2021,4.92B,N/A,14.24,10.45,N/A,4.16,1.35,N/A,N/A
9,3/31/2021,4.54B,N/A,N/A,10.53,N/A,3.95,1.26,N/A,N/A
10,12/31/2020,3.01B,N/A,N/A,8.76,N/A,2.69,0.86,N/A,N/A
11,9/30/2020,2.02B,N/A,N/A,5.65,N/A,1.82,0.59,N/A,N/A
12,6/30/2020,2.33B,N/A,N/A,8.55,N/A,2.07,0.69,N/A,N/A
13,3/31/2020,2.11B,N/A,4.59,6.48,N/A,1.89,0.43,N/A,N/A
14,12/31/2019,4.58B,N/A,9.97,10.63,N/A,3.93,0.93,N/A,N/A
15,9/30/2019,4.35B,N/A,9.41,9.40,N/A,3.73,0.90,N/A,N/A
16,6/30/2019,4.66B,N/A,10.47,10.12,N/A,4.06,0.97,N/A,N/A
17,3/31/2019,4.51B,N/A,10.11,9.80,0.98,3.94,0.94,N/A,N/A
18,12/31/2018,4.10B,N/A,9.67,N/A,N/A,3.54,0.86,N/A,N/A
19,9/30/2018,5.87B,N/A,14.27,11.92,1.19,5.16,1.23,N/A,N/A
20,6/30/2018,6.25B,N/A,15.49,13.30,1.33,5.42,1.26,N/A,N/A
21,3/31/2018,6.20B,N/A,17.02,14.04,1.41,5.50,1.26,N/A,N/A
22,12/31/2017,6.57B,N/A,16.97,15.75,1.57,5.54,1.39,N/A,N/A
23,9/30/2017,6.13B,N/A,17.42,14.68,1.47,5.61,1.35,N/A,N/A
24,6/30/2017,5.67B,N/A,16.62,16.45,1.64,5.25,1.26,N/A,N/A
25,3/31/2017,6.47B,N/A,18.37,17.27,1.73,5.91,1.44,N/A,N/A
26,12/31/2016,6.62B,N/A,19.65,17.36,1.74,6.13,1.45,N/A,N/A
27,9/30/2016,5.23B,N/A,16.07,14.03,N/A,4.87,1.16,N/A,N/A
28,6/30/2016,4.85B,N/A,14.11,13.39,1.34,4.49,1.09,N/A,N/A
29,3/31/2016,4.52B,N/A,13.32,11.86,1.19,4.27,1.03,N/A,N/A
30,12/31/2015,5.23B,N/A,14.61,14.33,1.43,5.02,1.46,N/A,N/A
31,9/30/2015,4.41B,N/A,14.41,13.89,1.39,4.99,1.24,N/A,N/A
32,6/30/2015,4.82B,N/A,22.48,15.34,1.53,5.51,1.36,N/A,N/A
33,3/31/2015,4.83B,N/A,24.17,15.31,1.53,5.53,1.38,N/A,N/A
34,12/31/2014,4.68B,N/A,36.08,18.12,1.81,5.41,1.35,N/A,N/A
35,9/30/2014,4.25B,N/A,36.49,13.79,1.38,4.87,1.24,N/A,N/A
36,6/30/2014,4.45B,N/A,33.47,15.75,1.58,5.22,5.34,N/A,N/A
37,3/31/2014,1.97B,N/A,39.46,16.03,1.60,5.41,2.43,N/A,N/A
38,12/31/2013,1.93B,N/A,26.89,19.42,1.94,5.20,2.37,N/A,N/A
39,9/30/2013,1.58B,N/A,23.81,16.56,1.66,4.25,1.97,N/A,N/A
40,6/30/2013,1.15B,N/A,17.32,13.66,1.37,3.75,2.39,N/A,N/A
41,3/31/2013,1.09B,N/A,18.90,12.18,1.22,3.56,1.83,N/A,N/A
42,12/31/2012,926.92M,N/A,16.08,11.17,1.12,3.03,1.57,N/A,N/A
43,9/30/2012,834.27M,N/A,17.98,11.71,1.17,2.88,1.55,N/A,N/A
44,6/30/2012,882.84M,N/A,19.40,12.06,1.01,2.86,1.61,N/A,N/A
45,3/31/2012,906.34M,N/A,17.74,14.12,1.28,2.93,1.66,N/A,N/A
46,12/31/2011,706.05M,N/A,24.61,12.64,1.15,2.26,1.31,N/A,N/A
47,9/30/2011,522.60M,N/A,18.10,9.91,0.90,1.66,0.97,N/A,N/A
48,6/30/2011,766.26M,N/A,38.81,14.47,1.32,2.41,1.50,N/A,N/A
49,3/31/2011,809.49M,N/A,77.68,16.95,1.76,2.63,1.65,N/A,N/A
50,12/31/2010,784.06M,N/A,N/A,21.46,2.22,2.51,1.64,N/A,N/A
51,9/30/2010,699.66M,N/A,N/A,N/A,N/A,2.14,1.42,N/A,N/A
52,6/30/2010,672.27M,N/A,N/A,N/A,N/A,2.12,1.38,N/A,N/A
53,3/31/2010,838.20M,N/A,N/A,N/A,N/A,2.68,1.77,N/A,N/A
54,12/31/2009,705.56M,N/A,N/A,N/A,N/A,2.77,1.39,N/A,N/A
55,9/30/2009,667.18M,N/A,63.50,47.39,13.01,2.21,1.29,N/A,N/A
56,6/30/2009,425.20M,N/A,22.31,N/A,N/A,1.60,0.92,N/A,N/A
57,3/31/2009,463.34M,N/A,N/A,N/A,N/A,1.71,0.99,N/A,N/A
58,12/31/2008,757.45M,N/A,N/A,121.95,33.50,3.00,2.02,N/A,N/A
59,9/30/2008,804.83M,N/A,N/A,N/A,N/A,3.06,2.14,N/A,N/A
60,6/30/2008,419.39M,N/A,N/A,N/A,N/A,1.55,1.12,N/A,N/A
61,3/31/2008,755.76M,N/A,N/A,N/A,N/A,2.72,0.88,N/A,N/A
62,12/31/2007,1.15B,N/A,13.09,N/A,N/A,3.97,1.01,N/A,N/A
63,9/30/2007,1.53B,N/A,15.77,N/A,N/A,5.06,1.25,N/A,N/A
64,6/30/2007,1.68B,N/A,17.28,N/A,N/A,5.19,1.42,N/A,N/A
65,3/31/2007,1.63B,N/A,17.61,N/A,N/A,5.18,1.40,N/A,N/A
66,12/31/2006,1.51B,N/A,16.13,N/A,N/A,4.73,1.69,N/A,N/A
67,9/30/2006,1.40B,N/A,17.93,N/A,N/A,5.09,1.60,N/A,N/A
68,6/30/2006,1.19B,N/A,18.94,N/A,N/A,5.38,1.36,N/A,N/A
69,3/31/2006,1.16B,N/A,17.85,N/A,N/A,5.36,1.83,N/A,N/A
70,12/31/2005,997.50M,N/A,19.56,N/A,N/A,5.45,2.21,N/A,N/A
71,9/30/2005,838.10M,N/A,17.21,N/A,N/A,4.79,1.85,N/A,N/A
72,6/30/2005,758.18M,N/A,18.20,N/A,N/A,4.91,1.93,N/A,N/A
73,3/31/2005,700.35M,N/A,18.23,N/A,N/A,4.71,1.83,N/A,N/A
74,12/31/2004,664.75M,N/A,18.81,N/A,N/A,4.80,1.78,N/A,N/A
75,9/30/2004,636.61M,N/A,19.07,N/A,N/A,4.90,1.76,N/A,N/A
76,6/30/2004,594.27M,N/A,18.94,N/A,N/A,4.85,1.70,N/A,N/A
77,3/31/2004,577.92M,N/A,18.42,N/A,N/A,4.89,1.67,N/A,N/A
78,12/31/2003,574.38M,N/A,17.89,N/A,N/A,4.79,1.70,N/A,N/A
79,9/30/2003,531.23M,N/A,17.63,N/A,N/A,3.95,1.60,N/A,N/A
80,6/30/2003,475.31M,N/A,17.46,N/A,N/A,3.67,1.45,N/A,N/A
81,3/31/2003,443.92M,N/A,16.81,N/A,N/A,3.31,1.38,N/A,N/A
82,12/31/2002,503.75M,N/A,20.84,N/A,N/A,3.59,1.59,N/A,N/A
83,9/30/2002,440.63M,N/A,20.52,N/A,N/A,3.83,1.41,N/A,N/A
