,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Line of Credit,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"557,263,000","34,363,000","34,363,000","7,043,000",-,"27,320,000",-,-,-,"139,334,000",-,"41,863,000","95,175,000","44,159,000","8,437,000",-,"315,890,000","320,521,000","1,010,000","164,439,000","29,104,000","125,968,000","1,300,000","4,631,000",-,"6,404,000",-,"6,404,000",-,-,-,"14,410,000","10,987,000","3,423,000","38,425,000","511,451,000","436,282,000","311,796,000","311,796,000","124,486,000",-,-,-,"15,762,000","15,762,000",-,-,-,-,-,-,-,"58,713,000","58,713,000","32,075,000",-,"694,000","200,000","45,812,000","45,774,000","2,714,000",-,"2,714,000","53,572,000","18,376,000","18,716,000","-10,172,000",-,-,"38,000","104,487,000",-,"45,774,000",-,"31,364,000","104,487,000","31,364,000","58,713,000","24,350,000","543,000","401,000",-,"142,000"
1,12/31/2021,"558,448,000","82,254,000","82,254,000","8,004,000",-,"74,250,000",-,-,-,"132,962,000",-,"125,685,000","1,426,000","131,536,000","8,180,000","3,620,000","279,695,000","284,473,000","2,231,000","152,933,000","31,521,000","97,788,000","1,500,000","4,778,000",-,"6,040,000","1,022,000","6,040,000","1,919,000","1,919,000","1,919,000","12,734,000","10,916,000","1,818,000","36,583,000","502,722,000","457,278,000","302,103,000","302,103,000","155,175,000",-,-,-,"13,998,000","13,998,000",-,-,-,-,-,-,"985,000","30,784,000","30,784,000",-,"2,220,000","662,000",-,"55,726,000","55,695,000","2,713,000",-,"2,713,000","50,228,000","17,457,000","15,112,000","409,000",-,-,"31,000","86,479,000",-,"55,695,000","2,220,000","42,961,000","86,479,000","42,961,000","30,784,000",-,"543,000","420,000","60,001","123,000"
2,12/31/2020,"466,679,000","92,190,000","92,190,000","7,017,000",-,"85,173,000",-,-,-,"88,799,000",-,"85,320,000","1,441,000","87,358,000","6,052,000","4,379,000","231,750,000","237,111,000","1,597,000","118,704,000","28,077,000","88,733,000",-,"5,361,000",-,"6,414,000","943,000","6,414,000",-,-,-,"10,475,000","9,233,000","1,242,000","30,999,000","412,638,000","365,345,000","252,708,000","252,708,000","112,637,000",-,-,-,"9,514,000","9,514,000",-,-,-,-,-,-,"584,000","37,195,000","37,195,000","3,500,000",-,"584,000","9,514,000","54,041,000","54,010,000","2,713,000",-,"2,713,000","46,848,000","15,884,000","14,205,000","2,770,000","2,770,000",-,"31,000","91,205,000",-,"54,010,000",-,"43,535,000","91,205,000","43,535,000","37,195,000",-,"542,701","423,701","60,001","119,000"
3,12/31/2019,"410,295,000","28,474,000","28,474,000","5,061,000",-,"23,413,000",-,-,-,"86,824,000",-,"66,590,000","17,661,000","69,163,000","13,734,000","2,196,000","231,029,000","233,771,000","1,083,000","112,991,000","32,335,000","87,362,000",-,"2,742,000",-,"7,155,000",-,"7,155,000",-,-,-,"10,877,000","9,233,000","1,644,000","32,202,000","360,952,000","288,540,000","215,761,000","215,761,000","72,779,000",-,-,-,"11,831,000","11,831,000","318,000","318,000",-,-,"318,000",-,"539,000","60,263,000","60,263,000","16,341,000",-,"318,000","11,831,000","49,343,000","49,314,000","2,712,000",-,"2,712,000","42,215,000","16,369,000","12,781,000","799,000","799,000",-,"29,000","109,577,000",-,"49,314,000",-,"38,437,000","109,577,000","38,437,000","60,263,000","31,789,000","542,000","433,000","100,001","109,000"
4,12/31/2018,"382,315,000","16,501,000","16,501,000","5,608,000",-,"10,893,000",-,-,-,"82,701,000",-,"62,112,000","19,312,000","63,389,000","12,894,000","1,052,000","217,302,000","219,931,000","994,000","104,522,000","29,183,000","85,232,000",-,"2,629,000",-,"7,308,000",-,"7,308,000",-,-,-,"11,201,000","9,218,000","1,983,000","34,408,000","334,545,000","267,839,000","193,879,000","193,879,000","73,960,000",-,-,-,"9,002,000","9,002,000","285,000","285,000",-,-,"285,000",-,"1,063,000","57,419,000","57,419,000","21,501,000",-,"285,000","9,002,000","47,770,000","47,728,000","2,711,000",-,"2,711,000","38,919,000","16,277,000","9,454,000","-725,000","-725,000",-,"42,000","105,147,000",-,"47,728,000",-,"36,527,000","105,147,000","36,527,000","57,419,000","40,918,000","542,000","457,000","100,001","85,000"
5,12/31/2017,"380,768,000","33,844,000","33,844,000","5,249,000",-,"28,595,000",-,-,-,"76,131,000",-,"3,816,000","18,513,000","57,618,000","11,392,000","1,184,000","212,568,000","215,179,000","2,655,000","98,031,000","27,443,000","87,050,000",-,"2,611,000",-,"7,934,000",-,"7,934,000",-,-,-,"11,005,000","9,173,000","1,832,000","27,894,000","333,183,000","265,053,000","185,189,000","185,189,000","79,864,000",-,-,-,"8,745,000","8,745,000","297,000","297,000",-,-,"297,000",-,"1,039,000","59,088,000","59,088,000","21,037,000",-,"297,000","8,745,000","47,585,000","47,513,000","2,710,000",-,"2,710,000","35,481,000","16,374,000","6,904,000","-148,000","-148,000",-,"72,000","106,601,000",-,"47,513,000",-,"36,508,000","106,601,000","36,508,000","59,088,000","25,244,000","542,000","473,000","80,001","69,000"
6,12/31/2016,"366,380,000","30,590,000","30,590,000","4,879,000",-,"25,711,000",-,-,-,"75,947,000",-,"3,842,000","15,843,000","60,104,000","10,728,000","1,499,000","203,167,000","205,756,000","2,504,000","89,444,000","27,331,000","86,477,000",-,"2,589,000",-,"7,581,000",-,"7,581,000",-,-,-,"10,861,000","9,103,000","1,758,000","27,506,000","319,452,000","257,164,000","176,934,000","176,934,000","80,230,000",-,-,-,"9,281,000","9,281,000","301,000","301,000",-,-,"301,000",-,"895,000","52,706,000","52,706,000","17,549,000",-,"301,000","9,281,000","46,928,000","45,773,000","2,709,000",-,"2,709,000","31,670,000","16,651,000","5,066,000","-191,000","-191,000",-,"1,155,000","98,479,000",-,"45,773,000",-,"34,912,000","98,479,000","34,912,000","52,706,000","22,116,000","542,000","485,000","80,001","57,000"
7,12/31/2015,"358,493,000","35,980,000","34,611,000","4,065,000",-,"30,546,000","1,369,000","1,369,000",-,"72,254,000","1,726,000","70,528,000","14,768,000","55,760,000","10,587,000","1,836,000","198,041,000","200,768,000","1,540,000","86,949,000","26,608,000","85,671,000",-,"2,727,000",-,"7,468,000",-,"7,468,000",-,-,-,"11,071,000","9,103,000","1,968,000","23,092,000","312,513,000","249,002,000","169,567,000","169,567,000","79,435,000","1,777,000",-,-,"4,975,000","4,975,000","14,000","14,000",-,"14,000","261,000",-,"640,000","52,741,000","52,741,000","20,108,000",-,"261,000","3,743,000","45,980,000","44,710,000","2,708,000",-,"2,708,000","29,043,000","16,197,000","3,368,000","130,000","130,000",-,"1,270,000","97,451,000",-,"44,710,000",-,"33,639,000","97,465,000","33,639,000","52,755,000","18,144,000","542,000","504,000","80,001","38,000"
8,12/31/2014,"345,072,000","37,991,000","36,139,000","4,360,000",-,"31,779,000","1,852,000","1,852,000",-,"58,176,000","2,353,000","55,823,000","11,588,000","44,235,000","10,728,000","2,587,000","196,062,000","199,393,000","2,262,000","86,608,000","27,365,000","83,158,000",-,"3,331,000",-,"7,686,000",-,"7,686,000",-,-,-,"10,947,000","9,103,000","1,844,000","23,482,000","298,998,000","232,234,000","158,755,000","158,755,000","73,479,000","3,510,000",-,-,"5,187,000","5,187,000","4,995,000","4,995,000",-,"4,995,000","259,000",-,"1,383,000","48,263,000","48,263,000","20,005,000",-,"259,000","4,550,000","46,074,000","44,551,000","2,705,000",-,"2,705,000","26,200,000","16,573,000","1,430,000","503,000","503,000",-,"1,523,000","92,814,000",-,"44,551,000",-,"33,604,000","97,809,000","33,604,000","53,258,000","17,119,000","541,000","523,000","80,001","18,000"
9,12/31/2013,"320,296,000","18,164,000","16,178,000","4,043,000",-,"12,135,000","1,986,000","1,986,000",-,"63,367,000","3,073,000","60,294,000","11,687,000","48,607,000","10,664,000","1,695,000","186,683,000","190,292,000","2,255,000","77,649,000","26,956,000","83,432,000",-,"3,609,000",-,"7,576,000",-,"7,576,000",-,-,-,"11,290,000","9,074,000","2,216,000","22,552,000","276,199,000","220,931,000","150,625,000","150,625,000","70,306,000","4,289,000",-,-,"4,734,000","4,734,000","4,997,000","4,997,000",-,"4,997,000","242,000",-,"904,000","36,819,000","36,819,000","12,912,000",-,"242,000","4,187,000","44,097,000","42,408,000","2,698,000",-,"2,698,000","23,325,000","16,357,000","408,000","436,000","436,000",-,"1,689,000","79,227,000",-,"42,408,000",-,"31,118,000","84,224,000","31,118,000","41,816,000","25,638,000","540,000","533,000","81,501","7,000"
