,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Line of Credit,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"561,777,000","39,805,000","39,805,000","5,940,000",-,"33,865,000",-,-,-,"138,239,000",-,-,"95,019,000","43,220,000","8,323,000",-,"316,412,000","321,049,000","998,000","165,449,000","28,793,000","125,809,000",-,"4,637,000",-,"6,320,000",-,"6,320,000",-,-,-,"14,280,000","10,987,000","3,293,000","38,398,000","512,703,000","436,833,000","318,819,000","318,819,000","118,014,000",-,-,-,"14,376,000","14,376,000",-,-,-,-,-,-,-,"60,822,000","60,822,000","32,020,000",-,"672,000",-,"49,074,000","49,044,000","2,714,000",-,"2,714,000","54,598,000","19,864,000","19,024,000","-9,108,000",-,-,"30,000","109,866,000",-,"49,044,000",-,"34,764,000","109,866,000","34,764,000","60,822,000","21,017,000","399,682","399,682",-,-
1,12/31/2022,"557,263,000","34,363,000","34,363,000","7,043,000",-,"27,320,000",-,-,-,"139,334,000",-,"41,863,000","95,175,000","44,159,000","8,437,000",-,"315,890,000","320,521,000","1,010,000","164,439,000","29,104,000","125,968,000","1,300,000","4,631,000",-,"6,404,000",-,"6,404,000",-,-,-,"14,410,000","10,987,000","3,423,000","38,425,000","511,451,000","436,282,000","311,796,000","311,796,000","124,486,000",-,-,-,"15,762,000","15,762,000",-,-,-,-,-,-,-,"58,713,000","58,713,000","32,075,000",-,"694,000","200,000","45,812,000","45,774,000","2,714,000",-,"2,714,000","53,572,000","18,376,000","18,716,000","-10,172,000",-,-,"38,000","104,487,000",-,"45,774,000",-,"31,364,000","104,487,000","31,364,000","58,713,000","24,350,000","543,000","401,000",-,"142,000"
2,9/30/2022,"559,477,000","46,826,000","46,826,000","6,548,000",-,"40,278,000",-,-,-,"136,451,000",-,"41,937,000","90,653,000","45,798,000","8,130,000",-,"305,846,000","310,334,000","1,126,000","156,300,000","29,379,000","123,529,000",-,"4,488,000",-,"6,099,000",-,"6,099,000",-,-,-,"14,193,000","10,987,000","3,206,000","41,932,000","512,754,000","438,194,000","299,771,000","299,771,000","138,423,000",-,-,-,"19,245,000","19,245,000",-,-,-,-,-,-,-,"54,633,000","54,633,000","30,075,000",-,"682,000",-,"46,723,000","46,688,000","2,714,000",-,"2,714,000","52,777,000","19,810,000","18,127,000","-10,486,000",-,-,"35,000","101,321,000",-,"46,688,000",-,"32,495,000","101,321,000","32,495,000","54,633,000","7,807,000","543,000","404,000",-,"139,000"
3,6/30/2022,"540,786,000","36,986,000","36,986,000","8,582,000",-,"28,404,000",-,-,-,"132,732,000",-,"49,996,000","79,748,000","52,984,000","8,441,000",-,"301,380,000","305,751,000","1,191,000","155,652,000","29,867,000","119,041,000",-,"4,371,000",-,"6,149,000",-,"6,149,000",-,-,-,"13,524,000","10,916,000","2,608,000","41,574,000","493,098,000","440,811,000","294,373,000","294,373,000","146,438,000",-,-,-,"15,622,000","15,622,000",-,-,-,-,-,-,-,"35,984,000","35,984,000","10,000,000",-,"681,000",-,"47,688,000","47,652,000","2,714,000",-,"2,714,000","51,841,000","18,531,000","17,076,000","-8,358,000",-,-,"36,000","83,636,000",-,"47,652,000",-,"34,128,000","83,636,000","34,128,000","35,984,000",-,"543,000","411,000",-,"132,000"
4,3/31/2022,"541,246,000","56,348,000","56,348,000","7,572,000",-,"48,776,000",-,-,-,"132,411,000",-,"109,276,000","20,098,000","112,313,000","7,798,000","4,005,000","285,274,000","289,747,000","1,506,000","157,874,000","30,445,000","99,922,000","1,400,000","4,473,000",-,"6,131,000","1,012,000","6,131,000",-,-,-,"13,124,000","10,916,000","2,208,000","40,160,000","492,030,000","450,197,000","299,399,000","299,399,000","150,798,000",-,-,-,"14,623,000","14,623,000",-,-,-,-,-,-,"2,913,000","26,571,000","26,571,000",-,-,"639,000",-,"49,216,000","49,181,000","2,713,000",-,"2,713,000","51,058,000","17,487,000","16,346,000","-5,731,000",-,-,"35,000","75,752,000",-,"49,181,000",-,"36,057,000","75,752,000","36,057,000","26,571,000",-,"543,000","415,000",-,"128,000"
5,12/31/2021,"558,448,000","82,254,000","82,254,000","8,004,000",-,"74,250,000",-,-,-,"132,962,000",-,"125,685,000","1,426,000","131,536,000","8,180,000","3,620,000","279,695,000","284,473,000","2,231,000","152,933,000","31,521,000","97,788,000","1,500,000","4,778,000",-,"6,040,000","1,022,000","6,040,000","1,919,000","1,919,000","1,919,000","12,734,000","10,916,000","1,818,000","36,583,000","502,722,000","457,278,000","302,103,000","302,103,000","155,175,000",-,-,-,"13,998,000","13,998,000",-,-,-,-,-,-,"985,000","30,784,000","30,784,000",-,"2,220,000","662,000",-,"55,726,000","55,695,000","2,713,000",-,"2,713,000","50,228,000","17,457,000","15,112,000","409,000",-,-,"31,000","86,479,000",-,"55,695,000","2,220,000","42,961,000","86,479,000","42,961,000","30,784,000",-,"543,000","420,000","60,001","123,000"
6,9/30/2021,"553,515,000","84,321,000","84,321,000","8,843,000",-,"75,478,000",-,-,-,"125,606,000",-,"120,291,000","1,479,000","124,127,000","7,737,000","5,251,000","280,857,000","286,094,000","2,121,000","152,735,000","32,350,000","98,888,000",-,"5,237,000",-,"6,139,000","1,084,000","6,139,000",-,-,-,"12,718,000","10,885,000","1,833,000","36,137,000","497,218,000","448,902,000","292,597,000","292,597,000","156,305,000",-,-,-,"14,199,000","14,199,000",-,-,-,-,-,-,"1,351,000","33,471,000","33,471,000",-,-,"646,000",-,"56,297,000","56,259,000","2,713,000",-,"2,713,000","49,541,000","17,453,000","14,527,000","1,079,000",-,-,"38,000","89,730,000",-,"56,259,000",-,"43,541,000","89,730,000","43,541,000","33,471,000",-,"543,000","423,000",-,"120,000"
7,6/30/2021,"554,212,000","81,171,000","81,171,000","8,724,000",-,"72,447,000",-,-,-,"126,543,000",-,"121,496,000","1,485,000","125,058,000","7,521,000","4,669,000","284,825,000","290,555,000","2,227,000","155,300,000","33,044,000","99,984,000","294,704,000","5,730,000",-,"6,376,000","1,111,000","6,376,000",-,-,-,"12,751,000","10,958,000","1,793,000","35,025,000","499,527,000","452,883,000","298,693,000","298,693,000","154,190,000",-,-,-,"11,186,000","11,186,000",-,-,-,-,-,-,"722,000","34,813,000","34,813,000",-,-,"645,000","-7,480,000","54,685,000","54,627,000","2,713,000",-,"2,713,000","48,663,000","15,928,000","14,140,000","1,463,000",-,"53,164,000","58,000","89,440,000",-,"54,627,000",-,"41,876,000","89,440,000","41,876,000","34,813,000",-,"543,000","425,000",-,"118,000"
8,3/31/2021,"474,414,000","93,616,000","93,616,000","7,455,000",-,"86,161,000",-,-,-,"98,255,000",-,"93,270,000","1,456,000","96,799,000","6,386,000","3,296,000","227,877,000","232,591,000","1,967,000","116,746,000","26,596,000","87,282,000",-,"4,714,000",-,"6,389,000","944,000","6,389,000",-,-,-,"10,997,000","9,317,000","1,680,000","30,894,000","420,535,000","375,067,000","254,426,000","254,426,000","120,641,000",-,-,-,"11,931,000","11,931,000",-,-,-,-,-,-,"824,000","33,030,000","33,030,000","1,500,000",-,"507,000","11,931,000","53,879,000","53,849,000","2,713,000",-,"2,713,000","48,113,000","15,879,000","14,146,000","1,290,000","1,290,000",-,"30,000","86,879,000",-,"53,849,000",-,"42,852,000","86,879,000","42,852,000","33,030,000",-,"543,000","425,000",-,"118,000"
9,12/31/2020,"466,679,000","92,190,000","92,190,000","7,017,000",-,"85,173,000",-,-,-,"88,799,000",-,"85,320,000","1,441,000","87,358,000","6,052,000","4,379,000","231,750,000","237,111,000","1,597,000","118,704,000","28,077,000","88,733,000",-,"5,361,000",-,"6,414,000","943,000","6,414,000",-,-,-,"10,475,000","9,233,000","1,242,000","30,999,000","412,638,000","365,345,000","252,708,000","252,708,000","112,637,000",-,-,-,"9,514,000","9,514,000",-,-,-,-,-,-,"584,000","37,195,000","37,195,000","3,500,000",-,"584,000","9,514,000","54,041,000","54,010,000","2,713,000",-,"2,713,000","46,848,000","15,884,000","14,205,000","2,770,000","2,770,000",-,"31,000","91,205,000",-,"54,010,000",-,"43,535,000","91,205,000","43,535,000","37,195,000",-,"542,701","423,701","60,001","119,000"
