,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"9,083,000","9,083,000","6,113,000","7,000",-,"7,000",-,-,"651,000","651,000","351,000","351,000","831,000",-,-,"477,000","653,000","599,000","599,000","1,041,000","-1,420,000","433,000","-13,428,000","-13,428,000","-718,000","46,930,000",-,-,"-18,429,000","-41,005,000","22,576,000","-38,166,000","5,643,000","-43,809,000",-,-,-,-,"-3,045,000","3,384,000","3,384,000","-2,000","29,985,000","29,985,000","38,042,000","-8,057,000",-,"1,700,000",-,"-3,663,000","68,000","-3,731,000","725,000","2,225,000","-1,500,000","-2,692,000","-2,391,000","-301,000",-,-,-,"7,043,000","-961,000","8,004,000",-,"197,000","2,172,000",-,"2,293,000","38,042,000","-8,057,000","-5,231,000","9,083,000"
1,12/31/2022,"9,083,000","9,083,000","6,113,000","7,000",-,"7,000",-,-,"651,000","651,000","351,000","351,000","831,000",-,-,"477,000","653,000","599,000","599,000","1,041,000","-1,420,000","433,000","-13,428,000","-13,428,000","-718,000","46,930,000",-,-,"-18,429,000","-41,005,000","22,576,000","-38,166,000","5,643,000","-43,809,000",-,-,-,-,"-3,045,000","3,384,000","3,384,000","-2,000","29,985,000","29,985,000","38,042,000","-8,057,000",-,-,-,"-3,663,000","68,000","-3,731,000","725,000","2,225,000","-1,500,000","-2,692,000","-2,391,000","-301,000",-,-,-,"7,043,000","-961,000","8,004,000",-,"197,000","2,172,000",-,"2,293,000","38,042,000","-8,057,000","-5,231,000","9,083,000"
2,12/31/2021,"7,214,000","7,214,000","5,725,000","-64,000",-,"-64,000",-,-,"1,773,000","1,773,000","178,000","178,000","-194,000",-,-,"-779,000","575,000","753,000","753,000","-480,000","-369,000","671,000","-2,795,000","-2,795,000","-24,000","24,236,000",-,-,"-28,432,000","-85,583,000","57,151,000","15,568,000","17,459,000","-1,891,000",-,"-10,511,000","-10,511,000",-,"-3,632,000","-3,432,000","-3,432,000","-46,000","-7,945,000","-7,945,000","2,558,000","-10,503,000",-,-,-,"-1,013,000","66,000","-1,079,000","1,484,000","1,484,000",-,"-2,289,000","-2,056,000","-233,000",-,-,-,"8,004,000","987,000","7,017,000",-,"675,000","582,000",-,"1,550,000","2,558,000","-10,503,000","-1,079,000","7,214,000"
3,12/31/2020,"4,659,000","4,659,000","7,558,000","-6,219,000","-5,740,000","-305,000","-174,000",-,"1,497,000","1,497,000","-2,239,000","-2,239,000","684,000",-,-,"3,175,000","203,000","-254,000","-254,000","-372,000","-128,000","957,000","-51,122,000","-51,122,000","1,738,000","-61,760,000",-,-,"-597,000","-45,409,000","44,812,000","-3,464,000","1,894,000","-5,358,000",-,"14,225,000",-,"14,225,000","-1,264,000","48,419,000","48,419,000","-5,861,000","-18,270,000","-11,970,000","13,317,000","-25,287,000","-6,300,000",-,"-6,300,000","-1,559,000","65,000","-1,624,000","-480,000",-,"-480,000","-2,209,000","-1,980,000","-229,000",-,-,-,"7,017,000","1,956,000","5,061,000",-,"3,410,000","1,292,000",-,"65,000","13,317,000","-31,587,000","-2,104,000","4,659,000"
4,12/31/2019,"7,363,000","7,363,000","5,418,000","-531,000",-,-,"-531,000",-,"1,315,000","1,315,000","303,000","303,000","-341,000",-,-,"773,000","426,000","132,000","132,000","-123,000","-143,000","560,000","-24,990,000","-24,990,000","4,899,000","-12,520,000",-,-,"-2,413,000","-25,490,000","23,077,000","-14,326,000","1,664,000","-15,990,000",-,"75,000",-,"75,000","-705,000","17,080,000","17,080,000","4,260,000","-2,277,000","-2,277,000","27,692,000","-29,969,000","-538,000","1,131,000","-1,669,000","-3,488,000","90,000","-3,578,000",-,-,-,"-2,131,000","-1,895,000","-236,000",-,-,-,"5,061,000","-547,000","5,608,000",-,"430,000","3,742,000",-,"90,000","27,692,000","-29,969,000","-3,578,000","7,363,000"
5,12/31/2018,"7,840,000","7,840,000","5,346,000","-525,000",-,-,"-525,000",-,"1,129,000","1,129,000","133,000","133,000","32,000",-,-,"408,000","1,317,000","295,000","295,000","1,635,000","280,000","-893,000","-3,969,000","-3,969,000","-5,837,000","17,702,000",-,-,"-7,448,000","-26,788,000","19,340,000","-6,702,000","1,323,000","-8,025,000",-,-,-,-,"-1,684,000","-3,512,000","-3,512,000","392,000","-1,933,000","-1,833,000","16,001,000","-17,834,000","-100,000","420,000","-100,000","-2,808,000","69,000","-2,877,000",-,-,-,"-1,837,000","-1,601,000","-236,000",-,-,-,"5,608,000","359,000","5,249,000",-,"372,000","2,835,000",-,"69,000","16,001,000","-17,934,000","-2,877,000","7,840,000"
6,12/31/2017,"5,699,000","5,699,000","5,388,000","-727,000",-,-,"-727,000",-,"1,117,000","1,117,000","-403,000","-403,000","350,000",-,-,"441,000","-467,000","-704,000","-704,000","-1,148,000","1,080,000","305,000","-15,015,000","-15,015,000","-245,000","-2,884,000",-,-,"119,000","-19,210,000","19,329,000","-9,323,000","2,001,000","-11,324,000",-,"-1,342,000","-1,342,000",-,"-1,340,000","9,686,000","9,686,000","-148,000","6,660,000","6,560,000","18,948,000","-12,388,000","100,000","100,000","-318,000","-2,315,000","132,000","-2,447,000",-,-,-,"-1,502,000","-1,266,000","-236,000",-,"-1,000,000",-,"5,249,000","370,000","4,879,000",-,"72,000","1,743,000",-,"132,000","19,048,000","-12,388,000","-2,447,000","5,699,000"
7,12/31/2016,"3,635,000","3,635,000","3,985,000","-487,000",-,-,"-361,000",-,"1,193,000","1,193,000","326,000","326,000","100,000",-,-,"433,000","-1,915,000","652,000","652,000","-935,000","-465,000","-1,167,000","-7,442,000","-7,442,000","126,000","4,835,000",-,-,"-6,074,000","-23,800,000","17,726,000","-5,377,000","1,897,000","-7,274,000",-,-,-,-,"-952,000","4,621,000","4,621,000","18,000","-1,314,000","-1,300,000","7,038,000","-8,338,000","-14,000","437,000","-14,000","-1,911,000","151,000","-2,062,000","519,000","519,000",-,"-1,270,000","-1,061,000","-209,000",-,-,-,"4,879,000","814,000","4,065,000",-,"658,000","1,317,000",-,"670,000","7,038,000","-8,352,000","-2,062,000","3,635,000"
8,12/31/2015,"5,496,000","5,496,000","4,143,000","-619,000",-,"-43,000","-407,000",-,"1,088,000","1,088,000","404,000","404,000","-396,000",-,"-29,000","255,000","650,000","-1,788,000","-1,788,000","393,000","1,842,000","203,000","-16,260,000","-16,260,000","481,000","1,233,000",-,-,"-14,588,000","-31,263,000","16,675,000","-2,680,000","2,040,000","-4,720,000",-,-,-,-,"-706,000","10,469,000","10,469,000","-1,733,000","-634,000","4,347,000","11,264,000","-6,917,000","-4,981,000","1,394,000","-6,375,000","-2,013,000","139,000","-2,152,000","-500,000",-,"-500,000","-1,257,000","-1,038,000","-219,000",-,"29,000",-,"4,065,000","-295,000","4,360,000",-,"919,000","1,005,000",-,"139,000","12,658,000","-13,292,000","-2,652,000","5,496,000"
9,12/31/2014,"5,557,000","5,557,000","4,207,000","-643,000",-,"-4,000","-441,000",-,"988,000","988,000","255,000","255,000","-522,000",-,"-28,000","273,000","1,027,000","169,000","169,000","-405,000","506,000","757,000","-24,893,000","-24,893,000","131,000","-19,643,000",-,-,"4,845,000","-8,489,000","13,334,000","-10,027,000","2,870,000","-12,897,000",-,"-62,000","-62,000",-,"-137,000","19,653,000","19,653,000","-778,000","11,247,000","11,249,000","23,397,000","-12,148,000","-2,000","8,797,000","-8,799,000","-924,000","252,000","-1,176,000",-,-,-,"-1,232,000","-1,000,000","-232,000",-,"28,000",-,"4,360,000","317,000","4,043,000",-,"1,102,000","863,000",-,"252,000","32,194,000","-20,947,000","-1,176,000","5,557,000"
