,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"9,083,000","9,083,000","6,113,000","7,000",-,"7,000",-,"651,000","651,000","351,000","351,000","831,000",-,-,"477,000","653,000","599,000","599,000","1,041,000","-1,420,000","433,000","-13,428,000","-13,428,000","-718,000","46,930,000",-,-,"-18,429,000","-41,005,000","22,576,000","-38,166,000","5,643,000","-43,809,000",-,-,-,-,"-3,045,000","3,384,000","3,384,000","-2,000","29,985,000","29,985,000","38,042,000","-8,057,000",-,"1,700,000",-,"-3,663,000","68,000","-3,731,000","725,000","2,225,000","-1,500,000","-2,692,000","-2,391,000","-301,000",-,-,"7,043,000","-961,000","8,004,000",-,"197,000","2,172,000",-,"2,293,000","38,042,000","-8,057,000","-5,231,000","9,083,000"
1,12/31/2022,"4,046,000","4,046,000","1,548,000","3,000",-,"3,000",-,"64,000","64,000","-50,000","-50,000","248,000",-,-,"408,000","1,825,000","-1,987,000","-1,987,000","79,000","2,727,000","1,006,000","-2,755,000","-2,755,000","187,000","12,958,000",-,-,"-4,321,000","-9,453,000","5,132,000","-10,809,000","290,000","-11,099,000",-,-,-,-,"-770,000","-796,000","-796,000","-1,000","3,969,000","3,969,000","5,685,000","-1,716,000",-,-,-,"-643,000","10,000","-653,000","-1,500,000",0,-,"-732,000","-612,000","-120,000",-,-,"7,043,000","495,000","6,548,000",-,"117,000","1,277,000",-,"10,000","5,685,000","-1,716,000","-2,153,000","4,046,000"
2,9/30/2022,"3,394,000","3,394,000","1,640,000",0,-,0,-,"58,000","58,000","198,000","198,000","168,000",-,-,"241,000","1,089,000","1,095,000","1,095,000","-35,000","-723,000","752,000","-21,690,000","-21,690,000","14,000","-11,874,000",-,-,"-4,047,000","-8,118,000","4,071,000","-4,655,000","4,828,000","-9,483,000",-,-,-,-,"-1,128,000","16,262,000","16,262,000","4,000","19,321,000","19,321,000","19,977,000","-656,000",-,-,-,"-978,000","24,000","-1,002,000","1,235,000","1,235,000",-,"-687,000","-622,000","-65,000",-,-,"6,548,000","-2,034,000","8,582,000",-,"18,000","475,000",-,"1,259,000","19,977,000","-656,000","-1,002,000","3,394,000"
3,6/30/2022,"2,632,000","2,632,000","1,496,000",-,-,-,-,"144,000","144,000","142,000","142,000","370,000",-,-,"36,000","440,000","522,000","522,000","355,000","-136,000","-301,000","-1,690,000","-1,690,000","-441,000","20,372,000",-,-,"-3,718,000","-7,834,000","4,116,000","-16,532,000","257,000","-16,789,000",-,-,-,-,"-1,371,000","68,000","68,000","-21,000","9,974,000","9,974,000","11,620,000","-1,646,000",-,-,-,"-785,000","12,000","-797,000",-,-,-,"-697,000","-626,000","-71,000",-,-,"8,582,000","1,010,000","7,572,000",-,"46,000","335,000",-,"1,002,000","11,620,000","-1,646,000","-797,000","2,632,000"
4,3/31/2022,"-989,000","-989,000","1,429,000",-,-,-,-,"385,000","385,000","61,000","61,000","45,000",-,-,"-208,000","-2,701,000","969,000","969,000","642,000","-3,288,000","-1,024,000","12,707,000","12,707,000","-478,000","25,474,000",-,-,"-6,343,000","-15,600,000","9,257,000","-6,170,000","268,000","-6,438,000",-,-,-,-,"224,000","-12,150,000","-12,150,000","16,000","-3,279,000","-3,279,000","760,000","-4,039,000",-,-,-,"-1,257,000","22,000","-1,279,000",-,-,-,"-576,000","-531,000","-45,000",-,-,"7,572,000","-432,000","8,004,000",-,"16,000","85,000",-,"22,000","760,000","-4,039,000","-1,279,000","-989,000"
5,12/31/2021,"3,494,000","3,494,000","1,306,000","-14,000",-,"-14,000",-,"558,000","558,000","252,000","252,000","-29,000",-,-,"-327,000","1,748,000","412,000","412,000","-90,000","1,143,000","283,000","-9,057,000","-9,057,000","95,000","1,228,000",-,-,"-10,008,000","-27,589,000","17,581,000","1,722,000","2,049,000","-327,000",-,0,0,-,"-2,094,000","4,724,000","4,724,000","-137,000","-2,275,000","-2,275,000","151,000","-2,426,000",-,-,-,"-630,000","8,000","-638,000","-1,000","-1,000",-,"-604,000","-533,000","-71,000",-,-,"8,004,000","-839,000","8,843,000",-,"273,000","187,000",-,"7,000","151,000","-2,426,000","-638,000","3,494,000"
6,9/30/2021,"1,525,000","1,525,000","1,490,000","-15,000",-,"-15,000",-,"421,000","421,000","-239,000","-239,000","-32,000",-,-,"-203,000","103,000","1,123,000","1,123,000","49,000","-681,000","-388,000","3,312,000","3,312,000","-44,000","-3,031,000",-,-,"2,520,000","-13,539,000","16,059,000","4,387,000","14,399,000","-10,012,000",-,0,0,-,"-520,000","-4,718,000","-4,718,000","16,000","-1,237,000","-1,237,000","964,000","-2,201,000","67,000","268,000","-201,000","-352,000","22,000","-374,000",-,-,-,"-595,000","-538,000","-57,000",-,-,"8,843,000","119,000","8,724,000",-,"18,000","59,000",-,"1,507,000","964,000","-2,201,000","-374,000","1,525,000"
7,6/30/2021,"1,415,000","1,415,000","1,103,000",-,-,-,-,"419,000","419,000","303,000","303,000","-79,000",-,-,"302,000","-598,000","-1,027,000","-1,027,000","-97,000","314,000","212,000","9,022,000","9,022,000","61,000","27,027,000",-,-,"-11,664,000","-22,340,000","10,676,000","4,788,000","-4,438,000","9,226,000",-,-,-,-,"-679,000","-9,168,000","-9,168,000","78,000","-941,000","-941,000","1,087,000","-2,028,000",-,-,-,"8,000","9,000","-1,000",-,-,-,"-540,000","-492,000","-48,000",-,-,"8,724,000","1,269,000","7,455,000",-,"369,000","148,000",-,"9,000","1,087,000","-2,028,000","-1,000","1,415,000"
8,3/31/2021,"780,000","780,000","1,826,000",-,-,-,-,"375,000","375,000","-138,000","-138,000","-54,000",-,-,"-551,000","-678,000","245,000","245,000","-342,000","-1,145,000","564,000","-6,072,000","-6,072,000","-136,000","-988,000",-,-,"-9,280,000","-22,115,000","12,835,000","4,671,000","5,449,000","-778,000",-,-,-,-,"-339,000","5,730,000","5,730,000","-3,000","-3,492,000","-3,492,000","356,000","-3,848,000",-,-,-,"-39,000","27,000","-66,000",-,-,-,"-550,000","-493,000","-57,000",-,-,"7,455,000","438,000","7,017,000",-,"15,000","188,000",-,"27,000","356,000","-3,848,000","-66,000","780,000"
9,12/31/2020,"1,935,000","1,935,000","1,456,000","-51,000",0,"-51,000",0,"553,000","553,000","266,000","266,000","67,000",-,-,"-254,000","-102,000","-1,298,000","-1,298,000","161,000","1,210,000","-175,000","-6,743,000","-6,743,000","45,000","-14,214,000",-,-,"1,280,000","-11,118,000","12,398,000","7,094,000","529,000","6,565,000",-,0,-,0,"-948,000","5,196,000","5,196,000","9,000","-4,546,000","-4,546,000","14,000","-4,560,000",0,-,0,"-9,000","11,000","-20,000",0,-,0,"-540,000","-492,000","-48,000",-,-,"7,017,000","388,000","6,629,000",-,"648,000","221,000",-,"11,000","14,000","-4,560,000","-20,000","1,935,000"
