,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Selling & Marketing Expense,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"21,114,000","13,014,000","15,436,000","11,795,000","11,795,000","2,726,000",-,-,"915,000","2,422,000","1,267,000",-,"1,155,000",-,"8,100,000","7,154,000","7,154,000","3,077,000","1,444,000",-,"2,633,000",-,-,-,"-6,000","-6,000",-,"952,000","-471,000","13,170,000","2,387,000","992,000","1,395,000","7,599,000","7,244,000","7,244,000","355,000","3,184,000",-,-,-,-,-,-,-,"7,473,000","1,360,000","5,708,000","6,041,000","6,113,000","6,113,000",-,-,"-72,000","301,000",-,"5,708,000",-,-,-,-,"12,543,000","6,041,000","6,041,000",-,"651,000","6,041,000","31,000","31,000",0,0
1,12/31/2022,"21,114,000","13,014,000","15,436,000","11,795,000","11,795,000","2,726,000",-,-,"915,000","2,422,000","1,267,000",-,"1,155,000",-,"8,100,000","7,154,000","7,154,000","3,077,000","1,444,000",-,"2,633,000",-,-,-,"-13,000","-13,000",-,"959,000","-471,000","13,170,000","2,387,000","992,000","1,395,000","7,599,000","7,244,000","7,244,000","355,000","3,184,000",-,-,-,-,-,-,-,"7,473,000","1,360,000","5,735,000","6,041,000","6,113,000","6,113,000",-,-,"-72,000","301,000",-,"5,735,000",-,-,-,-,"12,543,000","6,041,000","6,041,000",-,"651,000","6,041,000",-,-,0,0
2,12/31/2021,"19,135,000","10,647,000","11,134,000","9,007,000","9,007,000","1,834,000",-,-,"293,000","487,000","126,000",-,"361,000",-,"8,488,000","6,724,000","6,724,000","5,760,000","964,000",-,-,-,-,-,"-76,000","-76,000",-,"1,840,000","855,000","13,002,000","2,351,000","940,000","1,411,000","7,460,000","7,141,000","7,141,000","319,000","3,191,000",-,-,-,-,-,-,-,"6,988,000","1,263,000","5,436,000","5,674,000","5,725,000","5,725,000",-,-,"-51,000","233,000",-,"5,436,000",12.71,12.70,"426,000","426,000","11,502,000","5,674,000","5,674,000",-,"1,773,000","5,674,000",-,-,0,0
3,12/31/2020,"16,901,000","9,946,000","11,307,000","8,927,000","8,927,000","2,041,000",-,-,"339,000","1,361,000","643,000",-,"718,000",-,"6,955,000","5,591,000","5,591,000","4,755,000","836,000",-,-,-,-,-,"-103,000","-103,000",-,"1,364,000","-3,175,000","10,297,000","2,002,000","826,000","1,176,000","5,909,000","5,673,000","5,673,000","236,000","2,386,000",-,-,-,-,-,-,-,"3,429,000","426,000","7,284,000","7,517,000","7,558,000","3,003,000","4,555,000",-,"-41,000","229,000","-2,000","7,284,000",16.99,16.96,"427,000","427,000","6,771,000","7,517,000","2,962,000",-,"1,497,000","2,962,000",-,-,0,0
4,12/31/2019,"17,827,000","9,965,000","13,762,000","10,525,000","10,525,000","2,426,000",-,-,"811,000","3,797,000","1,986,000",-,"1,811,000",-,"7,862,000","6,389,000","6,389,000","4,539,000","1,850,000",-,-,-,-,-,-,-,-,"1,473,000","-773,000","10,574,000","2,044,000","834,000","1,210,000","5,948,000","5,647,000","5,647,000","301,000","2,582,000",-,-,-,-,-,-,-,"6,480,000","1,062,000","5,129,000","5,369,000","5,418,000","5,418,000",-,-,"-49,000","236,000","-31,000","5,098,000",11.43,11.39,"447,000","448,000","9,192,000","5,369,000","5,369,000",-,"1,315,000","5,369,000",-,-,0,0
5,12/31/2018,"17,132,000","9,721,000","12,582,000","9,580,000","9,580,000","2,261,000",-,-,"741,000","2,861,000","1,229,000",-,"1,632,000",-,"7,411,000","6,206,000","6,206,000","4,381,000","1,825,000",-,-,-,-,-,-,-,-,"1,205,000","-408,000","10,296,000","1,921,000","818,000","1,103,000","5,756,000","5,471,000","5,471,000","285,000","2,619,000",-,-,-,-,-,-,-,"6,428,000","1,082,000","5,061,000","5,301,000","5,346,000","5,346,000",-,-,"-45,000","236,000","-30,000","5,031,000",10.79,10.71,"467,000","470,000","9,313,000","5,301,000","5,301,000",-,"1,129,000","5,301,000",-,-,0,0
6,12/31/2017,"16,329,000","9,108,000","10,814,000","8,238,000","8,238,000","1,998,000",-,-,"578,000","1,706,000","623,000",-,"1,083,000",-,"7,221,000","6,023,000","6,023,000","4,081,000","1,942,000",-,-,-,-,-,-,-,-,"1,198,000","-441,000","10,398,000","1,933,000","868,000","1,065,000","5,468,000","5,224,000","5,224,000","244,000","2,997,000",-,-,-,-,-,-,-,"5,490,000","102,000","5,076,000","5,338,000","5,388,000","5,388,000",-,-,"-50,000","236,000","-39,000","5,037,000",10.49,10.36,"481,000","486,000","8,667,000","5,338,000","5,338,000",-,"1,117,000","5,338,000",-,-,0,0
7,12/31/2016,"15,162,000","8,391,000","9,652,000","7,414,000","7,414,000","1,826,000",-,-,"412,000","1,261,000","430,000",-,"831,000",-,"6,771,000","5,647,000","5,647,000","4,126,000","1,521,000",-,-,-,-,-,-,-,-,"1,124,000","-433,000","9,476,000","1,835,000","861,000","974,000","5,088,000","4,841,000","4,841,000","247,000","2,553,000",-,-,-,-,-,-,-,"5,253,000","1,268,000","3,662,000","3,903,000","3,985,000","3,985,000",-,-,"-82,000","215,000","-12,000","3,650,000",7.42,7.30,"494,000","500,000","7,958,000","3,903,000","3,903,000",-,"1,193,000","3,903,000",-,-,0,0
8,12/31/2015,"15,225,000","8,278,000","9,323,000","7,203,000","7,203,000","1,679,000",-,-,"441,000","1,045,000","403,000",-,"642,000",-,"6,947,000","5,610,000","5,610,000","4,043,000","1,567,000",-,-,-,-,-,"43,000","43,000",-,"1,294,000","-255,000","9,463,000","1,767,000","842,000","925,000","5,080,000","4,831,000","4,831,000","249,000","2,616,000",-,-,-,-,-,-,-,"5,507,000","1,364,000","3,864,000","4,106,000","4,143,000","4,143,000",-,-,"-37,000","225,000","-18,000","3,846,000",7.52,7.39,"514,000","521,000","8,023,000","4,106,000","4,106,000",-,"1,088,000","4,106,000",-,-,0,0
9,12/31/2014,"15,375,000","8,525,000","9,431,000","7,427,000","7,427,000","1,624,000",-,-,"380,000","906,000","325,000",-,"581,000",-,"6,850,000","5,462,000","5,462,000","3,949,000","1,513,000",-,-,-,-,-,"-7,000","-7,000",-,"1,395,000","-273,000","9,488,000","1,692,000","833,000","859,000","4,864,000","4,611,000","4,611,000","253,000","2,932,000",-,"94,000",-,-,-,"-94,000",-,"5,614,000","1,407,000","3,936,000","4,184,000","4,207,000","4,207,000",-,-,"-23,000","237,000","-18,000","3,918,000",7.44,7.30,"529,000","537,000","8,252,000","4,184,000","4,184,000",-,"988,000","4,184,000","94,000","94,000",0,0
10,12/31/2013,"16,012,000","9,147,000","10,007,000","7,866,000","7,866,000","1,749,000",-,-,"392,000","860,000","344,000",-,"516,000",-,"6,865,000","5,273,000","5,273,000","3,931,000","1,342,000",-,-,-,-,-,"83,000","83,000",-,"1,509,000","-643,000","9,801,000","1,596,000","833,000","763,000","4,989,000","4,743,000","4,743,000","246,000","3,216,000",-,-,-,-,-,-,-,"5,568,000","1,341,000","3,971,000","4,220,000","4,227,000","4,227,000",-,-,"-7,000","249,000","-18,000","3,971,000",7.48,7.39,"528,000","532,000","8,504,000","4,220,000","4,220,000",-,"1,146,000","4,220,000",-,-,0,0
11,12/31/2012,"15,512,000","9,640,000","10,734,000","8,284,000","8,284,000","2,035,000",-,-,"415,000","1,094,000","386,000",-,"708,000",-,"5,872,000","4,328,000","4,328,000","3,159,000","1,169,000",-,-,-,-,-,"93,000","93,000",-,"1,451,000","-987,000","10,270,000","1,562,000","827,000","735,000","4,896,000","4,617,000","4,617,000","279,000","3,812,000",-,"-312,000",-,"267,000","45,000",-,-,"3,943,000","942,000","2,818,000","3,013,000","3,001,000","3,001,000",-,-,"12,000","181,000","-14,000","2,804,000",5.36,5.30,"526,000","529,000","8,653,000","3,013,000","3,250,462",-,"1,159,000","3,013,000","-312,000","-312,000",0,"-74,538"
12,12/31/2011,"14,326,000","8,700,000","10,194,000","7,595,000","7,595,000","2,161,000",-,-,"438,000","1,494,000","668,000",-,"826,000",-,"5,626,000","4,476,000","4,476,000","3,388,000","1,088,000",-,-,"1,956,000",-,-,"97,000","97,000",-,"1,053,000","-1,152,000","8,906,000","1,399,000","738,000","661,000","4,215,000","3,966,000","3,966,000","249,000","3,292,000",-,"-199,000",-,"42,000","157,000","3,491,000","152,000","4,069,000","998,000","2,998,000","3,056,000","3,071,000","3,071,000",-,-,"-15,000","56,000","-19,000","2,998,000",5.70,5.64,"524,000","526,000","7,548,000","3,056,000","3,206,191",-,"1,140,000","3,056,000","-199,000","-199,000",0,"-48,809"
13,12/31/2010,"15,016,000","9,230,000","11,150,000","8,276,000","8,276,000","2,389,000",-,-,"485,000","1,920,000","963,000",-,"957,000",-,"5,786,000","4,801,000","4,801,000","3,747,000","1,054,000",-,-,"3,042,000",-,-,"101,000","101,000","160,000","884,000","-2,502,000","8,613,000","1,398,000","730,000","668,000","4,172,000","3,906,000","3,906,000","266,000","3,043,000","160,000","-325,000",-,"387,000","325,000","-123,000","325,000","4,061,000","1,037,000","3,011,000","3,412,000","3,397,000","3,024,000","373,000",-,"15,000","146,000","-17,000","3,011,000",5.80,5.74,"517,000","520,000","6,728,000","3,412,000","3,039,000",-,"1,059,000","3,039,000","-325,000","-325,000",0,0
14,12/31/2009,"15,912,000","9,054,000","12,089,000","8,919,000","8,919,000","2,688,000",-,-,"482,000","3,035,000","1,741,000",-,"1,294,000","3,482,000","6,858,000","5,892,000","5,892,000","5,034,000","858,000",-,-,"4,084,000",-,"1,076,000","-27,000","-27,000",-,"993,000","-3,930,000","9,734,000","1,520,000","748,000","772,000","4,709,000","4,475,000","4,475,000","234,000","3,505,000","1,076,000","-577,000",-,"421,000","577,000",-,"577,000","3,324,000","921,000","2,003,000","2,447,000","2,403,000","2,403,000","45,000",-,"44,000","388,000","-16,000","2,003,000",4.40,4.36,"454,000","455,000","5,124,000","2,447,000","2,447,000",-,"978,000","2,447,000","-577,000","-577,000",0,0
15,12/31/2008,"7,015,000","3,823,000","6,313,000","4,138,000","4,138,000","1,746,000",-,-,"429,000","2,490,000","1,485,000",-,"1,005,000",-,"3,192,000","3,289,000","3,289,000","2,603,000","686,000",-,-,"2,231,000",-,-,"-206,000","-206,000",-,"109,000","-1,517,000","4,354,000","727,000","368,000","359,000","2,279,000","2,154,000","2,154,000","125,000","1,348,000",0,"99,000","114,000","122,000","35,000","-107,000",-,"1,243,000","361,000","882,000","882,000","882,000","882,000",-,-,-,"21,000","-7,000","882,000",2.50,2.46,"344,000","347,000","2,306,000","882,000","811,752",-,"325,000","882,000","99,000","99,000",0,"28,752"
16,12/31/2007,"6,832,000","2,915,000","6,166,000","4,232,000","4,232,000","1,429,000",-,-,"505,000","3,251,000","2,053,000",-,"1,198,000",-,"3,917,000","3,372,000","3,372,000","2,310,000","784,000","278,000",-,"2,240,000",-,"104,000","97,000","97,000","-127,000","344,000","-315,000","4,112,000","661,000","350,000","311,000","2,255,000","2,140,000","2,140,000","115,000","1,196,000","-127,000","-184,000",-,"102,000",-,"82,000",-,"2,094,000","627,000","1,467,000","1,467,000","1,467,000","1,467,000",-,-,-,-,"-8,000","1,459,000",4.40,4.32,"331,000","334,000","2,600,000","1,467,000","1,595,905",-,"332,000","1,467,000","-184,000","-184,000",0,"-55,095"
17,12/31/2006,"6,506,000","2,245,000","4,612,000","3,203,000","3,203,000","1,049,000",-,-,"360,000","2,367,000","1,590,000",-,"777,000",-,"4,261,000","3,863,000","3,863,000","2,197,000","1,420,000","246,000",-,"1,884,000",-,"183,000","-100,000","-100,000","2,066,000","315,000","-124,000","4,352,000","613,000","310,000","303,000","2,536,000","2,432,000","2,432,000","104,000","1,203,000","2,066,000","-91,000",-,-,-,"91,000",-,"4,005,000","1,363,000","2,594,000","2,595,000","2,642,000","2,642,000",-,-,"-47,000","1,000","-6,000","2,589,000",8.89,8.73,"292,000","297,000","2,121,000","2,595,000","2,655,030",-,"345,000","2,595,000","-91,000","-91,000",0,"-30,970"
18,12/31/2005,"6,316,000","2,154,000","3,734,000","2,669,000","2,669,000","822,000",-,-,"243,000","1,580,000","981,000",-,"599,000",-,"4,162,000","1,071,000","1,071,000","273,000",-,-,-,"798,000",-,-,"55,000","55,000",-,"3,036,000","-21,000","4,333,000","609,000",-,-,"2,499,000","2,393,000","2,393,000","106,000","1,225,000",-,-,-,-,-,-,-,"1,929,000","604,000","1,325,000","1,325,000","1,358,000","1,325,000",-,-,"-33,000",-,-,"1,325,000",4.63,4.55,"286,000","290,000","2,133,000","1,325,000","1,325,000",-,"375,000","1,325,000",-,-,0,0
19,12/31/2004,"5,532,000","1,969,000","2,752,000","2,043,000","2,043,000","568,000",-,-,"141,000","783,000","484,000",-,"299,000",-,"3,563,000","989,000","989,000","252,000",-,-,-,"737,000",-,-,"122,000","122,000",-,"2,452,000","-52,000","3,735,000","557,000",-,-,"2,151,000","2,064,000","2,064,000","87,000","1,027,000",-,-,-,-,-,-,-,"1,735,000","538,000","1,197,000","1,197,000","1,207,000","1,197,000",-,-,"-10,000",-,-,"1,197,000",4.25,4.21,"281,000","284,000","1,917,000","1,197,000","1,197,000",-,"302,000","1,197,000",-,-,0,0
20,12/31/2003,"5,253,000","1,996,000","2,712,000","1,988,000","1,988,000","579,000",-,-,"145,000","716,000","457,000",-,"259,000",-,"3,257,000","975,000","975,000","239,000",-,-,-,"736,000",-,-,"116,000","116,000",-,"2,166,000","-177,000","3,476,000","558,000",-,-,"1,868,000","1,804,000","1,804,000","64,000","1,050,000",-,-,-,-,-,-,-,"1,568,000","539,000","1,000,000","1,001,000","1,033,000","1,029,000",-,"-28,000","-32,000","1,000",-,"1,000,000",3.58,3.55,"280,000","281,000","1,819,000","1,029,000","1,029,000",-,"289,000","1,029,000",-,-,0,0
21,12/31/2002,"5,394,000","2,197,000","3,172,000","2,429,000","2,429,000","616,000",-,-,"127,000","975,000","659,000",-,"316,000",-,"3,197,000","992,000","992,000","227,000",-,-,-,"765,000",-,-,"89,000","89,000",-,"2,116,000","-309,000","3,227,000","514,000",-,-,"1,752,000","1,701,000","1,701,000","51,000","961,000",-,-,-,-,-,-,-,"1,821,000","621,000","1,183,000","1,184,000","1,221,000","1,200,000","-16,000",-,"-37,000","1,000",-,"1,183,000",4.18,4.15,"283,000","285,000","1,888,000","1,184,000","1,200,000",-,"242,000","1,200,000",-,-,0,0
22,12/31/2001,"4,805,000","2,262,000","4,137,000","3,398,000","3,398,000","625,000",-,-,"114,000","1,875,000","1,229,000",-,"646,000",-,"2,543,000","218,000","218,000","218,000",-,-,-,-,-,-,"131,000","131,000",-,"2,194,000","-903,000","3,305,000","475,000",-,-,"1,724,000","1,667,000","1,667,000","57,000","1,106,000",-,-,-,-,-,-,-,"564,000","187,000","359,000","372,000","405,000","377,000",-,"-5,000","-33,000","13,000",-,"359,000",1.27,1.26,"282,677","284,921","1,359,000","377,000","377,000",-,"260,000","377,000",-,-,0,0
23,12/31/2000,"5,055,000","2,164,000","4,732,000","4,249,000","4,249,000","386,000",-,-,"97,000","2,568,000","1,653,000",-,"915,000",-,"2,891,000","757,000","757,000","206,000",-,-,-,"551,000",-,-,"20,000","20,000",-,"2,114,000","-136,000","3,071,000","427,000",-,-,"1,686,000","1,616,000","1,616,000","70,000","958,000",-,-,-,-,-,-,-,"1,848,000","634,000","1,260,000","1,279,000","1,279,000","1,214,000","65,000",-,-,"19,000",-,"1,260,000",4.35,4.31,"289,655","292,343","2,028,000","1,279,000","1,214,000",-,"340,000","1,214,000",-,-,0,0
