,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Selling & Marketing Expense,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"21,114,000","13,014,000","15,436,000","11,795,000","11,795,000","2,726,000",-,-,"915,000","2,422,000","1,267,000",-,"1,155,000",-,"8,100,000","7,154,000","7,154,000","3,077,000","1,444,000","2,633,000",-,-,-,"-6,000","-6,000",-,"952,000","-471,000","13,170,000","2,387,000","992,000","1,395,000","7,599,000","7,244,000","7,244,000","355,000","3,184,000",-,-,-,-,-,-,"7,473,000","1,360,000","5,708,000","6,041,000","6,113,000","6,113,000",-,-,"-72,000","301,000",-,"5,708,000",-,-,-,-,"12,543,000","6,041,000","6,041,000",-,"651,000","6,041,000","31,000","31,000",0,0
1,3/31/2023,"5,575,000","3,585,000","5,659,000","4,258,000","4,258,000","885,000",-,-,"516,000","2,074,000","1,291,000",-,"783,000",-,"1,990,000","1,760,000","1,760,000","745,000","356,000","659,000",-,-,-,"-72,000","-72,000",-,"302,000","-207,000","3,321,000","601,000","251,000","350,000","1,900,000","1,826,000","1,826,000","74,000","820,000",-,-,-,-,-,-,"2,047,000","353,000","1,607,000","1,677,000","1,694,000","1,694,000",-,-,"-17,000","68,000",-,"1,607,000",3.98,3.98,"401,000","402,000","3,378,000","1,677,000","1,677,000",-,-,"1,677,000",-,-,0,0
2,12/31/2022,"5,747,000","3,684,000","5,109,000","3,860,000","3,860,000","836,000",-,-,"413,000","1,425,000","812,000",-,"613,000",-,"2,063,000","1,832,000","1,832,000","816,000","345,000","671,000",-,-,-,"-19,000","-19,000",-,"250,000","-392,000","3,474,000","616,000","247,000","369,000","2,049,000","1,943,000","1,943,000","106,000","809,000",-,-,-,-,-,-,"1,881,000","333,000","1,407,000","1,528,000","1,548,000","1,548,000",-,-,"-20,000","120,000",-,"1,407,000",3.47,3.47,"404,000","404,000","3,292,000","1,528,000","1,528,000",-,"64,000","1,528,000",-,-,0,0
3,9/30/2022,"5,550,000","3,475,000","4,132,000","3,138,000","3,138,000","715,000",-,-,"279,000","657,000","340,000",-,"317,000",-,"2,075,000","1,757,000","1,757,000","729,000","357,000","671,000",-,-,-,"2,000","2,000",-,"316,000","-242,000","3,280,000","585,000","241,000","344,000","1,898,000","1,805,000","1,805,000","93,000","797,000",-,-,-,-,-,-,"2,028,000","388,000","1,558,000","1,624,000","1,640,000","1,640,000",-,-,"-16,000","65,000",-,"1,558,000",3.78,3.78,"410,000","410,000","3,233,000","1,624,000","1,624,000",-,"58,000","1,624,000",-,-,0,0
4,6/30/2022,"5,112,000","3,051,000","3,281,000","2,504,000","2,504,000","631,000",-,-,"146,000","230,000","88,000",-,"142,000",-,"2,061,000","1,888,000","1,888,000","852,000","365,000","671,000",-,-,-,"-5,000","-5,000",-,"178,000","-32,000","3,244,000","597,000","246,000","351,000","1,874,000","1,779,000","1,779,000","95,000","773,000",-,-,-,-,-,-,"1,836,000","340,000","1,409,000","1,481,000","1,496,000","1,496,000",-,-,"-15,000","71,000",-,"1,409,000",3.39,3.39,"414,000","414,000","3,019,000","1,481,000","1,481,000",-,"144,000","1,481,000",-,-,0,0
5,3/31/2022,"4,705,000","2,804,000","2,914,000","2,293,000","2,293,000","544,000",-,-,"77,000","110,000","27,000",-,"83,000",-,"1,901,000","1,677,000","1,677,000","680,000","377,000","620,000",-,-,-,"9,000","9,000",-,"215,000","195,000","3,172,000","589,000","258,000","331,000","1,778,000","1,717,000","1,717,000","61,000","805,000",-,"-31,000","31,000",-,-,-,"1,728,000","299,000","1,361,000","1,408,000","1,429,000","1,429,000",-,-,"-21,000","45,000",-,"1,361,000",3.23,3.23,"420,000","420,000","2,999,000","1,408,000","1,408,000",-,"385,000","1,408,000","-31,000","-31,000",0,0
6,12/31/2021,"5,174,000","2,862,000","2,975,000","2,414,000","2,414,000","484,000",-,-,"77,000","113,000","27,000",-,"86,000",-,"2,312,000","2,001,000","2,001,000","953,000","385,000","663,000",-,-,-,"-19,000","-19,000",-,"311,000","327,000","3,791,000","697,000","260,000","437,000","2,135,000","2,038,000","2,038,000","97,000","959,000",-,"-47,000","47,000",-,-,-,"1,663,000","357,000","1,220,000","1,293,000","1,306,000","1,306,000",-,-,"-13,000","71,000",-,"1,220,000",2.87,2.86,"424,000","424,000","3,189,000","1,293,000","1,329,895",-,"558,000","1,293,000","-47,000","-47,000",0,"-10,105"
7,9/30/2021,"5,172,000","2,856,000","2,975,000","2,437,000","2,437,000","460,000",-,-,"78,000","119,000","29,000",-,"90,000",-,"2,316,000","1,892,000","1,892,000","1,644,000","248,000",-,-,-,-,"-10,000","-10,000",-,"434,000","228,000","3,587,000","603,000","248,000","355,000","2,089,000","1,986,000","1,986,000","103,000","895,000",-,"-243,000","243,000",-,-,-,"1,813,000","323,000","1,408,000","1,474,000","1,490,000","1,490,000",-,-,"-16,000","57,000",-,"1,408,000",3.31,3.30,"426,000","426,000","3,084,000","1,474,000","1,474,000",-,"421,000","1,474,000","-243,000","-243,000",0,0
8,6/30/2021,"4,667,000","2,581,000","2,701,000","2,160,000","2,160,000","469,000",-,-,"72,000","120,000","30,000",-,"90,000",-,"2,086,000","1,618,000","1,618,000","1,379,000","239,000",-,-,-,-,"-4,000","-4,000",-,"468,000","-302,000","3,050,000","543,000","217,000","326,000","1,714,000","1,640,000","1,640,000","74,000","793,000",-,"-111,000","111,000",-,-,-,"1,315,000","212,000","1,037,000","1,091,000","1,103,000","1,103,000",-,-,"-12,000","48,000",-,"1,037,000",2.43,2.43,"427,000","427,000","2,279,000","1,091,000","1,091,000",-,"419,000","1,091,000","-111,000","-111,000",0,0
9,3/31/2021,"4,220,000","2,348,000","2,483,000","1,996,000","1,996,000","421,000",-,-,"66,000","135,000","40,000",-,"95,000",-,"1,872,000","1,389,000","1,389,000","1,163,000","226,000",-,-,-,-,"-28,000","-28,000",-,"483,000","551,000","2,574,000","508,000","215,000","293,000","1,522,000","1,477,000","1,477,000","45,000","544,000",-,-,-,-,-,-,"2,197,000","371,000","1,758,000","1,816,000","1,826,000","1,826,000",-,-,"-10,000","57,000",-,"1,758,000",4.11,4.10,"426,000","426,000","2,899,000","1,816,000","1,816,000",-,"375,000","1,816,000",-,-,0,0
10,12/31/2020,"4,208,000","2,424,000","2,576,000","2,074,000","2,074,000","442,000",-,-,"60,000","152,000","53,000",-,"99,000",-,"1,784,000","1,491,000","1,491,000","1,270,000","221,000",-,-,-,-,"-15,000","-15,000",-,"293,000","254,000","2,708,000","511,000","215,000","296,000","1,585,000","1,521,000","1,521,000","64,000","612,000",-,-,-,-,-,-,"1,754,000","298,000","1,393,000","1,442,000","1,456,000","1,456,000",0,-,"-14,000","48,000","22,000","1,393,000",3.26,3.26,"425,000","426,000","2,678,000","1,442,000","1,442,000",-,"553,000","1,442,000",-,-,0,0
11,9/30/2020,"4,281,000","2,484,000","2,676,000","2,116,000","2,116,000","490,000",-,-,"70,000","192,000","74,000",-,"118,000",-,"1,797,000","1,340,000","1,340,000","1,125,000","215,000",-,-,-,-,"-48,000","-48,000",-,"457,000","-52,000","2,531,000","497,000","205,000","292,000","1,477,000","1,410,000","1,410,000","67,000","557,000",-,-,-,-,-,-,"1,698,000","166,000","1,447,000","1,519,000","1,532,000","1,532,000",-,-,"-13,000","63,000",0,"1,447,000",3.40,3.39,"426,000","426,000","2,432,000","1,519,000","1,519,000",-,"232,000","1,519,000",-,-,0,0
