,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 4/13/2023Current,48.70B,N/A,8.35,8.23,2.74,2.26,0.99,N/A,N/A
1,3/31/2023,50.80B,N/A,9.18,8.59,2.86,2.48,1.11,N/A,N/A
2,12/31/2022,63.70B,N/A,11.91,9.63,0.44,3.22,1.36,N/A,N/A
3,9/30/2022,60.37B,N/A,11.69,9.03,0.39,3.13,1.27,N/A,N/A
4,6/30/2022,64.84B,N/A,13.34,11.24,1.73,3.40,1.32,N/A,N/A
5,3/31/2022,76.55B,N/A,14.52,12.97,1.73,4.11,1.37,N/A,N/A
6,12/31/2021,84.22B,N/A,15.33,14.01,0.59,4.69,1.50,N/A,N/A
7,9/30/2021,82.76B,N/A,14.84,13.91,0.65,4.83,1.51,N/A,N/A
8,6/30/2021,81.07B,N/A,21.51,16.95,0.97,4.88,1.51,N/A,N/A
9,3/31/2021,74.55B,N/A,27.58,18.45,1.18,4.46,1.38,N/A,N/A
10,12/31/2020,63.18B,N/A,20.22,18.73,N/A,3.58,1.18,N/A,N/A
11,9/30/2020,46.60B,N/A,17.09,16.47,N/A,2.67,0.88,N/A,N/A
12,6/30/2020,44.71B,N/A,9.81,16.08,8.04,2.57,0.91,N/A,N/A
13,3/31/2020,40.59B,N/A,8.40,8.08,1.37,2.41,0.82,N/A,N/A
14,12/31/2019,69.12B,N/A,14.29,13.33,1.96,4.13,1.40,N/A,N/A
15,9/30/2019,61.53B,N/A,12.68,11.57,1.81,3.70,1.25,N/A,N/A
16,6/30/2019,61.97B,N/A,12.61,12.09,1.92,3.69,1.26,N/A,N/A
17,3/31/2019,55.64B,N/A,11.45,10.73,1.70,3.37,1.16,N/A,N/A
18,12/31/2018,53.43B,N/A,9.65,10.15,1.81,3.25,1.14,N/A,N/A
19,9/30/2018,63.23B,N/A,11.88,11.90,2.15,3.87,1.34,N/A,N/A
20,6/30/2018,63.43B,N/A,12.47,12.84,1.90,3.93,1.34,N/A,N/A
21,3/31/2018,71.32B,N/A,14.60,14.35,2.12,4.50,1.50,N/A,N/A
22,12/31/2017,68.65B,N/A,17.64,15.55,1.75,4.43,1.47,N/A,N/A
23,9/30/2017,64.58B,N/A,17.15,14.71,1.70,4.25,1.39,N/A,N/A
24,6/30/2017,59.94B,N/A,16.47,15.34,1.87,4.03,1.31,N/A,N/A
25,3/31/2017,58.32B,N/A,16.47,15.15,2.47,3.97,1.28,N/A,N/A
