,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Unrealized Gain Loss,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"110,363,651","5,954,643","5,954,643","5,874,527","80,116",-,-,-,"560,343","26,374,430",-,"7,780,374","18,594,056","74,388,994","74,929,576","586,452","40,764,746","7,634","33,570,744",-,"489,862","-50,720","449,815","449,815",-,-,"366,498","529,711","175,331","105,111","249,269","-163,213","2,268,928","102,350,550","88,589,727","57,077,327","57,077,327","31,512,400","150,000","1,473,880","1,473,880",-,-,-,"12,136,943","11,855,373","11,283,738","281,570",-,"8,013,101","8,013,101",636,7,629,"5,457,886","4,551,819",-,"-1,997,240",-,"19,868,474",7,"8,013,094","281,570","8,013,101","19,868,467","8,013,094","12,136,943","5,900,730","62,929","62,929",730,-
1,12/31/2021,"118,445,427","29,620,671","29,620,671","29,547,574","73,097",-,-,-,"166,697","22,151,144",-,"4,998,281","17,152,863","64,775,174","65,326,150","386,765","36,102,061","7,509","28,829,815",-,"474,389","-76,587","306,827","306,827",-,-,"318,220","458,150","131,308","100,854","225,988","-139,930","1,106,694","110,604,809","106,132,794","61,769,579","61,769,579","44,363,215","150,000","857,882","857,882",-,-,-,"3,464,133","3,209,473","2,639,245","254,660",-,"7,840,618","7,840,618",613,7,606,"4,298,527","3,763,810",0,"-222,332",-,"11,050,091",7,"7,840,611","254,660","7,840,618","11,050,084","7,840,611","3,464,133",-,"60,632","60,632","29,200",-
2,12/31/2020,"73,888,344","12,348,331","12,348,331","12,208,997","139,334",-,-,-,"171,678","11,173,247",-,"2,282,830","8,890,417","48,732,162","49,276,541","407,363","21,191,891","7,039","27,670,248",-,"508,299","-36,080","277,801","277,801",-,-,"317,681","439,389","115,713","86,269","237,407","-121,708","867,444","68,061,435","63,315,323","44,557,552","44,557,552","18,757,771","150,000","662,925","662,925",-,-,-,"3,933,187","3,667,833","2,839,245","265,354",-,"5,826,909","5,826,909",562,7,555,"3,548,260","2,583,514","232,531","-72,896",-,"9,494,742",7,"5,826,902","265,354","5,826,909","9,494,735","5,826,902","3,933,187",-,"55,464","53,565",730,"1,899"
3,12/31/2019,"50,616,434","789,832","789,832","702,277","87,555",-,-,-,"231,339","9,245,834",-,"2,101,970","7,143,864","39,150,227","39,372,964","290,593","11,889,757","9,605","27,183,009","4,428,858","249,989","27,252","147,527","147,527",-,-,"283,997","399,241","91,227","90,436","217,578","-115,244","767,678","45,846,611","40,383,207","27,366,276","27,366,276","13,016,931","150,000","472,554","472,554",-,-,-,"4,840,850","4,598,263","4,142,144","242,587",-,"4,769,823","4,769,823",554,0,554,"3,196,898","1,871,571","233,570","-65,630",-,"9,368,086",-,"4,769,823","242,587","4,769,823","9,368,086","4,769,823","4,840,850","3,808,431","55,428","53,520",-,"1,908"
4,12/31/2018,"47,364,816","317,255","317,255","269,204","48,051",-,-,-,"264,877","9,185,137",-,"1,883,533","7,301,604","36,678,427","36,879,885","485,305","7,993,999","9,038","28,391,543","88,511","230,005","28,547","141,829","141,829",-,-,"59,051","154,147","79,025","75,122",-,"-95,096","718,240","42,957,676","36,378,773","24,362,576","24,362,576","12,016,197","820,000","530,729","530,729",-,-,-,"5,228,174","5,228,174","4,970,000",-,-,"4,407,140","4,407,140",554,0,554,"2,730,899","1,862,896","42,680","-144,529",-,"9,635,314",-,"4,407,140",-,"4,407,140","9,635,314","4,407,140","5,228,174","4,910,919","55,406","55,039",-,366.098
5,12/31/2017,"43,117,720","335,466","335,466","290,078","45,388",-,-,-,"227,920","8,950,095",-,"1,996,376","6,953,719","32,848,857","33,015,322","432,277","6,380,111","15,310","26,187,624","309,894","195,959","29,494","117,070","117,070",-,-,"61,571","142,660","68,513","74,147",-,"-81,089","576,741","39,086,029","33,439,827","22,086,789","22,086,789","11,353,038","790,000","403,821","403,821",-,-,-,"4,452,381","4,452,381","4,195,000",-,-,"4,031,691","4,031,691",550,0,550,"2,290,537","1,809,642",171,"-68,867",-,"8,484,072",-,"4,031,691",-,"4,031,691","8,484,072","4,031,691","4,452,381","4,116,915","54,979","54,978",-,1.242
6,12/31/2016,"39,047,611","538,951","538,951","499,856","39,095",-,-,-,"132,629","8,373,472",-,"2,038,125","6,335,347","29,389,198","29,578,987","559,528","5,479,223","10,268","23,529,968",-,"213,495","23,706","102,963","102,963",-,-,"50,698","120,330","56,347","63,983",-,"-69,632","459,700","35,435,347","31,861,260","21,340,731","21,340,731","10,520,529","893,000","373,599","373,599",-,-,-,"2,307,488","2,307,488","2,050,900",-,-,"3,612,264","3,612,264",546,0,546,"1,903,332","1,763,100",0,"-54,714",-,"5,919,752",-,"3,612,264",-,"3,612,264","5,919,752","3,612,264","2,307,488","1,768,537","54,611","54,611",-,-
7,12/31/2015,"33,450,545","341,546","341,546","311,254","30,292",-,-,-,"154,405","8,373,905",-,"2,133,144","6,240,761","24,053,899","24,229,393","456,358","4,788,722","9,714","18,974,599",-,"195,023","19,529","94,006","94,006",-,-,"44,161","106,501","49,727","56,774",-,"-62,340","388,623","30,558,711","26,773,923","18,206,623","18,206,623","8,567,300","817,000","247,625","247,625",-,-,-,"2,720,163","2,720,163","2,720,163",-,-,"2,891,834","2,891,834",509,-,509,"1,507,011","1,399,501","5,684","-9,503",-,"5,611,997",-,"2,891,834",-,"2,891,834","5,611,997","2,891,834","2,720,163","2,378,617","50,942","50,901",-,41.087
8,12/31/2014,"27,318,640","299,078","299,078","274,247","24,831",-,-,-,"86,338","8,282,010",-,"2,208,551","6,073,459","18,241,613","18,386,513","548,297","3,697,725","10,245","14,130,246",-,"164,392","19,492","79,687","79,687",-,-,"40,996","98,303","42,179","56,124",-,"-57,307","288,918","24,822,402","22,620,275","15,555,316","15,555,316","7,064,959","715,000","151,964","151,964",-,-,-,"1,335,163","1,335,163","1,335,163",-,-,"2,496,238","2,496,238",503,0,503,"1,133,950","1,348,661",-,"13,124",-,"3,831,401",-,"2,496,238",-,"2,496,238","3,831,401","2,496,238","1,335,163","1,036,085","51,399","50,318",-,"1,081"
9,12/31/2013,"22,376,663","143,977","143,977","119,479","24,498",-,-,-,"130,785","7,808,077",-,"2,175,844","5,632,233","13,805,159","13,928,715","420,759","2,565,016","11,479","10,931,461",-,"135,071","11,515","71,668","71,668","71,668",0,"36,331","83,422","32,804","50,618",-,"-47,091","380,666","20,576,724","17,057,097","11,665,614","11,665,614","5,391,483","1,065,000","149,314","149,314",-,-,-,"2,305,313","2,305,313","2,305,313",-,0,"1,799,939","1,799,939",473,0,473,"837,250","1,013,900",-,"-51,684",-,"4,105,252",-,"1,799,939",-,"1,799,939","4,105,252","1,799,939","2,305,313","2,161,336","47,293","47,293",-,-
