,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Other Capital Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Unrealized Gain Loss,Other Equity Adjustments,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"110,363,651","5,954,643","5,954,643","5,874,527","80,116",-,-,-,"560,343","26,374,430",-,"7,780,374","18,594,056","74,388,994","74,929,576","586,452","40,764,746","7,634","33,570,744",-,"489,862","-50,720","449,815","449,815",-,-,"366,498","529,711","175,331","105,111","249,269","-163,213","2,268,928","102,350,550","88,589,727","57,077,327","57,077,327","31,512,400","150,000","1,473,880","1,473,880",-,-,-,"12,136,943","11,855,373","11,283,738","281,570",-,"8,013,101","8,013,101",636,7,629,-,"5,457,886","4,551,819",-,"-1,997,240",-,-,-,"19,868,474",7,"8,013,094","281,570","8,013,101","19,868,467","8,013,094","12,136,943","5,900,730","62,929","62,929",730,-
1,9/30/2022,"114,468,746","11,469,921","11,469,921","11,324,426","145,495",-,-,-,"118,118","26,046,359",-,"7,576,588","18,469,771","73,900,091","74,426,293","524,871","41,526,920","7,108","32,367,394",-,"464,858","-61,344","402,915","402,915",-,-,"367,915","367,915",-,-,"367,915",-,"2,163,427","106,778,223","102,775,514","65,400,098","65,400,098","37,375,416","150,000","1,540,411","1,540,411",-,-,-,"2,312,298","2,026,018","1,454,738","286,280",-,"7,690,523","7,690,523",636,7,629,-,"5,201,514","4,539,428",-,"-2,051,055",-,-,-,"9,716,541",7,"7,690,516","286,280","7,690,523","9,716,534","7,690,516","2,312,298",-,"62,927","62,927",730,-
2,6/30/2022,"115,966,803","14,578,361","14,578,361","14,497,512","80,849",-,-,-,"131,220","26,315,723",-,"6,728,016","19,587,707","72,370,610","72,883,821","815,386","41,736,571","6,498","30,325,366",-,"445,965","-67,246","349,190","349,190",-,-,"364,454","364,454",-,-,"364,454",-,"1,857,245","107,934,997","104,119,046","62,710,242","62,710,242","41,408,804","150,000","1,231,230","1,231,230",-,-,-,"2,434,721","2,145,443","1,574,517","289,278",-,"8,031,806","8,031,806",636,7,629,-,"4,887,453","4,524,343",-,"-1,380,626",-,-,-,"10,177,249",7,"8,031,799","289,278","8,031,806","10,177,242","8,031,799","2,434,721",-,"62,929","62,929",730,-
3,3/31/2022,"121,847,302","26,324,287","26,324,287","26,220,547","103,740",-,-,-,"158,916","26,243,726",-,"6,550,691","19,693,035","66,645,438","67,176,803","703,008","37,392,819","6,505","29,074,471",-,"461,275","-70,090","337,611","337,611",-,-,"331,132","331,132",-,-,"331,132",-,"1,806,192","113,674,141","109,155,105","62,431,559","62,431,559","46,723,546","150,000","1,088,126","1,088,126",-,-,-,"3,280,910","3,020,092","2,449,517","260,818",-,"8,173,161","8,173,161",636,7,629,-,"4,592,691","4,509,080",-,"-929,246",-,-,-,"11,193,253",7,"8,173,154","260,818","8,173,161","11,193,246","8,173,154","3,280,910",-,"63,065","63,065","29,200",-
4,12/31/2021,"118,445,427","29,620,671","29,620,671","29,547,574","73,097",-,-,-,"166,697","22,151,144",-,"4,998,281","17,152,863","64,775,174","65,326,150","386,765","36,102,061","7,509","28,829,815",-,"474,389","-76,587","306,827","306,827",-,-,"318,220","458,150","131,308","100,854","225,988","-139,930","1,106,694","110,604,809","106,132,794","61,769,579","61,769,579","44,363,215","150,000","857,882","857,882",-,-,-,"3,464,133","3,209,473","2,639,245","254,660",-,"7,840,618","7,840,618",613,7,606,-,"4,298,527","3,763,810",0,"-222,332",-,-,-,"11,050,091",7,"7,840,611","254,660","7,840,618","11,050,084","7,840,611","3,464,133",-,"60,632","60,632","29,200",-
5,9/30/2021,"107,850,739","28,835,657","28,835,657","28,641,740","193,917",-,-,-,"167,670","18,126,547",-,"4,042,411","14,084,136","58,950,314","59,529,113","865,180","30,515,167","6,465","28,142,301",-,"500,862","-77,937","312,151","312,151",-,-,"311,427","311,427",-,-,"311,427",-,"1,146,973","100,171,600","95,566,340","61,181,772","61,181,772","34,384,568","150,000","969,944","969,944",-,-,-,"3,485,316","3,234,118","2,664,245","251,198",-,"7,679,139","7,679,139",613,7,606,-,"4,069,670","3,751,582",0,"-142,726",-,-,-,"10,913,257",7,"7,679,132","251,198","7,679,139","10,913,250","7,679,132","3,485,316",-,"60,633","60,633",730,0
6,6/30/2021,"96,887,801","24,979,970","24,979,970","24,811,551","168,419",-,-,-,"171,759","15,938,459",-,"3,361,011","12,577,448","54,543,074","55,137,972","548,701","26,422,622","5,894","28,160,755",-,"514,794","-80,104","307,704","307,704",-,-,"313,529","313,529",-,-,"313,529",-,"633,306","90,043,238","85,562,476","56,887,937","56,887,937","28,674,539","150,000","739,064","739,064",-,-,-,"3,591,698","3,333,764","2,764,245","257,934",-,"6,844,563","6,844,563",584,7,577,-,"3,871,125","3,084,743",0,"-111,889",-,-,-,"10,178,327",7,"6,844,556","257,934","6,844,563","10,178,320","6,844,556","3,591,698",-,"57,762","57,762",730,0
7,3/31/2021,"85,382,194","19,748,309","19,748,309","19,528,833","219,476",-,-,-,"169,143","13,232,773",-,"2,695,782","10,536,991","50,769,213","51,359,825","337,976","22,973,633","6,433","28,041,783",-,"521,761","-68,851","298,382","298,382",-,-,"320,976","320,976",-,-,"320,976",-,"843,398","78,739,791","73,974,579","51,442,440","51,442,440","22,532,139","150,000","751,751","751,751",-,-,-,"3,863,461","3,593,372","2,764,245","270,089",-,"6,642,403","6,642,403",585,7,578,-,"3,698,195","3,072,926",0,"-129,303",-,-,-,"10,235,775",7,"6,642,396","270,089","6,642,403","10,235,768","6,642,396","3,863,461",-,"57,790","57,790",730,-
8,12/31/2020,"73,888,344","12,348,331","12,348,331","12,208,997","139,334",-,-,-,"171,678","11,173,247",-,"2,282,830","8,890,417","48,732,162","49,276,541","407,363","21,191,891","7,039","27,670,248",-,"508,299","-36,080","277,801","277,801",-,-,"317,681","439,389","115,713","86,269","237,407","-121,708","867,444","68,061,435","63,315,323","44,557,552","44,557,552","18,757,771","150,000","662,925","662,925",-,-,-,"3,933,187","3,667,833","2,839,245","265,354",-,"5,826,909","5,826,909",562,7,555,-,"3,548,260","2,583,514","232,531","-72,896",-,-,-,"9,494,742",7,"5,826,902","265,354","5,826,909","9,494,735","5,826,902","3,933,187",-,"55,464","53,565",730,"1,899"
9,9/30/2020,"63,760,313","6,413,237","6,413,237","6,255,490","157,747",-,-,-,"171,678","9,585,519",-,"2,084,252","7,501,267","46,147,339","46,671,249","420,170","18,426,155","7,485","27,817,439",-,"484,923","-38,987","249,926","249,926",-,-,"295,681","295,681",-,-,"295,681",-,"896,933","58,777,114","54,338,705","38,054,106","38,054,106","16,284,599","150,000","748,181","748,181",-,-,-,"3,540,228","3,296,401","2,839,245","243,827",-,"4,983,199","4,983,199",555,0,555,-,"3,405,273","1,862,142","232,647","-52,124",-,-,-,"8,279,600",-,"4,983,199","243,827","4,983,199","8,279,600","4,983,199","3,540,228",-,"55,464","53,563",-,"1,900"
