,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Accrued Expense,Change in Deferred Charges,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"945,677","945,677","1,337,049","-10,305","-10,305",-,"23,324","23,324",-,-,-,"42,443","42,443","-709,355","371,728",-,-,"56,123","78,770","-244,100","-142,988",-,"642,908",-,-,"642,908",-,"-744,020",-,-,"-16,226,979","-16,226,979","-6,186,721","-9,665,729","3,479,008","-9,598,291","-9,598,291","-48,321","-48,321","-393,646","-8,384,726","-8,384,726","8,644,493","8,644,493","8,644,493",0,-,-,"731,909",-,0,0,-,"-177,686","-141,186","-36,500","-40,375","5,954,643","-23,666,028","29,620,671","333,495","1,024,849","-48,321",0,"8,644,493",0,-,"897,356"
1,12/31/2022,"85,731","85,731","300,846","-2,538","-2,538",-,"5,823","5,823",-,-,-,"-18,879","-18,879","-143,399","88,500",-,-,"12,393","42,761","-199,776","-46,900",-,"-71,241",-,-,"-71,241",-,"-81,635",-,-,"-1,199,746","-1,199,746","-252,905","-994,153","741,248","-494,006","-494,006","-10,610","-10,610","-442,225","-4,401,263","-4,401,263","9,829,000","9,829,000","7,394,493","2,434,507",-,-,-36,-,-,-,-,"-44,436","-35,311","-9,125",-4,"5,954,643","-5,515,278","11,469,921","74,890","542,000","-10,610","-731,945","7,394,493","2,434,507",-,"75,121"
2,9/30/2022,"621,581","621,581","358,467","-2,131","-2,131",-,"6,007","6,007",-,-,-,"3,199","3,199","-5,570","94,664",-,-,"15,123","29,065","122,757","-53,725",-,"306,183",-,-,"306,183",-,"-129,701",-,-,"-2,222,266","-2,222,266","-346,528","-1,127,918","781,390","-1,874,995","-1,874,995","-13,845","-13,845","13,102","-1,507,755","-1,507,755","-119,779","-119,779",0,"-119,779",-,-,-4,-,-,-,-,"-44,440","-35,315","-9,125",0,"11,469,921","-3,108,440","14,578,361","135,553","291,409","-13,845",-,0,"-119,779",-,"607,736"
3,6/30/2022,"405,212","405,212","339,202","-2,454","-2,454",-,"5,854","5,854",-,-,-,"1,922","1,922","-270,188","94,658",-,-,"15,018","4,249","216,951","-11,579",-,"171,564",-,-,"171,564",-,"56,966",-,-,"-6,195,880","-6,195,880","-569,425","-1,618,138","1,048,713","-5,643,016","-5,643,016","-11,135","-11,135","27,696","-5,955,257","-5,955,257","-875,000","-875,000","-500,000","-375,000",-,-,245,-,-,-,-,"-44,440","-35,315","-9,125",-3,"14,578,361","-11,745,925","26,324,287","92,606","126,844","-11,135",-,"-500,000","-375,000",-,"394,077"
4,3/31/2022,"-166,847","-166,847","338,534","-3,026","-3,026",-,"5,640","5,640",-,-,-,"56,201","56,201","-290,354","93,906",-,-,"13,589","2,695","-384,032","-30,784",-,"236,402",-,-,"236,402",-,"-589,650",-,-,"-6,609,087","-6,609,087","-5,017,863","-5,925,520","907,657","-1,586,274","-1,586,274","-12,731","-12,731","7,781","3,479,549","3,479,549","-189,728","-189,728","1,750,000","-1,939,728",-,-,"731,704",-,-,-,-,"-44,370","-35,245","-9,125","-40,368","26,324,287","-3,296,385","29,620,671","30,446","64,596","-12,731",-,"1,750,000","-1,939,728",-,"-179,578"
5,12/31/2021,"425,439","425,439","271,992","-5,066","-5,066",-,"5,836","5,836",-,-,-,"38,903","38,903","48,049","97,130",-,-,"12,232","6,877","-50,514","5,324",-,"-108,600",-,-,"-108,600",-,"52,762",-,-,"-10,138,740","-10,138,740","-3,787,546","-4,857,141","1,069,595","-6,342,516","-6,342,516","-9,651","-9,651",973,"10,498,315","10,498,315","-25,000","-25,000",0,"-25,000",-,-,-4,-,-,-,-,"-43,131","-34,006","-9,125",-4,"29,620,671","785,014","28,835,657","103,892","80,117","-9,651",-,0,"-25,000",-,"415,788"
6,9/30/2021,"-291,144","-291,144","241,424","-3,650","-3,650",-,"5,328","5,328",-,-,-,"-9,169","-9,169","-371,530","90,578",-,-,"12,192","3,985","-260,302","-4,447",-,"224,144",-,-,"224,144",-,"-479,999",-,-,"-6,368,831","-6,368,831","-2,238,643","-3,642,013","1,403,370","-4,123,666","-4,123,666","-10,611","-10,611","4,089","10,515,662","10,515,662","-100,000","-100,000",0,"-100,000",-,-,"654,676",-,-,-,-,"-42,878","-33,753","-9,125",0,"28,835,657","3,855,687","24,979,970","113,361","70,777","-10,611",-,0,"-100,000",-,"-301,755"
7,6/30/2021,"46,415","46,415","214,492","-3,393","-9,979",-,"4,932","4,932",-,-,-,"-19,657","-19,657","-489,238","79,269",-,-,"10,996","8,308","240,706","-9,322",-,"-24,728",-,-,"-24,728",-,"274,756",-,-,"-6,101,794","-6,101,794","-2,492,850","-3,837,402","1,344,552","-3,599,754","-3,599,754","-6,574","-6,574","-2,616","11,287,040","11,287,040","-260,000","-260,000","900,000","-1,160,000",-,-,820,-,-,-,-,"-41,563","-32,438","-9,125",-114,"24,979,970","5,231,661","19,748,309","97,331","94,624","-6,574",-,"900,000","-1,160,000",-,"39,841"
8,3/31/2021,"698,932","698,932","190,533","-7,061",-475,"-7,061","4,909","4,909",-,-,-,"14,335","14,335","212,564","60,996",-,-,"14,169","30,872","177,615","-20,581",-,"132,138",-,-,"132,138",-,"66,058",-,-,"-4,511,832","-4,511,832","-2,357,251","-3,445,767","1,088,516","-2,151,756","-2,151,756","-5,360","-5,360","2,535","11,212,878","11,212,878","-75,000","-75,000","850,000","-925,000",-,-,"707,797",-,-,-,-,"-40,598","-30,086","-10,512","-38,577","19,748,309","7,399,978","12,348,331","38,764","79,243","-5,360",-,"850,000","-925,000",-,"693,572"
9,12/31/2020,"45,363","45,363","173,009","-3,082","-3,082",-,"4,902","4,902",-,-,-,"-61,105","-61,105","-158,074","51,976",-,-,"13,489","35,599","-11,351","-27,875",-,"-63,724",-,-,"-63,724",-,"80,248",-,-,"-4,139,865","-4,139,865","-1,488,485","-2,579,774","1,091,289","-2,645,617",-,"-5,763","-5,763",0,"10,029,599","10,029,599","375,001","375,001","375,001",0,-,-,2,-,-,-,-,"-30,017","-30,017",-,-23,"12,348,331","5,935,097","6,413,237","89,329","98,960","-5,763",-,"375,001",0,-,"39,600"
