,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Other Customer Services,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Impairment of Capital Assets,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"2,696,371","2,535,334","3,550,337","2,811,928","2,811,928","738,409",-,-,"1,015,003","913,563",-,"99,059","2,381",-,"161,037","124,900","124,900","107,206","17,694",-,"10,382",-900,"11,282",-,"25,755","-78,770","862,197","51,265","44,077","766,855","766,855","524,766","30,344","211,745",-,-,-,-,-,-,"1,755,404","418,355","1,300,549","1,337,049","1,337,049","1,337,049","2,036","1,300,549",-,-,-,-,"2,456,564","1,337,049","1,337,049",-,"23,324","1,337,049",-,-,0,0
1,12/31/2022,"2,696,371","2,535,334","3,550,337","2,811,928","2,811,928","738,409",-,-,"1,015,003","913,563",-,"99,059","2,381",-,"161,037","124,900","124,900","107,206","17,694",-,"10,382",-900,"11,282",-,"25,755","-78,770","862,197","51,265","44,077","766,855","766,855","524,766","30,344","211,745",-,-,-,-,-,-,"1,755,404","418,355","1,300,549","1,337,049","1,337,049","1,337,049","36,500","1,300,549",-,-,-,-,"2,456,564","1,337,049","1,337,049",-,"23,324","1,337,049",-,-,0,0
2,12/31/2021,"2,001,416","1,880,524","2,190,381","1,896,944","1,896,944","293,437",-,-,"309,857","210,644",-,"96,812","2,401",-,"120,892","91,321","91,321","75,068","16,253",-,"19,170",0,"19,170",-,"10,401","-50,042","703,600","46,473","30,989","626,138","626,138","458,885","24,543","142,710",-,-,-,-,-,-,"1,247,774","329,333","880,554","918,441","918,441","918,441","37,887","880,554",15.20,15.03,"57,871","58,508","1,830,482","918,441","918,441",-,"21,005","918,441",-,-,0,0
3,12/31/2020,"1,594,340","1,519,092","1,931,646","1,665,567","1,665,567","266,079",-,-,"412,554","297,349",-,"112,463","2,742",-,"75,248","59,838","59,838","46,397","13,441",-,"16,257","3,606","12,651",-,-847,"-248,094","614,054","44,371","18,286","551,397","551,397","389,125","13,742","148,530",-,-,-,-,-,-,"732,192","203,833","528,359","528,359","528,359","528,359",-,"528,359",10.00,9.96,"52,641","52,899","1,270,998","528,359","528,359",-,"20,684","528,359",-,-,0,0
4,12/31/2019,"1,339,541","1,311,593","1,911,676","1,584,246","1,584,246","327,430",-,-,"600,083","440,730",-,"145,183","14,170",-,"27,948","47,430","47,430","32,926","14,504",-,"11,870","1,034","10,836",-,"-31,352","-22,636","529,269","42,833","14,689","471,747","471,747","335,054","12,432","124,261",-,-,-,-,-,-,"787,636","198,710","587,013","588,926","588,926","588,926","1,913","587,013",10.87,10.82,"53,774","54,011","1,288,957","588,926","588,926",-,"20,147","588,926",-,-,0,0
5,12/31/2018,"1,322,265","1,298,987","1,708,920","1,400,298","1,400,298","308,622",-,-,"409,933","289,248",-,"107,201","13,484",-,"23,278","41,673","41,673","28,553","13,120",-,"7,711",973,"6,738",-,"-26,106","-162,524","486,278","34,311","13,698","438,269","438,269","302,095","25,256","110,918",-,-,-,-,-,-,"673,463","168,121","504,428","505,342","505,342","505,342",914,"504,428",9.29,9.25,"54,406","54,666","1,136,463","505,342","505,342",-,"14,007","505,342",-,-,0,0
6,12/31/2017,"1,273,627","1,237,586","1,470,169","1,195,528","1,195,528","274,641",-,-,"232,583","171,829",-,"51,059","9,695",-,"36,041","35,856","35,856","23,557","12,299",-,185,"3,330","9,218","-12,363",-,"-263,297","435,066","32,141","12,021","390,904","390,904","273,240","26,996","90,668",-,-,-,-,-,-,"575,264","188,055","387,209","387,209","387,209","387,209",-,"387,209",7.17,7.12,"54,001","54,418","974,289","387,209","395,529",-,"12,193","387,209","-12,363","-12,363",0,"-4,043"
7,12/31/2016,"1,189,992","1,147,242","1,317,151","1,047,289","1,047,289","269,862",-,-,"169,909","123,285",-,"34,767","11,857",-,"42,750","33,320","33,320","21,846","11,474",-,"9,430","7,284","6,750","-4,604",-,"-155,774","376,771","29,140","9,671","337,960","337,960","246,406","21,265","70,289",-,-,-,-,-,-,"657,447","261,123","396,324","396,324","396,324","396,324",-,"396,324",7.42,7.37,"53,406","53,811","991,468","396,324","399,100",-,"10,086","396,324","-4,604","-4,604",0,"-1,828"
8,12/31/2015,"1,014,205","977,101","1,106,948","843,667","843,667","263,281",-,-,"129,847","102,905",-,"13,057","13,885",-,"37,104","32,933","32,933","21,515","11,418",-,"4,171",246,"7,107","-3,182",-,"-44,914","341,214","26,024","9,460","305,730","305,730","230,081","15,885","59,764",-,-,-,-,-,-,"628,077","255,012","373,065","373,065","373,065","373,065",-,"373,065",7.35,7.27,"50,739","51,302","932,187","373,065","374,974",-,"9,044","373,065","-3,182","-3,182",0,"-1,273"
9,12/31/2014,"836,133","801,151","924,273","655,623","655,623","268,650",-,-,"123,122","93,494",-,"12,663","16,965",-,"34,982","29,899","29,899","19,250","10,649",-,"5,083","3,548","5,377","-3,842",-,"-31,110","293,244","22,490",-,"270,754","270,754","196,679",-,"74,075",-,-,-,-,-,-,"511,779","215,075","296,704","296,704","296,704","296,704",-,"296,704",6.05,5.95,"49,066","49,870","770,041","296,704","299,201",-,"8,904","296,704","-3,842","-3,842",0,"-1,345"
