,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 4/10/2023Current,8.94M,N/A,0.01,0.01,N/A,0.00,0.00,N/A,N/A
1,12/31/2022,7.25B,N/A,5.63,6.47,0.19,2.76,0.94,N/A,N/A
2,9/30/2022,9.50B,N/A,8.04,6.61,0.20,3.90,1.18,N/A,N/A
3,6/30/2022,11.28B,N/A,10.49,7.91,N/A,4.97,1.38,N/A,N/A
4,3/31/2022,18.51B,N/A,19.53,14.58,N/A,8.58,2.36,N/A,N/A
5,12/31/2021,19.61B,N/A,23.20,19.12,N/A,9.89,2.55,N/A,N/A
6,9/30/2021,16.51B,N/A,21.49,16.69,N/A,8.52,2.41,N/A,N/A
7,6/30/2021,14.19B,N/A,21.70,19.72,N/A,7.88,2.14,N/A,N/A
8,3/31/2021,13.07B,N/A,22.70,19.38,N/A,7.50,2.24,N/A,N/A
9,12/31/2020,7.25B,N/A,14.24,11.72,N/A,4.79,1.45,N/A,N/A
10,9/30/2020,4.45B,N/A,8.62,7.34,N/A,3.10,0.91,N/A,N/A
11,6/30/2020,5.73B,N/A,10.57,12.11,N/A,4.19,1.20,N/A,N/A
12,3/31/2020,4.31B,N/A,7.40,7.59,N/A,3.24,0.90,N/A,N/A
13,12/31/2019,7.31B,N/A,12.39,12.53,N/A,5.56,1.54,N/A,N/A
14,9/30/2019,6.47B,N/A,10.72,10.02,N/A,4.89,1.39,N/A,N/A
15,6/30/2019,6.66B,N/A,10.74,10.80,N/A,4.99,1.46,N/A,N/A
16,3/31/2019,7.06B,N/A,13.88,11.06,N/A,5.29,1.60,N/A,N/A
17,12/31/2018,5.66B,N/A,12.22,9.01,N/A,4.29,1.34,N/A,N/A
18,9/30/2018,6.36B,N/A,14.61,10.32,N/A,4.83,1.53,N/A,N/A
19,6/30/2018,7.08B,N/A,24.27,11.31,N/A,5.41,1.77,N/A,N/A
20,3/31/2018,7.81B,N/A,19.94,12.80,N/A,6.07,1.95,N/A,N/A
21,12/31/2017,7.55B,N/A,19.28,13.83,0.95,5.95,1.92,N/A,N/A
22,9/30/2017,6.99B,N/A,20.52,13.62,0.94,5.61,1.85,N/A,N/A
23,6/30/2017,7.84B,N/A,18.21,15.82,1.18,6.39,2.08,N/A,N/A
24,3/31/2017,8.10B,N/A,20.13,14.53,1.09,6.71,2.24,N/A,N/A
25,12/31/2016,8.20B,N/A,20.69,16.10,1.68,6.88,2.30,N/A,N/A
26,9/30/2016,6.47B,N/A,15.32,12.47,0.83,5.57,1.85,N/A,N/A
27,6/30/2016,6.71B,N/A,16.44,15.15,1.00,6.06,1.99,N/A,N/A
28,3/31/2016,7.30B,N/A,18.72,13.48,N/A,6.89,2.52,N/A,N/A
29,12/31/2015,7.81B,N/A,22.39,18.05,N/A,8.20,2.77,N/A,N/A
30,9/30/2015,7.00B,N/A,21.16,16.89,N/A,7.69,2.59,N/A,N/A
31,6/30/2015,7.59B,N/A,23.54,17.92,N/A,8.46,2.90,N/A,N/A
32,3/31/2015,6.57B,N/A,21.78,16.34,1.09,7.73,2.63,N/A,N/A
33,12/31/2014,6.34B,N/A,22.10,18.90,1.26,7.75,2.64,N/A,N/A
34,9/30/2014,5.64B,N/A,20.64,16.53,1.10,7.13,2.46,N/A,N/A
35,6/30/2014,6.31B,N/A,24.89,19.57,1.30,8.46,3.30,N/A,N/A
36,3/31/2014,5.98B,N/A,26.38,18.83,1.26,8.87,3.32,N/A,N/A
37,12/31/2013,5.08B,N/A,23.98,19.88,1.53,7.89,2.89,N/A,N/A
38,9/30/2013,4.33B,N/A,21.64,17.89,1.38,6.97,2.54,N/A,N/A
39,6/30/2013,3.92B,N/A,20.40,17.24,1.72,6.51,2.29,N/A,N/A
40,3/31/2013,3.72B,N/A,20.14,16.16,1.61,6.37,2.26,N/A,N/A
41,12/31/2012,3.37B,N/A,18.25,16.56,1.66,5.77,2.04,N/A,N/A
42,9/30/2012,3.14B,N/A,18.95,15.55,1.37,5.83,2.07,N/A,N/A
43,6/30/2012,2.83B,N/A,17.67,13.79,1.21,5.36,1.94,N/A,N/A
44,3/31/2012,2.91B,N/A,18.71,15.02,1.16,5.58,2.08,N/A,N/A
45,12/31/2011,2.77B,N/A,18.46,16.34,1.17,5.44,2.03,N/A,N/A
46,9/30/2011,2.20B,N/A,14.68,12.87,0.91,4.32,1.61,N/A,N/A
47,6/30/2011,2.37B,N/A,18.57,15.29,1.08,5.34,2.24,N/A,N/A
48,3/31/2011,2.33B,N/A,20.58,15.70,1.15,5.65,2.35,N/A,N/A
49,12/31/2010,2.07B,N/A,20.35,18.38,1.35,5.36,2.19,N/A,N/A
50,9/30/2010,1.59B,N/A,17.26,N/A,N/A,4.24,1.73,N/A,N/A
51,6/30/2010,1.56B,N/A,19.29,N/A,N/A,4.45,1.76,N/A,N/A
52,3/31/2010,1.51B,N/A,20.93,N/A,N/A,4.37,1.81,N/A,N/A
53,12/31/2009,1.30B,N/A,24.54,N/A,N/A,4.16,1.61,N/A,N/A
54,9/30/2009,1.18B,N/A,193.33,N/A,N/A,3.83,1.52,N/A,N/A
55,6/30/2009,1.11B,N/A,454.50,N/A,N/A,3.55,1.50,N/A,N/A
56,3/31/2009,994.96M,N/A,313.67,N/A,N/A,3.66,1.71,N/A,N/A
57,12/31/2008,1.01B,N/A,81.97,N/A,N/A,3.81,1.72,N/A,N/A
58,9/30/2008,1.23B,N/A,39.64,N/A,N/A,17.66,2.16,N/A,N/A
59,6/30/2008,767.10M,N/A,27.12,N/A,N/A,17.57,1.80,N/A,N/A
60,3/31/2008,759.23M,N/A,27.42,N/A,N/A,23.64,1.75,N/A,N/A
61,12/31/2007,1.00B,N/A,37.09,N/A,N/A,48.04,2.35,N/A,N/A
62,9/30/2007,1.05B,N/A,28.64,N/A,N/A,6.59,2.57,N/A,N/A
63,6/30/2007,1.01B,N/A,29.40,N/A,N/A,6.81,2.48,N/A,N/A
64,3/31/2007,965.55M,N/A,29.05,N/A,N/A,6.76,2.46,N/A,N/A
65,12/31/2006,924.22M,N/A,29.42,N/A,N/A,6.87,2.45,N/A,N/A
66,9/30/2006,915.40M,N/A,30.93,N/A,N/A,7.07,2.57,N/A,N/A
67,6/30/2006,954.40M,N/A,32.38,N/A,N/A,7.40,2.68,N/A,N/A
68,3/31/2006,960.12M,N/A,53.43,N/A,N/A,7.74,2.72,N/A,N/A
69,12/31/2005,824.65M,N/A,65.28,N/A,N/A,7.55,2.37,N/A,N/A
70,9/30/2005,792.38M,N/A,62.77,N/A,N/A,7.26,2.28,N/A,N/A
71,6/30/2005,716.32M,N/A,73.94,N/A,N/A,6.92,2.05,N/A,N/A
72,3/31/2005,778.15M,N/A,21.91,N/A,N/A,7.57,2.31,N/A,N/A
73,12/31/2004,948.63M,N/A,28.14,N/A,N/A,9.33,2.80,N/A,N/A
74,9/30/2004,784.18M,N/A,30.03,N/A,N/A,8.51,2.33,N/A,N/A
75,6/30/2004,622.49M,N/A,27.36,N/A,N/A,8.52,2.41,N/A,N/A
76,3/31/2004,548.84M,N/A,106.30,N/A,N/A,10.72,2.12,N/A,N/A
