,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Prepaid Assets,Net PPE,Gross PPE,Properties,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,12/31/2022,"211,793,000","13,803,000","13,803,000","1,293,000",0,"13,803,000","722,000","722,000","722,000","720,000","120,054,000","2,664,000","91,321,000","26,069,000",-,"552,000","73,614,000","74,250,000","9,670,000",-,"3,741,000","60,839,000","636,000","3,082,000","3,082,000",-,-,"729,000","729,000",-,"3,000","756,000","164,000","729,000","-529,000","511,000","375,000","136,000","179,000","179,000","843,000","195,498,000","173,109,000","92,356,000","92,356,000","80,753,000","525,000",-,"525,000",-,-,"13,565,000","13,565,000","13,565,000","333,000","5,783,000","5,370,000","2,000,000","413,000","303,000","848,000",-,-,"26,000","26,000","3,041,000","16,295,000","16,004,000","3,646,000","3,646,000",-,"8,951,000","5,318,000","-1,911,000",-,"291,000","21,374,000","3,646,000","12,358,000","413,000","15,493,000","31,293,000","11,847,000","19,348,000","5,132,000","59,172","59,172",383.5
1,12/31/2021,"211,478,000","14,619,000","14,619,000","2,201,000","352,000","14,619,000","607,000","607,000","607,000","107,000","127,959,000","2,543,000","98,195,000","27,221,000",-,"684,000","65,854,000","66,276,000","8,261,000",-,"3,655,000","54,360,000","422,000","1,928,000","1,928,000",-,-,"583,000","583,000",-,"3,000","563,000","149,000","583,000","-445,000","535,000","375,000","160,000","24,000","24,000","589,000","194,869,000","189,203,000","63,352,000","63,352,000","125,851,000","61,000",-,"61,000",-,-,"121,000","121,000","121,000","398,000","2,958,000","2,570,000",-,"388,000","171,000","896,000",-,-,-,-,"2,587,000","16,609,000","16,236,000","3,646,000","3,646,000",-,"7,442,000","5,157,000","-9,000",-,"373,000","18,806,000","3,646,000","12,590,000","388,000","15,701,000","15,281,000","12,055,000","3,079,000",-,"58,748","58,748",383.5
2,12/31/2020,"115,511,007","17,674,763","17,674,763","17,447,916",-,"17,674,763","226,847","226,847","226,847","61,232","49,306,826","1,802,235","16,592,153","30,912,438","570,445","2,595,779","44,733,723","45,181,488",-,-,-,"45,181,488","447,765","3,205,825","3,205,825",-,-,"385,750","385,750",-,-,"438,230","124,057","385,750","-386,469","204,120","142,685","61,435",776,776,"266,478","107,077,516","101,981,807","35,462,567","35,462,567","66,519,240",-,-,-,-,-,"20,553","20,553","20,553","2,402,283","1,103,182","843,628",-,"259,554","120,796","545,376",-,-,"173,030","173,030","3,971,974","8,433,491","8,219,700","340,190","340,138",52,"5,671,749","1,585,244","622,517",-,"213,791","9,063,328","340,138","7,879,562","259,554","8,015,580","8,743,743","7,675,442","1,123,735",-,"51,888","51,888",350
3,12/31/2019,"71,004,903","6,781,783","6,781,783","6,492,443",0,"6,781,783","289,340","289,340","289,340","60,258","29,071,694","1,213,829","13,842,946","14,014,919",-,"1,143,089","32,859,712","33,164,636","28,428,121","489,949","4,246,566","33,164,636","304,924","1,745,233","1,745,233",-,-,"359,241","359,241",-,-,"390,586","121,907","359,241","-350,617","187,240","137,823","49,417","28,433","28,433","248,828","64,383,823","61,757,807","20,916,237","20,916,237","40,841,570",-,0,0,-,-,"17,430","17,430","17,430","1,026,344","566,834","347,987",-,"218,847","67,656","354,393",-,-,-,-,"2,041,752","6,621,080","6,470,307","340,190","340,138",52,"4,575,601","1,470,071","84,445",-,"150,773","6,818,294","340,138","6,130,169","218,847","6,283,067","6,495,586","5,942,929","584,264",-,"51,656","51,656",350
4,12/31/2018,"56,927,979","3,571,539","3,571,539","3,444,971","2,957","3,571,539","123,611","123,611","123,611","58,878","24,218,589","941,104","15,487,442","7,790,043",-,"410,407","28,057,377","28,338,280","24,456,728","420,672","3,460,880","28,338,280","280,903","951,261","951,261",-,-,"129,213","129,213",-,-,"329,583","98,237","129,213","-298,607",-,-,-,"65,433","65,433","162,809","51,663,136","49,328,900","10,225,478","10,225,478","39,103,422","319,414",0,"319,414",-,-,"631,412","631,412","631,412","268,405","696,465","696,465",-,-,"55,183","224,405",-,-,-,-,"1,006,359","5,264,843","5,116,209",53,0,53,"3,791,838","1,378,438","-54,120",-,"148,634","5,812,674",-,"5,116,209",-,"5,116,209","6,444,086","5,116,209","1,327,877",-,"52,586","52,586",-
5,12/31/2017,"51,214,467","2,923,075","2,923,075","2,672,290","2,909","2,923,075","247,876","247,876","247,876","60,020","24,435,172","651,053","12,663,455","11,120,664",-,"440,890","22,851,292","23,106,316","19,697,163","328,980","3,080,173","23,106,316","255,024","876,246","876,246",-,-,"128,682","128,682",-,-,"305,386","89,225","128,682","-265,929",-,-,-,"63,845","63,845","113,772","46,895,052","44,254,075","7,598,578","7,598,578","36,655,497","330,000","330,000",-,-,-,"1,033,730","1,033,730","1,033,730","311,388","695,492","695,492",-,-,"51,770","167,531",-,-,-,-,"911,755","4,319,415","4,179,795",53,-,53,"2,866,837","1,314,377","-1,472",-,"139,620","4,875,287",-,"4,179,795",-,"4,179,795","5,909,017","4,179,795","1,729,222",-,"52,835","52,835",-
6,12/31/2016,"44,683,660","2,545,750","2,545,750","2,476,588","5,134","2,545,750","64,028","64,028","64,028","57,592","21,669,961","622,552","8,426,998","12,620,411",-,"263,128","19,674,578","19,899,944","16,945,288","241,364","2,713,292","19,899,944","225,366","672,688","672,688",-,-,"120,683","120,683",-,-,"277,968","70,909","120,683","-228,194",-,-,-,"71,840","71,840","106,337","40,906,623","38,979,868","7,004,411","7,004,411","31,975,457",-,0,-,-,-,"512,668","512,668","512,668","132,456","795,704","795,704",-,-,"45,265","135,842",-,-,-,-,"618,383","3,777,037","3,642,554",52,0,52,"2,376,331","1,242,741","23,430",-,"134,483","4,438,258",-,"3,642,554",-,"3,642,554","4,950,926","3,642,554","1,308,372",-,"52,254","52,254",-
7,12/31/2015,"44,686,703","1,503,257","1,503,257","1,372,743","5,123","1,503,257","125,391","125,391","125,391","56,991","25,846,657","674,946","8,790,963","16,380,748",-,"317,915","16,524,457","16,742,070","14,201,115","226,883","2,314,072","16,742,070","217,613","709,707","709,707",-,-,"102,625","102,625",-,-,"241,126","60,339","102,625","-198,840",-,-,-,"73,941","73,941","104,594","41,353,472","39,142,776","8,275,279","8,275,279","30,867,497","135,000","135,000",-,-,-,"774,900","774,900","774,900","185,436","796,702","796,702",-,-,"34,415","151,134",-,-,-,-,"639,094","3,333,231","3,198,134",52,0,52,"1,993,646","1,189,032","15,404",-,"135,097","3,994,836",-,"3,198,134",-,"3,198,134","4,769,736","3,198,134","1,571,602","68,345","51,610","51,610",-
8,12/31/2014,"39,344,640","1,796,062","1,796,062","1,694,329","6,122","1,796,062","95,611","95,611","95,611","53,496","22,690,585","1,728,888","7,421,042","13,540,655",-,"209,962","14,218,917","14,384,276","12,380,611","160,520","1,843,145","14,384,276","165,359","559,231","559,231",-,-,"79,845","79,845",-,-,"226,102","48,780","79,845","-195,037",-,-,-,"49,921","49,921","131,580","35,288,216","34,343,499","9,759,817","9,759,817","24,583,682",-,-,-,-,-,"7,781","7,781","7,781","126,110","453,443","453,443",-,-,"36,419","120,841",-,-,-,-,"483,493","4,056,424","2,817,762",51,0,51,"1,654,657","1,120,350","42,704",-,"1,238,662","3,271,205",-,"2,817,762",-,"2,817,762","3,278,986","2,817,762","461,224",-,"50,925","50,925",-
9,12/31/2013,"26,417,189","1,538,779","1,538,779","1,349,688","16,102","1,538,779","172,989","172,989","172,989","40,632","13,582,315","1,595,494",-,"11,986,821",-,"200,537","10,763,500","10,906,386","9,310,687","99,711","1,495,988","10,906,386","142,886","465,110","465,110",-,-,"67,485","67,485",-,-,"192,804","40,851","67,485","-166,170",-,-,-,"68,237","68,237","72,159","23,337,861","22,472,979","6,578,619","6,578,619","15,894,360",-,-,-,-,-,"5,080","5,080","5,080","104,738","455,216","455,216",-,-,"29,983","117,134",-,-,-,-,"404,586","3,079,328","1,966,270",46,0,46,"1,390,732","624,256","-48,764",-,"1,113,058","2,421,486",-,"1,966,270",-,"1,966,270","2,426,566","1,966,270","460,296",-,"45,800","45,800",-
