,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Properties,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,12/31/2022,"211,793,000","13,803,000","13,803,000","1,293,000",0,"13,803,000","722,000","722,000","722,000","720,000","120,054,000","2,664,000","91,321,000","26,069,000",-,"552,000","73,614,000","74,250,000","9,670,000",-,"3,741,000","60,839,000","636,000",-,"3,082,000","3,082,000",-,-,-,"729,000","729,000",-,"3,000","756,000","164,000","729,000","-529,000","511,000","375,000","136,000","179,000","179,000","843,000","195,498,000","173,109,000","92,356,000","92,356,000","80,753,000","525,000",-,"525,000",-,-,"13,565,000","13,565,000","13,565,000","333,000","5,783,000","5,370,000","2,000,000","413,000","303,000","848,000",-,-,"26,000","26,000","3,041,000","16,295,000","16,004,000","3,646,000","3,646,000",-,"8,951,000","5,318,000","-1,911,000",-,"291,000","21,374,000","3,646,000","12,358,000","413,000","15,493,000","31,293,000","11,847,000","19,348,000","5,132,000","59,172","59,172",383.5
1,9/30/2022,"212,867,000","13,968,000","13,968,000","1,411,000",0,"13,968,000","397,000","397,000","397,000","665,000","122,592,000","2,595,000","93,286,000","26,711,000",-,"666,000","71,572,000","72,129,000","9,436,000",-,"3,726,000","58,967,000","557,000",-,"3,523,000","3,523,000",-,-,-,"695,000","695,000",-,-,-,-,"695,000",-,"517,000","375,000","142,000","1,016,000","1,016,000","515,000","197,057,000","176,819,000","82,831,000","82,831,000","93,988,000",-,-,-,-,-,"13,552,000","13,552,000","13,552,000","524,000","3,797,000","3,368,000",-,"429,000","265,000","600,000",-,-,-,-,"2,889,000","15,810,000","15,509,000","3,646,000","3,646,000",-,"8,676,000","5,272,000","-2,085,000",-,"301,000","18,877,000","3,646,000","11,863,000","429,000","14,992,000","28,783,000","11,346,000","17,349,000","2,952,000","59,104","59,104",383.5
2,6/30/2022,"214,389,000","15,398,000","15,398,000","1,801,000","80,000","15,398,000","544,000","544,000","544,000","373,000","124,682,000","2,645,000","95,814,000","26,223,000",-,"705,000","70,410,000","70,955,000","8,948,000",-,"3,682,000","58,325,000","545,000",-,"2,777,000","2,777,000",-,-,-,"599,000","599,000",-,-,-,-,"599,000",-,"523,000","375,000","148,000","546,000","546,000","554,000","198,113,000","187,945,000","73,976,000","73,976,000","113,969,000",-,-,-,-,-,"3,703,000","3,703,000","3,703,000","424,000","3,744,000","3,367,000",-,"377,000","224,000","444,000",-,-,-,-,"2,721,000","16,276,000","15,918,000","3,646,000","3,646,000",-,"8,247,000","5,223,000","-1,198,000",-,"358,000","19,285,000","3,646,000","12,272,000","377,000","15,395,000","19,342,000","11,749,000","7,447,000",-,"59,081","59,081",383.5
3,3/31/2022,"220,355,000","20,606,000","20,606,000","1,713,000","80,000","20,606,000","420,000","420,000","420,000","304,000","127,303,000","2,605,000","98,707,000","25,991,000",-,"1,438,000","68,244,000","68,665,000","8,613,000",-,"3,592,000","56,460,000","421,000",-,"3,088,000","3,088,000",-,-,-,"585,000","585,000",-,-,-,-,"585,000",-,"529,000","375,000","154,000","274,000","274,000","539,000","203,995,000","198,134,000","70,137,000","70,137,000","127,997,000",-,-,-,-,-,"99,000","99,000","99,000","1,346,000","2,945,000","2,571,000",-,"374,000","175,000","336,000",-,-,-,-,"2,817,000","16,360,000","15,980,000","3,646,000","3,646,000",-,"7,914,000","5,180,000","-760,000",-,"380,000","18,551,000","3,646,000","12,334,000","374,000","15,451,000","15,004,000","11,805,000","3,044,000",-,"58,840","58,840",383.5
4,12/31/2021,"211,478,000","14,619,000","14,619,000","2,201,000","352,000","14,619,000","607,000","607,000","607,000","107,000","127,959,000","2,543,000","98,195,000","27,221,000",-,"684,000","65,854,000","66,276,000","8,261,000",-,"3,655,000","54,360,000","422,000",-,"1,928,000","1,928,000",-,-,-,"583,000","583,000",-,"3,000","563,000","149,000","583,000","-445,000","535,000","375,000","160,000","24,000","24,000","589,000","194,869,000","189,203,000","63,352,000","63,352,000","125,851,000","61,000",-,"61,000",-,-,"121,000","121,000","121,000","398,000","2,958,000","2,570,000",-,"388,000","171,000","896,000",-,-,-,-,"2,587,000","16,609,000","16,236,000","3,646,000","3,646,000",-,"7,442,000","5,157,000","-9,000",-,"373,000","18,806,000","3,646,000","12,590,000","388,000","15,701,000","15,281,000","12,055,000","3,079,000",-,"58,748","58,748",383.5
5,9/30/2021,"190,996,000","18,940,000","18,940,000","1,185,000","27,000","18,940,000","216,000","216,000","216,000","107,000","107,834,000","2,485,000","82,365,000","22,984,000",-,"906,000","61,089,000","61,487,000","7,740,000",-,"3,733,000","50,014,000","398,000",-,"2,074,000","2,074,000",-,-,-,"559,000","559,000",-,-,-,-,"559,000",-,"500,000","344,000","156,000",0,0,"597,000","176,327,000","171,182,000","55,794,000","55,794,000","115,388,000",-,-,-,-,-,"97,000","97,000","97,000","793,000","2,315,000","1,925,000",-,"390,000","149,000","651,000",-,-,"88,000","88,000","2,733,000","14,669,000","14,300,000","2,064,000","2,064,000",-,"7,071,000","5,100,000","65,000",-,"369,000","16,225,000","2,064,000","12,236,000","390,000","13,800,000","14,258,000","11,736,000","2,412,000",-,"58,677","58,677",367.5
6,6/30/2021,"163,399,000","23,959,000","23,959,000",-,-,"23,959,000","762,000","762,000","762,000","83,000","85,811,000","1,943,000","59,992,000","23,876,000",-,"1,848,000","50,358,000","50,754,000",-,-,-,"50,754,000","396,000",-,"2,650,000","2,650,000",-,-,-,"421,000","421,000",-,-,-,-,"421,000",-,"200,000","143,000","57,000","2,000","2,000","346,000","151,432,000","145,838,000","44,579,000","44,579,000","101,259,000",-,-,-,-,-,"34,000","34,000","34,000","1,844,000","2,111,000","1,834,000",-,"277,000","120,000","408,000",-,-,"22,000","22,000","3,449,000","11,967,000","11,667,000","2,064,000","2,064,000",-,"6,706,000","2,755,000","142,000",-,"300,000","13,501,000","2,064,000","9,603,000","277,000","11,467,000","11,471,000","9,403,000","2,145,000",-,"54,530","54,530",367.5
7,3/31/2021,"142,346,620","21,254,859","21,254,859","20,966,421",-,"21,254,859","288,438","288,438","288,438","83,355","69,008,852","1,857,761","41,164,620","25,986,471",-,"3,468,116","47,283,415","47,675,166",-,-,-,"47,675,166","391,751",-,"4,184,114","4,184,114",-,-,-,"413,370","413,370",-,-,-,-,"413,370",-,"202,010","142,685","59,325","1,847","1,847","311,690","132,225,841","124,150,106","39,710,109","39,710,109","84,439,997",-,-,-,-,-,"38,434","38,434","38,434","3,354,675","1,625,596","1,338,183",-,"287,413","104,750","266,166",-,-,-,-,"6,411,705","10,120,779","9,894,892","1,079,387","1,079,333",54,"6,203,969","2,590,576","20,960",-,"225,887","11,233,075","1,079,333","8,815,559","287,413","9,692,882","10,192,176","8,613,549","1,664,030",-,"54,002","54,002",357.5
8,12/31/2020,"115,511,007","17,674,763","17,674,763","17,447,916",-,"17,674,763","226,847","226,847","226,847","61,232","49,306,826","1,802,235","16,592,153","30,912,438","570,445","2,595,779","44,733,723","45,181,488",-,-,-,"45,181,488","447,765",-,"3,205,825","3,205,825",-,-,-,"385,750","385,750",-,-,"438,230","124,057","385,750","-386,469","204,120","142,685","61,435",776,776,"266,478","107,077,516","101,981,807","35,462,567","35,462,567","66,519,240",-,-,-,-,-,"20,553","20,553","20,553","2,402,283","1,103,182","843,628",-,"259,554","120,796","545,376",-,-,"173,030","173,030","3,971,974","8,433,491","8,219,700","340,190","340,138",52,"5,671,749","1,585,244","622,517",-,"213,791","9,063,328","340,138","7,879,562","259,554","8,015,580","8,743,743","7,675,442","1,123,735",-,"51,888","51,888",350
9,9/30/2020,"96,916,771","15,687,776","15,687,776","15,237,612",-,"15,687,776","450,164","450,164","450,164","61,232","40,433,910","1,547,363","12,982,223","25,904,324","474,415","1,670,463","37,900,933","38,413,891",-,-,-,"38,413,891","512,958",-,"2,316,979","2,316,979",-,-,-,"393,970","393,970",-,-,-,-,"393,970",-,"183,203","137,823","45,380",347,347,"347,984","88,949,391","84,773,020","27,264,791","27,264,791","57,508,229",-,-,-,-,-,"19,068","19,068","19,068","1,606,306","1,090,082","843,430",-,"246,652","101,515","353,759",-,-,"159,967","159,967","3,067,221","7,967,380","7,792,935","340,190","340,138",52,"5,283,433","1,548,918","620,394",-,"174,445","8,636,365","340,138","7,452,797","246,652","7,609,732","8,315,295","7,269,594","1,109,150",-,"51,788","51,788","14,000"
