,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Prepaid Assets,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Accrued Expense,Change in Other Current Liabilities,Change in Other Working Capital,Dividend Received CFO,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Intangibles Purchase And Sale,Purchase of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"2,864,000","2,864,000","1,609,000","418,000",-,-,"285,000","222,000","222,000","591,000","591,000",-,"129,000",-,"2,000","183,000","-18,000","420,000",-,"-749,000",-,-,-,-,-,-,-,-,-,-,"-749,000","57,000","-3,638,000","-3,638,000","4,456,000","-18,066,000","22,522,000",-,-,"-7,879,000",-,-,"-215,000","-215,000",-,-,0,0,-,-,"-9,000","-9,000","16,289,000","2,795,000","2,795,000",-,"13,494,000",-,"-22,000",-,"-22,000",0,0,-,"-163,000","-163,000",-,"-19,000",-,"13,803,000","-783,000",-,"14,586,000",-,"96,000","981,000","-215,000",0,"2,795,000",-,"-22,000","2,649,000"
1,12/31/2022,"2,864,000","2,864,000","1,609,000","418,000",-,-,"285,000","222,000","222,000","591,000","591,000",-,"129,000",-,"2,000","183,000","-18,000","420,000",-,"-749,000",-,-,-,-,-,-,-,-,-,-,"-749,000","57,000","-3,638,000","-3,638,000","4,456,000","-18,066,000","22,522,000",-,-,"-7,879,000",-,-,"-215,000","-215,000",-,-,0,0,-,-,"-9,000","-9,000","16,289,000","2,795,000","2,795,000",-,"13,494,000",-,"-22,000",-,"-22,000",0,0,-,"-163,000","-163,000",-,"-19,000",-,"13,803,000","-783,000",-,"14,586,000",-,"96,000","981,000","-215,000",0,"2,795,000",-,"-22,000","2,649,000"
2,12/31/2021,"1,812,000","1,812,000","2,073,000","-791,000",-,-,"-761,000","151,000","151,000","-8,000","-8,000",-,"182,000",-,"39,000","136,000","-40,000","123,000",-,"-254,000",-,-,-,-,-,-,-,-,-,-,"-254,000","201,000","-90,336,000","-90,336,000","-77,578,000","-98,031,000","20,453,000",-,-,"-13,726,000",-,"-13,726,000","-113,000","-113,000",-,-,"1,081,000",-,"1,081,000",-,"85,468,000","85,468,000","1,693,000","1,636,000","1,636,000",0,"57,000",-,"2,374,000","2,374,000",0,"3,306,000","3,306,000",-,"-63,000","-63,000",-,"-80,000",-,"14,619,000","-3,056,000",-,"17,675,000",-,"739,000","93,000","-113,000","5,680,000","1,636,000",0,0,"1,699,000"
3,12/31/2020,"1,445,487","1,445,487","1,294,294","-471,112",-,-,"-420,752","100,840","100,840","6,911","6,911","227,500","-98,797",-,"30,170","83,986","-5,857","219,510",-,"-27,545",-,-,-,-,-,-,-,-,-,"190,983","-27,545","85,587","-31,205,721","-31,205,721","-19,165,178","-30,187,454","11,022,276",-,-,"-11,926,436",-,-,"-87,407","-87,407",-,-,"-26,700","-26,700",-,-,"40,653,214","40,653,214","498,147","495,024","495,024",0,"3,123",-,"-28,874","31,146","-60,020",0,0,-,"-17,151","-17,151",-,"-22,908",-,"17,674,763","10,892,980",-,"6,781,783",-,"299,175","83,746","-87,407","31,146","495,024",0,"-60,020","1,358,080"
4,12/31/2019,"1,164,129","1,164,129","1,184,717","-150,936",-,-,"-134,670","82,717","82,717","-3,072","-3,072","8,959","-139,916","15,513","5,219","66,815","-9,588","106,416",-,"-82,333",-,-,-,-,-,-,-,-,-,"-15,253","-82,333","95,131","-9,371,882","-9,371,882","-4,430,300","-10,500,783","6,070,483",-,-,"-4,773,775",-,-,"-65,479","-65,479",-,-,"-102,328","-102,328",0,-,"11,417,997","11,417,997","-972,377","-358,395",-,"-358,395","-613,982",-,"-327,693","24,818","-352,511","340,138","340,138",-,-,-,-,"-50,978",-,"6,781,783","3,210,244",-,"3,571,539",-,"422,346","217,961","-65,479","364,956",-,"-358,395","-352,511","1,098,650"
5,12/31/2018,"933,562","933,562","1,011,348","-123,554",-,-,"-88,094","57,906","57,906","-21,061","-21,061",-,"-128,105",-28,"7,278","45,675","-17,989","87,870",-,"-57,821",-,-,-,-,-,-,-,-,-,"56,874","-57,821","72,015","-4,800,375","-4,800,375","420,899","-5,476,433","5,897,332",-,-,"-5,175,409",-,-,"-45,865","-45,865",-,-,0,-,0,-,"4,515,277","4,515,277","-402,318",0,-,0,"-402,318",-,"-128,736","18,387","-147,123",-,-,-,-,-,-,"-28,494",-,"3,571,539","648,464",-,"2,923,075",-,"376,425","75,601","-45,865","18,387",-,0,"-147,123","887,697"
6,12/31/2017,"580,099","580,099","519,178","-62,204",-,-,"-64,603","56,123","56,123","25,187","25,187","-5,124","-109,208","2,530",-,"36,900","-18,014","92,304",-,"44,957",-,-,-,-,-,-,-,-,-,"31,689","44,957",-,"-5,903,730","-5,903,730","-2,685,747","-8,431,958","5,746,211",-,-,"-3,170,099",-,"-3,170,099","-50,884","-50,884",-,-,"3,000",-,"3,000",-,"5,700,956","5,700,956","423,281","-97,781",-,"-97,781","521,062",-,"27,003","27,003",-,-,-,-,-,-,-,"-23,535",-,"2,923,075","377,325",-,"2,545,750",-,"277,823","45,592","-50,884","27,003",-,"-97,781",-,"529,215"
7,12/31/2016,"437,977","437,977","390,266","-70,027",0,-,"-51,740","46,819","46,819","-4,235","-4,235",-,"-91,568","6,582",-,"35,494",-,"106,679",-,"24,549",-,-,-,-,-,-,-,-,-,"-15,292","24,549",-,"1,015,344","1,015,344","4,225,936","-1,784,210","6,010,146",-,-,"-3,157,281","12,212","-3,169,493","-53,311","-53,311",-,-,0,-,0,-,"-410,828","-410,828","-262,232",0,0,-,"-262,232",-,"26,147","26,147",-,-,-,-,-,-,-,"-11,835",-,"2,545,750","1,042,493",-,"1,503,257",-,"240,752","42,918","-53,311","26,147",0,-,-,"384,666"
8,12/31/2015,"339,813","339,813","374,820","-144,202","-1,287",-,"-89,445","40,008","40,008","-9,133","-9,133",-,"-71,113","18,271",-,"32,239",-,"95,683",-,"21,511",-,-,-,-,-,-,-,-,-,"30,293","21,511",-,"-6,496,352","-6,496,352","-4,168,153","-7,514,940","3,346,787",-,-,"-2,329,560","5,593","-2,335,153","-53,918","-53,918",-,-,"55,279",-,"55,279",-,"5,848,782","5,848,782","1,113,550","346,431","346,431",-,"767,119",-,"22,410","22,410",-,-,-,-,-,-,-,"-6,916",-,"1,503,257","-307,757",-,"1,811,014",-,"220,484","35,280","-53,918","22,410","346,431",-,-,"285,895"
9,12/31/2014,"255,517","255,517","478,715","-275,228","13,934",-,"-267,023","39,696","39,696","-43,516","-43,516",-,"-57,413","25,311",-,"29,545",-7,"65,997",-,"17,728",-,-,-,-,-,-,-,-,-,"3,707","17,728",-,"-12,233,931","-12,233,931","-8,717,124","-11,410,761","2,693,637",-,-,"-3,474,376","6,155","-3,480,531","-42,431","-42,431",-,-,-,-,-,-,"12,250,649","12,250,649","2,701",0,-,0,"2,701",-,"457,012","457,012",-,-,-,-,-,-,-,"-79,584",-,"1,811,014","272,235",-,"1,538,779",-,"208,558","35,181","-42,431","457,012",-,0,-,"213,086"
