,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Prepaid Assets,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Accrued Expense,Change in Other Current Liabilities,Change in Other Working Capital,Dividend Received CFO,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Intangibles Purchase And Sale,Purchase of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"2,864,000","2,864,000","1,609,000","418,000",-,"285,000",-,"222,000","222,000","591,000","591,000",-,"129,000",-,"2,000","183,000","-18,000","420,000",-,"-749,000",-,-,-,-,-,-,-,-,-,-,"-749,000","57,000","-3,638,000","-3,638,000","4,456,000","-18,066,000","22,522,000",-,"-7,879,000",-,-,"-215,000","-215,000",-,-,0,0,-,-,"-9,000","-9,000","16,289,000","2,795,000","2,795,000",-,"13,494,000",-,-,"-22,000",-,"-22,000",0,0,"-163,000","-163,000",-,"-19,000",-,"13,803,000","-783,000",-,"14,586,000",-,"96,000","981,000","-215,000",0,"2,795,000",-,"-22,000","2,649,000"
1,12/31/2022,"1,020,000","1,020,000","305,000","-88,000",-,"86,000",-,"67,000","67,000","764,000","764,000",-,"50,000",-,"2,000","37,000","2,000","141,000",-,"-265,000",-,-,-,-,-,-,-,-,-,-,"-265,000","5,000","546,000","546,000","2,740,000","-406,000","3,146,000",-,"-2,120,000",-,-,"-74,000","-74,000",-,-,0,-,-,-,"-1,731,000","-1,731,000","2,010,000","1,997,000","1,997,000",-,"13,000",-,-,"9,000",-,"9,000",0,0,"-40,000","-40,000",-,0,-,"13,803,000","-165,000",-,"13,968,000",-,"-153,000","569,000","-74,000",0,"-11,484,000",-,"9,000","946,000"
2,9/30/2022,"433,000","433,000","418,000","333,000",-,"127,000",-,"55,000","55,000","-120,000","-120,000",-,"21,000",-,-,"52,000",0,"72,000",-,"-421,000",-,-,-,-,-,-,-,-,-,-,"-421,000","23,000","-556,000","-556,000","672,000","-2,129,000","2,801,000",-,"-1,152,000",-,"-1,152,000","-76,000","-76,000",-,-,-,-,-,-,"-1,274,000","-1,274,000","9,900,000","1,000","1,000",-,"9,899,000","9,899,000",-,"-2,000",-,"-2,000",0,0,"-40,000","-40,000",-,"-6,000",-,"13,968,000","-1,397,000",-,"15,398,000",-,"-3,000","274,000","-76,000",0,"9,900,000",-,"-2,000","357,000"
3,6/30/2022,"1,052,000","1,052,000","353,000","187,000",-,"157,000",-,"50,000","50,000","-100,000","-100,000",-,"19,000",-,-,"43,000","-10,000","196,000",-,"300,000",-,-,-,-,-,-,-,-,-,-,"300,000","14,000","-428,000","-428,000","1,870,000","-5,129,000","6,999,000",-,"-2,265,000",-,"-2,265,000","-33,000","-33,000",-,-,-,-,-,-,"-5,832,000","-5,832,000","4,401,000","797,000","797,000",-,"3,604,000",-,-,"-2,000",-,"-2,000",0,0,"-40,000","-40,000",-,"-2,000",-,"15,398,000","-5,208,000",-,"20,606,000",-,"221,000","95,000","-33,000",0,"4,379,000",-,"-2,000","1,019,000"
4,3/31/2022,"359,000","359,000","533,000","-14,000",-,"-85,000",-,"50,000","50,000","47,000","47,000",-,"39,000",-,-,"51,000","-10,000","11,000",-,"-363,000",-,-,-,-,-,-,-,-,-,-,"-363,000","15,000","-3,200,000","-3,200,000","-826,000","-10,402,000","9,576,000",-,"-2,342,000",-,"-2,342,000","-32,000","-32,000",-,-,-,-,-,-,"8,828,000","8,828,000","-22,000",0,0,-,"-22,000",-,-,"-27,000",-,"-27,000",0,0,"-43,000","-43,000",-,"-11,000",-,"20,606,000","5,987,000",-,"14,619,000",-,"31,000","43,000","-32,000",0,0,-,"-27,000","327,000"
5,12/31/2021,"683,000","683,000","408,000","-99,000",-,"-100,000",-,"45,000","45,000","-81,000","-81,000",-,"81,000",-,"1,000","43,000","-6,000","48,000",-,"208,000",-,-,-,-,-,-,-,-,-,-,"208,000","35,000","-25,256,000","-25,256,000","-20,465,000","-27,278,000","6,813,000",-,"-4,720,000",-,"-4,720,000","-36,000","-36,000",-,-,"-35,000",-,"-35,000",-,"20,252,000","20,252,000","669,000","646,000","646,000",-,"23,000",-,-,"12,000","12,000",0,"1,582,000","1,582,000","-23,000","-23,000",-,"-10,000",-,"14,619,000","-4,321,000",-,"18,940,000",-,"192,000","36,000","-36,000","1,594,000","612,000",-,0,"647,000"
6,9/30/2021,"434,000","434,000","475,000","-187,000",-,"-189,000",-,"45,000","45,000","40,000","40,000",-,"50,000",-,-,"38,000","-4,000","21,000",-,"-144,000",-,-,-,-,-,-,-,-,-,-,"-144,000","62,000","-23,039,000","-23,039,000","-20,686,000","-25,706,000","5,020,000",-,"-3,433,000",-,"-3,433,000","-36,000","-36,000",-,-,-,-,-,-,"17,586,000","17,586,000","21,000",0,0,-,"21,000","21,000",-,"1,247,000","1,247,000",0,0,0,"-23,000","-23,000","1,247,000","-19,000",-,"18,940,000","-5,019,000",-,"23,959,000",-,"177,000","26,000","-36,000","1,247,000","21,000",-,0,"398,000"
7,6/30/2021,"481,078","481,078","628,236","-322,010",-,"-304,922",-,"30,051","30,051","-24,513","-24,513",-,"54,742",-,-,"28,309","-19,112","35,321",-,"-12,365",-,-,-,-,-,-,-,-,-,"142,210","-12,365","82,419","-21,031,061","-21,031,061","-17,969,385","-22,891,240","4,921,855",-,"-3,034,527",-,"-3,034,527","-27,149","-27,149",-,-,-,-,-,-,"23,253,887","23,253,887","490,764","495,645","495,645",-,"-4,881",-,-,"141,169","141,169",0,"984,805","984,805","-12,406","-12,406","141,169","-38,146",-,"23,959,000","2,703,904",-,"21,254,859",-,"341,159","14,280","-27,149","1,125,974","508,645",-,0,"453,929"
8,3/31/2021,"213,922","213,922","561,764","-182,990",-,"-167,078",-,"30,949","30,949","57,513","57,513",-,"-3,742",-,-,"26,691","-10,888","18,679",-,"-305,635",-,-,-,-,-,-,-,-,-,"-279,210","-305,635","21,581","-21,009,939","-21,009,939","-18,457,615","-22,155,760","3,698,145",-,"-2,538,473",-,"-2,538,473","-13,851","-13,851",-,-,-,-,-,-,"24,376,113","24,376,113","512,236","494,355","494,355",-,"17,881",-,-,"973,831","973,831",0,"739,195","739,195","-4,594","-4,594","973,831","-12,854",-,"21,254,859","3,580,096",-,"17,674,763",-,"28,841","16,720","-13,851","1,713,026","494,355",-,0,"200,071"
9,12/31/2020,"392,196","392,196","438,801","-108,342",-,"-149,992",-,"27,233","27,233","11,035","11,035",0,"-30,410",-,"30,170","23,253","-2,408","-38,433",-,"20,413",-,-,-,-,-,-,-,-,-,"191,617","20,413","20,884","-15,617,350","-15,617,350","-8,835,956","-11,651,757","2,815,801",-,"-6,733,290",-,-,"-21,404","-21,404",-,-,"-26,700","-26,700",-,-,"17,212,141","17,212,141","1,485",0,0,-,"1,485",-,-,"13,008","13,008",0,-,-,"-4,594","-4,594",-,"-6,545",-,"17,674,763","1,986,987",-,"15,687,776",-,"12,077","16,734","-21,404","13,008",0,-,0,"370,792"
10,9/30/2020,"307,813","307,813","474,055","-243,703",-,"-189,837",-,"23,957","23,957","68,631","68,631",0,"-19,978",-,0,"21,408","-1,268","-52,018",-,"21,151",-,-,-,-,-,-,-,-,-,"114,569","21,151","15,578","-9,055,503","-9,055,503","-7,377,588","-9,777,944","2,400,356",-,"-1,663,126",-,"-1,663,126","-14,789","-14,789",-,-,0,0,-,-,"10,233,360","10,233,360","-31,856",0,0,-,"-31,856",-,-,"4,797","4,797",0,-,-,"-4,594","-4,594","4,797","-2,243",-,"15,687,776","1,485,670",-,"14,202,106",-,"229,559",-481,"-14,789","4,797",0,-,0,"293,024"
11,6/30/2020,"577,353","577,353","247,789","-28,552",-,"-34,868",-,"24,826","24,826","-12,629","-12,629","47,000","-28,958",-,0,"20,154",394,"66,481",-,"204,069",-,-,-,-,-,-,-,-,-,"121,631","204,069","36,779","-5,933,827","-5,933,827","-5,174,090","-6,848,373","1,674,283",-,"-733,611",-,"-733,611","-26,126","-26,126",-,-,0,0,-,-,"9,997,132","9,997,132","-2,592,214",-,-,-,"-3,087,238",-,-,"13,925","13,925",0,-,-,"-4,594","-4,594","13,925","-13,792",-,"14,202,106","4,640,658",-,"9,561,448",-,"25,551","21,348","-26,126","13,925",-,-,0,"551,227"
12,3/31/2020,"168,125","168,125","133,649","-90,515",-,"-46,055",-,"24,824","24,824","-60,126","-60,126","180,500","-19,451",-,0,"19,171","-2,575","243,480",-,"-273,178",-,-,-,-,-,-,-,-,-,"-236,834","-273,178","12,346","-599,041","-599,041","2,222,456","-1,909,380","4,131,836",-,"-2,796,409",-,"-2,796,409","-25,088","-25,088",-,-,0,0,-,-,"3,210,581","3,210,581","3,120,732",-,-,-,"3,120,732",-,-,"-60,604",-584,"-60,020",-,-,"-3,369","-3,369",-584,-328,-,"9,561,448","2,779,665",-,"6,781,783",-,"31,988","46,145","-25,088",-584,-,-,"-60,020","143,037"
13,12/31/2019,"454,385","454,385","274,816","-27,690",-,"-28,095",-,"22,309","22,309","-1,352","-1,352",-,"-37,179","5,867","5,034","16,265","-1,657","17,383",-,"159,950",-,-,-,-,-,-,-,-,-,"94,584","159,950","17,547","-2,807,106","-2,807,106","-686,874","-2,159,954","1,473,080",-,"-2,088,624",-,-,"-31,608","-31,608",-,-,0,0,-,-,"2,188,308","2,188,308","-359,863",-,-,-,"-1,468",-,-,"12,076","12,076",0,-,-,-,-,-,"-18,976",-,"6,781,783","-164,413",-,"6,946,196",-,"42,767","53,458","-31,608","352,214",-,-,0,"422,777"
14,9/30/2019,"259,173","259,173","281,718","-35,737",-,"-29,849",-,"19,584","19,584","2,134","2,134",-,"-31,018","4,653",0,"18,782",-562,"36,536",-,"-69,264",-,-,-,-,-,-,-,-,-,"65,632","-69,264","37,000","-6,247,755","-6,247,755","-4,392,195","-5,470,327","1,078,132",-,"-1,840,321",-,-,"-15,239","-15,239",-,-,0,0,-,-,"3,913,853","3,913,853","-5,354",-,-,-,"-5,354",-,-,"-4,347","1,383","-5,730",-,-,-,-,-,"-8,780",-,"6,946,196","-2,074,729",-,"9,020,925",-,"68,975","69,652","-15,239","1,383",-,-,"-5,730","243,934"
