,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Securities Amortization,Other Non Interest Expense,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"6,213,000","4,485,000","5,673,000","3,208,000","3,208,000","2,253,000",-,"212,000",-,"1,188,000","862,000","216,000","110,000",-,"1,728,000","1,117,000","1,117,000","341,000","142,000","150,000","484,000",-,"420,000","288,000","-97,000","-97,000",-,"166,000","-420,000","3,571,000","370,000","370,000",-,"480,000","2,368,000","2,368,000","2,293,000","75,000","85,000",-,-,"353,000","-50,000","50,000",-,-,-,"2,172,000","563,000","1,509,000","1,672,000","1,609,000","1,609,000",-,-,"63,000","163,000","1,509,000",-,-,-,-,"4,065,000","1,672,000","1,709,400","212,000","222,000","1,672,000","-50,000","-50,000",0,"-12,600"
1,12/31/2022,"6,213,000","4,485,000","5,673,000","3,208,000","3,208,000","2,253,000",-,"212,000",-,"1,188,000","862,000","216,000","326,000",-,"1,728,000","994,000","994,000","277,000","83,000","150,000","484,000",-,"420,000","285,000","-137,000","-137,000",-,"166,000","-420,000","3,571,000","370,000","370,000",-,"480,000","2,453,000","2,453,000","2,293,000","75,000","85,000",-,-,"268,000","-50,000","50,000",-,-,-,"2,172,000","563,000","1,509,000","1,672,000","1,609,000","1,609,000",-,-,"63,000","163,000","1,509,000",25.58,25.35,"58,987","59,516","4,065,000","1,672,000","1,709,400","212,000","222,000","1,672,000","-50,000","-50,000",0,"-12,600"
2,12/31/2021,"5,917,000","3,179,000","3,289,000","1,966,000","1,966,000","1,305,000",-,"18,000",-,"110,000","62,000",-,"48,000",-,"2,738,000","568,000","568,000","239,000","44,000","131,000","154,000",-,"459,000","262,000","1,321,000","1,321,000",-,"128,000","-123,000","2,941,000","261,000","261,000",-,"392,000","2,087,000","2,087,000","2,015,000","48,000","24,000",-,-,"201,000","-129,000","129,000",-,0,-,"2,724,000","651,000","1,770,000","1,833,000","2,073,000","2,073,000",-,-,"-240,000","63,000","1,770,000",31.74,31.25,"55,763","56,638","3,056,000","1,833,000","1,931,171","18,000","151,000","1,833,000","-129,000","-129,000",0,"-30,829"
3,12/31/2020,"3,996,432","2,156,284","2,241,610","1,520,021","1,520,021","696,047",-,"25,542",-,"85,326","60,219",-,"25,107",-,"1,840,148","491,105","491,105","194,528","38,960","97,737","198,840","76,583","413,985","178,733","658,180","658,180",-,"98,145","-219,510","2,035,041","228,014","228,014","127,125","247,084","1,369,768","1,369,768","1,318,457","27,587","23,724",-,-,"190,175",0,-,-,0,-,"1,741,881","447,587","1,191,217","1,208,368","1,294,294","1,294,294",-,-,"-85,926","17,151","1,191,217",23.05,22.87,"51,685","52,084","1,936,774","1,208,368","1,208,368","25,542","100,840","1,208,368",0,0,0,0
4,12/31/2019,"3,318,080","2,096,601","2,309,408","1,599,165","1,599,165","613,803",-,"96,440",-,"212,807","177,672",-,"35,135",-,"1,221,479","538,922","538,922","181,789","32,522","118,719","238,414","67,540","195,177","159,262","272,748","272,748",-,"55,370","-106,416","1,601,262","166,049","166,049","96,770","205,479","1,077,155","1,077,155","989,734","18,509","68,912",-,-,"152,579","-8,960",-,-,"8,960",-,"1,610,402","425,685","1,136,856","1,136,856","1,184,717","1,184,717",-,-,"-47,861",-,"1,136,856",21.90,21.73,"51,915","52,311","1,990,185","1,136,856","1,136,856","96,440","82,717","1,136,856","-8,960","-8,960",0,0
5,12/31/2018,"2,625,259","1,893,988","1,969,909","1,358,480","1,358,480","576,221",-,"35,208",-,"75,921","29,306",-,"46,615",-,"731,271","363,365","377,078","152,646","23,016","94,072","130,360","13,713",-,"138,812","177,236","177,236",-,"51,858","-87,870","1,174,480","132,671","132,671","77,918","158,835","809,436","809,436","726,980","34,276","48,180",-,-,"73,538",-,-,-,-,-,"1,362,909","351,561","973,840","973,840","1,011,348","1,011,348",-,-,"-37,508",-,"973,840",18.35,18.11,"53,078","53,772","1,806,118","973,840","973,840","35,208","57,906","973,840",-,-,0,0
6,12/31/2017,"1,964,624","1,420,369","1,465,140","1,025,788","1,025,788","417,847",-,"21,505",-,"44,771","8,676",-,"36,095",-,"544,255","250,227","263,203","130,524","21,214","76,543","56,136","12,976",-,"115,760","119,158","119,158",-,"59,110","-92,304","997,679","120,150","120,150","71,753","121,935","683,449","683,449","606,402","35,069","41,978",-,-,"72,145",-,-,-,-,-,"874,641","355,463","490,506","490,506","519,178","519,178",-,-,"-28,672",-,"490,506",9.33,9.20,"52,588","53,306","1,328,065","490,506","490,506","21,505","56,123","490,506",-,-,0,0
7,12/31/2016,"1,594,618","1,150,523","1,193,396","834,155","834,155","349,171",-,"10,070",-,"42,873","5,611",-,"37,262",-,"444,095","199,530","211,987","111,563",-,"68,205","32,219","12,457",-,"104,183","100,321","100,321",-,"40,061","-106,679","847,340","105,430","105,430","65,502","94,982","584,685","584,685","514,270","30,285","40,130",-,-,"62,243",-,-,-,-,-,"640,599","250,333","382,685","382,685","390,266","390,266",-,-,"-7,581",-,"382,685",7.37,7.31,"51,915","52,349","1,043,844","382,685","382,685","10,070","46,819","382,685",-,-,0,0
8,12/31/2015,"1,465,804","1,006,425","1,046,765","693,147","693,147","347,551",-,"6,067",-,"40,340","5,447",-,"34,893",-,"459,379","164,960","178,375","100,108","15,941","56,657","21,610","13,415",-,"87,007","173,250","173,250",0,"34,162","-95,683","766,547","86,601","86,601","51,927","82,839","538,820","538,820","473,841","25,455","39,524",-,-,"58,287",-,-,-,-,-,"603,574","228,754","343,904","343,904","374,820","374,820",-,-,"-30,916",-,"343,904",6.70,6.62,"51,318","51,916","910,742","343,904","343,904","6,067","40,008","343,904",0,0,0,0
9,12/31/2014,"1,415,716","856,595","891,916","610,945","610,945","274,507",-,"6,464",-,"35,321","12,114",-,"23,207",-,"559,121","124,854","137,972","81,297","13,498","41,792","14,883","13,118",-,"71,659","363,868","363,868","-13,934","-1,260","-65,997","697,242","79,720","79,720","49,716","94,377","468,749","468,749","409,486","19,206","40,057",-,"9,691","54,396",-,-,-,-,-,"652,477","173,762","263,925","263,925","478,715","478,715",-,-,"-214,790",-,"263,925",5.39,5.31,"48,931","49,662","790,598","263,925","263,925","6,464","39,696","263,925","-13,934","-13,934",0,0
10,12/31/2013,"1,358,408","697,344","729,621","542,204","542,204","183,363",-,"4,054",-,"32,277","9,128",-,"23,149",-,"661,064","105,922","118,064","71,644","11,163","32,461","13,959","12,142",-,"57,411","461,592","461,592",0,"36,139","-71,335","601,896","70,872","70,872","45,935","76,178","412,919","412,919","366,801","12,784","33,334",-,"6,436","41,927",-,-,-,-,-,"685,177","139,058","215,853","215,853","546,119","546,119",-,-,"-330,266",-,"215,853",4.73,4.67,"45,309","45,944","626,009","215,853","215,853","4,054","35,894","215,853",0,0,0,0
11,12/31/2012,"942,242","617,864","648,718","469,146","469,146","175,427",-,"4,145",-,"30,854","6,660",-,"24,194",-,"324,378","76,751","87,919","48,571",-,"24,809","14,539","11,168",-,"48,992","144,234","144,234",-,"54,401","-44,818","534,342","63,225","63,225","40,689","67,845","367,310","367,310","326,942","10,959","29,409",-,"3,911","35,962",-,-,-,-,-,"363,082","113,269","175,103","175,103","249,813","249,813",-,-,"-74,710",-,"175,103",3.96,3.91,"44,242","44,764","573,046","175,103","175,103","4,145","28,122","175,103",-,-,0,0
12,12/31/2011,"908,609","526,277","565,388","389,830","389,830","169,072",-,"6,486",-,"39,111","8,862",-,"30,249",-,"382,332","106,261","106,261","31,208",-,"18,741","56,312",-,-,"43,891","233,715","195,034","38,681","42,356","-6,101","500,628","47,959","19,624","28,335","60,807","332,393","332,393","313,043","10,298","19,350",-,-,"59,469","-35,219",-,0,-,"35,219","401,880","119,087","171,902","171,902","282,793","282,793",-,-,"-110,891",-,"171,902",4.00,3.94,"43,004","43,637","520,176","171,902","144,683","6,486","27,490","171,902","38,681","38,681",0,"11,462"
13,12/31/2010,"665,665","418,135","461,731","319,540","319,540","131,231",-,"10,960",-,"43,596","14,778",-,"28,818",-,"247,530","144,648","144,648","31,669","18,020","12,685","100,294",-,-,"36,150","102,882","93,360","9,522","45,164","-44,628","422,818","42,401","19,378","23,023","56,123","273,483","273,483","248,606","16,498","24,877",-,-,"50,811",0,-,0,-,"30,574","198,219","61,402","94,951","94,951","136,817","136,817",-,-,"-41,866",-,"94,951",2.27,2.24,"41,774","42,478","373,507","94,951","88,379","10,960","19,259","94,951","9,522","9,522",0,"2,950"
14,12/31/2009,"479,893","382,150","431,226","335,806","335,806","85,630",-,"9,790",-,"49,076","-21,346",-,"27,730","42,692","97,743","129,705","129,705","27,663",-,"19,647","82,395",-,-,-,"-31,962","-31,209",-753,-,"-90,180","339,774","41,158","17,888","23,270","46,540","197,671","197,671","189,631",-,"8,040",-,-,"54,405","-4,092",-,"4,092",-,"-1,367","45,847","35,207","22,674","48,010","10,640","10,640",-,-,"37,370","25,336","22,674",0.67,0.66,"33,901","34,183","291,970","48,010","51,159","9,790","35,392","48,010","-4,845","-4,845",0,"-1,696"
15,12/31/2008,"528,157","372,009","439,491","364,192","364,192","62,727",-,"12,572",-,"67,482","-23,929",-,"43,553","47,858","156,148","140,414","140,414","24,110",-,-,"116,304",-,-,-,"3,728","3,728",-,"12,006","-97,013","313,987","39,490","17,307","22,183","39,480","190,319","190,319","178,415",-,"11,904",-,-,"44,698",0,-,0,-,"3,858","136,296","56,452","79,137","79,844","60,705","60,705",0,"35,929","19,139",707,"79,137",2.27,2.16,"32,425","34,015","274,996","79,844","79,844","12,572","25,057","79,844",0,0,0,0
16,12/31/2007,"602,317","380,933","443,386","361,903","361,903","63,667",-,"17,816",-,"62,453","13,285",-,"49,168",-,"221,384","107,297","107,297","15,554",-,-,"91,743",-,-,-,"46,724","46,724",-,"67,363","-16,836","329,265","40,585",-,-,-,"213,892","213,892","213,892",-,-,-,-,"74,788","-17,204",-,-,-,-,"210,416","86,778","123,638","123,638","152,234","123,638",-,-,"-28,596",-,"123,638",3.64,3.37,"33,950","36,738","364,097","123,638","134,821","17,816","27,028","123,638","-17,204","-17,204",0,"-6,021"
17,12/31/2006,"493,663","352,457","387,639","299,001","299,001","77,549",-,"11,089",-,"35,182","8,905",-,"26,277",-,"141,206","87,198","87,198","10,159",-,-,"77,039",-,-,-,"20,500","20,500",-,"33,508","-9,877","304,069","32,680",-,-,-,"188,588","188,588","188,588",-,-,-,-,"82,801","-18,434",-,-,-,-,"154,975","65,782","89,385","89,385","95,693","89,193",192,-,"-6,308",-,"89,385",2.58,2.38,"34,645","37,557","342,580","89,193","100,253","11,089","23,870","89,193","-18,434","-18,434",0,"-7,374"
18,12/31/2005,"416,788","299,293","316,459","219,283","219,283","87,645",-,"9,531",-,"17,166","10,933",-,"6,233",-,"117,495","35,559","35,559","9,805",-,-,"25,754",-,-,-,"28,963","28,963",-,"52,973",-237,"259,860","29,034",-,-,-,"163,590","163,590","163,590",-,-,-,-,"67,236",-,-,-,-,-,"153,295","60,758","92,537","92,537","95,933","92,537",-,-,"-3,396",-,"92,537",2.64,2.40,"35,052","38,557","299,056","92,537","92,537","9,531","1,674","92,537",-,-,0,0
19,12/31/2004,"340,781","234,748","246,139","162,063","162,063","77,933",-,"6,143",-,"11,391","8,423",-,"2,968",-,"106,033","65,187","65,187","13,538",-,-,"51,649",-,-,-,"5,571",-,"5,571","35,275","9,901","240,576","29,993",-,-,-,"155,097","155,097","155,097",-,-,-,-,"55,486","-1,910",-,-,-,-,"105,117","39,741","65,376","65,376","68,455","65,376",-,-,"-3,079",-,"65,376",1.81,1.70,"35,285","37,568","244,649","65,376","63,099","6,143","10,917","65,376","3,661","3,661",0,"1,384"
20,12/31/2003,"263,944","188,884","202,337","148,770","148,770","49,037",-,"4,530",-,"13,453","9,083",-,"4,370",-,"75,060","53,773","53,773","13,202",-,-,"40,571",-,-,-,"-8,402",-,"-8,402","29,689","6,223","199,687","28,927",-,-,-,"122,093","122,093","122,093",-,-,-,-,"48,667","-63,000",-,-,-,-,"15,169","3,192","11,977","11,977","4,288","11,977",-,-,"7,689",-,"11,977",0.36,0.35,"33,269","34,220","195,107","11,977","68,354","4,530","7,610","11,977","-71,402","-71,402",0,"-15,025"
21,12/31/2002,"262,566","194,708","212,584","156,240","156,240","53,479",-,"2,865",-,"17,876","16,229",-,"1,647",-,"67,858","51,853","51,853","9,072",-,-,"42,781",-,-,-,"-9,825",-,"-9,825","25,830","-3,882","186,374","29,953",-,-,-,"106,193","105,168","105,168",-,-,"1,025",-,"50,228",-,-,-,-,-,"80,077","26,719","53,358","53,358","45,591","53,358",-,-,"7,767",-,"53,358",1.24,1.21,"43,031","44,098","190,826","53,358","59,905","2,865","7,850","53,358","-9,825","-9,825",0,"-3,278"
22,12/31/2001,"333,818","262,985","300,326","184,859","184,859","90,046",-,"25,421",-,"37,341","36,866",-,475,-,"70,833","47,794","47,794","6,196",-,-,"41,598",-,-,-,"-12,373",-,"-12,373","35,412","-16,724","183,488","24,075",-,-,-,"93,659","90,533","90,533",-,-,"3,126",-,"65,754",-,-,-,-,-,"141,152","52,998","88,154","88,154","80,608","88,154",-,-,"7,546",-,"88,154",1.85,1.79,"47,651","49,248","246,261","88,154","95,881","25,421","5,717","88,154","-12,373","-12,373",0,"-4,646"
23,12/31/2000,"519,478","329,848","386,760","189,062","189,062","114,226",-,"83,472",-,"56,912","56,912",-,-,-,"189,630","3,336","3,336","3,336",-,-,-,-,-,-,"37,065",-,"37,065","149,229","-54,602","198,361","21,362",-,-,-,"127,141","123,696","123,696",-,-,"3,445",-,"49,858",-,-,-,-,-,"266,975","107,907","159,068","159,068","158,608","159,068",-,-,460,-,"159,068",3.41,3.23,"46,648","49,247","275,246","159,068","136,829","83,472","4,016","159,068","37,065","37,065",0,"14,826"
24,12/31/1999,"264,300","205,400","281,900","163,000","163,000","87,700",-,"31,200",-,"76,500","76,400",-,-,100,"58,900","2,800","2,800","2,800",-,-,-,-,-,-,"1,100","1,100",-,"55,000","-52,400","125,700","12,900",-,-,-,"78,200","75,900","75,900",-,-,"2,300",-,"34,600",-,-,-,-,-,"86,200","34,000","52,200","52,200","52,200","52,200",-,-,-,-,"52,200",1.27,1.23,"41,102","42,439","153,000","52,200","52,200","31,200","3,300","52,200",-,-,0,0
25,12/31/1998,"169,800","146,600","225,200","139,100","139,100","64,800",-,"21,300",-,"78,600","78,600",-,-,-,"23,200","1,700","1,700","1,700",-,-,-,-,-,-,"5,200","5,200",-,"16,300","-37,200","83,600","11,900",-,-,-,"46,400","44,200","44,200",-,-,"2,200",-,"25,300",-,-,-,-,-,"49,000","20,100","28,900","28,900","28,900","28,900",-,-,-,-,"28,900",0.71,0.69,"40,704","41,884","109,400","28,900","28,900","21,300","1,800","28,900",-,-,0,0
26,12/31/1997,"124,100","110,800","166,000","106,800","106,800","41,900",-,"17,300",-,"55,200","55,100",-,-,100,"13,300","1,800","1,800","1,800",-,-,-,-,100,-,-,-,-,"11,400","-10,100","66,300","7,000",-,-,-,"41,500","40,100","40,100",-,-,"1,400",-,"17,800",-,-,-,-,-,"47,700","20,000","27,700","27,700","27,700","27,700",-,-,-,-,"27,700",0.71,0.68,"38,741","40,735","100,700","27,700","27,700","17,300","1,300","27,700",-,-,0,0
27,12/31/1996,"98,900","87,300","125,100","87,900","87,900","24,100",-,"13,100",-,"37,800","37,800",-,-,-,"11,600","1,700","1,700","1,700",-,-,-,-,-,-,-,-,-,"9,900","-10,400","52,700","6,300",-,-,-,"31,400","31,400","31,400",-,-,-,-,"15,000",-,-,-,-,-,"35,800","14,300","21,500","21,500","21,500","21,500",-,-,-,-,"21,500",0.55,0.55,"38,914","38,914","76,900","21,500","21,500","13,100","1,200","21,500",-,-,0,0
28,12/31/1995,"86,600","74,000","101,300","79,800","79,800","10,400",-,"11,000",100,"27,300","27,300",-,-,-,"12,600","1,400","1,400","1,400",-,-,-,-,-,-,-,-,-,"11,200","-8,700","47,900","6,800",-,-,-,"27,200","27,200","27,200",-,-,-,-,"13,900",-,-,-,-,-,"29,900","11,700","18,200","18,200","18,200","18,200",-,-,-,-,"18,200",0.49,0.49,"36,768","36,768","65,300","18,200","18,200","11,000","1,900","18,200",-,-,0,0
