,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Securities Amortization,Other Non Interest Expense,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"6,213,000","4,485,000","5,673,000","3,208,000","3,208,000","2,253,000",-,"212,000",-,"1,188,000","862,000","216,000","110,000",-,"1,728,000",-,"1,117,000","1,117,000","341,000","142,000","150,000","484,000",-,"420,000","288,000","-97,000","-97,000",-,-,"166,000","-420,000","3,571,000","370,000","370,000",-,"480,000","2,368,000","2,368,000","2,293,000","75,000","85,000",-,-,"353,000","-50,000","50,000",-,-,"2,172,000","563,000","1,509,000","1,672,000","1,609,000","1,609,000",-,"63,000","163,000","1,509,000",-,-,-,-,"4,065,000","1,672,000","1,709,400","212,000","222,000","1,672,000","-50,000","-50,000",0,"-12,600"
1,12/31/2022,"1,528,000","1,038,000","1,756,000","1,119,000","1,119,000","530,000",-,"107,000",-,"718,000","514,000",-,"204,000",-,"490,000",-,"305,000","305,000","75,000","20,000","36,000","174,000",-,"127,000","69,000","-58,000","-58,000",-,-,"47,000","-141,000","997,000","107,000","107,000",-,"125,000","685,000","685,000","644,000","18,000","23,000",-,-,"80,000","-11,000","11,000",-,-,"379,000","74,000","275,000","315,000","305,000","305,000",-,"10,000","40,000","275,000",4.65,4.62,"59,113","59,455","897,000","315,000","323,899","107,000","67,000","315,000","-11,000","-11,000",0,"-2,101"
2,9/30/2022,"1,557,000","1,198,000","1,521,000","865,000","865,000","580,000",-,"76,000",-,"323,000","249,000",-,"74,000",-,"359,000",-,"266,000","266,000","67,000","19,000","37,000","143,000",-,"75,000","74,000","-87,000","-87,000",-,-,"31,000","-72,000","885,000","96,000","96,000",-,"117,000","609,000","609,000","563,000","25,000","21,000",-,-,"63,000","-7,000","7,000",-,-,"593,000","175,000","429,000","469,000","418,000","418,000",-,"51,000","40,000","429,000",7.26,7.21,"59,096","59,549","1,126,000","469,000","474,096","76,000","55,000","469,000","-7,000","-7,000",0,"-1,904"
3,6/30/2022,"1,529,000","1,167,000","1,274,000","654,000","654,000","597,000",-,"23,000",-,"107,000","77,000",-,"30,000",-,"362,000",-,"241,000","241,000","72,000","22,000","40,000","107,000",-,"125,000","69,000","-140,000","-140,000",-,-,"67,000","-196,000","832,000","86,000","86,000",-,"132,000","545,000","545,000","502,000","16,000","27,000",-,-,"69,000","-16,000","16,000",-,-,"485,000","132,000","333,000","373,000","353,000","353,000",-,"20,000","40,000","333,000",5.65,5.60,"58,935","59,454","971,000","373,000","384,824","23,000","50,000","373,000","-16,000","-16,000",0,"-4,176"
4,3/31/2022,"1,599,000","1,082,000","1,122,000","570,000","570,000","546,000",-,"6,000",-,"40,000","22,000","1,000","18,000",-,"517,000",-,"182,000","182,000","63,000","22,000","37,000","60,000",-,"93,000","73,000","148,000","148,000",-,-,"21,000","-11,000","857,000","81,000","81,000",-,"106,000","614,000","614,000","584,000","16,000","14,000",-,-,"56,000","-16,000","16,000",-,-,"715,000","182,000","472,000","515,000","533,000","533,000",-,"-18,000","43,000","472,000",8.03,7.92,"58,800","59,599","1,071,000","515,000","526,824","6,000","50,000","515,000","-16,000","-16,000",0,"-4,176"
5,12/31/2021,"1,500,000","939,000","975,000","544,000","544,000","425,000",-,"6,000",-,"36,000","21,000",-,"15,000",-,"561,000",-,"164,000","164,000","63,000","22,000","38,000","41,000",-,"124,000","73,000","169,000","169,000",-,-,"31,000","-48,000","875,000","77,000","77,000",-,"110,000","623,000","623,000","597,000","15,000","11,000",-,-,"65,000","-27,000","27,000",-,-,"550,000","142,000","371,000","394,000","408,000","408,000",-,"-14,000","23,000","371,000",6.32,6.22,"58,703","59,624","891,000","394,000","413,872","6,000","45,000","394,000","-27,000","-27,000",0,"-7,128"
6,9/30/2021,"1,524,000","852,000","884,000","519,000","519,000","360,000",-,"5,000",-,"32,000","19,000",-,"13,000",-,"672,000",-,"156,000","156,000","63,000","22,000","34,000","37,000",-,"90,000","65,000","336,000","336,000",-,-,"25,000","-21,000","796,000","79,000","79,000","54,000","104,000","567,000","567,000","548,000","13,000","6,000",-,-,"46,000","-83,000","83,000",-,-,"624,000","149,000","365,000","387,000","475,000","475,000",-,"-88,000","22,000","365,000",6.33,6.24,"57,723","58,521","831,000","387,000","447,092","5,000","45,000","387,000","-83,000","-83,000",0,"-22,908"
7,6/30/2021,"1,489,000","728,000","751,000","472,000","472,000","275,000",-,"4,000",-,"23,000","12,000",-,"11,000",-,"761,000",-,"122,000","122,000","59,000","21,000","31,000","32,000","19,000","103,000","67,000","427,000","427,000",-,-,"42,000","-35,000","634,000","54,000","54,000","37,000","97,000","438,000","438,000","425,000","10,000","3,000",-,-,"45,000","-19,000","19,000",-,-,"801,000","173,000","502,000","515,000","628,000","628,000",-,"-113,000","13,000","502,000",9.23,9.09,"54,353","55,152","693,000","515,000","529,231","4,000","30,051","515,000","-19,000","-19,000",0,"-4,769"
8,3/31/2021,"1,403,759","659,579","678,746","430,422","430,422","245,059",-,"3,265",-,"19,167","10,437",-,"8,730",-,"744,180",-,"125,930","125,930","53,859","14,559","27,567","44,504","21,535","142,302","57,393","388,763","388,763",-,-,"29,792","-18,679","636,001","50,503","50,503","32,822","81,343","458,699","458,699","445,425","9,463","3,811",-,-,"45,456",-,-,-,-,"749,079","187,315","532,220","536,814","561,764","561,764",-,"-24,950","4,594","532,220",10.20,10.03,"52,180","53,076","640,900","536,814","536,814","3,265","30,949","536,814",-,-,0,0
9,12/31/2020,"1,213,263","591,480","607,558","403,361","403,361","201,398",-,"2,799",-,"16,078","8,909",-,"7,169",-,"621,783",-,"122,247","122,247","54,407","12,538","25,389","42,451","20,230","133,434","51,091","293,753","293,753",-,-,"21,258","38,433","664,799","86,438","86,438","41,705","77,336","428,753","428,753","415,705","8,601","4,447",-,-,"72,272",-,-,-,-,"586,897","148,096","388,316","392,910","438,801","438,801",-,"-45,891","4,594","388,316",7.49,7.40,"51,817","52,466","629,913","392,910","392,910","2,799","27,233","392,910",-,-,0,0
