,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 4/16/2023Current,33.03M,N/A,0.02,0.03,N/A,0.01,0.00,N/A,N/A
1,12/31/2022,13.60B,N/A,8.58,9.75,N/A,2.22,1.15,N/A,N/A
2,9/30/2022,19.85B,N/A,13.08,9.26,N/A,3.24,1.62,N/A,N/A
3,6/30/2022,23.34B,N/A,13.55,11.17,N/A,3.77,1.89,N/A,N/A
4,3/31/2022,32.92B,N/A,17.90,18.25,N/A,5.36,2.61,N/A,N/A
5,12/31/2021,39.85B,N/A,20.82,23.75,N/A,6.70,3.26,N/A,N/A
6,9/30/2021,37.96B,N/A,18.48,23.53,N/A,6.74,3.95,N/A,N/A
7,6/30/2021,30.34B,N/A,18.33,23.64,N/A,6.48,3.44,N/A,N/A
8,3/31/2021,26.66B,N/A,21.59,23.81,N/A,6.56,3.38,N/A,N/A
9,12/31/2020,20.12B,N/A,18.90,20.96,N/A,5.65,2.70,N/A,N/A
10,9/30/2020,12.46B,N/A,14.00,16.47,N/A,3.78,1.79,N/A,N/A
11,6/30/2020,11.15B,N/A,11.44,16.50,N/A,3.41,1.67,N/A,N/A
12,3/31/2020,7.78B,N/A,6.95,8.61,N/A,2.42,1.27,N/A,N/A
13,12/31/2019,12.97B,N/A,11.61,12.66,N/A,4.26,2.20,N/A,N/A
14,9/30/2019,10.77B,N/A,9.69,10.48,N/A,3.70,1.94,N/A,N/A
15,6/30/2019,11.68B,N/A,11.27,10.94,N/A,4.29,2.17,N/A,N/A
16,3/31/2019,11.71B,N/A,12.28,11.04,N/A,4.60,2.27,N/A,N/A
17,12/31/2018,9.99B,N/A,12.38,9.74,2.05,4.17,2.03,N/A,N/A
18,9/30/2018,16.54B,N/A,23.85,16.23,2.60,7.31,3.55,N/A,N/A
19,6/30/2018,15.30B,N/A,26.44,20.12,3.22,7.38,3.48,N/A,N/A
20,3/31/2018,12.69B,N/A,26.09,18.38,2.94,6.59,3.04,N/A,N/A
21,12/31/2017,12.33B,N/A,26.27,21.41,4.55,6.88,3.04,N/A,N/A
22,9/30/2017,9.86B,N/A,22.73,18.05,2.82,5.80,2.53,N/A,N/A
23,6/30/2017,9.26B,N/A,22.83,23.31,3.88,5.66,2.46,N/A,N/A
24,3/31/2017,9.76B,N/A,25.46,23.87,3.98,6.19,2.68,N/A,N/A
25,12/31/2016,8.94B,N/A,24.18,22.57,4.75,5.78,2.50,N/A,N/A
26,9/30/2016,5.75B,N/A,16.88,14.90,N/A,3.89,1.64,N/A,N/A
27,6/30/2016,4.95B,N/A,14.80,13.28,1.33,3.40,1.46,N/A,N/A
28,3/31/2016,5.28B,N/A,15.42,12.94,1.29,3.65,1.65,N/A,N/A
29,12/31/2015,6.14B,N/A,19.59,16.95,1.70,4.18,1.93,N/A,N/A
30,9/30/2015,5.95B,N/A,20.20,16.81,1.68,4.23,1.95,N/A,N/A
31,6/30/2015,7.41B,N/A,28.40,21.19,2.12,5.60,2.49,N/A,N/A
32,3/31/2015,6.49B,N/A,23.92,19.38,1.94,4.49,2.30,N/A,N/A
33,12/31/2014,5.91B,N/A,21.34,21.83,2.18,3.94,2.17,N/A,N/A
34,9/30/2014,5.70B,N/A,19.66,20.20,1.44,3.38,2.13,N/A,N/A
35,6/30/2014,5.91B,N/A,20.28,20.83,1.55,3.34,2.82,N/A,N/A
36,3/31/2014,5.92B,N/A,27.40,22.47,1.47,4.38,3.01,N/A,N/A
37,12/31/2013,4.80B,N/A,23.05,23.04,2.08,3.94,2.47,N/A,N/A
38,9/30/2013,3.94B,N/A,21.49,19.61,1.77,3.90,2.13,N/A,N/A
39,6/30/2013,3.76B,N/A,20.67,19.57,1.61,3.88,2.01,N/A,N/A
40,3/31/2013,3.18B,N/A,18.14,16.56,1.49,3.37,1.74,N/A,N/A
41,12/31/2012,2.50B,N/A,14.31,14.81,1.34,2.66,1.36,N/A,N/A
42,9/30/2012,2.69B,N/A,17.18,15.58,1.40,3.01,1.57,N/A,N/A
43,6/30/2012,2.60B,N/A,14.83,14.24,1.43,2.84,1.59,N/A,N/A
44,3/31/2012,2.82B,N/A,16.33,17.39,1.41,3.09,1.81,N/A,N/A
45,12/31/2011,2.07B,N/A,13.51,15.60,1.36,2.37,1.35,N/A,N/A
46,9/30/2011,1.60B,N/A,10.48,11.04,1.34,1.84,1.04,N/A,N/A
47,6/30/2011,2.58B,N/A,16.73,16.89,2.05,3.09,1.79,N/A,N/A
48,3/31/2011,2.43B,N/A,22.24,17.57,1.76,3.35,1.85,N/A,N/A
49,12/31/2010,2.24B,N/A,23.68,21.55,2.27,3.39,1.76,N/A,N/A
50,9/30/2010,1.78B,N/A,21.27,N/A,N/A,2.75,1.40,N/A,N/A
51,6/30/2010,1.73B,N/A,23.97,12.41,0.73,2.81,1.40,N/A,N/A
52,3/31/2010,1.94B,N/A,31.96,N/A,N/A,3.13,1.65,N/A,N/A
53,12/31/2009,1.72B,N/A,63.12,N/A,N/A,2.97,1.53,N/A,N/A
54,9/30/2009,1.44B,N/A,80.13,N/A,N/A,3.10,1.70,N/A,N/A
55,6/30/2009,902.14M,N/A,35.35,N/A,N/A,1.93,1.13,N/A,N/A
56,3/31/2009,658.99M,N/A,16.82,N/A,N/A,1.39,0.86,N/A,N/A
57,12/31/2008,860.09M,N/A,11.26,N/A,N/A,1.69,1.12,N/A,N/A
58,9/30/2008,1.88B,N/A,18.21,N/A,N/A,3.63,2.58,N/A,N/A
59,6/30/2008,1.55B,N/A,14.07,N/A,N/A,2.95,2.26,N/A,N/A
60,3/31/2008,1.39B,N/A,12.76,N/A,N/A,2.64,2.06,N/A,N/A
61,12/31/2007,1.65B,N/A,14.96,N/A,N/A,3.07,2.43,N/A,N/A
62,9/30/2007,1.57B,N/A,16.79,N/A,N/A,3.19,2.35,N/A,N/A
63,6/30/2007,1.82B,N/A,20.75,N/A,N/A,3.76,2.79,N/A,N/A
64,3/31/2007,1.67B,N/A,20.50,N/A,N/A,3.70,2.65,N/A,N/A
65,12/31/2006,1.60B,N/A,20.45,N/A,N/A,3.75,2.69,N/A,N/A
66,9/30/2006,1.53B,N/A,20.29,N/A,N/A,3.76,2.69,N/A,N/A
67,6/30/2006,1.58B,N/A,20.66,N/A,N/A,3.82,2.79,N/A,N/A
68,3/31/2006,1.88B,N/A,22.29,N/A,N/A,4.75,3.21,N/A,N/A
69,12/31/2005,1.64B,N/A,20.28,N/A,N/A,4.52,3.01,N/A,N/A
70,9/30/2005,1.71B,N/A,21.06,N/A,N/A,4.69,3.13,N/A,N/A
71,6/30/2005,1.68B,N/A,22.59,N/A,N/A,4.86,3.15,N/A,N/A
72,3/31/2005,1.56B,N/A,22.25,N/A,N/A,4.65,3.02,N/A,N/A
73,12/31/2004,1.61B,N/A,25.76,N/A,N/A,4.94,3.03,N/A,N/A
74,9/30/2004,1.33B,N/A,44.25,N/A,N/A,4.38,2.60,N/A,N/A
75,6/30/2004,1.41B,N/A,45.06,N/A,N/A,4.83,2.98,N/A,N/A
76,3/31/2004,1.14B,N/A,73.73,N/A,N/A,4.33,2.40,N/A,N/A
77,12/31/2003,1.26B,N/A,112.72,N/A,N/A,5.11,2.83,N/A,N/A
78,9/30/2003,954.84M,N/A,27.60,N/A,N/A,4.13,2.10,N/A,N/A
79,6/30/2003,821.21M,N/A,29.04,N/A,N/A,3.77,1.90,N/A,N/A
80,3/31/2003,707.13M,N/A,15.82,N/A,N/A,3.03,1.25,N/A,N/A
81,12/31/2002,751.51M,N/A,15.69,N/A,N/A,3.19,1.27,N/A,N/A
82,9/30/2002,727.52M,N/A,14.47,N/A,N/A,2.99,1.17,N/A,N/A
83,6/30/2002,1.20B,N/A,18.43,N/A,N/A,4.30,1.88,N/A,N/A
84,3/31/2002,1.38B,N/A,16.90,N/A,N/A,4.46,2.20,N/A,N/A
85,12/31/2001,1.21B,N/A,14.93,N/A,N/A,3.94,1.93,N/A,N/A
86,9/30/2001,958.13M,N/A,8.02,N/A,N/A,2.30,1.46,N/A,N/A
87,6/30/2001,1.07B,N/A,13.92,N/A,N/A,2.13,1.62,N/A,N/A
88,3/31/2001,1.16B,N/A,7.28,N/A,N/A,2.23,1.89,N/A,N/A
89,12/31/2000,1.69B,N/A,11.08,N/A,N/A,3.30,2.96,N/A,N/A
90,9/30/2000,2.84B,N/A,21.80,N/A,N/A,6.16,6.52,N/A,N/A
91,6/30/2000,1.97B,N/A,15.96,N/A,N/A,4.51,4.52,N/A,N/A
92,3/31/2000,1.65B,N/A,16.41,N/A,N/A,4.28,4.13,N/A,N/A
93,12/31/1999,1.11B,N/A,20.12,N/A,N/A,3.97,3.01,N/A,N/A
94,9/30/1999,503.68M,N/A,15.87,N/A,N/A,2.36,2.07,N/A,N/A
95,6/30/1999,516.06M,N/A,17.19,N/A,N/A,2.67,2.27,N/A,N/A
96,3/31/1999,429.50M,N/A,14.78,N/A,N/A,2.40,1.92,N/A,N/A
97,12/31/1998,352.77M,N/A,12.34,N/A,N/A,2.10,1.63,N/A,N/A
98,9/30/1998,329.26M,N/A,10.53,N/A,N/A,2.35,1.57,N/A,N/A
99,6/30/1998,732.24M,N/A,24.38,N/A,N/A,5.22,3.69,N/A,N/A
100,3/31/1998,625.51M,N/A,21.81,N/A,N/A,4.79,3.33,N/A,N/A
101,12/31/1997,560.83M,N/A,20.68,N/A,N/A,4.62,3.21,N/A,N/A
102,9/30/1997,578.04M,N/A,22.76,N/A,N/A,4.93,3.56,N/A,N/A
103,6/30/1997,436.09M,N/A,18.47,N/A,N/A,3.97,2.89,N/A,N/A
104,3/31/1997,338.49M,N/A,15.24,N/A,N/A,3.28,2.41,N/A,N/A
