,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Defined Pension Benefit,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Non Current Deferred Revenue,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,10/31/2022,"1,917,528,000","306,017,000","145,850,000","8,556,000",-,"137,294,000","160,167,000","160,167,000","160,167,000","19,733,000","554,793,000","110,221,000","410,740,000",-,"33,832,000","8,088,000","103,873,000","848,410,000","854,842,000","2,353,000","301,389,000","242,162,000","293,924,000","15,014,000","6,432,000","40,325,000","14,534,000",-,"25,791,000","1,323,000","9,400,000","13,235,000","1,726,000","5,772,000","2,276,000","3,461,000","-3,835,000","19,959,000","17,656,000","2,303,000","2,193,000","2,193,000","1,406,000","2,008,000","1,806,145,000","924,026,000","924,026,000","38,263,000","885,763,000",-,"128,024,000","128,024,000",-,"36,356,000","32,256,000","32,105,000","151,000","151,000",-,"4,100,000","215,981,000","215,981,000","24,230,000","161,480,000","30,271,000","208,291,000","91,133,000","158,055,000","152,742,000","5,313,000","1,320,000","1,286,000",-,-,-,"236,000","236,000",-,-,"41,437,000","111,383,000","111,383,000","35,616,000","11,253,000","24,363,000","73,698,000","179,000","98,000","1,988,000",-,-,-,"264,125,000","11,253,000","100,130,000","5,313,000","91,424,000","468,853,000","80,171,000","374,036,000","222,873,000","1,821,669","1,820,669","158,000","1,000"
1,10/31/2021,"1,728,672,000","333,177,000","165,893,000","5,931,000",-,"159,962,000","167,284,000","167,284,000","167,284,000","18,448,000","493,205,000","120,360,000","329,240,000",-,"43,605,000","11,112,000","54,427,000","738,966,000","745,356,000","1,602,000","240,070,000","220,602,000","268,340,000","14,742,000","6,390,000","45,559,000","11,340,000",-,"34,219,000","1,300,000","9,181,000","12,717,000","1,656,000","5,690,000","2,214,000","3,157,000","-3,536,000","18,355,000","16,232,000","2,123,000","2,265,000","2,265,000","637,000","2,040,000","1,628,854,000","936,722,000","936,722,000","20,917,000","915,805,000",-,"144,097,000","144,097,000",-,"41,439,000","37,288,000","37,206,000","82,000","82,000",-,"4,151,000","129,088,000","129,088,000","5,981,000","110,553,000","12,554,000","156,372,000","57,122,000","127,676,000","122,203,000","5,473,000","1,304,000","1,592,000",-,-,-,"244,000","244,000",-,-,"33,198,000","99,818,000","99,818,000","28,766,000","5,700,000","23,066,000","63,944,000","173,000","162,000","7,097,000",-,-,-,"222,021,000","5,700,000","94,118,000","5,473,000","81,463,000","345,409,000","75,763,000","256,764,000","85,398,000","1,823,933","1,821,977","158,000","1,956"
2,10/31/2020,"1,715,865,000","339,756,000","170,594,000","6,445,000",-,"164,149,000","169,162,000","169,162,000","169,162,000","14,941,000","344,251,000","148,318,000","240,966,000",-,"103,285,000","12,174,000","54,242,000","865,841,000","874,130,000","2,502,000","255,799,000","217,794,000","252,219,000","148,318,000","8,289,000","33,951,000","13,135,000",-,"33,951,000","1,150,000","10,136,000","13,791,000","1,924,000","7,306,000","2,241,000","2,320,000","-3,655,000","19,273,000","17,148,000","2,125,000","2,444,000","2,444,000","9,000","18,856,000","1,620,366,000","1,154,510,000","1,154,510,000","28,969,000","1,125,541,000",-,"188,876,000","188,876,000","34,999,000","35,143,000","35,143,000","35,143,000","275,000","275,000",-,"2,900,000","121,540,000","121,540,000","20,704,000","90,290,000","10,546,000","94,664,000","53,203,000","40,963,000","40,963,000","6,095,000","1,569,000","3,302,000","3,302,000",-,-,"284,000","284,000",-,-,"53,007,000","95,499,000","95,499,000","28,137,000","5,650,000","22,487,000","53,845,000","121,000","41,000","13,437,000",-,-,-,"136,462,000","5,650,000","89,849,000","6,095,000","76,226,000","130,812,000","70,576,000","40,963,000","81,805,000","1,816,108","1,815,608","226,000",500
3,10/31/2019,"1,415,290,000","196,381,000","30,446,000","4,863,000",-,"25,583,000","165,935,000","165,935,000","165,935,000","13,494,000","252,144,000","146,000,000","141,040,000",-,"111,104,000","9,316,000","48,894,000","830,608,000","835,055,000","2,124,000","236,517,000","216,898,000","235,640,000","146,000,000","4,447,000","20,575,000","11,548,000",-,"20,575,000","1,297,000","5,513,000","8,778,000","987,000","3,488,000","2,164,000","2,139,000","-3,265,000","19,479,000","16,976,000","2,503,000","1,799,000","1,799,000","13,000","17,087,000","1,327,589,000","913,862,000","913,862,000","16,751,000","897,111,000",-,"125,856,000","125,856,000","29,656,000","23,746,000","23,746,000","23,746,000","169,000","169,000",-,"3,245,000","140,251,000","140,251,000","20,636,000","110,867,000","8,748,000","134,787,000","50,051,000","37,869,000","37,869,000",-,"1,095,000","2,781,000","2,781,000",-,-,"193,000","193,000",-,-,"41,418,000","87,701,000","87,701,000","27,513,000","5,800,000","21,713,000","49,497,000","157,000","47,000","10,581,000",-,-,0,"125,570,000","5,800,000","81,901,000",-,"68,222,000","119,770,000","62,422,000","37,869,000","7,423,000","1,813,087","1,812,487","232,000",600
4,10/31/2018,"1,334,903,000","162,834,000","35,455,000","4,735,000",-,"30,720,000","127,379,000","127,379,000","127,379,000","17,267,000","245,404,000","127,897,000","114,804,000",-,"130,600,000","8,445,000","56,996,000","774,290,000","777,839,000","2,745,000","217,654,000","207,097,000","225,191,000","127,897,000","3,549,000","26,940,000","11,281,000",-,"26,940,000","950,000","5,324,000","8,486,000","971,000","3,378,000","2,144,000","1,993,000","-3,162,000","18,995,000","16,536,000","2,459,000","2,812,000","2,812,000","113,000","15,596,000","1,254,863,000","966,143,000","966,143,000","16,712,000","949,431,000",-,"93,389,000","93,389,000","39,478,000","28,385,000","28,385,000","28,385,000","84,000","84,000",-,"3,344,000","132,301,000","132,301,000","19,626,000","106,971,000","5,704,000","39,478,000","48,270,000","36,041,000","36,041,000",-,"1,502,000","1,747,000","1,747,000",-,-,"175,000","175,000",-,-,"43,157,000","80,040,000","79,047,000","26,221,000","5,000,000","21,221,000","46,145,000","193,000","151,000","6,639,000",-,-,"993,000","115,088,000","5,000,000","74,047,000",-,"60,052,000","110,088,000","55,052,000","36,041,000","586,000","1,832,496","1,830,396","184,000","2,100"
5,10/31/2017,"1,278,995,000","189,585,000","55,156,000","3,971,000",-,"51,185,000","134,429,000","134,429,000","134,429,000","17,297,000","221,806,000","103,918,000","4,032,000","71,363,000","146,411,000","7,784,000","56,195,000","716,509,000","720,292,000",-,"200,978,000","190,108,000","222,079,000","107,127,000","3,783,000","29,971,000","9,877,000",-,"29,971,000","1,006,000","5,313,000","8,306,000","969,000","3,315,000","2,138,000","1,884,000","-2,993,000","18,774,000","16,156,000","2,618,000","2,497,000","2,497,000","13,000","13,264,000","1,203,805,000","912,764,000","912,764,000","25,887,000","886,877,000",-,"88,591,000","88,591,000","35,482,000","32,851,000","32,851,000","32,851,000","82,000","82,000",-,"3,348,000","116,074,000","116,074,000","16,899,000","90,746,000","8,429,000","35,490,000","51,214,000","38,361,000","38,361,000",-,"1,016,000","2,463,000","2,463,000",-,-,"178,000","178,000",-,-,"44,534,000","75,190,000","74,207,000","25,681,000","4,750,000","20,931,000","40,489,000","214,000","183,000","8,006,000",-,-,"983,000","112,568,000","4,750,000","69,457,000",-,"55,433,000","107,818,000","50,683,000","38,361,000","178,818,000","1,845,370","1,842,470","190,000","2,900"
6,10/31/2016,"1,176,967,000","143,673,000","57,621,000","3,907,000",-,"53,714,000","86,052,000","86,052,000","86,052,000","15,706,000","196,249,000","99,257,000","4,283,000","84,395,000","107,571,000","7,091,000","72,242,000","684,913,000","688,786,000",-,"194,074,000","176,445,000","217,336,000","100,931,000","3,873,000","17,436,000","9,726,000",-,"17,436,000","906,000","5,482,000","8,398,000","1,012,000","3,349,000","2,179,000","1,858,000","-2,916,000","19,301,000","16,662,000","2,639,000","2,084,000","2,084,000","11,000","12,790,000","1,102,753,000","853,446,000","853,446,000","17,201,000","836,245,000",-,"48,973,000","48,973,000","33,115,000","17,857,000","17,857,000","17,857,000","58,000","58,000",-,"2,829,000",-,-,-,-,-,"33,305,000","65,425,000","41,299,000","41,299,000",-,"1,025,000","3,011,000","3,011,000",-,-,"345,000","345,000",-,-,"42,448,000","74,214,000","72,564,000","25,111,000","4,400,000","20,711,000","35,452,000","203,000","36,000","11,834,000",-,-,"1,650,000","113,863,000","4,400,000","68,164,000",-,"53,263,000","109,463,000","48,863,000","41,299,000",-,"1,857,987","1,857,587","156,000",400
7,10/31/2015,"1,104,373,000","143,001,000","45,637,000","3,154,000",-,"42,483,000","97,364,000","97,364,000","97,364,000","16,646,000","167,610,000","95,157,000","4,378,000","74,450,000","88,782,000","6,683,000","69,438,000","639,498,000","642,932,000",-,"167,529,000","165,686,000","212,373,000","97,344,000","3,434,000","21,996,000","9,373,000",-,"21,996,000","869,000","5,314,000","8,261,000","1,018,000","3,256,000","2,233,000","1,754,000","-2,947,000","19,008,000","16,337,000","2,671,000","1,931,000","1,931,000","104,000","13,248,000","1,037,345,000","770,335,000","770,335,000","17,080,000","753,255,000",-,"67,156,000","67,156,000","38,803,000","22,664,000","22,664,000","22,664,000","69,000","69,000",-,"2,601,000","99,242,000","99,242,000","16,299,000","81,350,000","1,593,000","40,218,000","57,218,000","42,366,000","42,366,000",-,"1,100,000","1,947,000","1,947,000",-,-,"323,000","323,000",-,-,"37,388,000","67,028,000","65,418,000","22,994,000","2,700,000","20,294,000","32,053,000","214,000","52,000","10,209,000",-,-,"1,610,000","107,784,000","2,700,000","62,718,000",-,"46,410,000","105,084,000","43,710,000","42,366,000","161,929,000","1,857,292","1,856,192","108,000","1,100"
8,10/31/2014,"944,742,000","121,585,000","46,554,000","2,781,000",-,"43,773,000","75,031,000","75,031,000","75,031,000","13,080,000","215,761,000","91,031,000","59,407,000","53,467,000","11,856,000","5,569,000","55,363,000","489,051,000","492,079,000",-,"131,349,000","148,981,000","198,912,000","12,837,000","3,028,000","18,219,000","7,870,000",-,"10,349,000","829,000","4,930,000","7,524,000","909,000","2,897,000","2,157,000","1,561,000","-2,594,000","16,913,000","14,233,000","2,680,000","2,008,000","2,008,000","15,000","1,419,000","888,511,000","660,050,000","660,050,000","15,771,000","644,279,000",-,"45,587,000","45,587,000","39,465,000","17,680,000","15,027,000","14,993,000","34,000","34,000",-,"2,653,000",-,-,-,-,-,"42,715,000","50,776,000","43,943,000","43,943,000",-,"631,000","2,393,000","2,393,000",-,-,"287,000","287,000",-,-,"24,449,000","56,231,000","54,682,000","22,011,000","2,200,000","19,811,000","27,585,000","205,000","55,000","4,936,000",-,-,"1,549,000","98,625,000","2,200,000","52,482,000",-,"37,769,000","96,425,000","35,569,000","43,943,000",-,"1,847,843","1,846,243","88,000","1,600"
9,10/31/2013,"862,021,000","96,447,000","32,164,000","3,581,000",-,"28,583,000","64,283,000","64,283,000","64,283,000","6,399,000","116,037,000","101,940,000","6,532,000","29,961,000","79,544,000","5,300,000","49,461,000","546,862,000","549,717,000",-,"116,799,000","141,414,000","185,820,000","105,684,000","2,855,000","17,829,000","8,063,000",-,"9,766,000",-,"4,635,000","7,057,000","858,000","2,668,000","2,154,000","1,377,000","-2,422,000","15,786,000","13,293,000","2,493,000","1,800,000","1,800,000","56,000","1,409,000","810,638,000","592,572,000","592,572,000","17,149,000","575,423,000",-,"34,414,000","34,414,000","41,829,000","15,242,000","12,956,000","12,819,000","137,000","137,000",-,"2,286,000",-,-,-,-,-,"41,841,000","49,471,000","55,534,000","55,534,000",-,"696,000","1,715,000","1,715,000",-,-,"321,000","321,000",-,"27,000","18,805,000","51,383,000","49,875,000","22,711,000","3,395,000","19,316,000","23,982,000","170,000","147,000","3,159,000",-,-,"1,508,000","105,409,000","3,395,000","46,480,000",-,"34,089,000","102,014,000","30,694,000","55,534,000","23,370,000","1,842,698","1,838,898","135,800","3,800"
