,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Defined Pension Benefit,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Dividends Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Non Current Deferred Revenue,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,4/30/2023,"1,926,452,000","308,274,000","110,198,000","6,874,000",-,"103,324,000","198,076,000","198,076,000","198,076,000","19,558,000","555,445,000","142,434,000","340,992,000",-,"72,019,000","9,119,000","75,212,000","870,395,000","877,039,000","1,990,000","311,889,000","244,118,000","300,255,000","18,787,000","6,644,000","49,789,000","17,744,000",-,"32,045,000","1,821,000","9,364,000",-,-,-,-,-,-,"20,898,000","18,183,000","2,715,000","3,065,000","3,065,000","1,568,000","1,944,000","1,810,338,000","832,997,000","832,997,000","49,283,000","783,714,000",-,"146,959,000","146,959,000",-,"41,927,000","37,983,000","36,463,000","234,000","234,000","1,286,000",-,"3,944,000","258,557,000","258,557,000","28,625,000","168,708,000","61,224,000","249,858,000","63,706,000","167,012,000","161,847,000","5,165,000","2,985,000","1,319,000",-,-,-,"260,000","260,000",-,-,"44,758,000","116,114,000","116,114,000","37,105,000","11,253,000","25,852,000","74,849,000","161,000","109,000","4,108,000",-,-,-,-,"277,961,000","11,253,000","104,861,000","5,165,000","95,216,000","525,265,000","83,963,000","425,569,000","310,206,000","1,839,600","1,838,500","158,000","1,100"
1,1/31/2023,"1,928,284,000","320,730,000","150,365,000","6,988,000",-,"143,377,000","170,365,000","170,365,000","170,365,000","19,992,000","562,106,000","140,261,000","352,024,000",-,"69,821,000","8,358,000","79,351,000","855,663,000","862,155,000","1,973,000","308,127,000","240,409,000","294,637,000","17,009,000","6,492,000","45,613,000","15,426,000",-,"30,187,000","1,648,000","9,202,000",-,-,-,-,-,-,"19,626,000","17,293,000","2,333,000","2,476,000","2,476,000","1,570,000","1,949,000","1,816,440,000","867,420,000","867,420,000","54,513,000","812,907,000",-,"140,533,000","140,533,000",-,"33,238,000","30,364,000","30,118,000","246,000","246,000",-,-,"2,874,000","252,173,000","252,173,000","18,532,000","176,224,000","57,417,000","232,749,000","72,175,000","169,140,000","164,018,000","5,122,000","2,954,000","1,310,000",-,-,-,"264,000","264,000",-,-,"44,484,000","111,844,000","111,844,000","36,347,000","11,253,000","25,094,000","73,501,000","185,000","112,000","1,923,000",-,-,-,-,"275,862,000","11,253,000","100,591,000","5,122,000","92,218,000","516,782,000","80,965,000","421,313,000","265,826,000","1,830,000","1,828,900","158,000","1,100"
2,10/31/2022,"1,917,528,000","306,017,000","145,850,000","8,556,000",-,"137,294,000","160,167,000","160,167,000","160,167,000","19,733,000","554,793,000","110,221,000","410,740,000",-,"33,832,000","8,088,000","103,873,000","848,410,000","854,842,000","2,353,000","301,389,000","242,162,000","293,924,000","15,014,000","6,432,000","40,325,000","14,534,000",-,"25,791,000","1,323,000","9,400,000","13,235,000","1,726,000","5,772,000","2,276,000","3,461,000","-3,835,000","19,959,000","17,656,000","2,303,000","2,193,000","2,193,000","1,406,000","2,008,000","1,806,145,000","924,026,000","924,026,000","38,263,000","885,763,000",-,"128,024,000","128,024,000",-,"36,356,000","32,256,000","32,105,000","151,000","151,000",-,-,"4,100,000","215,981,000","215,981,000","24,230,000","161,480,000","30,271,000","208,291,000","91,133,000","158,055,000","152,742,000","5,313,000","1,320,000","1,286,000",-,-,-,"236,000","236,000",-,-,"41,437,000","111,383,000","111,383,000","35,616,000","11,253,000","24,363,000","73,698,000","179,000","98,000","1,988,000",-,-,-,-,"264,125,000","11,253,000","100,130,000","5,313,000","91,424,000","468,853,000","80,171,000","374,036,000","222,873,000","1,821,669","1,820,669","158,000","1,000"
3,7/31/2022,"1,840,811,000","298,274,000","136,999,000","5,674,000",-,"131,325,000","161,275,000","161,275,000","161,275,000","20,136,000","548,871,000","136,742,000","342,824,000",-,"69,305,000","9,504,000","75,883,000","807,614,000","813,654,000","1,935,000","273,806,000","234,482,000","288,597,000","14,834,000","6,040,000","45,062,000","13,461,000",-,"31,601,000","1,349,000","9,098,000",-,-,-,-,-,-,"18,924,000","16,730,000","2,194,000","2,105,000","2,105,000","2,038,000","1,953,000","1,738,219,000","932,770,000","932,770,000","30,401,000","902,369,000",-,"126,946,000","126,946,000",-,"41,940,000","38,521,000","37,370,000","115,000","115,000","1,036,000",-,"3,419,000","183,614,000","183,614,000","20,047,000","135,711,000","27,856,000","189,873,000","72,960,000","148,364,000","143,121,000","5,243,000","1,254,000","1,525,000",-,-,-,"209,000","209,000",-,-,"38,764,000","102,592,000","102,592,000","31,094,000","7,350,000","23,744,000","69,090,000","169,000","120,000","2,359,000",-,-,-,-,"245,713,000","7,350,000","95,242,000","5,243,000","83,668,000","421,977,000","76,318,000","331,978,000","189,736,000","1,814,300","1,813,100","158,000","1,200"
4,4/30/2022,"1,825,276,000","305,328,000","133,590,000","5,633,000",-,"127,957,000","171,738,000","171,738,000","171,738,000","19,515,000","530,250,000","132,761,000","329,915,000",-,"67,574,000","9,726,000","98,798,000","781,730,000","787,806,000","1,587,000","261,170,000","228,846,000","281,032,000","15,171,000","6,076,000","44,915,000","15,836,000",-,"29,079,000","1,439,000","9,235,000",-,-,-,-,-,-,"18,934,000","16,753,000","2,181,000","1,857,000","1,857,000","1,676,000","1,873,000","1,725,864,000","941,219,000","941,219,000","26,062,000","915,157,000",-,"132,753,000","132,753,000",-,"38,472,000","35,103,000","33,487,000","54,000","54,000","1,562,000",-,"3,369,000","160,721,000","160,721,000","7,228,000","127,755,000","25,738,000","180,549,000","87,879,000","145,846,000","140,438,000","5,408,000","1,289,000","1,518,000",-,-,-,"223,000","223,000",-,-,"35,395,000","99,412,000","99,412,000","29,677,000","6,550,000","23,127,000","67,046,000","154,000","256,000","2,791,000",-,-,-,-,"239,850,000","6,550,000","92,862,000","5,408,000","80,478,000","394,021,000","73,928,000","306,567,000","167,569,000","1,806,700","1,803,900","158,000","2,800"
5,1/31/2022,"1,778,588,000","338,028,000","172,210,000","7,001,000",-,"165,209,000","165,818,000","165,818,000","165,818,000","17,346,000","522,575,000","140,700,000","307,988,000",-,"73,887,000","11,186,000","54,519,000","759,940,000","766,179,000","1,632,000","251,388,000","223,437,000","275,029,000","14,693,000","6,239,000","40,474,000","11,774,000",-,"28,700,000","1,181,000","9,289,000",-,-,-,-,-,-,"18,767,000","16,615,000","2,152,000","2,228,000","2,228,000","988,000","2,067,000","1,676,611,000","936,534,000","936,534,000","24,282,000","912,252,000",-,"145,432,000","145,432,000",-,"35,603,000","32,752,000","32,694,000","58,000","58,000",-,-,"2,851,000","160,593,000","160,593,000","9,184,000","122,997,000","28,412,000","182,580,000","51,892,000","128,375,000","122,876,000","5,499,000","1,362,000","1,581,000",-,-,-,"224,000","224,000",-,-,"32,435,000","101,977,000","101,977,000","28,870,000","5,700,000","23,170,000","65,621,000","148,000","194,000","7,532,000",-,-,-,-,"224,853,000","5,700,000","96,277,000","5,499,000","83,210,000","379,746,000","77,510,000","288,968,000","111,259,000","1,818,800","1,816,500","158,000","2,300"
6,10/31/2021,"1,728,672,000","333,177,000","165,893,000","5,931,000",-,"159,962,000","167,284,000","167,284,000","167,284,000","18,448,000","493,205,000","120,360,000","329,240,000",-,"43,605,000","11,112,000","54,427,000","738,966,000","745,356,000","1,602,000","240,070,000","220,602,000","268,340,000","14,742,000","6,390,000","45,559,000","11,340,000",-,"34,219,000","1,300,000","9,181,000","12,717,000","1,656,000","5,690,000","2,214,000","3,157,000","-3,536,000","18,355,000","16,232,000","2,123,000","2,265,000","2,265,000","637,000","2,040,000","1,628,854,000","936,722,000","936,722,000","20,917,000","915,805,000",-,"144,097,000","144,097,000",-,"41,439,000","37,288,000","37,206,000","82,000","82,000",-,-,"4,151,000","129,088,000","129,088,000","5,981,000","110,553,000","12,554,000","156,372,000","57,122,000","127,676,000","122,203,000","5,473,000","1,304,000","1,592,000",-,-,-,"244,000","244,000",-,-,"33,198,000","99,818,000","99,818,000","28,766,000","5,700,000","23,066,000","63,944,000","173,000","162,000","7,097,000",-,-,-,-,"222,021,000","5,700,000","94,118,000","5,473,000","81,463,000","345,409,000","75,763,000","256,764,000","85,398,000","1,823,933","1,821,977","158,000","1,956"
7,7/31/2021,"1,703,093,000","335,514,000","173,360,000","5,817,000",-,"167,543,000","162,154,000","162,154,000","162,154,000","19,298,000","479,010,000","134,611,000","261,655,000",-,"82,744,000","11,231,000","51,742,000","736,231,000","743,042,000","1,645,000","244,393,000","218,182,000","263,456,000","15,366,000","6,811,000","36,778,000","12,063,000",-,"24,715,000","1,165,000","9,253,000",-,-,-,-,-,-,"18,481,000","16,341,000","2,140,000","2,036,000","2,036,000","334,000","2,020,000","1,603,186,000","942,844,000","942,844,000","25,638,000","917,206,000",-,"155,863,000","155,863,000","36,723,000","34,263,000","30,877,000","30,522,000","355,000","355,000",-,-,"3,386,000","124,404,000","124,404,000","6,959,000","105,112,000","12,333,000","129,078,000","52,715,000","126,658,000","121,086,000","5,572,000","1,356,000","1,906,000",-,-,-,"260,000","260,000",-,-,"33,839,000","99,907,000","99,907,000","29,645,000","6,700,000","22,945,000","61,167,000","125,000","194,000","9,164,000",-,-,-,-,"220,993,000","6,700,000","93,207,000","5,572,000","81,426,000","338,697,000","74,726,000","251,062,000","72,130,000","1,822,500","1,820,000","198,000","2,500"
8,4/30/2021,"1,669,058,000","349,502,000","194,127,000","5,718,000",-,"188,409,000","155,375,000","155,375,000","155,375,000","19,070,000","443,441,000","111,516,000","226,960,000",-,"104,965,000","10,697,000","53,621,000","726,036,000","733,034,000","1,849,000","245,410,000","213,747,000","256,277,000","15,751,000","6,998,000","34,226,000","11,335,000",-,"22,891,000","1,146,000","9,261,000",-,-,-,-,-,-,"17,894,000","15,979,000","1,915,000","1,938,000","1,938,000","267,000","1,959,000","1,574,543,000","949,072,000","949,072,000","26,174,000","922,898,000",-,"148,326,000","148,326,000","39,080,000","28,904,000","25,938,000","25,796,000","142,000","142,000",-,-,"2,966,000","121,279,000","121,279,000","11,410,000","97,839,000","12,030,000","105,333,000","58,019,000","127,641,000","122,053,000","5,588,000","1,421,000","1,819,000",-,-,-,"265,000","265,000",-,-,"32,464,000","94,515,000","94,515,000","27,740,000","4,950,000","22,790,000","59,035,000","126,000","128,000","7,742,000",-,-,-,-,"216,568,000","4,950,000","89,565,000","5,588,000","76,621,000","332,897,000","71,671,000","248,920,000","49,205,000","1,820,400","1,818,700","198,000","1,700"
9,1/31/2021,"1,735,595,000","379,532,000","223,356,000","6,250,000",-,"217,106,000","156,176,000","156,176,000","156,176,000","18,760,000","458,888,000","143,748,000","218,970,000",-,"96,170,000","11,740,000","53,596,000","723,902,000","731,834,000","2,120,000","244,370,000","215,690,000","253,868,000","15,786,000","7,932,000","55,394,000","12,335,000",-,"43,059,000","1,123,000","9,740,000",-,-,-,-,-,-,"18,539,000","16,540,000","1,999,000","2,229,000","2,229,000","9,000","2,143,000","1,640,170,000","964,090,000","964,090,000","22,994,000","941,096,000",-,"175,672,000","175,672,000","41,768,000","46,353,000","44,181,000","43,925,000","256,000","256,000",-,-,"2,172,000","134,295,000","134,295,000","17,009,000","102,429,000","14,857,000","90,855,000","56,727,000","134,016,000","128,183,000","5,833,000","1,509,000","2,652,000","2,652,000",-,-,"271,000","271,000",-,-,"33,730,000","95,425,000","95,425,000","28,295,000","5,650,000","22,645,000","56,032,000","121,000","175,000","11,152,000",-,-,-,-,"223,608,000","5,650,000","89,775,000","5,833,000","76,886,000","352,253,000","71,236,000","268,311,000","39,122,000","1,818,500","1,816,000","226,000","2,500"
