,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Taxes Refund Paid,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"15,260,000","15,260,000","15,278,000","-2,091,000","-49,000","-1,045,000","1,762,000","1,762,000","1,181,000","581,000","581,000","252,000","252,000",-,"1,685,000","-1,626,000",-,-,-,-,-,-,"-107,326,000",-,-,"105,700,000",-,"-14,207,000","-14,207,000",-,"26,382,000",-,-,"-41,544,000","-151,164,000","109,620,000",-,-,-,"-1,524,000","-1,524,000",-,"1,977,000",-,-,"-1,239,000","-1,239,000",-,"-632,000","-632,000","21,000","-653,000",-,-,"-1,294,000","10,236,000","-11,530,000","5,529,000","4,682,000",0,"-4,842,000",-,-,-,"6,815,000","-186,000","173,000","7,001,000",-,"2,280,000","20,864,000","-1,524,000","15,765,000","21,000","-653,000","-11,530,000","13,736,000"
1,4/30/2023,"-54,077,000","-54,077,000","3,351,000","-220,000","21,000","-241,000","479,000","479,000","309,000","170,000","170,000","-635,000","-635,000",-,"599,000","-57,651,000",-,-,-,-,-,-,"-34,137,000",-,-,"-23,514,000",-,"54,016,000","54,016,000",-,"41,884,000",-,-,"13,007,000","-15,428,000","28,435,000",-,-,-,"-373,000",-,-,"-502,000",-,-,"-136,000","-136,000",-,"-168,000","-168,000",-,"-168,000",-,-,"32,000","2,452,000","-2,420,000",0,0,0,0,-,-,-,"6,874,000","-197,000","83,000","6,988,000",-,"878,000","11,035,000","-373,000","2,452,000",-,"-168,000","-2,420,000","-54,450,000"
2,1/31/2023,"5,058,000","5,058,000","1,582,000","-284,000","1,000","-285,000","431,000","431,000","289,000","142,000","142,000","-110,000","-110,000",-,"690,000","2,749,000",-,-,-,-,-,-,"-15,234,000",-,-,"17,983,000",-,"-5,301,000","-5,301,000",-,"-7,024,000",-,-,"2,126,000","-17,992,000","20,118,000",-,-,-,"-403,000","-403,000",-,-,-,-,"-1,214,000","-1,214,000",-,"-103,000","-103,000","53,000","-156,000",-,-,"13,000","1,970,000","-1,957,000",0,-,0,"-1,124,000",-,-,-,"6,988,000","-1,457,000","-111,000","8,556,000",-,"490,000","9,613,000","-403,000","1,970,000","53,000","-156,000","-1,957,000","4,655,000"
3,10/31/2022,"2,591,000","2,591,000","6,671,000","-1,295,000","-8,000","-290,000","463,000","463,000","316,000","147,000","147,000","469,000","469,000",-,"617,000","-4,334,000",-,-,-,-,-,-,"-34,413,000",-,-,"30,079,000",-,"-1,489,000","-1,489,000",-,"-532,000",-,-,"-2,975,000","-37,927,000","34,952,000",-,-,-,"-461,000",-,-,"2,479,000",-,-,"1,525,000","1,525,000",-,"-227,000","-227,000","-42,000","-185,000",-,-,"24,000","2,858,000","-2,834,000","3,884,000","3,884,000",0,"-2,156,000",-,-,-,"8,556,000","2,627,000","255,000","5,674,000",-,"301,000","6,428,000","-461,000","6,742,000","-42,000","-185,000","-2,834,000","2,130,000"
4,7/31/2022,"18,909,000","18,909,000","3,214,000","-310,000","-42,000","-268,000","430,000","430,000","285,000","145,000","145,000","-410,000","-410,000",-,"351,000","15,634,000",-,-,-,-,-,-,"-25,206,000",-,-,"40,840,000",-,"-18,106,000","-18,106,000",-,"-3,736,000",-,-,"-14,116,000","-36,248,000","22,132,000",-,-,-,"-254,000",-,-,0,-,-,"-755,000","-755,000",-,"-145,000","-145,000","20,000","-165,000",-,-,"154,000","2,313,000","-2,159,000","798,000","798,000",0,"-1,562,000",-,-,-,"5,674,000","48,000","-7,000","5,633,000",-,"326,000","3,297,000","-254,000","3,111,000","20,000","-165,000","-2,159,000","18,655,000"
5,4/30/2022,"-11,298,000","-11,298,000","3,811,000","-202,000",0,"-202,000","438,000","438,000","291,000","147,000","147,000","303,000","303,000",-,"27,000","-15,675,000",-,-,-,-,-,-,"-32,473,000",-,-,"16,798,000",-,"10,689,000","10,689,000",-,"37,674,000",-,-,"-26,579,000","-58,997,000","32,418,000",-,-,-,"-406,000",-,-,0,-,-,"-795,000","-795,000",-,"-157,000","-157,000",-,"-157,000",-,-,"-1,485,000","3,095,000","-4,580,000","847,000","847,000",0,0,-,-,-,"5,633,000","-1,404,000","36,000","7,001,000",-,"1,163,000","1,526,000","-406,000","3,942,000",-,"-157,000","-4,580,000","-11,704,000"
6,1/31/2022,"28,747,000","28,747,000","3,733,000","-241,000","-10,000","-231,000","435,000","435,000","275,000","160,000","160,000","140,000","140,000",-,"72,000","24,608,000",-,-,-,-,-,-,"-23,546,000",-,-,"48,154,000",-,"-22,989,000","-22,989,000",-,"-2,951,000",-,-,"-19,705,000","-47,523,000","27,818,000",-,-,-,"-333,000","-333,000",-,0,-,-,"-4,794,000","-4,794,000",-,"-128,000","-128,000","38,000","-166,000",-,-,"-719,000","3,010,000","-3,729,000","-1,000,000",-,"-1,000,000","-2,947,000",-,-,-,"7,001,000","964,000","106,000","5,931,000",-,"2,614,000","1,272,000","-333,000","3,010,000","38,000","-166,000","-4,729,000","28,414,000"
7,10/31/2021,"19,786,000","19,786,000","1,070,000","-235,000","-11,000","-224,000","475,000","475,000","296,000","179,000","179,000","99,000","99,000",-,"-123,000","18,500,000",-,-,-,-,-,-,"-20,500,000",-,-,"39,000,000",-,"-16,790,000","-16,790,000",-,"2,665,000",-,-,"-19,121,000","-41,886,000","22,765,000",-,-,-,"-358,000","-358,000",-,"24,000",-,-,"-2,829,000","-2,829,000",-,"-113,000","-113,000","-4,000","-109,000",-,-,"54,000","2,613,000","-2,559,000",0,0,0,"-2,770,000",-,-,-,"5,931,000","167,000","-53,000","5,817,000",-,"1,590,000","1,136,000","-358,000","2,613,000","-4,000","-109,000","-2,559,000","19,428,000"
8,7/31/2021,"4,057,000","4,057,000","4,467,000","-200,000","-30,000","-170,000","469,000","469,000","295,000","174,000","174,000","-207,000","-207,000",-,"-37,000","-435,000",-,-,-,-,-,-,"-14,240,000",-,-,"13,805,000",-,"-5,576,000","-5,576,000",-,"20,866,000",-,-,"-24,274,000","-52,683,000","28,409,000",-,-,-,"-286,000","-286,000",-,"-1,882,000",-,-,"1,563,000","1,563,000",-,"-166,000","-166,000",0,"-166,000",-,-,"-16,000","2,577,000","-2,593,000","1,745,000","1,745,000",0,0,-,-,-,"5,817,000","44,000","55,000","5,718,000",-,"886,000","1,457,000","-286,000","4,322,000",0,"-166,000","-2,593,000","3,771,000"
9,4/30/2021,"-16,736,000","-16,736,000","4,657,000","-175,000","47,000","-222,000","543,000","543,000","370,000","173,000","173,000","197,000","197,000",-,"-377,000","-21,581,000",-,-,-,-,-,-,"-13,635,000",-,-,"-7,946,000",-,"18,533,000","18,533,000",-,"28,697,000",-,-,"-9,981,000","-46,953,000","36,972,000",-,-,-,"-183,000",-,-,-,-,-,"-2,148,000","-2,148,000",-,"-137,000","-137,000","8,000","-145,000",-,-,"88,000","2,821,000","-2,733,000","-700,000",-,"-700,000","-1,399,000",-,-,-,"5,718,000","-351,000","-181,000","6,250,000",-,"900,000","1,585,000","-183,000","2,821,000","8,000","-145,000","-3,433,000","-16,919,000"
