,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"47,604,000","28,784,000","51,566,000","35,434,000","35,434,000","13,159,000","2,973,000",-,"22,782,000","16,767,000","1,104,000","4,911,000","18,820,000","5,437,000","12,109,000","12,496,000","4,233,000",-,-,"2,952,000",-,"387,000",-,-,"307,000",0,0,-,-,"409,000","-1,685,000","27,781,000","3,673,000","1,693,000","1,980,000","2,318,000","16,994,000","16,994,000","13,874,000","3,120,000",-,"1,431,000","581,000","581,000","581,000","581,000","4,215,000","44,000",-,"-429,000",-,"1,642,000","18,182,000","3,949,000","1,045,000","14,979,000","15,278,000","15,278,000","15,278,000",-,"299,000","14,979,000",-,-,-,-,"27,099,000","15,278,000","15,243,556","2,973,000","1,762,000","15,278,000","44,000","44,000",0,"9,556"
1,10/31/2022,"45,762,000","27,353,000","41,032,000","29,666,000","29,666,000","9,750,000","1,616,000",-,"13,679,000","9,748,000","970,000","2,961,000","18,409,000","5,380,000","12,279,000","12,687,000","4,486,000","2,813,000","2,498,000","2,890,000",-,"408,000",-,"558,000","-257,000",0,0,-,-,"449,000","-1,067,000","26,905,000","3,562,000","1,660,000","1,902,000","2,190,000","16,294,000","16,294,000","13,394,000","2,900,000",-,"1,355,000","599,000","599,000","599,000","599,000","4,260,000","2,634,000","997,000","-1,416,000","3,000","-224,000","20,424,000","3,986,000","991,000","17,170,000","17,429,000","17,429,000","17,429,000",0,"259,000","17,170,000",9.48,9.47,"1,810,500","1,813,600","26,286,000","17,429,000","15,308,630","1,616,000","1,766,000","17,429,000","2,634,000","2,634,000",0,"513,630"
2,10/31/2021,"42,266,000","24,131,000","29,581,000","23,959,000","23,959,000","5,315,000","307,000","1,594,000","5,450,000","3,742,000","717,000","991,000","18,135,000","4,877,000","12,295,000","12,722,000","10,287,000",-,-,"2,435,000",-,"427,000","1,594,000",-,"313,000","-159,000","-159,000",-,-,"809,000","224,000","25,259,000","3,576,000","1,882,000","1,694,000","1,620,000","15,085,000","15,085,000","12,378,000","2,707,000","1,203,000","1,203,000","706,000","706,000","706,000","706,000","4,272,000","-97,000",-,"47,000","50,000",-,"17,134,000","3,621,000","785,000","14,049,000","14,298,000","14,298,000","14,298,000",0,"249,000","14,049,000",7.73,7.72,"1,817,700","1,820,200","24,355,000","14,298,000","14,374,533","307,000","2,066,000","14,298,000","-97,000","-97,000",0,"-20,467"
3,10/31/2020,"43,284,000","25,611,000","35,647,000","28,151,000","28,151,000","7,146,000","350,000","1,714,000","10,036,000","7,163,000","789,000","2,084,000","17,673,000","4,565,000","11,126,000","11,488,000","9,334,000",-,-,"2,154,000",-,"362,000","1,714,000",-,"1,404,000","109,000","109,000",-,-,"469,000","-7,242,000","24,044,000","3,277,000","1,990,000","1,287,000","1,144,000","15,517,000","14,777,000","11,891,000","2,886,000",-,"740,000","817,000","817,000","817,000","817,000","3,289,000","-84,000",-,"84,000","73,000",-,"11,914,000","1,152,000","1,133,000","11,628,000","11,895,000","11,895,000","11,895,000",0,"267,000","11,628,000",6.43,6.43,"1,807,300","1,808,800","18,369,000","11,895,000","11,970,878","350,000","2,141,000","11,895,000","-84,000","-84,000",0,"-8,122"
4,10/31/2019,"40,729,000","23,931,000","41,999,000","31,925,000","31,925,000","9,391,000","683,000","1,548,000","18,068,000","13,675,000","919,000","3,474,000","16,798,000","4,282,000","11,175,000","11,511,000","9,046,000",-,-,"2,465,000",-,"336,000","1,548,000",-,"1,047,000","207,000","207,000",-,-,"87,000","-3,029,000","23,572,000","3,000,000","1,835,000","1,165,000","1,322,000","14,800,000","14,031,000","11,244,000","2,787,000","769,000","769,000","800,000","800,000","800,000","800,000","3,650,000","-899,000",-,"899,000","5,000",-,"13,229,000","2,735,000","1,192,000","11,416,000","11,668,000","11,686,000","11,686,000","-18,000","252,000","11,416,000",6.26,6.25,"1,824,200","1,827,300","20,902,000","11,668,000","12,381,138","683,000","1,405,000","11,668,000","-899,000","-899,000",0,"-185,862"
5,10/31/2018,"38,528,000","22,239,000","36,422,000","27,790,000","27,790,000","7,919,000","713,000","1,234,000","14,183,000","10,489,000","923,000","2,771,000","16,289,000","4,045,000","10,652,000","10,958,000","8,582,000",-,-,"2,376,000",-,"306,000","1,234,000",-,"1,052,000","-11,000","-11,000",-,-,"551,000","-2,480,000","22,009,000","2,838,000","1,765,000","1,073,000","1,247,000","13,624,000","12,821,000","10,377,000","2,444,000",-,"803,000","815,000","815,000","815,000","815,000","3,485,000","-266,000",-,"266,000","5,000",-,"13,773,000","3,182,000","743,000","11,048,000","11,262,000","11,334,000","11,334,000","-72,000","214,000","11,048,000",6.02,6.01,"1,835,400","1,839,500","19,759,000","11,262,000","11,466,554","713,000","1,391,000","11,262,000","-266,000","-266,000",0,"-61,446"
6,10/31/2017,"35,631,000","20,847,000","29,832,000","23,663,000","23,663,000","5,723,000","446,000","1,128,000","8,985,000","6,615,000","863,000","1,507,000","14,784,000","3,760,000","10,311,000","10,625,000","8,237,000",-,-,"2,388,000",-,"314,000","1,128,000",-,"303,000","128,000","128,000",-,-,"282,000","-2,216,000","21,208,000","2,786,000","1,794,000","992,000","1,165,000","12,990,000","12,264,000","10,018,000","2,246,000",-,"726,000","704,000","704,000","704,000","704,000","3,563,000","114,000","-42,000","-156,000","1,000",-,"12,321,000","2,253,000","449,000","10,203,000","10,396,000","10,517,000","10,517,000","-121,000","193,000","10,203,000",5.51,5.50,"1,850,600","1,854,800","18,631,000","10,396,000","10,302,862","446,000","1,307,000","10,396,000","114,000","114,000",0,"20,862"
7,10/31/2016,"33,999,000","19,923,000","26,560,000","21,751,000","21,751,000","4,584,000","225,000","912,000","6,637,000","4,758,000","847,000","1,032,000","14,076,000","3,796,000","9,759,000","10,075,000","7,762,000",-,-,"2,313,000",-,"316,000","912,000",-,"395,000","54,000","54,000",-,-,"72,000","-2,330,000","21,041,000","2,769,000","1,825,000","944,000","1,232,000","12,503,000","11,760,000","9,298,000","2,462,000",-,"743,000","708,000","708,000","708,000","708,000","3,829,000","18,000",-,"-18,000","121,000",-,"10,646,000","2,143,000","433,000","8,680,000","8,821,000","8,936,000","8,936,000","-115,000","141,000","8,680,000",4.68,4.67,"1,853,400","1,856,800","17,593,000","8,821,000","8,806,636","225,000","1,337,000","8,821,000","18,000","18,000",0,"3,636"
8,10/31/2015,"31,029,000","18,724,000","24,830,000","20,319,000","20,319,000","4,369,000","142,000","1,214,000","6,106,000","4,242,000","983,000","881,000","12,305,000","3,758,000","8,576,000","8,900,000","6,984,000","150,000",-,"1,766,000",-,"324,000","1,214,000",-,"-223,000","79,000","79,000",-,-,"115,000","-1,683,000","19,550,000","2,611,000","1,719,000","892,000","1,032,000","12,271,000","11,543,000","9,043,000","2,500,000","273,000","728,000","662,000","662,000","662,000","662,000","2,974,000","-626,000",-,"613,000","5,000","13,000","9,170,000","1,523,000","377,000","7,813,000","7,912,000","8,024,000","8,024,000","-112,000","99,000","7,813,000",4.22,4.21,"1,849,200","1,854,100","17,041,000","7,912,000","8,423,442","142,000","1,250,000","7,912,000","-626,000","-626,000",0,"-114,558"
9,10/31/2014,"29,396,000","17,584,000","23,928,000","19,758,000","19,758,000","4,086,000","84,000","1,173,000","6,344,000","4,313,000","1,189,000","842,000","11,812,000","3,883,000","7,724,000","8,045,000","6,343,000","150,000",-,"1,552,000",-,"321,000","1,173,000",-,"-349,000","173,000","173,000",-,-,"381,000","-1,557,000","18,978,000","2,359,000","1,549,000","810,000","991,000","12,040,000","11,284,000","8,451,000","2,833,000","283,000","756,000","598,000","598,000","598,000","598,000","2,990,000","214,000","244,000","29,000","1,000",-,"9,075,000","1,512,000","320,000","7,633,000","7,776,000","7,883,000","7,883,000","-107,000","143,000","7,633,000",4.15,4.14,"1,839,100","1,845,300","16,027,000","7,776,000","7,597,738","84,000","1,140,000","7,776,000","214,000","214,000",0,"35,738"
