,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Other Special Charges,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"47,604,000","28,784,000","51,566,000","35,434,000","35,434,000","13,159,000","2,973,000",-,"22,782,000","16,767,000","1,104,000","4,911,000","18,820,000","5,437,000","12,109,000","12,496,000","4,233,000",-,"2,952,000",-,"387,000",-,"307,000",0,0,-,-,"409,000","-1,685,000","27,781,000","3,673,000","1,693,000","1,980,000","2,318,000","16,994,000","16,994,000","13,874,000","3,120,000",-,"1,431,000","581,000","581,000","581,000","581,000","4,215,000","44,000",-,"-429,000","1,642,000","18,182,000","3,949,000","1,045,000","14,979,000","15,278,000","15,278,000","15,278,000",-,"299,000","14,979,000",-,-,-,-,"27,099,000","15,278,000","15,243,556","2,973,000","1,762,000","15,278,000","44,000","44,000",0,"9,556"
1,4/30/2023,"12,429,000","7,428,000","19,307,000","12,673,000","12,673,000","5,100,000","1,534,000",-,"11,879,000","9,042,000","313,000","2,524,000","5,001,000","1,359,000","3,345,000","3,456,000","2,744,000",-,"712,000",-,"111,000",-,"289,000","1,000","1,000",-,-,"7,000","-600,000","7,423,000","1,007,000","446,000","561,000","630,000","5,073,000","4,687,000","3,883,000","804,000",-,"386,000","170,000","170,000","170,000","170,000","543,000","-430,000",-,"391,000","39,000","3,976,000","866,000","241,000","3,141,000","3,351,000","3,351,000","3,351,000",-,"210,000","3,141,000",1.72,1.72,"1,828,300","1,830,300","6,828,000","3,351,000","3,687,260","1,534,000","479,000","3,351,000","-430,000","-430,000",0,"-93,740"
2,1/31/2023,"13,010,000","7,733,000","18,056,000","11,779,000","11,779,000","4,851,000","1,426,000",-,"10,323,000","7,795,000","333,000","2,195,000","5,277,000","1,374,000","3,161,000","3,253,000","2,484,000",-,"769,000",-,"92,000",-,"678,000",0,0,-,-,"64,000","-690,000","7,436,000","955,000","433,000","522,000","568,000","4,734,000","4,734,000","3,758,000","976,000",-,"313,000","142,000","142,000","142,000","142,000","1,037,000","-2,640,000",-,"1,037,000","1,603,000","2,244,000","947,000","285,000","1,499,000","1,582,000","1,582,000","1,582,000",-,"83,000","1,499,000",0.82,0.82,"1,820,700","1,823,100","7,043,000","1,582,000","3,166,000","1,426,000","431,000","1,582,000","-2,640,000","-2,640,000",0,"-1,056,000"
3,10/31/2022,"11,926,000","7,630,000","14,699,000","9,793,000","9,793,000","3,919,000","987,000",-,"7,069,000","5,255,000","290,000","1,524,000","4,296,000","1,310,000","2,633,000","2,730,000","-3,331,000",-,"750,000",-,"97,000",-,"-219,000",0,0,-,-,"14,000","-617,000","6,841,000","954,000","433,000","521,000","692,000","4,230,000","4,230,000","3,507,000","723,000",-,"403,000","147,000","147,000","147,000","147,000","818,000","3,210,000",-,"-2,216,000",0,"7,678,000","1,297,000","290,000","6,564,000","6,671,000","6,671,000","6,671,000",-,"107,000","6,564,000",-,-,-,-,"7,013,000","6,671,000","4,003,247","987,000","463,000","6,671,000","3,210,000","3,210,000",0,"542,247"
4,7/31/2022,"11,503,000","7,044,000","10,782,000","7,674,000","7,674,000","2,679,000","429,000",-,"3,738,000","2,670,000","265,000","803,000","4,459,000","1,406,000","3,150,000","3,250,000","2,499,000",-,"751,000",-,"100,000",-,"-132,000",0,0,-,-,"35,000","-351,000","6,773,000","887,000","417,000","470,000","545,000","4,156,000","4,156,000","3,327,000","829,000","329,000","329,000","145,000","145,000","145,000","145,000","1,040,000","-730,000",-,"730,000",-,"3,649,000","703,000","268,000","3,171,000","3,214,000","3,214,000","3,214,000",-,"43,000","3,171,000",1.76,1.75,"1,804,500","1,807,100","6,693,000","3,214,000","3,803,110","429,000","430,000","3,214,000","-730,000","-730,000",0,"-140,890"
5,4/30/2022,"11,165,000","6,377,000","8,029,000","6,188,000","6,188,000","1,710,000","131,000","443,000","1,652,000","1,047,000","216,000","389,000","4,788,000","1,347,000","3,165,000","3,263,000","2,581,000",-,"682,000",-,"98,000","443,000","-20,000",0,0,-,-,"296,000","-27,000","6,731,000","877,000","410,000","467,000","513,000","3,874,000","3,874,000","3,282,000","592,000","336,000","336,000","147,000","147,000","147,000","147,000","1,320,000","204,000",-,"20,000","-224,000","4,611,000","1,002,000","202,000","3,745,000","3,811,000","3,811,000","3,811,000",-,"66,000","3,745,000",2.08,2.07,"1,804,700","1,808,300","6,350,000","3,811,000","3,651,268","131,000","438,000","3,811,000","204,000","204,000",0,"44,268"
6,1/31/2022,"11,168,000","6,302,000","7,522,000","6,011,000","6,011,000","1,442,000","69,000","431,000","1,220,000","776,000","199,000","245,000","4,866,000","1,317,000","3,331,000","3,444,000","2,737,000",-,"707,000",-,"113,000","431,000","114,000",0,0,-,-,"104,000","-72,000","6,560,000","844,000","400,000","444,000","440,000","4,034,000","4,034,000","3,278,000","756,000","287,000","287,000","160,000","160,000","160,000","160,000","1,082,000","-50,000",-,"50,000",-,"4,486,000","984,000","231,000","3,690,000","3,733,000","3,733,000","3,733,000",-,"43,000","3,690,000",2.03,2.02,"1,820,500","1,824,100","6,230,000","3,733,000","3,772,050","69,000","435,000","3,733,000","-50,000","-50,000",0,"-10,950"
7,10/31/2021,"10,829,000","6,262,000","7,439,000","6,009,000","6,009,000","1,354,000","76,000","394,000","1,177,000","776,000","181,000","220,000","4,567,000","1,248,000","3,189,000","3,301,000","2,650,000",-,"651,000",-,"112,000","394,000","-12,000","-101,000","-101,000",-,-,"243,000","123,000","6,515,000","889,000","440,000","449,000","568,000","3,701,000","3,701,000","3,051,000","650,000","378,000","378,000","179,000","179,000","179,000","179,000","1,178,000","30,000",-,"-80,000",-,"4,467,000","910,000","224,000","3,718,000","3,781,000","3,781,000","3,781,000",-,"63,000","3,718,000",-,-,-,-,"6,385,000","3,781,000","3,757,111","76,000","475,000","3,781,000","30,000","30,000",0,"6,111"
8,7/31/2021,"10,603,000","6,004,000","7,306,000","5,933,000","5,933,000","1,299,000","74,000","362,000","1,302,000","871,000","190,000","241,000","4,599,000","1,313,000","3,114,000","3,223,000","2,591,000",-,"632,000",-,"109,000","362,000","-16,000","111,000","111,000",-,-,"77,000","37,000","6,314,000","827,000","409,000","418,000","390,000","3,882,000","3,882,000","3,046,000","836,000","286,000","286,000","174,000","174,000","174,000","174,000","1,041,000","-29,000",-,"29,000",-,"4,297,000","922,000","170,000","3,489,000","3,545,000","3,545,000","3,545,000",-,"56,000","3,489,000",1.92,1.92,"1,818,800","1,821,800","6,041,000","3,545,000","3,567,765","74,000","469,000","3,545,000","-29,000","-29,000",0,"-6,235"
9,4/30/2021,"10,120,000","5,835,000","7,226,000","5,827,000","5,827,000","1,318,000","81,000","443,000","1,391,000","964,000","176,000","251,000","4,285,000","1,088,000","2,984,000","3,092,000","2,535,000",-,"557,000",-,"108,000","443,000","69,000","-231,000","-231,000",-,-,"375,000","377,000","6,026,000","911,000","488,000","423,000","349,000","3,566,000","3,566,000","3,125,000","441,000","272,000",-,"173,000","173,000","173,000","173,000","1,027,000","-36,000",-,"36,000",-,"4,435,000","962,000","222,000","3,630,000","3,695,000","3,695,000","3,695,000",-,"65,000","3,630,000",2.00,1.99,"1,817,400","1,819,900","6,212,000","3,695,000","3,723,191","81,000","543,000","3,695,000","-36,000","-36,000",0,"-7,809"
