,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/25/2023Current,104.96B,N/A,9.45,9.13,N/A,2.98,1.42,N/A,N/A
1,4/30/2023,110.43B,N/A,9.97,9.31,N/A,3.14,1.50,N/A,N/A
2,1/31/2023,125.79B,N/A,9.78,10.31,N/A,3.67,1.69,N/A,N/A
3,10/31/2022,116.64B,N/A,11.04,9.78,N/A,3.54,1.66,N/A,N/A
4,7/31/2022,117.15B,N/A,10.34,9.30,N/A,3.46,1.62,N/A,N/A
5,4/30/2022,131.42B,N/A,11.61,11.22,N/A,3.95,1.73,N/A,N/A
6,1/31/2022,144.92B,N/A,13.23,12.61,N/A,4.40,1.97,N/A,N/A
7,10/31/2021,132.39B,N/A,10.55,11.67,N/A,3.77,1.75,N/A,N/A
8,7/31/2021,121.14B,N/A,10.65,11.05,N/A,3.48,1.68,N/A,N/A
9,4/30/2021,125.18B,N/A,12.81,12.45,N/A,3.51,1.71,N/A,N/A
10,1/31/2021,102.52B,N/A,11.29,12.38,N/A,3.03,1.47,N/A,N/A
11,10/31/2020,79.99B,N/A,11.41,10.38,N/A,2.51,1.23,N/A,N/A
12,7/31/2020,80.06B,N/A,10.42,10.18,N/A,2.59,1.23,N/A,N/A
13,4/30/2020,75.59B,N/A,8.80,9.65,N/A,2.54,1.26,N/A,N/A
14,1/31/2020,100.08B,N/A,11.68,10.57,N/A,3.28,1.61,N/A,N/A
15,10/31/2019,103.53B,N/A,11.95,10.64,N/A,3.40,1.69,N/A,N/A
16,7/31/2019,106.74B,N/A,12.39,10.46,N/A,3.53,1.76,N/A,N/A
17,4/30/2019,103.84B,N/A,12.69,11.26,N/A,3.60,1.84,N/A,N/A
18,1/31/2019,103.06B,N/A,12.32,10.65,N/A,3.53,1.83,N/A,N/A
19,10/31/2018,101.89B,N/A,12.44,10.55,N/A,3.56,1.85,N/A,N/A
20,7/31/2018,108.16B,N/A,13.65,11.38,N/A,3.84,2.00,N/A,N/A
21,4/30/2018,103.56B,N/A,13.31,11.63,N/A,3.70,1.97,N/A,N/A
22,1/31/2018,111.81B,N/A,13.64,12.61,N/A,3.88,1.99,N/A,N/A
23,10/31/2017,105.33B,N/A,13.81,12.42,N/A,3.84,2.00,N/A,N/A
24,7/31/2017,95.33B,N/A,12.70,11.27,N/A,3.44,1.69,N/A,N/A
25,4/30/2017,87.62B,N/A,13.32,12.22,N/A,3.46,1.76,N/A,N/A
26,1/31/2017,95.49B,N/A,14.53,13.16,N/A,3.71,1.85,N/A,N/A
27,10/31/2016,84.27B,N/A,13.74,11.93,N/A,3.42,1.71,N/A,N/A
28,7/31/2016,80.17B,N/A,13.05,11.25,N/A,3.29,1.69,N/A,N/A
29,4/30/2016,82.31B,N/A,13.02,10.98,N/A,3.26,1.56,N/A,N/A
30,1/31/2016,70.31B,N/A,12.62,10.26,N/A,3.17,1.57,N/A,N/A
31,10/31/2015,75.59B,N/A,12.95,11.19,N/A,3.28,1.63,N/A,N/A
32,7/31/2015,75.19B,N/A,12.85,10.91,N/A,3.24,1.70,N/A,N/A
33,4/30/2015,85.77B,N/A,13.34,11.51,1.40,3.46,1.76,N/A,N/A
34,1/31/2015,74.06B,N/A,21.49,10.35,1.26,6.35,1.83,N/A,N/A
35,10/31/2014,91.45B,N/A,23.60,11.86,1.44,6.97,2.01,N/A,N/A
36,7/31/2014,96.26B,N/A,28.25,12.24,1.48,7.31,2.10,N/A,N/A
37,4/30/2014,88.80B,N/A,28.21,11.53,1.40,6.96,1.97,N/A,N/A
38,1/31/2014,158.63B,N/A,27.92,10.59,1.29,6.61,3.77,N/A,N/A
39,10/31/2013,83.89B,N/A,13.97,11.40,1.38,3.83,1.92,N/A,N/A
40,7/31/2013,77.43B,N/A,12.25,10.31,1.25,3.46,1.73,N/A,N/A
41,4/30/2013,75.39B,N/A,11.72,9.83,1.19,3.33,1.70,N/A,N/A
42,1/31/2013,76.48B,N/A,12.39,9.98,1.21,3.31,1.75,N/A,N/A
43,10/31/2012,74.60B,N/A,12.03,10.30,1.25,3.22,1.69,N/A,N/A
44,7/31/2012,71.82B,N/A,11.58,10.19,1.24,3.17,1.66,N/A,N/A
45,4/30/2012,77.44B,N/A,12.61,10.55,1.27,3.37,1.84,N/A,N/A
