,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Foreclosed Assets,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Properties,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Line of Credit,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"67,734,000","1,043,000","1,043,000","259,000","1,043,000","224,000","224,000",-,-,-,-,"11,000","182,000","8,760,000","8,760,000","1,284,000","7,092,000",-,"52,736,000","53,046,000","1,184,000","20,710,000","74,000","31,078,000","5,420,000","310,000",-,-,-,-,-,-,"439,000","439,000",-,"32,000","95,000","97,000","60,000","66,000","439,000","-157,000","1,828,000","680,000","1,148,000","311,000","311,000",-,"2,735,000","62,378,000","53,644,000","33,953,000","33,953,000","19,691,000","640,000","640,000",-,-,"1,357,000","1,357,000","1,357,000","52,000","52,000",-,"52,000","7,377,000","7,192,000","4,300,000","185,000","1,357,000","5,356,000","5,356,000","2,353,000","295,000","2,058,000","3,664,000",-,"105,000","-661,000",-,-,"12,548,000","295,000","5,061,000","185,000","3,528,000","12,253,000","3,233,000","7,377,000","6,149,000","111,465","108,915","12,000","2,551"
1,12/31/2021,"55,982,600","516,400","516,400","166,200","516,400","91,700","91,700",-,-,-,-,"11,700","180,200","7,540,900","7,540,900","1,101,900","6,188,800",-,"44,458,000","44,710,500","5,635,100","18,297,500","49,000","20,728,900","5,577,900","252,500",-,-,-,-,-,-,"314,900","314,900",-,"32,400","91,600","99,600","42,700","41,500","314,900","-125,900","1,332,800","634,800","698,000","20,900","20,900",-,"1,627,700","51,020,000","47,612,000","26,258,600","26,258,600","21,353,400","16,600","675,000","16,600",-,"867,500","867,500","867,500","51,900","51,900",-,"51,900","2,523,900","2,381,100",-,"142,800","867,500","4,962,600","4,962,600","2,173,900","294,500","1,879,400","2,773,000",-,"86,800","15,700",-,-,"7,343,700","294,500","4,668,100","142,800","3,629,800","7,049,200","3,335,300","2,523,900","1,864,700","108,981","106,631","4,800,000","2,350"
2,12/31/2020,"36,461,000","2,671,700","2,671,700","2,671,700","2,497,500","67,000","67,000",-,-,-,-,"1,400","176,300","5,504,800","5,504,800","562,000","4,708,500",-,"26,774,100","27,053,000",0,"14,324,400","51,200","12,677,400",-,"278,900",-,-,-,-,-,-,"206,600","206,600",-,"33,000","92,000","68,200","17,400","29,700","206,600","-106,200","298,500","298,500","8,600","31,300","31,300",-,"827,600","33,047,500","31,930,500","18,467,200","18,467,200","13,463,300","16,000",0,"16,000",-,"467,400","467,400","467,400","5,000","5,000",-,"5,000","633,600","553,700",-,"79,900","467,400","3,413,500","3,413,500","1,319,800",-,"1,319,800","2,001,400",-,"71,100","92,300",-,-,"3,967,200",-,"3,413,500","79,900","3,115,000","3,967,200","3,115,000","633,600",-,"105,183","103,013",-,"2,169"
3,12/31/2019,"26,821,900","434,600","434,600","185,977","434,600","66,509","66,509",-,-,-,-,"13,900","174,000","4,036,600","4,036,600","485,107","3,346,310","409,365","20,955,500","21,123,300","21,800","9,382,000","57,100","11,662,400",-,"167,800",-,-,-,-,-,-,"198,400","198,400",-,"32,954","91,574","53,621","10,449","28,477","198,400","-91,237","297,600","297,600","7,713","18,025","18,025",-,"711,300","23,805,200","22,796,500","14,258,600","14,258,600","8,537,900","16,700",0,"16,700",-,"520,300","520,300","520,300",0,0,-,0,"471,700","393,600",-,"78,100","520,357","3,016,700","3,016,700","1,311,400",-,"1,311,400","1,680,300","1,374,141","62,728","25,000",-,-,"3,410,300",-,"3,016,700","78,100","2,719,100","3,410,300","2,719,100","471,700",-,"104,528","102,524",-,"2,004"
4,12/31/2018,"23,109,500","498,600","498,600","498,600","318,519","66,132","66,132",-,-,-,-,"17,900","170,100","3,761,100","3,761,100","302,905","3,276,988","342,381","17,557,900","17,710,600",-,"7,762,600","70,100","9,877,900",-,"152,700",-,-,-,-,-,-,"119,500","119,500",-,"32,954","89,930","42,729","6,302","25,919","119,500","-78,360","299,200","299,200","9,260","31,990","31,990",-,"685,200","20,495,800","19,177,400","11,721,300","11,721,300","7,456,100","22,400","256,000","22,400",-,"444,500","444,500","444,500","235,000","235,000",-,"235,000","851,500","851,500",-,-,"444,436","2,613,700","2,613,700","1,364,600",-,"1,364,600","1,282,700","1,417,724","53,083","-33,600",-,-,"3,465,200",-,"2,613,700",-,"2,314,500","3,465,200","2,314,500","851,500","352,900","106,742","104,949",-,"1,793"
5,12/31/2017,"20,329,100","416,800","416,800","416,800","235,577","65,785","65,785",-,-,-,-,"28,500","167,800","3,820,400","3,820,400","255,050","3,499,519","267,023","14,953,900","15,093,900",0,"6,841,400","48,800","8,203,700",-,"140,000",-,-,-,-,-,-,"118,700","118,700",-,"32,953","89,411","37,098","1,415","23,707","118,700","-65,865","300,700","300,700","10,853","5,780","5,780",-,"522,300","18,099,900","16,972,500","9,538,500","9,538,500","7,434,000","26,000",-,"26,000",-,"334,500","334,500","334,500","390,000","390,000",-,"390,000","766,900","766,900",-,-,"333,933","2,229,200","2,229,200","1,384,400",-,"1,384,400","847,900","1,424,540","40,173","-3,100",-,-,"2,996,100",-,"2,229,200",-,"1,928,500","2,996,100","1,928,500","766,900","350,100","107,058","105,487",-,"1,570"
6,12/31/2016,"17,200,800","284,500","284,500","284,500","116,425","65,249","65,249",-,-,-,-,"47,800","164,500","2,767,800","2,767,800","92,079","2,609,380",-,"13,083,800","13,208,500","18,900","5,855,800","39,000","7,294,800",-,"124,700",-,-,-,-,-,-,"119,800","119,800",-,"33,309","83,285","45,676","4,840","22,709","119,800","-69,986","302,900","302,900","12,927","95,194","95,194",-,"429,700","15,309,300","14,549,800","8,916,900","8,916,900","5,632,900","41,700",-,"41,700",-,"269,900","269,900","269,900","80,000","80,000",-,"80,000","447,900","447,900",-,-,"269,785","1,891,500","1,891,500","1,373,800",0,"1,373,800","522,400","1,400,140","26,362","-4,700",-,-,"2,339,400",-,"1,891,500",-,"1,588,600","2,339,400","1,588,600","447,900","163,400","106,371","105,071",-,"1,300"
7,12/31/2015,"14,275,100","224,600","224,600","224,600","90,931","58,111","58,111",-,0,-,0,"43,900","162,500","2,042,200","2,042,200",-,"1,982,523",-,"11,017,600","11,136,700","23,800","5,262,800","26,900","5,823,200",-,"119,100",-,-,-,-,-,-,"118,500","118,500",-,"33,971","83,431","40,025","1,999","18,958","118,500","-59,849","305,400","305,400","15,716","86,352","86,352",-,"360,400","12,683,600","12,030,600","7,936,600","7,936,600","4,094,000","38,200",-,"38,200",0,"254,500","254,500","254,500","150,000","150,000",0,"150,000","360,300","360,300",-,-,"254,480","1,591,500","1,591,500","1,306,600",0,"1,306,600","262,600","1,306,594",-,"22,300",-,-,"1,951,800",-,"1,591,500",-,"1,286,100","1,951,800","1,286,100","360,300","135,700","103,087","103,087",-,-
8,12/31/2014,"10,600,500","164,400","164,400","164,400","39,067","25,275","25,275",-,0,-,0,"57,100","142,000","1,547,800","1,547,800",0,"1,520,237",-,"8,288,100","8,410,800",-,"3,531,900","32,600","4,846,300",-,"110,200","-12,500",-,-,-,-,"5,927","113,800","113,800",-,"33,971","82,494","51,320",848,"18,160","113,800","-72,975","25,900","25,900","2,689","62,686","62,686",-,"261,400","9,599,600","8,931,000","6,643,000","6,643,000","2,288,000","54,900",-,"54,900",0,"183,000","183,000","183,000","180,169","180,169","25,000","155,169","430,700","430,700","210,094",-,"182,928","1,000,900","1,000,900","898,800","70,500","828,300","85,500","828,327",-,"16,600",-,-,"1,431,600","70,500","930,400",-,"975,000","1,361,100","904,500","430,700","266,300","88,691","88,691",70.5,-
9,12/31/2013,"9,307,100","305,200","305,200","305,200","170,608","30,186","30,186",-,0,-,0,"66,719","140,600","1,689,600","1,689,600","283,006","1,370,696",-,"6,701,300","6,810,300",0,"2,478,200","43,100","4,289,000",-,"100,100","-8,900",-,-,-,-,"4,778","120,200","120,200",-,"33,023","73,990","59,632","5,335","15,714","120,200","-67,520","27,400","23,224","4,150","79,374","79,374",-,"322,800","8,451,800","7,838,200","5,638,200","5,638,200","2,200,000","71,200",-,"71,200",0,"159,400","159,400","159,400","28,906","28,906","3,000","25,906","383,000","383,000","247,973",-,"159,493","855,300","855,300","938,200","141,000","797,200","-61,400","797,146",-,"-21,500",-,-,"1,238,300","141,000","714,300",-,"827,900","1,097,300","686,900","383,000","77,800","87,186","87,186",141,-
10,12/31/2012,"7,622,600","204,600","204,600","204,600","62,836","30,936","30,936",-,0,-,0,"77,247","138,300","1,236,600","1,236,600","291,333","939,590",-,"5,613,900","5,715,300","31,100","1,947,800","31,800","3,704,600",-,"95,400","-6,000",-,-,-,-,"12,029","107,900","107,900",-,"32,078","73,887","51,089","2,441","15,863","107,900","-67,448","29,800","23,224","6,539","51,757","51,757",-,"291,500","6,863,000","6,455,200","4,522,000","4,522,000","1,933,200","79,000",-,"79,000",0,"98,900","98,900","98,900","118,717","118,717",-,"118,717","229,900","229,900",-,-,"98,875","759,600","759,600","925,900","141,000","784,900","-174,500","784,852",-,"8,200",-,-,"989,500","141,000","618,600",-,"729,800","848,500","588,800","229,900","25,300","86,465","86,465",141,-
