,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Properties,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Line of Credit,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Unrealized Gain Loss,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"71,047,000","3,639,000","3,639,000","229,000",-,"3,639,000","388,000","388,000",-,-,-,-,"11,000",-,"183,000","9,493,000","9,493,000","1,319,000","7,645,000",-,"53,152,000","53,457,000","7,022,000","15,503,000","75,000","30,857,000","2,708,000","305,000",-,-,-,-,-,-,"449,000","449,000",-,-,-,-,-,-,"449,000",-,"1,587,000","677,000","910,000","289,000","289,000",-,"2,533,000","65,526,000","47,587,000","31,122,000","31,122,000","16,465,000","1,908,000","400,000","1,508,000",-,"1,007,000","1,007,000","1,007,000","12,912,000","12,912,000",-,"12,912,000","16,932,000","16,748,000",-,"184,000","1,007,000","5,521,000","5,521,000","2,349,000","295,000","2,054,000","3,764,000",-,"116,000","-592,000",-,-,-,-,"22,269,000","295,000","5,226,000","184,000","3,934,000","21,974,000","3,639,000","16,932,000","13,109,000","112,209","109,515","12,000","2,694"
1,12/31/2022,"67,734,000","1,043,000","1,043,000","259,000",-,"1,043,000","224,000","224,000",-,-,-,-,"11,000",-,"182,000","8,760,000","8,760,000","1,284,000","7,092,000",-,"52,736,000","53,046,000","1,184,000","20,710,000","74,000","31,078,000","5,420,000","310,000",-,-,-,-,-,-,"439,000","439,000",-,"32,000","95,000","97,000","60,000","66,000","439,000","-157,000","1,828,000","680,000","1,148,000","311,000","311,000",-,"2,735,000","62,378,000","53,644,000","33,953,000","33,953,000","19,691,000","640,000","640,000",-,-,"1,357,000","1,357,000","1,357,000","52,000","52,000",-,"52,000","7,377,000","7,192,000","4,300,000","185,000","1,357,000","5,356,000","5,356,000","2,353,000","295,000","2,058,000","3,664,000",-,"105,000","-661,000",-,-,-,-,"12,548,000","295,000","5,061,000","185,000","3,528,000","12,253,000","3,233,000","7,377,000","6,149,000","111,465","108,915","12,000","2,551"
2,9/30/2022,"69,165,000","1,610,000","1,610,000","260,000",-,"1,610,000","212,000","212,000",-,-,-,-,"11,000",-,"181,000","8,603,000","8,603,000","1,266,000","6,960,000",-,"54,101,000","54,405,000","2,204,000","22,318,000","72,000","29,811,000","6,806,000","304,000",-,-,-,-,-,-,"368,000","368,000",-,-,-,-,-,-,"368,000",-,"1,726,000","682,000","1,044,000","302,000","302,000",-,"2,565,000","64,144,000","55,589,000","30,663,000","30,663,000","24,926,000","1,010,000","1,010,000",-,-,"1,198,000","1,198,000","1,198,000","86,000","86,000",-,"86,000","7,357,000","7,208,000","4,000,000","149,000","1,198,000","5,021,000","5,021,000","2,344,000",-,"2,344,000","3,413,000",-,"105,000","-736,000",-,-,-,-,"12,229,000",-,"5,021,000","149,000","3,295,000","12,229,000","3,295,000","7,357,000","5,598,000","111,467","108,918","4,800,000","2,549"
3,6/30/2022,"66,055,000","1,886,000","1,886,000","233,000",-,"1,886,000","149,000","149,000",-,-,-,-,"12,000",-,"180,000","8,802,000","8,802,000","1,215,000","7,268,000",-,"51,102,000","51,375,000","3,010,000","20,754,000","56,000","27,555,000","6,479,000","273,000",-,-,-,-,-,-,"346,000","346,000",-,-,-,-,-,-,"346,000",-,"1,521,000","695,000","826,000","223,000","223,000",-,"2,206,000","61,096,000","53,712,000","29,991,000","29,991,000","23,721,000","1,860,000","1,860,000",-,-,"1,132,000","1,132,000","1,132,000","119,000","119,000",-,"119,000","6,252,000","6,101,000","2,000,000","151,000","1,132,000","4,959,000","4,959,000","2,285,000",-,"2,285,000","3,192,000",-,"104,000","-518,000",-,-,-,-,"11,060,000",-,"4,959,000","151,000","3,438,000","11,060,000","3,438,000","6,252,000","4,215,000","110,820","108,282","4,800,000","2,538"
4,3/31/2022,"60,576,100","2,602,300","2,602,300","266,500",-,"2,602,300","101,900","101,900",-,-,-,-,"11,700",-,"178,900","8,276,600","8,276,600","1,157,800","6,852,200",-,"45,623,100","45,880,700","4,761,600","17,861,900","54,800","23,202,400","5,353,100","257,600",-,-,-,-,-,-,"338,100","338,100",-,-,-,-,-,-,"338,100",-,"1,648,500","698,200","950,300","67,600","67,600",-,"1,896,900","55,564,500","52,159,500","28,639,100","28,639,100","23,520,400","18,000",0,"18,000",-,"1,523,500","1,523,500","1,523,500","70,300","70,300",-,"70,300","1,863,500","1,708,600",-,"154,900","1,523,500","5,011,600","5,011,600","2,274,100","294,500","1,979,600","2,972,600",-,"104,100","-235,100",-,-,-,-,"6,720,200","294,500","4,717,100","154,900","3,363,100","6,425,700","3,068,600","1,863,500",-,"110,824","108,289","12,000","2,536"
5,12/31/2021,"55,982,600","516,400","516,400","166,200",-,"516,400","91,700","91,700",-,-,-,-,"11,700",-,"180,200","7,540,900","7,540,900","1,101,900","6,188,800",-,"44,458,000","44,710,500","5,635,100","18,297,500","49,000","20,728,900","5,577,900","252,500",-,-,-,-,-,-,"314,900","314,900",-,"32,400","91,600","99,600","42,700","41,500","314,900","-125,900","1,332,800","634,800","698,000","20,900","20,900",-,"1,627,700","51,020,000","47,612,000","26,258,600","26,258,600","21,353,400","16,600","675,000","16,600",-,"867,500","867,500","867,500","51,900","51,900",-,"51,900","2,523,900","2,381,100",-,"142,800","867,500","4,962,600","4,962,600","2,173,900","294,500","1,879,400","2,773,000",-,"86,800","15,700",-,-,-,-,"7,343,700","294,500","4,668,100","142,800","3,629,800","7,049,200","3,335,300","2,523,900","1,864,700","108,981","106,631","4,800,000","2,350"
6,9/30/2021,"52,775,100","917,900","917,900","297,900",-,"917,900","91,500","91,500",-,-,-,-,"11,500",-,"179,200","7,695,900","7,695,900","1,042,400","6,383,600",-,"41,089,300","41,336,200","6,534,300","16,524,700","40,800","18,236,400","4,987,600","246,900",-,-,-,-,-,-,"267,200","267,200",-,-,-,-,-,-,"267,200",-,"1,213,200","608,400","604,800","10,500","10,500",-,"1,400,900","48,261,100","45,282,600","24,224,400","24,224,400","21,058,200","16,100","400,000","16,100",-,"795,100","795,100","795,100","45,900","45,900",-,"45,900","2,167,300","2,052,300",-,"115,000","795,100","4,514,000","4,514,000","1,904,400","294,500","1,609,900","2,567,000",-,"85,900","42,600",-,-,-,-,"6,566,300","294,500","4,219,500","115,000","3,300,800","6,271,800","3,006,300","2,167,300","1,134,400","106,556","104,213","12,000","2,343"
7,6/30/2021,"49,069,000","3,395,800","3,395,800","312,600",-,"3,395,800","73,300","73,300",-,-,-,-,"3,900",-,"178,200","7,845,000","7,845,000","962,700","6,615,200",-,"34,258,700","34,491,600","4,465,200","14,284,500","40,600","15,701,300","1,879,000","232,900",-,-,-,-,-,-,"245,100","245,100",-,-,-,-,-,-,"245,100",-,"1,336,900","610,700","726,200","36,500","36,500",-,"1,805,400","45,034,500","41,921,000","21,815,400","21,815,400","20,105,600","20,200",-,"20,200",-,"1,255,700","1,255,700","1,255,700","57,600","57,600",-,"57,600","1,837,600","1,735,200",-,"102,400","1,255,700","4,034,500","4,034,500","1,603,400",-,"1,603,400","2,366,600",-,"84,200","64,500",-,-,-,-,"5,769,700",-,"4,034,500","102,400","2,697,600","5,769,700","2,697,600","1,837,600",-,"106,567","104,242",-,"2,326"
8,3/31/2021,"43,397,000","5,346,500","5,346,500","215,300",-,"5,346,500","67,200","67,200",-,-,-,-,"4,200",-,"177,300","7,888,800","7,888,800","688,800","6,939,900",-,"28,463,900","28,711,000",0,"15,070,700","29,900","13,610,400","1,831,000","247,100",-,-,-,-,-,-,"215,400","215,400",-,-,-,-,-,-,"215,400",-,"298,000","298,000",-,"49,800","49,800",-,"1,002,900","39,684,300","38,393,100","20,850,300","20,850,300","17,542,800","15,900",-,"15,900",-,"642,000","642,000","642,000","5,000","5,000",-,"5,000","633,300","548,700",-,"84,600","642,000","3,712,700","3,712,700","1,524,200",-,"1,524,200","2,168,600",-,"84,000","19,900",-,-,-,-,"4,261,400",-,"3,712,700","84,600","3,414,700","4,261,400","3,414,700","633,300",-,"105,771","103,448",-,"2,324"
9,12/31/2020,"36,461,000","2,671,700","2,671,700","2,671,700",-,"2,497,500","67,000","67,000",-,-,-,-,"1,400",-,"176,300","5,504,800","5,504,800","562,000","4,708,500",-,"26,774,100","27,053,000",0,"14,324,400","51,200","12,677,400",-,"278,900",-,-,-,-,-,-,"206,600","206,600",-,"33,000","92,000","68,200","17,400","29,700","206,600","-106,200","298,500","298,500","8,600","31,300","31,300",-,"827,600","33,047,500","31,930,500","18,467,200","18,467,200","13,463,300","16,000",0,"16,000",-,"467,400","467,400","467,400","5,000","5,000",-,"5,000","633,600","553,700",-,"79,900","467,400","3,413,500","3,413,500","1,319,800",-,"1,319,800","2,001,400",-,"71,100","92,300",-,-,-,-,"3,967,200",-,"3,413,500","79,900","3,115,000","3,967,200","3,115,000","633,600",-,"105,183","103,013",-,"2,169"
