,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Deferred Tax,Deferred Income Tax,Amortization of Securities,Asset Impairment Charge,Unrealized Gain Loss On Investment Securities,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Other non-cash items,Change in working capital,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Intangibles Purchase And Sale,Sale of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Dividends Received CFI,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"2,245,300","2,245,300","1,057,300",-,-,-,-,-,"74,600","74,600","74,600","-5,400","-5,400",-,-,-,"39,800",-,"1,102,100","-38,700",-,-,-,"-13,130,100","-13,130,100","-141,000","-141,000",-,"391,900","391,900","-50,000","-50,000",-,-,-,"-2,158,200","-3,061,000","902,800",-,-,"11,411,800","11,411,800","5,406,700","547,700","578,400","-30,700","4,859,000","157,700","157,700",0,0,0,-,"-166,200",-,-,-,"-18,500","1,043,400","527,000","516,400","197,600","452,900","-141,000","157,700","578,400","-30,700",0,"2,104,300"
1,12/31/2022,"2,245,300","2,245,300","1,057,300",-,-,-,-,-,"74,600","74,600","74,600","-5,400","-5,400",-,-,-,"39,800",-,"1,102,100","-38,700",-,-,-,"-13,130,100","-13,130,100","-141,000","-141,000",-,"391,900","391,900","-50,000","-50,000",-,-,-,"-2,158,200","-3,061,000","902,800",-,-,"11,411,800","11,411,800","5,406,700","547,700","578,400","-30,700","4,859,000","157,700","157,700",0,0,0,-,"-166,200",-,-,-,"-18,500","1,043,400","527,000","516,400","197,600","452,900","-141,000","157,700","578,400","-30,700",0,"2,104,300"
2,12/31/2021,"-2,654,000","-2,654,000","899,200",-,-,-,-,-,"50,000","50,000","50,000","91,500","91,500",-,-,-,"35,100",-,"-3,524,300","-157,600",-,-,-,"-14,711,900","-14,711,900","-69,400","-69,400",-,"1,182,800","1,182,800","-1,024,400","-1,024,400",-,-,-,"-2,135,900","-4,014,800","1,878,900",-,-,"15,210,600","15,210,600","-1,162,300","579,800","1,055,700","-475,900","-1,742,100","540,300","540,300",0,"294,500","294,500",-,"-127,600",-,-,-,"-15,800","516,400","-2,155,300","2,671,700","175,700","111,600","-69,400","834,800","1,055,700","-475,900",0,"-2,723,400"
3,12/31/2020,"670,200","670,200","506,600","-2,300",-,-,"-4,000",-,"34,600","34,600","34,600","24,100","24,100",-,-,-,"28,700",-,"-11,700","-10,400",-,-,-,"-7,537,500","-7,537,500","-26,800","-26,800",-,-,-,-,-,-,-,-,"-1,619,400","-3,316,500","1,697,100",-,"5,900","9,104,400","9,104,400","151,200","151,200","226,200","-75,000",-,"-71,600",-,"-71,600",-,-,-,"-101,300","-101,300",-,-,"-7,900","2,671,700","2,237,100","434,600","44,200","108,600","-26,800",-,"226,200","-75,000","-71,600","643,400"
4,12/31/2019,"717,772","717,772","499,171","-8,683",-,278,"-8,271",-,"28,915","28,915","28,915","36,372","36,372",-,-,-,"26,238",-,"-11,182","111,346",-,-,"111,346","-3,723,033","-3,723,033","-35,148","-35,148",-,-,-,"-8,688","-8,688",-,"1,325","1,325","-251,131","-1,218,768","967,637",-,948,"2,941,285","2,941,285","-496,736","-496,736",-,"-496,736",-,"-120,131",-,"-120,131",-,-,-,"-51,329","-51,329",-,80,"-9,645","434,596","-63,976","498,572",-,"180,436","-35,148",-,-,"-496,736","-120,131","682,624"
5,12/31/2018,"540,972","540,972","435,788","8,585",-,-44,"11,267",-,"14,319","14,319","14,319","19,189","19,189",-,-,"3,611","25,711",-,"-20,554","20,687","1,378","19,309",-,"-2,713,433","-2,713,433","-11,313","-11,313",-,-,-,"-4,129","-4,129",-,"9,412","9,412","-121,431","-758,635","637,204",-577,"10,720","2,254,265","2,254,265","97,394","97,394","97,394",-,-,"-35,688",0,"-35,688",-,-,-,-,-,-,554,"-12,910","498,572","81,804","416,768","18,760","113,507","-11,313",0,"97,394",-,"-35,688","529,659"
6,12/31/2017,"383,811","383,811","325,492","-3,260",-,28,"-2,343",-,"13,393","13,393","13,393","113,826","113,826",-,-,-,"23,554","-6,608","-29,819","-86,955","-105,293","18,338",-,"-2,955,527","-2,955,527","-8,862","-8,862",-,-,-,0,-,-,"21,195","21,195","-1,094,545","-1,532,647","438,102",-,"21,267","2,703,993","2,703,993","294,289","294,289","294,289",-,-,0,0,-,0,-,0,0,-,0,846,"-13,811","416,768","132,277","284,491","99,430","59,838","-8,862",0,"294,289",-,0,"374,949"
7,12/31/2016,"-3,110","-3,110","259,798","-253,028",-,-,-,"-253,028",-,-,-,-,-,-,-,-,-,-359,"-9,521",-,-,-,-,"-209,736","-209,736",0,-,-,-,-,"-226,869","-226,869",-,0,0,"14,363","-20,148","34,511",-,-,"216,628","216,628","169,256","169,256","169,256",0,-,"55,785","55,785",-,0,-,0,0,-,0,"1,070","-9,483","11,409","3,782","7,627",189,"5,165",-,"55,785","169,256",0,0,"-3,110"
8,12/31/2015,"127,208","127,208","194,244","-60,357",-,-,-,"-60,357",-,-,-,-,-,-,-,-,-,"-1,945","-4,734",-,-,-,-,"-8,910","-8,910",0,-,-,-,-,"-19,440","-19,440",-,"4,138","4,138","2,688",0,"2,688",-,-,"-122,526","-122,526","-83,444","-83,444",0,"-83,444",-,"28,288","28,288",-,"-70,500",-,"-70,500",-750,-,-750,"1,935","1,945","7,627","-4,228","11,855","54,590","4,235",-,"28,288",0,"-83,444","-70,500","127,208"
9,12/31/2014,"34,242","34,242","147,951","-88,054",-,-,-,"-88,556",-,-,-,-,-,-,-,-,-,"-4,194","-21,461",-,-,-,-,639,639,617,-,-,-,-,0,0,0,"9,610","9,610","-12,874","-23,431","10,557",-,-,"-30,154","-30,154","15,499","15,499","22,000","-6,501",-,"13,746","13,746",-,"-70,500",-,"-70,500","-1,387",-,"-1,387","8,294","4,194","11,855","4,727","7,128","32,238","9,067",-,"13,746","22,000","-6,501","-70,500","34,242"
