,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Intangibles Purchase And Sale,Sale of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Dividends Received CFI,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"2,245,300","2,245,300","1,057,300",-,-,-,-,-,"74,600","74,600","74,600","-5,400","-5,400","1,102,100","-52,500",-,-,"39,800",-,"68,100",-,"-38,700",-,-,-,"-13,130,100","-13,130,100",-,-,"-2,158,200","-3,061,000","902,800",-,-,"-11,172,800",-,"-11,172,800","-141,000","-141,000",-,"391,900","391,900","-50,000","-50,000",-,-,-,"11,411,800","11,411,800",-,"5,406,700","547,700","578,400","-30,700","4,859,000",-,"157,700","157,700",0,0,0,-,"-166,200",-,-,-,"-18,500","1,043,400","527,000","516,400","197,600","452,900","-141,000","157,700","578,400","-30,700",0,"2,104,300"
1,3/31/2023,"357,300","357,300","142,200","149,600",-,-,"162,300",-,"22,500","22,500","22,500","5,800","5,800","95,700","-20,600",-,-,"6,100",-,"19,400",-,"-63,400",-,-,-,"-1,347,100","-1,347,100",-,-,"-650,300","-1,148,400","498,100",-,-,"-1,003,500",-,"-1,003,500","-28,500","-28,500",-,"335,200","335,200",0,0,-,-,-,"3,585,700","3,585,700",-,"9,695,600","-257,300",-,"-257,300","9,952,900",-,0,0,-,-,-,-,"-42,600",-,-,-,"-10,700","3,639,300","2,595,900","1,043,400",-,"329,500","-28,500",0,-,"-257,300",-,"328,800"
2,12/31/2022,"794,400","794,400","293,000",-,-,-,-,-,"22,100","22,100","22,100","-98,700","-98,700","579,300","-19,000",-,-,"9,500",-,"3,100",-,"5,100",-,-,-,"490,900","490,900",-,-,"-25,700","-208,800","183,100",-,-,"563,700",-,"563,700","-56,800","-56,800",-,"9,700","9,700",0,0,-,-,-,"-1,851,400","-1,851,400",-,"135,700","87,000","92,900","-5,900","48,700",-,0,0,-,0,0,-,"-42,400",-,-,-,-100,"1,043,400","-566,100","1,609,500","6,900","241,500","-56,800",0,"92,900","-5,900",-,"737,600"
3,9/30/2022,"490,900","490,900","264,000",-,-,-,-,-,"18,900","18,900","18,900","75,400","75,400","94,700","-15,300",-,-,"9,400",-,"28,500",-,"15,300",-,-,-,"-3,927,900","-3,927,900",-,-,"-127,500","-283,800","156,300",-,-,"-3,782,000",-,"-3,782,000","-36,800","-36,800",-,"18,400","18,400",0,0,-,-,-,"3,160,700","3,160,700",-,"1,277,200","-8,500","-1,100","-7,400","1,285,700",-,"50,000","50,000",-,-,-,-,"-42,200",-,-,-,-900,"1,609,500","-276,300","1,885,800","5,700","123,500","-36,800","50,000","-1,100","-7,400",-,"454,100"
4,6/30/2022,"337,100","337,100","260,200",-,-,-,-,-,"17,100","17,100","17,100","-30,600","-30,600","84,100","-12,600",-,-,"11,100",-,"27,500",-,"-19,700",-,-,-,"-7,095,500","-7,095,500",-,-,"-1,421,200","-1,606,500","185,300",-,-,"-5,992,800",-,"-5,992,800","-21,200","-21,200",-,"339,700","339,700",0,0,-,-,-,"6,041,900","6,041,900",-,"4,517,800","478,700",-,"-7,900","4,039,100",-,"12,800","12,800",-,-,-,-,"-41,100",-,-,-,-200,"1,885,800","-716,500","2,602,300","160,800","62,000","-21,200","12,800",-,"506,600",-,"315,900"
5,3/31/2022,"622,900","622,900","240,100",-,-,-,-,-,"16,500","16,500","16,500","48,500","48,500","344,000","-5,600",-,-,"9,800",-,"9,000",-,"-39,400",-,-,-,"-2,597,600","-2,597,600",-,-,"-583,800","-961,900","378,100",-,-,"-1,961,700",-,"-1,961,700","-26,200","-26,200",-,"24,100","24,100","-50,000","-50,000",-,-,-,"4,060,600","4,060,600",-,"-524,000","-9,500",-,"-9,500","-514,500","-514,500","94,900","94,900",-,-,-,-,"-40,500",-,-,-,"-17,300","2,602,300","2,085,900","516,400","24,200","25,900","-26,200","94,900",-,"-524,000",-,"596,700"
6,12/31/2021,"615,000","615,000","246,000",-,-,-,-,-,"12,900","12,900","12,900","11,300","11,300","426,800","-4,100",-,-,"9,500",-,"13,200",-,"-136,200",-,-,-,"-4,043,900","-4,043,900",-,-,"8,599,000","8,101,500","497,500",-,-,-,-,-,"-37,600","-37,600",-,"70,700","70,700","-11,000","-11,000",-,-,-,"3,027,400","3,027,400",-,"477,900","2,220,000","463,800","1,756,200",-,-,"261,300","261,300",0,0,0,-,"-40,000",-,-,-,"-1,200","516,400","-401,500","917,900","15,500","41,200","-37,600","261,300","463,800","1,756,200",0,"577,400"
7,9/30/2021,"-1,307,800","-1,307,800","236,900","-11,600",-,-,"1,900",-,"15,400","15,400","15,400","46,200","46,200","-1,618,400","-5,100",-,-,"8,100",-,"12,300",-,"8,400",-,-,-,"-5,284,100","-5,284,100",-,-,"-5,600,400","-6,011,100","410,700",-,-,-,-,-,"-18,200","-18,200",-,"334,500","334,500",0,0,-,-,-,"4,114,000","4,114,000",-,"496,100","496,100",-400,"496,500",-,-,0,0,0,-,-,-,"-36,500","-36,500",-,-,"-1,700","917,900","-2,477,900","3,395,800","49,100","-24,000","-18,200","294,500",-400,"496,500",0,"-1,326,000"
8,6/30/2021,"-2,061,300","-2,061,300","223,800","-25,800",-,-,"2,300",-,"12,700","12,700","12,700","13,400","13,400","-2,331,700","-8,800",-,-,"9,500",-,"-14,500",-,"60,100",-,-,-,"-1,325,000","-1,325,000",-,-,"-2,697,100","-3,172,500","475,400",-,-,-,-,-,"-3,200","-3,200",-,-,-,-,-,-,-,-,"1,435,600","1,435,600",-,"-2,136,200","-2,136,200",-,"-2,728,500",-,-,"69,800","69,800",0,-,-,-,"-25,800","-25,800",-,-,-100,"3,395,800","-1,950,700","5,346,500","80,300","79,400","-3,200","69,800",-,"-2,728,500",0,"-2,064,500"
9,3/31/2021,"100,100","100,100","192,500","1,800",-,-,"1,100",700,"9,000","9,000","9,000","20,600","20,600","-1,000","-8,500",-,-,"8,000",-,"-32,400",-,"-89,900",-,-,-,"-4,058,900","-4,058,900",-,-,"-2,437,400","-2,932,700","495,300",-,-,"-1,611,100",-,"-1,611,100","-10,400","-10,400",-,-,-,-,-,-,-,-,"6,633,600","6,633,600",-,-100,-100,-,-100,-,-,"209,200","209,200",0,-,-,-,"-25,300","-25,300",-,-,"-12,800","5,346,500","2,674,800","2,671,700","30,800","15,000","-10,400","209,200",-,-100,0,"89,700"
