,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Securities Amortization,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"2,297,200","2,183,500","2,659,000","2,393,400","2,393,400","265,600",-,"25,800","475,500","276,400","164,100","35,000",-,-,"113,700",-,"-65,000","179,400","179,400",-,-,-,"244,400","32,800",-,-,"100,700","-4,000","104,000",700,"45,200","-68,100","912,600","55,500","55,500","99,900","592,700","570,600","539,500","31,100",-,"22,100",-,-,-,-,-,-,"164,500","15,100",-400,400,-,0,-,"1,316,100","258,800","1,044,500","1,057,300","1,057,300","1,057,300",-,-,"12,800","1,044,500",-,-,-,-,"2,115,400","1,057,300","1,057,059",-,"74,600","1,057,300",300,300,0,59.1
1,12/31/2022,"2,305,600","2,216,300","2,691,800","2,393,400","2,393,400","272,600",-,"25,800","475,500","276,400","164,100","199,100",-,-,"89,300",-,"-41,900","179,400","179,400",-,-,-,"221,300","32,800",-,-,"82,900","-21,800","104,000",700,"48,300","-53,400","935,700","55,500","55,500","99,900","592,700","570,600","539,500","31,100",-,"22,100",-,-,-,-,-,-,"187,600","17,800",-400,400,-,0,-,"1,316,100","258,800","1,044,500","1,057,300","1,057,300","1,057,300",-,-,"12,800","1,044,500",9.74,9.70,"107,200","107,600","2,162,900","1,057,300","1,057,059",-,"74,600","1,057,300",300,300,0,59.1
2,12/31/2021,"1,843,900","1,548,800","1,658,700","1,488,800","1,488,800","164,700",-,"5,200","109,900","47,500","29,300","62,400",-,-,"295,100",-,"-53,900","29,400","29,400",-,-,-,"83,300","11,300",-,-,"336,700","7,000","326,200","3,500","12,300","28,600","750,400","43,800","43,800","58,600","503,200","489,700","466,700","23,000","58,200","13,500",-,-,-,-,-,-,"144,800","22,100","-21,200","15,300",-,"5,900",-,"1,123,000","223,800","895,700","899,200","899,200","899,200",-,-,"3,500","895,700",8.72,8.67,"102,700","103,300","1,577,400","899,200","913,378",-,"50,000","899,200","-17,700","-17,700",0,"-3,522"
3,12/31/2020,"1,198,700","1,166,900","1,261,800","1,144,300","1,144,300","112,400",-,"5,100","94,900","70,400",600,"24,500",-,-,"31,800","10,200","3,000","30,800","24,300",-,"6,500",-,"27,800","9,700",-,"5,600","5,500","4,000",-,"1,500","7,500","-123,600","465,300","34,100","34,100","42,200","321,000","316,900","303,600","13,300","5,500","4,100","1,600","1,600",-,"1,600","1,600",-,"66,400","12,700",-,-,-,-,-,"622,500","115,900","506,600","506,600","506,600","506,600",-,-,-,"506,600",5.06,5.04,"100,200","100,500","1,043,300","506,600","505,379",-,"1,600","506,600","1,500","1,500",0,279.3
4,12/31/2019,"1,051,763","1,040,412","1,225,045","1,093,070","1,093,070","115,889",-,"16,086","184,633","158,405",-,"26,228",-,"1,466","11,351","3,901","-8,146","33,490","26,511",-,"6,979",-,"41,636","6,133",-,"4,987","4,453","8,271","3,158","-3,818","6,156","-18,500","437,327","32,507","32,507","37,009","295,397","291,198","279,274","11,924","7,043","4,199","1,547","1,547",-,"1,547","1,547",-,"70,867","8,290",-,-,-,-,-,"604,226","105,055","499,171","499,171","499,171","499,171",-,-,-,"499,171",4.86,4.84,"102,700","103,100","1,021,912","499,171","502,325",-,"1,547","499,171","-3,818","-3,818",0,-663.9502
5,12/31/2018,"922,612","915,879","1,033,483","910,577","910,577","111,672",-,"11,234","117,604","90,464",-,"27,140",-,524,"6,733","3,946","6,865","34,644","26,635",-,"8,009",-,"27,779","7,915",-,"4,760","-11,276","-11,267","4,340",-9,"2,438","-23,000","397,879","29,404","29,404","28,722","271,013","267,243","253,238","14,005","5,960","3,770","1,594","1,594",-,"1,594","1,594",-,"67,146","8,595",0,0,-,-,-,"510,328","74,540","435,788","435,788","435,788","435,788",0,-,-,"435,788",4.16,4.14,"104,700","105,400","892,879","435,788","435,796",-,"1,594","435,788",-9,-9,0,-1.3149
6,12/31/2017,"807,831","784,664","845,513","747,510","747,510","88,639",-,"9,364","60,849","41,965",-,"18,884",-,50,"23,167","3,861","11,110","28,871","22,558",-,"6,313",-,"17,761","7,740",-,"3,536","2,423","2,343","2,212",80,"2,237","-17,250","343,260","27,860","27,860","29,814","232,190","228,386","214,344","14,042","19,225","3,804","2,074","2,074",-,"2,074","2,074",-,"51,322","4,496",0,0,-,0,-,"451,817","126,325","325,492","325,492","325,492","325,492",-,-,-,"325,492",3.12,3.10,"104,179","104,997","767,414","325,492","325,434",-,"2,074","325,492",80,80,0,22.4
7,12/31/2016,"694,318","657,213","700,506","636,596","636,596","58,540",-,"5,370","43,293","29,722",-,"13,571",-,65,"37,105","3,762","21,097","27,032","22,594",-,"4,438",-,"5,935","9,002",-,-,"5,365","5,240","3,770",125,"6,881","-8,000","312,727","27,303","27,303","24,610","205,304","201,708","188,810","12,898","18,660","3,596","2,788","2,788",-,"2,788","2,788",-,"52,722",-,"-12,412","12,412",-,0,-,"361,179","101,381","259,798","259,798","259,798","259,798",0,-,-,"259,798",2.52,2.50,"103,042","103,843","649,213","259,798","268,636",-,"2,788","259,798","-12,287","-12,287",0,"-3,449"
8,12/31/2015,"517,354","492,576","525,144","476,417","476,417","43,557",-,"5,170","32,568","21,795",-,"10,773",-,88,"24,778","3,899","9,446","16,587","16,587",-,"3,679",-,"7,141","10,317",-,-,"2,685",615,-,"2,070","8,748","-3,200","246,699","22,180","22,180","18,548","163,716","160,831","149,828","11,003","14,776","2,885","1,970","1,970",-,"1,970","1,970",-,"40,285",-,"-8,917","8,836",0,81,-,"258,538","64,294","193,494","194,244","194,244","194,244",0,-,750,"193,494",2.05,2.03,"94,570","95,219","489,376","194,244","199,388",-,"1,970","194,244","-6,847","-6,847",0,"-1,703"
9,12/31/2014,"408,454","384,893","416,379","370,922","370,922","43,209","2,248","2,248","31,486","20,012",-,"11,474",81,-,"23,561","4,508","2,648","10,451","10,451",-,-,"3,763","7,803","4,606",-,-,"6,178",757,-,"5,421","10,227","-4,726","205,529","18,192","18,192","14,278","137,792","135,492","126,630","8,862","9,181","2,300","1,461","1,461",-,"1,461","1,461",-,"33,806",-,-700,198,0,502,-,"197,499","48,390","146,564","147,951","147,951","149,109","-1,158",-,"1,387","146,564",1.69,1.67,"86,693","87,506","380,167","147,951","145,545","2,248","1,461","149,109","4,721","4,721",0,"1,157"
