,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Securities Amortization,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"2,297,200","2,183,500","2,659,000","2,393,400","2,393,400","265,600",-,"25,800","475,500","276,400","164,100","35,000",-,-,"113,700",-,"-65,000","179,400","179,400",-,-,-,"244,400","32,800",-,-,"100,700","-4,000","104,000",700,"45,200","-68,100","912,600","55,500","55,500","99,900","592,700","570,600","539,500","31,100",-,"22,100",-,-,-,-,-,-,"164,500","15,100",-400,400,-,0,-,-,"1,316,100","258,800","1,044,500","1,057,300","1,057,300","1,057,300",-,-,"12,800","1,044,500",-,-,-,-,"2,115,400","1,057,300","1,057,059",-,"74,600","1,057,300",300,300,0,59.1
1,3/31/2023,"447,900","609,900","968,900","832,700","832,700","96,100",-,"40,100","359,000","231,600",-,"127,400",-,-,"-162,000",-,"-43,100","57,600","57,600",-,-,-,"100,700","41,900",-,-,"-128,900","-160,300","31,400",0,"10,000","-16,100","259,900","16,500","16,500","23,100","169,800","164,600","148,900","15,700",-,"5,200",-,-,-,-,-,-,"50,500","1,400","12,700",-,-,"-12,700",-,-,"184,600","42,400","139,000","142,200","142,200","142,200",-,-,"3,200","139,000",1.29,1.28,"108,100","108,300","593,800","142,200","132,421",-,"22,500","142,200","12,700","12,700",0,"2,921"
2,12/31/2022,"601,500","639,700","888,300","785,100","785,100","89,400",-,"13,800","248,600","157,600",-,"91,000",-,-,"-38,200",-,"-64,200","32,800","32,800",-,-,-,"97,000","15,900",-,-,"16,600","-9,100","25,400",300,"9,400",-100,"236,700","15,800","15,800","26,000","141,900","134,600","125,700","8,900",-,"7,300",-,-,-,-,-,-,"53,000","4,200",0,0,-,0,-,-,"364,700","71,700","289,800","293,000","293,000","293,000",-,-,"3,200","289,800",2.68,2.67,"108,000","108,400","639,600","293,000","292,759",-,"22,100","293,000",300,300,0,59.1
3,9/30/2022,"588,000","602,100","739,400","657,000","657,000","75,900",-,"6,500","137,300","77,600",-,"59,700",-,-,"-14,100",-,"-36,800","34,600","34,600",-,-,-,"71,400","8,400",-,-,"11,900","-2,800","14,500",200,"10,800","-28,100","234,600","13,900","13,900","24,800","149,600","144,600","136,500","8,100","21,800","5,000",-,-,-,-,-,-,"46,300","4,300",0,0,-,-,-,-,"329,600","65,600","260,800","264,000","264,000","264,000",-,-,"3,200","260,800",2.43,2.42,"107,500","107,900","574,000","264,000","263,840",-,"18,900","264,000",200,200,0,39.8
4,6/30/2022,"573,300","525,000","579,600","516,600","516,600","59,300",-,"3,700","54,600","27,100",-,"27,500",-,-,"48,300",-,"26,000","58,800","58,800",-,-,-,"32,800","5,400",-,-,"17,300","-10,200","27,200",300,"5,000","-18,500","236,400","13,000","13,000","25,100","145,900","145,900","139,000","6,900","5,400","5,400",-,-,-,-,-,-,"52,400","5,200",0,0,-,-,-,-,"323,600","63,400","257,000","260,200","260,200","260,200",-,-,"3,200","257,000",2.40,2.39,"107,300","107,700","506,500","260,200","259,959",-,"17,100","260,200",300,300,0,58.8
5,3/31/2022,"529,200","449,500","484,500","434,700","434,700","48,000",-,"1,800","35,000","14,100",-,"20,900",-,-,"79,700",-,"33,100","53,200","53,200",-,-,-,"20,100","3,100",-,-,"37,100",300,"36,900",-100,"9,500","-6,700","228,000","12,800","12,800","24,000","149,900","145,500","138,300","7,200","17,600","4,400",-,-,-,-,-,-,"41,300","4,100",-400,400,-,0,-,-,"298,200","58,100","236,900","240,100","240,100","240,100",-,-,"3,200","236,900",2.23,2.22,"106,000","106,600","442,800","240,100","240,503",-,"16,500","240,100",-500,-500,0,-97.5
6,12/31/2021,"524,300","450,600","483,300","438,600","438,600","43,700",-,"1,000","32,700","12,800",-,"19,900",-,-,"73,700",-,"-10,400","14,300","14,300",-,-,-,"24,700","2,700",-,-,"81,100","7,500","73,200",400,"3,000","-6,000","210,800","12,400","12,400","20,800","133,800","127,700","120,600","7,100","17,900","6,100",-,-,-,-,-,-,"43,800","5,200","-2,700","-3,200",-,"5,900",-,-,"310,000","64,000","242,500","246,000","246,000","246,000",-,-,"3,500","242,500",2.33,2.32,"103,900","104,500","444,600","246,000","247,826",-,"12,900","246,000","-2,300","-2,300",0,-473.8
7,9/30/2021,"521,300","410,400","442,800","398,000","398,000","43,500",-,"1,300","32,400","12,300",-,"20,100",-,-,"110,900","1,000","-12,100","13,900","13,900",-,-,-,"26,000","2,800",-,"1,900","120,100","-2,200","121,000","1,300",-,"-12,300","206,700","12,400","12,400","13,700","140,600","139,700","133,500","6,200","1,900",900,"1,900","1,900",-,"1,900","1,900",-,"38,100","2,500","-2,400","2,400",-,-,-,-,"302,400","65,500","236,900","236,900","236,900","236,900",-,-,-,"236,900",2.29,2.28,"103,300","103,900","398,100","236,900","237,761",-,"1,900","236,900","-1,100","-1,100",0,-238.7
8,6/30/2021,"468,700","370,500","398,500","353,800","353,800","43,500",-,"1,200","28,000","11,600",-,"16,400",-,-,"98,200",900,"-41,400","-8,900","-8,900",-,-,-,"32,500","2,900",-,"1,500","136,700","3,200","132,000","1,500",500,"14,500","198,100","10,400","10,400","14,000","136,100","134,400","128,900","5,500","1,500","1,700","1,800","1,800",-,"1,800","1,800",-,"35,800","6,800","-15,700","15,700",-,-,-,-,"276,200","52,400","223,800","223,800","223,800","223,800",-,-,-,"223,800",2.18,2.17,"102,700","103,400","385,000","223,800","235,302",-,"1,800","223,800","-14,200","-14,200",0,"-2,698"
9,3/31/2021,"320,600","317,300","334,100","298,400","298,400","34,000",-,"1,700","16,800","10,800",100,"6,000",-,-,"3,300","1,000",-900,"8,200","6,600",-,"1,600",-,"9,100","2,900",-,"2,200","-1,200","-1,500",-,300,"2,200","32,400","125,800","8,600","8,600","10,100","88,500","87,900","83,700","4,200",800,600,500,500,-,500,500,-,"18,100","7,600",-400,400,-,-,-,-400,"234,400","41,900","192,500","192,500","192,500","192,500",-,-,-,"192,500",1.91,1.90,"100,800","101,400","349,700","192,500","192,582",-,500,"192,500",-100,-100,0,-17.88
10,12/31/2020,"325,500","314,800","331,600","301,200","301,200","29,400",-,"1,000","16,800","10,700",-,"6,100",-,-,"10,700","1,200",-300,"6,600","4,900",-,"1,700",-,"6,900","5,395",-,"1,300","4,900","4,700",-,200,"3,600","34,200","125,500","8,400","8,400","11,100","88,400","86,900","83,100","3,800","1,400","1,500",400,400,-,400,400,-,"17,200","6,400",-,-,-,-,-,-,"240,600","47,000","193,600","193,600","193,600","193,600",-,-,-,"193,600",1.94,1.93,"99,900","100,400","349,000","193,600","193,439",-,400,"193,600",200,200,0,39.06
