,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/31/2023Current,3.75B,N/A,3.91,4.05,N/A,1.68,0.72,N/A,N/A
1,3/31/2023,3.89B,N/A,3.66,3.57,N/A,1.67,0.77,N/A,N/A
2,12/31/2022,6.49B,N/A,6.37,5.00,N/A,2.87,1.29,N/A,N/A
3,9/30/2022,7.16B,N/A,7.14,5.49,N/A,3.23,1.44,N/A,N/A
4,6/30/2022,7.64B,N/A,7.85,7.16,N/A,3.60,1.53,N/A,N/A
5,3/31/2022,8.97B,N/A,9.55,8.50,N/A,4.64,1.81,N/A,N/A
6,12/31/2021,11.48B,N/A,13.00,11.34,N/A,6.73,2.54,N/A,N/A
7,9/30/2021,11.34B,N/A,14.81,11.74,N/A,7.80,2.81,N/A,N/A
8,6/30/2021,9.68B,N/A,15.20,11.68,N/A,7.42,2.61,N/A,N/A
9,3/31/2021,9.77B,N/A,18.74,12.67,N/A,7.92,2.86,N/A,N/A
10,12/31/2020,6.18B,N/A,13.75,10.82,N/A,5.27,1.92,N/A,N/A
11,9/30/2020,3.19B,N/A,7.42,6.70,N/A,2.88,1.03,N/A,N/A
12,6/30/2020,3.82B,N/A,8.40,10.29,N/A,3.65,1.27,N/A,N/A
13,3/31/2020,3.10B,N/A,6.32,6.79,N/A,3.00,1.03,N/A,N/A
14,12/31/2019,5.84B,N/A,12.05,11.40,N/A,5.82,2.00,N/A,N/A
15,9/30/2019,4.73B,N/A,10.17,9.07,N/A,4.90,1.66,N/A,N/A
16,6/30/2019,4.67B,N/A,10.30,9.42,N/A,4.93,1.70,N/A,N/A
17,3/31/2019,4.32B,N/A,9.91,8.96,1.28,4.69,1.64,N/A,N/A
18,12/31/2018,4.14B,N/A,10.26,8.50,1.21,4.63,1.67,N/A,N/A
19,9/30/2018,6.02B,N/A,15.85,12.39,1.24,6.85,2.52,N/A,N/A
20,6/30/2018,5.99B,N/A,16.85,14.20,1.42,7.06,2.61,N/A,N/A
21,3/31/2018,6.14B,N/A,18.75,14.62,1.46,7.55,2.76,N/A,N/A
22,12/31/2017,5.97B,N/A,19.46,15.72,1.57,7.63,2.78,N/A,N/A
23,9/30/2017,5.60B,N/A,19.16,15.60,1.56,7.39,2.72,N/A,N/A
24,6/30/2017,5.19B,N/A,18.92,16.78,1.68,7.08,2.63,N/A,N/A
25,3/31/2017,5.18B,N/A,19.64,16.75,1.68,7.34,2.74,N/A,N/A
26,12/31/2016,5.12B,N/A,20.13,16.50,1.65,7.60,2.76,N/A,N/A
27,9/30/2016,3.94B,N/A,16.18,13.12,1.64,6.17,2.20,N/A,N/A
28,6/30/2016,3.43B,N/A,14.98,13.05,1.63,5.69,2.07,N/A,N/A
29,3/31/2016,3.46B,N/A,16.44,12.38,1.55,6.14,2.17,N/A,N/A
30,12/31/2015,3.70B,N/A,18.87,16.08,2.01,6.94,2.44,N/A,N/A
31,9/30/2015,3.14B,N/A,17.45,14.04,1.76,6.31,2.18,N/A,N/A
32,6/30/2015,3.45B,N/A,18.97,15.60,1.95,7.04,3.52,N/A,N/A
33,3/31/2015,2.64B,N/A,17.54,14.04,1.76,6.33,2.84,N/A,N/A
34,12/31/2014,2.47B,N/A,17.48,16.81,2.10,6.18,2.86,N/A,N/A
35,9/30/2014,2.10B,N/A,16.37,14.64,1.83,5.56,2.57,N/A,N/A
36,6/30/2014,2.09B,N/A,16.53,14.03,1.75,5.74,2.77,N/A,N/A
37,3/31/2014,2.15B,N/A,18.64,15.15,2.33,6.23,3.02,N/A,N/A
38,12/31/2013,2.08B,N/A,17.67,17.48,2.69,6.22,3.04,N/A,N/A
