,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,Foreclosed Assets,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"1,881,016,000","227,193,000","159,157,000","34,596,000",-,"124,561,000","68,036,000","68,036,000",-,"137,000","20,807,000","561,222,000","86,155,000","64,414,000","297,059,000","113,594,000","9,669,000","22,774,000","935,082,000","948,067,000","7,104,000","386,806,000","129,238,000","424,919,000",-,"12,985,000",-,"14,908,000","27,116,000",-,"14,908,000","8,350,000","17,977,000",-,-,-,-,"17,977,000",-,"35,653,000","25,173,000","10,480,000",-,-,"75,834,000","1,699,141,000","1,383,985,000","925,975,000","925,975,000","458,010,000","30,623,000","69,056,000","69,056,000","51,145,000","51,145,000",-,"51,145,000","20,085,000","174,870,000","174,870,000","27,000,000","22,000",-,-,-,"181,875,000","179,889,000","28,584,000","19,448,000","9,136,000","187,649,000","60,319,000","82,853,000","-13,381,000",-,-,"-429,000","1,986,000","354,759,000","19,448,000","160,441,000","22,000","144,236,000","386,456,000","124,788,000","226,015,000","66,858,000","5,481,811","3,833,804","353,565","1,648,007"
1,12/31/2021,"1,948,068,000","300,453,000","234,230,000","24,616,000",-,"209,614,000","66,223,000","66,223,000","155,000","112,000","20,619,000","610,417,000","88,265,000","72,886,000","272,022,000","177,244,000","8,196,000","21,478,000","891,662,000","904,152,000","23,617,000","350,436,000","123,386,000","406,713,000","1,950,000","12,490,000",-,"14,859,000","22,781,000",-,"14,859,000","8,571,000","31,237,000","1,759,000","9,442,000","7,420,000","2,597,000","10,019,000","-12,679,000","33,369,000","25,180,000","8,189,000",-,-,"67,259,000","1,757,958,000","1,482,479,000","954,731,000","954,731,000","527,748,000","21,191,000","70,957,000","70,957,000","34,409,000","34,409,000",-,"34,409,000","9,424,000","160,689,000","160,689,000",-,"26,000","2,787,000","2,787,000",-,"190,110,000","187,606,000","29,193,000","20,057,000","9,136,000","180,322,000","60,196,000","79,757,000","-1,702,000",-,-,"-646,000","2,504,000","348,295,000","20,057,000","167,549,000","26,000","154,237,000","362,647,000","134,180,000","195,098,000",-,"5,481,811","3,885,801","450,014","1,596,010"
2,12/31/2020,"1,955,163,000","330,284,000","264,612,000","28,236,000",-,"236,376,000","65,672,000","65,672,000","268,000","159,000","20,380,000","563,467,000","75,095,000","62,260,000","205,720,000","220,392,000","20,455,000","25,846,000","889,418,000","907,934,000","36,384,000","318,805,000","109,260,000","443,485,000","2,838,000","18,516,000",-,"16,087,000","40,954,000",-,"16,087,000","8,895,000","33,087,000","1,808,000","9,504,000","7,449,000","2,597,000","11,729,000","-12,495,000","33,829,000","26,392,000","7,437,000",-,-,"87,337,000","1,769,243,000","1,404,381,000","937,313,000","937,313,000","467,068,000","46,362,000","76,404,000","76,404,000","58,999,000","58,999,000",-,"58,999,000","16,509,000","212,950,000","212,950,000","31,000","28,000",-,-,-,"185,920,000","184,887,000","30,272,000","21,136,000","9,136,000","162,890,000","60,197,000","67,791,000","194,000",-,-,"-875,000","1,033,000","397,837,000","21,136,000","163,751,000","28,000","151,058,000","435,700,000","129,922,000","271,949,000","7,337,000","5,481,811","4,144,012","381,765","1,337,800"
3,12/31/2019,"1,927,555,000","243,390,000","141,250,000","21,757,000",-,"119,493,000","102,140,000","102,140,000","253,000","303,000","20,070,000","546,366,000","107,173,000","21,801,000","153,933,000","263,459,000","19,000,000","14,203,000","957,202,000","966,753,000","24,319,000","354,125,000","123,190,000","465,119,000",-,"9,551,000",-,"19,831,000","34,723,000",-,"19,831,000","9,309,000","34,120,000","1,857,000","9,499,000","7,189,000","2,597,000","12,978,000","-11,866,000","39,337,000","26,390,000","12,947,000",-,-,"78,917,000","1,739,571,000","1,322,626,000","978,130,000","978,130,000","344,496,000","92,403,000","75,163,000","75,163,000","104,512,000","104,512,000",-,"104,512,000","9,079,000","228,191,000","228,191,000","32,991,000","33,000",-,-,-,"187,984,000","187,146,000","30,685,000","21,549,000","9,136,000","166,697,000","61,049,000","68,831,000","-1,311,000",-,-,"-1,143,000","838,000","415,337,000","21,549,000","165,597,000","33,000","147,809,000","498,300,000","126,260,000","332,703,000","191,453,000","5,481,811","4,134,426","373,265","1,347,386"
4,12/31/2018,"1,895,883,000","253,494,000","173,287,000","23,551,000",-,"149,736,000","80,207,000","80,207,000","258,000","451,000","19,751,000","521,622,000","89,438,000","17,484,000","144,788,000","269,912,000","18,215,000","10,770,000","940,806,000","950,581,000","17,167,000","350,199,000","120,242,000","462,973,000",-,"9,775,000",-,"19,696,000","40,365,000",-,"19,696,000","8,920,000","8,920,000","1,757,000","8,974,000","6,896,000","2,387,000","8,920,000","-11,169,000","42,510,000","26,418,000","16,092,000",-,-,"79,850,000","1,698,817,000","1,286,170,000","936,636,000","936,636,000","349,534,000","92,430,000","69,317,000","69,317,000","105,787,000","105,787,000",-,"105,787,000","8,499,000","229,044,000","229,044,000","53,876,000","36,000",-,-,-,"197,066,000","196,166,000","32,350,000","23,214,000","9,136,000","158,163,000","60,685,000","47,194,000","-6,336,000",-,-,"-1,502,000","900,000","425,210,000","23,214,000","172,952,000","36,000","153,656,000","507,783,000","130,442,000","334,831,000","161,544,000","5,481,811","4,581,254","373,322","900,558"
5,12/31/2017,"1,951,757,000","295,972,000","215,947,000","23,367,000",-,"192,580,000","80,025,000","80,025,000","177,000","642,000","19,549,000","508,749,000","92,329,000","274,095,000","139,335,000","277,085,000","28,382,000","12,228,000","946,559,000","957,563,000","20,178,000","333,125,000","129,615,000","474,645,000",-,"11,004,000",-,"64,200,000","44,815,000",-,"19,385,000","18,513,000","29,813,000","1,799,000","8,865,000","7,089,000","2,291,000","9,769,000","-11,300,000","43,246,000","26,587,000","16,659,000",-,-,"13,540,000","1,743,678,000","1,335,991,000","962,269,000","962,269,000","373,722,000","88,684,000","70,615,000","70,615,000","14,572,000","14,572,000",0,"14,572,000","8,796,000","225,020,000","224,981,000","47,887,000","39,000",-,-,-,"208,079,000","206,936,000","34,494,000","25,358,000","9,136,000","145,263,000","60,893,000","29,892,000","-2,144,000",-,-,"-1,678,000","1,143,000","431,917,000","25,358,000","181,578,000","39,000","163,690,000","421,131,000","138,332,000","239,592,000","23,606,000","5,481,811","4,891,617","459,280","590,195"
6,12/31/2016,"1,930,115,000","286,767,000","20,729,000","20,729,000",-,-,"266,038,000","266,038,000","196,000","978,000","19,325,000","482,344,000","74,397,000","301,946,000","99,583,000","308,364,000","27,380,000","14,498,000","963,285,000","974,704,000","26,389,000","330,840,000","139,252,000","478,223,000",-,"11,419,000",-,"19,289,000","36,395,000",-,"19,289,000","8,333,000","8,333,000","1,726,000","8,584,000","6,606,000","2,199,000","8,333,000","-10,852,000","41,058,000","26,693,000","14,365,000",-,-,"114,541,000","1,729,618,000","1,306,079,000","930,112,000","930,112,000","375,967,000","78,124,000","57,189,000","57,189,000","96,781,000","96,781,000","120,000","96,781,000","14,492,000","255,077,000","255,077,000","77,154,000","7,000",-,-,-,"200,497,000","199,581,000","33,687,000","24,551,000","9,136,000","133,075,000","60,234,000","22,713,000","-3,137,000",-,-,"-1,565,000","916,000","454,658,000","24,551,000","175,030,000","7,000","158,523,000","526,888,000","133,972,000","351,858,000","331,129,000","5,481,811","5,016,109","431,880","465,702"
7,12/31/2015,"1,787,632,000","289,241,000","19,111,000","19,111,000",-,-,"270,130,000","270,130,000","273,000","1,425,000","19,199,000","424,757,000","77,202,000",-,"80,197,000","267,358,000","23,747,000",-,"912,529,000","924,074,000","19,882,000","299,892,000","133,103,000","471,197,000",-,"11,545,000",-,"12,367,000","31,316,000",-,"12,367,000","8,704,000","8,704,000","1,743,000","8,479,000","7,289,000","2,131,000","8,704,000","-11,017,000","39,252,000","25,529,000","13,723,000",-,-,"100,782,000","1,593,607,000","1,223,312,000","871,733,000","871,733,000","351,579,000","82,948,000","73,231,000","73,231,000","97,528,000","97,528,000","334,000","97,528,000",-,"199,536,000","199,536,000","37,102,000","8,000",-,-,-,"194,025,000","193,132,000","31,350,000","22,214,000","9,136,000","121,000,000","60,714,000","18,867,000","297,000",-,-,"-1,362,000","893,000","392,668,000","22,214,000","170,918,000","8,000","153,880,000","467,982,000","131,666,000","297,064,000","277,953,000","5,481,811","5,092,129","345,680","389,683"
8,12/31/2014,"1,687,155,000","278,000,000","19,571,000","19,571,000",-,-,"258,429,000","258,429,000","201,000","2,609,000","18,982,000","391,180,000","78,255,000",-,"55,483,000","257,442,000","21,955,000",-,"858,183,000","870,502,000","20,258,000","271,795,000","122,622,000","455,827,000",-,"12,319,000",-,"12,307,000","32,022,000",-,"12,307,000","8,743,000","8,743,000","1,748,000","8,155,000","7,215,000","2,009,000","8,743,000","-10,463,000","39,685,000","25,705,000","13,980,000",-,-,"99,057,000","1,501,893,000","1,168,310,000","846,347,000","846,347,000","321,963,000","51,052,000","86,122,000","86,122,000","63,518,000","63,518,000","2,456,000","63,518,000",-,"183,943,000","183,943,000","34,125,000","9,000",-,-,-,"185,262,000","184,394,000","28,349,000","19,213,000","9,136,000","107,040,000","60,537,000","13,690,000","3,518,000",-,-,"-1,360,000","868,000","368,337,000","19,213,000","165,181,000","9,000","144,709,000","412,642,000","125,496,000","247,461,000","227,890,000","5,481,811","5,170,349","305,680","311,462"
9,12/31/2013,"1,527,015,000","233,712,000","19,919,000","19,919,000",-,-,"213,793,000","213,793,000","279,000","3,937,000","18,738,000","327,166,000","62,813,000",-,"12,346,000","252,007,000","20,355,000",-,"816,159,000","830,661,000","16,896,000","244,875,000","120,632,000","448,258,000",-,"14,502,000",-,"12,034,000","26,441,000",-,"12,034,000","9,156,000","9,156,000","1,759,000","7,931,000","7,517,000","1,939,000","9,156,000","-10,072,000","42,446,000","25,637,000","16,809,000",-,-,"86,342,000","1,356,007,000","1,079,177,000","791,060,000","791,060,000","288,117,000","36,263,000","69,949,000","69,949,000","53,883,000","53,883,000","5,162,000","53,883,000",-,"152,998,000","152,998,000","19,160,000","11,000",-,-,-,"171,008,000","170,142,000","25,403,000","16,267,000","9,136,000","92,361,000","60,296,000","8,104,000","1,386,000",-,-,"-1,200,000","866,000","323,140,000","16,267,000","153,875,000","11,000","127,696,000","360,756,000","111,429,000","206,881,000","186,962,000","5,481,811","5,257,163","273,680","224,649"
