,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,Foreclosed Assets,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"1,886,400,000","229,724,000","162,436,000","31,958,000",-,"130,478,000","67,288,000","67,288,000",-,"132,000","20,836,000","572,207,000","90,052,000","60,610,000","277,147,000","144,398,000","9,729,000","17,117,000","926,250,000","939,370,000","6,199,000","384,690,000","126,636,000","421,845,000",-,"13,120,000",-,"14,820,000","33,487,000",-,"14,820,000","8,416,000","17,831,000",-,-,-,-,"17,831,000",-,"35,123,000","25,173,000","9,950,000",-,-,-,"82,743,000","1,703,180,000","1,362,629,000","927,717,000","927,717,000","434,912,000","62,235,000","69,181,000","69,181,000","81,007,000","81,007,000",-,"81,007,000","16,897,000","173,466,000","173,466,000","24,000,000",-,-,-,-,"183,220,000","181,168,000","28,584,000","19,448,000","9,136,000","191,688,000","59,946,000","86,049,000","-12,572,000",-,-,"-429,000","2,052,000","354,634,000","19,448,000","161,720,000",-,"146,045,000","416,193,000","126,597,000","254,473,000","92,037,000","5,481,811","3,763,224","353,565","1,718,588"
1,12/31/2022,"1,881,016,000","227,193,000","159,157,000","34,596,000",-,"124,561,000","68,036,000","68,036,000",-,"137,000","20,807,000","561,222,000","86,155,000","64,414,000","297,059,000","113,594,000","9,669,000","22,774,000","935,082,000","948,067,000","7,104,000","386,806,000","129,238,000","424,919,000",-,"12,985,000",-,"14,908,000","27,116,000",-,"14,908,000","8,350,000","17,977,000",-,-,-,-,"17,977,000",-,"35,653,000","25,173,000","10,480,000",-,-,-,"75,834,000","1,699,141,000","1,383,985,000","925,975,000","925,975,000","458,010,000","30,623,000","69,056,000","69,056,000","51,145,000","51,145,000",-,"51,145,000","20,085,000","174,870,000","174,870,000","27,000,000","22,000",-,-,-,"181,875,000","179,889,000","28,584,000","19,448,000","9,136,000","187,649,000","60,319,000","82,853,000","-13,381,000",-,-,"-429,000","1,986,000","354,759,000","19,448,000","160,441,000","22,000","144,236,000","386,456,000","124,788,000","226,015,000","66,858,000","5,481,811","3,833,804","353,565","1,648,007"
2,9/30/2022,"1,877,745,000","221,295,000","165,455,000","27,634,000",-,"137,821,000","55,840,000","55,840,000","145,000","125,000","20,784,000","561,595,000","85,766,000","59,560,000","300,434,000","115,835,000","8,353,000","29,253,000","928,152,000","940,723,000","9,434,000","379,694,000","127,871,000","423,724,000",-,"12,571,000",-,"14,617,000","29,367,000",-,"14,617,000","8,493,000","18,189,000",-,-,-,-,"18,189,000",-,"36,199,000","25,172,000","11,027,000",-,-,-,"78,141,000","1,699,336,000","1,398,151,000","903,557,000","903,557,000","494,594,000","25,396,000","72,991,000","72,991,000","48,382,000","48,382,000",-,"48,382,000","23,400,000","156,412,000","156,412,000",-,-,-,-,-,"178,409,000","176,189,000","29,193,000","20,057,000","9,136,000","186,551,000","60,216,000","84,781,000","-14,344,000",-,-,"-646,000","2,220,000","332,601,000","20,057,000","156,132,000",-,"139,990,000","360,926,000","119,933,000","204,794,000","39,339,000","5,481,811","3,795,439","353,565","1,686,372"
3,6/30/2022,"1,881,142,000","210,686,000","155,140,000","29,716,000",-,"125,424,000","55,546,000","55,546,000","79,000","130,000","20,718,000","578,546,000","89,157,000","61,774,000","301,783,000","125,832,000","8,229,000","24,896,000","927,092,000","938,878,000","9,674,000","380,235,000","126,270,000","422,699,000",-,"11,786,000",-,"14,530,000","32,958,000",-,"14,530,000","8,444,000","18,225,000",-,-,-,-,"18,225,000",-,"35,564,000","25,178,000","10,386,000",-,-,-,"81,384,000","1,701,349,000","1,425,153,000","909,716,000","909,716,000","515,437,000","23,887,000","71,662,000","71,662,000","37,075,000","37,075,000",-,"37,075,000","17,168,000","150,291,000","150,291,000",-,-,-,-,-,"179,793,000","177,532,000","29,193,000","20,057,000","9,136,000","184,475,000","60,024,000","84,906,000","-10,608,000",-,-,"-646,000","2,261,000","327,823,000","20,057,000","157,475,000",-,"141,968,000","344,841,000","121,911,000","187,366,000","32,226,000","5,481,811","3,792,964","353,565","1,688,847"
4,3/31/2022,"1,939,709,000","269,659,000","201,895,000","27,454,000",-,"174,441,000","67,764,000","67,764,000","125,000","130,000","20,667,000","606,671,000","86,672,000","70,755,000","280,808,000","168,436,000","8,359,000","27,365,000","905,658,000","917,162,000","19,824,000","362,137,000","124,459,000","410,742,000",-,"11,504,000",-,"14,469,000","27,286,000",-,"14,469,000","8,473,000","18,295,000",-,-,-,-,"18,295,000",-,"34,934,000","25,181,000","9,753,000",-,-,-,"72,480,000","1,758,020,000","1,481,354,000","951,397,000","951,397,000","529,957,000","19,969,000","74,229,000","74,229,000","33,601,000","33,601,000",-,"33,601,000","15,499,000","153,337,000","153,337,000",-,-,-,-,-,"181,689,000","179,243,000","29,193,000","20,057,000","9,136,000","182,623,000","59,899,000","85,059,000","-6,767,000",-,-,"-646,000","2,446,000","332,580,000","20,057,000","159,186,000",-,"144,309,000","346,124,000","124,252,000","186,938,000",-,"5,481,811","3,789,895","353,565","1,691,917"
5,12/31/2021,"1,948,068,000","300,453,000","234,230,000","24,616,000",-,"209,614,000","66,223,000","66,223,000","155,000","112,000","20,619,000","610,417,000","88,265,000","72,886,000","272,022,000","177,244,000","8,196,000","21,478,000","891,662,000","904,152,000","23,617,000","350,436,000","123,386,000","406,713,000","1,950,000","12,490,000",-,"14,859,000","22,781,000",-,"14,859,000","8,571,000","31,237,000","1,759,000","9,442,000","7,420,000","2,597,000","10,019,000","-12,679,000","33,369,000","25,180,000","8,189,000",-,-,-,"67,259,000","1,757,958,000","1,482,479,000","954,731,000","954,731,000","527,748,000","21,191,000","70,957,000","70,957,000","34,409,000","34,409,000",-,"34,409,000","9,424,000","160,689,000","160,689,000",-,"26,000","2,787,000","2,787,000",-,"190,110,000","187,606,000","29,193,000","20,057,000","9,136,000","180,322,000","60,196,000","79,757,000","-1,702,000",-,-,"-646,000","2,504,000","348,295,000","20,057,000","167,549,000","26,000","154,237,000","362,647,000","134,180,000","195,098,000",-,"5,481,811","3,885,801","450,014","1,596,010"
6,9/30/2021,"1,954,901,000","334,494,000","266,687,000","25,509,000",-,"241,178,000","67,807,000","67,807,000","132,000","121,000","20,567,000","602,031,000","119,220,000","213,070,000","253,709,000","16,032,000","7,488,000","27,060,000","858,723,000","872,240,000","24,811,000","326,425,000","116,929,000","404,075,000","2,147,000","13,517,000",-,"38,255,000","21,161,000",-,"17,094,000","19,200,000","19,200,000",-,-,-,-,"19,200,000",-,"34,606,000","26,191,000","8,415,000",-,-,-,"32,791,000","1,763,830,000","1,470,379,000","941,328,000","941,328,000","529,051,000","29,445,000","75,513,000","75,513,000","12,535,000","12,535,000",-,"12,535,000","12,976,000","162,982,000","162,982,000",-,-,-,-,-,"191,071,000","189,028,000","29,406,000","20,270,000","9,136,000","175,709,000","60,134,000","74,169,000","-1,177,000",-,-,"-875,000","2,043,000","352,010,000","20,270,000","168,758,000",-,"154,422,000","344,275,000","134,152,000","175,517,000",-,"5,481,811","3,996,921","353,565","1,484,890"
7,6/30/2021,"1,945,996,000","344,322,000","274,173,000","25,304,000",-,"248,869,000","70,149,000","70,149,000","144,000","129,000","20,488,000","598,112,000","82,727,000","64,547,000","260,941,000","189,897,000","7,128,000","25,415,000","847,026,000","862,174,000","25,594,000","317,618,000","111,870,000","407,092,000","2,224,000","15,148,000",-,"15,720,000","26,596,000",-,"15,720,000","8,745,000","19,571,000",-,-,-,-,"19,571,000",-,"34,203,000","26,194,000","8,009,000",-,-,-,"72,453,000","1,752,869,000","1,440,472,000","936,364,000","936,364,000","504,108,000","33,708,000","72,555,000","72,555,000","45,635,000","45,635,000",-,"45,635,000","14,551,000","179,656,000","179,656,000",-,-,-,-,-,"193,127,000","191,262,000","29,956,000","20,820,000","9,136,000","171,765,000","60,018,000","69,038,000","-564,000",-,-,"-875,000","1,865,000","370,918,000","20,820,000","170,442,000",-,"157,059,000","395,733,000","136,239,000","225,291,000",-,"5,481,811","4,107,998","375,565","1,373,813"
8,3/31/2021,"1,959,543,000","366,235,000","286,733,000","28,339,000",-,"258,394,000","79,502,000","79,502,000","227,000","140,000","20,446,000","565,807,000","72,784,000","59,981,000","232,192,000","200,850,000","20,352,000","25,429,000","864,344,000","881,272,000","35,434,000","319,055,000","108,381,000","418,402,000","2,472,000","16,928,000",-,"15,734,000","30,537,000",-,"15,734,000","8,760,000","19,995,000",-,-,-,-,"19,995,000",-,"35,122,000","26,290,000","8,832,000",-,-,-,"78,112,000","1,771,195,000","1,437,119,000","943,032,000","943,032,000","494,087,000","46,871,000","76,914,000","76,914,000","58,920,000","58,920,000",-,"58,920,000","14,930,000","183,312,000","183,312,000",-,-,-,-,-,"188,348,000","187,218,000","30,306,000","21,170,000","9,136,000","166,772,000","59,854,000","67,589,000","-1,250,000",-,-,"-875,000","1,130,000","370,530,000","21,170,000","166,048,000",-,"152,096,000","408,280,000","130,926,000","242,232,000",-,"5,481,811","4,141,120","389,565","1,340,691"
9,12/31/2020,"1,955,163,000","330,284,000","264,612,000","28,236,000",-,"236,376,000","65,672,000","65,672,000","268,000","159,000","20,380,000","563,467,000","75,095,000","62,260,000","205,720,000","220,392,000","20,455,000","25,846,000","889,418,000","907,934,000","36,384,000","318,805,000","109,260,000","443,485,000","2,838,000","18,516,000",-,"16,087,000","40,954,000",-,"16,087,000","8,895,000","33,087,000","1,808,000","9,504,000","7,449,000","2,597,000","11,729,000","-12,495,000","33,829,000","26,392,000","7,437,000",-,-,-,"87,337,000","1,769,243,000","1,404,381,000","937,313,000","937,313,000","467,068,000","46,362,000","76,404,000","76,404,000","58,999,000","58,999,000",-,"58,999,000","16,509,000","212,950,000","212,950,000","31,000","28,000",-,-,-,"185,920,000","184,887,000","30,272,000","21,136,000","9,136,000","162,890,000","60,197,000","67,791,000","194,000",-,-,"-875,000","1,033,000","397,837,000","21,136,000","163,751,000","28,000","151,058,000","435,700,000","129,922,000","271,949,000","7,337,000","5,481,811","4,144,012","381,765","1,337,800"
