,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Accrued Expense,Change in Deferred Charges,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"27,048,000","27,048,000","12,882,000",-,-,"6,832,000","6,832,000","1,075,000","1,075,000","-24,016,000","-1,326,000",-,-,"1,534,000","30,067,000",-,-,"-231,000",-,-,"-231,000",-,-,"-9,137,000","39,435,000","-42,476,000","-42,476,000","-704,000","19,230,000","-49,448,000","68,678,000",-,-,"-61,807,000","17,619,000","-79,426,000",-,-,-,-,"805,000","-59,645,000","-59,645,000","50,714,000","34,150,000","53,737,000","-19,587,000","16,564,000",-,"-6,033,000",-,"-6,033,000",0,0,0,"-5,293,000","-4,178,000","-1,115,000",-,"-539,000","159,157,000","-75,073,000",-,"234,230,000",-,"3,376,000","8,289,000",-,0,"53,737,000","-19,587,000","-6,033,000","27,048,000"
1,12/31/2022,"27,048,000","27,048,000","12,882,000",-,-,"6,832,000","6,832,000","1,075,000","1,075,000","-24,016,000","-1,326,000",-,-,"1,534,000","30,067,000",-,-,"-231,000",-,-,"-231,000",-,-,"-9,137,000","39,435,000","-42,476,000","-42,476,000","-704,000","19,230,000","-49,448,000","68,678,000",-,-,"-61,807,000","17,619,000","-79,426,000",-,-,-,-,"805,000","-59,645,000","-59,645,000","50,714,000","34,150,000","53,737,000","-19,587,000","16,564,000",-,"-6,033,000",-,"-6,033,000",0,0,0,"-5,293,000","-4,178,000","-1,115,000",-,"-539,000","159,157,000","-75,073,000",-,"234,230,000",-,"3,376,000","8,289,000",-,0,"53,737,000","-19,587,000","-6,033,000","27,048,000"
2,12/31/2021,"-11,525,000","-11,525,000","23,238,000",-,-,"7,890,000","7,890,000","-1,292,000","-1,292,000","-69,824,000","-1,188,000",-,-,"-4,155,000","33,806,000",-,-,"1,467,000",-,-,"1,467,000",-,-,"15,477,000","16,862,000","-7,619,000","-7,619,000","-551,000","-11,247,000","-189,356,000","178,109,000",-,-,"397,000","40,832,000","-40,435,000",-,-,-,-,"3,782,000","-11,238,000","-11,238,000","-70,449,000","-45,859,000","1,275,000","-47,134,000","-24,590,000",-,"-14,464,000",-,"-14,464,000","-919,000","5,756,000","-6,675,000","-3,627,000","-2,422,000","-1,205,000",-,"-361,000","234,230,000","-30,382,000",-,"264,612,000",-,"3,166,000","4,384,000",-,"5,756,000","1,275,000","-47,134,000","-21,139,000","-11,525,000"
3,12/31/2020,"2,051,000","2,051,000","3,586,000",-,-,"8,736,000","8,736,000",-,-,"-54,111,000","4,321,000","1,766,000",-,"14,129,000","23,624,000",-,-,"1,520,000",-,-,"1,520,000","-3,314,000",-,"-12,304,000","37,722,000","122,554,000","122,554,000","36,468,000","28,663,000","-146,977,000","175,640,000","1,147,000","1,147,000","56,639,000","71,004,000","-14,365,000",-,-,-,-,"784,000","-1,243,000","-1,243,000","-72,724,000","-27,211,000","38,136,000","-65,347,000","-45,513,000",-,"-2,844,000","571,000","-3,415,000","-486,000","3,116,000","-3,602,000","-6,142,000","-4,852,000","-1,290,000",-,"-802,000","264,612,000","123,362,000",-,"141,250,000",-,"1,175,000","8,414,000",-,"3,687,000","38,136,000","-65,347,000","-7,017,000","2,051,000"
4,12/31/2019,"6,730,000","6,730,000","20,041,000",-,-,"7,075,000","7,075,000",-,-,"-51,455,000","3,702,000","2,274,000",-,"2,687,000","22,406,000",-,-,"2,429,000",-,-,"2,429,000","-3,246,000","788,000","3,034,000","19,401,000","-29,631,000","-29,631,000","-21,933,000","3,226,000","-72,529,000","75,755,000","2,666,000","2,666,000","-15,055,000","15,950,000","-31,005,000",-,-,-,-,"4,131,000","-9,136,000","-9,136,000","-8,890,000","-7,615,000","53,381,000","-60,996,000","-1,275,000",-,"-24,153,000","380,000","-24,533,000","-1,550,000",0,"-1,550,000","-9,589,000","-8,198,000","-1,391,000",-,"-1,091,000","141,250,000","-32,037,000",-,"173,287,000",-,"7,557,000","18,834,000",-,"380,000","53,381,000","-60,996,000","-26,083,000","6,730,000"
5,12/31/2018,"36,073,000","36,073,000","22,876,000",-,-,"5,593,000","5,593,000",-,-,"-41,365,000","453,000","2,255,000",-,"1,744,000","44,517,000",-,-,"-865,000",-,-,"-865,000","1,970,000","-960,000","7,805,000","36,567,000","-7,754,000","-7,754,000","-1,184,000","-5,279,000","-66,500,000","61,221,000","3,592,000","3,592,000","-4,104,000","23,085,000","-27,189,000",-,-,"-10,000","-10,000","2,823,000","-70,979,000","-70,979,000","9,561,000","7,030,000","47,595,000","-40,565,000","2,531,000",-,"-20,001,000","632,000","-20,633,000","-2,150,000",0,"-2,150,000","-9,314,000","-7,692,000","-1,622,000",-,"-1,041,000","173,287,000","-42,660,000",-,"215,947,000",-,"1,977,000","14,366,000",-,"632,000","47,595,000","-40,565,000","-22,783,000","36,073,000"
6,12/31/2017,"18,722,000","18,722,000","22,460,000",-,-,"5,406,000","5,406,000",-,-,"-47,240,000","886,000","2,046,000",-,"2,528,000","32,636,000",-,-,"4,837,000",-,-,"4,837,000","666,000",-,"-1,174,000","28,307,000","-13,255,000","-13,255,000","-21,497,000","-3,615,000","-106,694,000","103,079,000","5,198,000","5,198,000","7,688,000","17,887,000","-10,199,000",-,-,"-320,000","-320,000","4,489,000","-10,920,000","-10,920,000","-23,207,000","-37,227,000","43,575,000","-80,802,000","14,020,000",-,"-8,697,000","1,211,000","-9,908,000","677,000","677,000",-,"-9,109,000","-7,480,000","-1,629,000",-,"-496,000","215,947,000","-5,453,000",-,"221,400,000",-,"6,592,000","9,103,000",-,"1,888,000","43,575,000","-80,802,000","-9,908,000","18,722,000"
7,12/31/2016,"169,000","169,000","22,045,000",-,-,"4,970,000","4,970,000",-,-,"-83,912,000","139,000","1,945,000","-283,000","3,770,000","51,495,000",-,-,"-705,000",-,-,"-705,000","1,793,000",-,"-14,232,000","64,639,000","-122,119,000","-122,119,000","3,991,000","-66,268,000","-148,889,000","82,621,000","7,311,000","7,311,000","-36,061,000","21,670,000","-57,731,000",-,-,"-30,584,000","-30,584,000","6,803,000","123,568,000","123,568,000","54,451,000","55,649,000","90,111,000","-34,462,000","-1,198,000",-,"-6,701,000","1,415,000","-8,116,000","2,101,000","2,101,000",-,"-9,038,000","-7,472,000","-1,566,000",-,"-12,000","20,729,000","1,618,000",-,"19,111,000",-,"8,446,000","5,573,000",-,"3,516,000","90,111,000","-34,462,000","-8,116,000","169,000"
8,12/31/2015,"14,772,000","14,772,000","23,276,000",-,-,"3,288,000","3,288,000",-,-,"-51,589,000","62,000","1,958,000","-453,000","2,442,000","35,788,000","-623,000","-623,000","-6,804,000","160,000","160,000","-6,964,000","-2,265,000",-,"-1,764,000","47,244,000","-107,235,000","-107,235,000","-11,866,000","-39,425,000","-107,554,000","68,129,000","7,803,000","7,803,000","-61,521,000","21,695,000","-83,216,000",-,-,"-3,000","-3,000","5,580,000","92,003,000","92,003,000","49,707,000","15,697,000","43,030,000","-27,333,000","34,010,000",-,"-6,971,000","1,726,000","-8,697,000","2,972,000","2,972,000",-,"-8,826,000","-7,400,000","-1,426,000",-,"254,000","19,111,000","-460,000",-,"19,571,000",-,"13,688,000","3,816,000",-,"4,698,000","43,030,000","-27,333,000","-8,697,000","14,772,000"
9,12/31/2014,"17,529,000","17,529,000","23,608,000",-,-,"2,515,000","2,515,000",-,-,"-31,422,000","1,820,000","1,912,000","-453,000","1,395,000","18,154,000","-372,000","-372,000","15,667,000","119,000","119,000","15,548,000","2,354,000",-,"-10,681,000","11,186,000","-128,380,000","-128,380,000","-41,778,000","-43,231,000","-94,906,000","51,675,000","7,697,000","7,697,000","-50,003,000","35,153,000","-85,156,000",-,-,"-174,000","-174,000","6,806,000","110,503,000","110,503,000","34,360,000","26,325,000","42,154,000","-15,829,000","8,035,000",-,"-7,574,000","1,840,000","-9,414,000","2,775,000","2,775,000",-,"-8,143,000","-6,908,000","-1,235,000",0,"-48,000","19,571,000","-348,000",-,"19,919,000",-,"8,808,000","3,906,000",-,"4,615,000","42,154,000","-15,829,000","-9,414,000","17,529,000"
