,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Accrued Expense,Change in Deferred Charges,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"27,048,000","27,048,000","12,882,000",-,-,"6,832,000","6,832,000","1,075,000","1,075,000","-24,016,000","-1,326,000",-,-,"1,534,000","30,067,000",-,-,"-231,000",-,-,"-231,000",-,-,"-9,137,000","39,435,000","-42,476,000","-42,476,000","-704,000","19,230,000","-49,448,000","68,678,000",-,-,"-61,807,000","17,619,000","-79,426,000",-,-,-,-,"805,000","-59,645,000","-59,645,000","50,714,000","34,150,000","53,737,000","-19,587,000","16,564,000",-,-,"-6,033,000",-,"-6,033,000",0,0,0,"-5,293,000","-4,178,000","-1,115,000",-,"-539,000","159,157,000","-75,073,000","234,230,000",-,"3,376,000","8,289,000",-,0,"53,737,000","-19,587,000","-6,033,000","27,048,000"
1,3/31/2023,"7,406,000","7,406,000","4,880,000",-,-,"1,552,000","1,552,000","600,000","600,000","2,555,000","441,000",-,-,"1,207,000","-3,829,000",-,-,"-1,145,000",-,-,"-1,145,000",-,-,"-7,473,000","4,789,000","-7,955,000","-7,955,000","1,106,000","-10,358,000","-17,565,000","7,207,000",-,-,"7,442,000","8,046,000","-604,000",-,-,-,-,"-6,145,000","-2,177,000","-2,177,000","24,861,000","-5,001,000","157,000","-5,158,000","29,862,000",-,-,"-4,016,000",-,"-4,016,000",-,-,-,"-1,357,000","-1,137,000","-220,000",-,"-309,000","156,431,000","-2,726,000","159,157,000",-,-,"5,477,000",-,-,"157,000","-5,158,000","-4,016,000","7,406,000"
2,12/31/2022,"7,245,000","7,245,000","2,628,000",-,-,"1,579,000","1,579,000","665,000","665,000","-675,000","224,000",-,-,"957,000","1,867,000",-,-,"-4,778,000",-,-,"-4,778,000",-,-,"1,536,000","5,109,000","-15,926,000","-15,926,000","-11,087,000","4,641,000","-3,780,000","8,421,000",-,-,"-9,764,000","2,816,000","-12,580,000",-,-,-,-,"284,000","2,383,000","2,383,000","18,015,000","15,252,000","17,647,000","-2,395,000","2,763,000",-,-,"-6,000",-,"-6,000",0,0,0,"-1,476,000","-1,138,000","-338,000",-,"20,000","159,157,000","-6,298,000","165,455,000",-,"-487,000","4,025,000",-,0,"17,647,000","-2,395,000","-6,000","7,245,000"
3,9/30/2022,"12,016,000","12,016,000","3,500,000",-,-,"1,690,000","1,690,000","702,000","702,000","-9,622,000","-314,000",-,-,"784,000","15,276,000",-,-,"2,468,000",-,-,"2,468,000",-,-,"3,090,000","9,718,000","919,000","919,000","-294,000","4,749,000","-9,272,000","14,021,000",-,-,"-3,460,000","3,927,000","-7,387,000",-,-,-,-,"-76,000","-2,620,000","-2,620,000","25,805,000","14,498,000","19,712,000","-5,214,000","11,307,000",-,-,"-5,000",-,"-5,000",0,0,0,"-1,355,000","-1,136,000","-219,000",-,"-67,000","165,455,000","10,315,000","155,140,000",-,"46,000","2,024,000",-,0,"19,712,000","-5,214,000","-5,000","12,016,000"
4,6/30/2022,"7,588,000","7,588,000","2,952,000",-,-,"1,772,000","1,772,000","-113,000","-113,000","-1,721,000","-345,000",-,-,"580,000","4,463,000",-,-,"-1,192,000",-,-,"-1,192,000",-,-,"-7,948,000","13,603,000","-4,508,000","-4,508,000","12,218,000","15,379,000","-13,425,000","28,804,000",-,-,"-32,587,000","5,268,000","-37,855,000",-,-,-,-,"482,000","-49,835,000","-49,835,000","7,674,000","4,200,000","8,289,000","-4,089,000","3,474,000",-,-,"-4,000",-,"-4,000",0,0,0,"-1,284,000","-946,000","-338,000",-,"-20,000","155,140,000","-46,755,000","201,895,000",-,"3,741,000","1,579,000",-,0,"8,289,000","-4,089,000","-4,000","7,588,000"
5,3/31/2022,"199,000","199,000","3,802,000",-,-,"1,791,000","1,791,000","-179,000","-179,000","-11,998,000","-891,000",-,-,"-787,000","8,461,000",-,-,"3,271,000",-,-,"3,271,000",-,-,"-5,815,000","11,005,000","-22,961,000","-22,961,000","-1,541,000","-5,539,000","-22,971,000","17,432,000",-,-,"-15,996,000","5,608,000","-21,604,000",-,-,-,-,"115,000","-9,573,000","-9,573,000","-780,000","200,000","8,089,000","-7,889,000","-980,000",-,-,"-6,018,000",-,"-6,018,000",0,0,0,"-1,178,000","-958,000","-220,000",-,"-472,000","201,895,000","-32,335,000","234,230,000",-,"76,000","661,000",-,0,"8,089,000","-7,889,000","-6,018,000","199,000"
6,12/31/2021,"4,817,000","4,817,000","6,399,000",-,-,"1,800,000","1,800,000","1,397,000","1,397,000","-13,893,000","-30,000",-,-,"-452,000","11,454,000",-,-,"-1,150,000",-,-,"-1,150,000",-,-,"-1,259,000","13,863,000","-31,402,000","-31,402,000","1,584,000","-1,678,000","-40,820,000","39,142,000",-,-,"-33,370,000","-1,490,000","-31,880,000",-,-,-,-,"2,062,000","-5,872,000","-5,872,000","-9,834,000","-2,263,000","132,000","-2,395,000","-7,571,000",-,-,"-7,226,000",-,"-7,012,000",0,0,0,"-1,157,000","-819,000","-338,000",-,"245,000","234,230,000","-32,457,000","266,687,000",-,"52,000","977,000",-,"-214,000","132,000","-2,395,000","-7,012,000","4,817,000"
7,9/30/2021,"-4,810,000","-4,810,000","5,405,000",-,-,"1,917,000","1,917,000","-1,194,000","-1,194,000","-16,099,000","-263,000","383,000",-,"-1,395,000","6,436,000",-,-,"4,189,000",-,-,"4,189,000",-,-,"5,480,000","-3,233,000","-7,021,000","-7,021,000","2,342,000","1,776,000","-30,314,000","32,090,000",-,-,"-11,431,000","13,141,000","-24,572,000",-,-,-,-,"292,000","4,345,000","4,345,000","-18,566,000","-14,911,000","18,000","-14,929,000","-3,655,000",-,-,"-5,191,000","100,000","-5,291,000","-573,000","1,227,000","-1,800,000","-1,046,000","-808,000","-238,000",-,"-186,000","266,687,000","-7,486,000","274,173,000",-,"62,000","1,062,000",-,"1,327,000","18,000","-14,929,000","-7,091,000","-4,810,000"
8,6/30/2021,"-8,062,000","-8,062,000","6,638,000",-,-,"1,936,000","1,936,000",-,-,"-13,146,000","473,000","546,000",-,"-1,260,000","-1,754,000",-,-,"-262,000",-,-,"-262,000",-,-,"2,775,000","-3,968,000","15,276,000","15,276,000","9,353,000","-10,012,000","-60,494,000","50,482,000",-,-,"14,647,000","12,558,000","2,089,000",-,-,-,-,"1,288,000","-19,774,000","-19,774,000","-20,404,000","-7,119,000","1,015,000","-8,134,000","-13,285,000",-,-,"-1,517,000","48,000","-1,565,000","-350,000",0,"-350,000","-765,000","-412,000","-353,000",-,"-91,000","274,173,000","-12,560,000","286,733,000",-,"2,694,000","1,254,000",-,"48,000","1,015,000","-8,134,000","-1,915,000","-8,062,000"
9,3/31/2021,"-3,470,000","-3,470,000","4,796,000",-,-,"2,237,000","2,237,000",-,-,"-26,686,000","-1,368,000","929,000",-,"-1,048,000","17,670,000",-,-,"-1,310,000",-,-,"-1,310,000","299,000",-,"8,481,000","10,200,000","15,528,000","15,528,000","-13,830,000","-1,333,000","-57,728,000","56,395,000",-,-,"30,551,000","16,623,000","13,928,000",-,-,-,-,"140,000","10,063,000","10,063,000","-21,645,000","-21,566,000","110,000","-21,676,000","-79,000",-,-,"-530,000","66,000","-596,000","4,000","4,529,000","-4,525,000","-659,000","-383,000","-276,000",-,"-329,000","286,733,000","22,121,000","264,612,000",-,"358,000","1,091,000",-,"4,595,000","110,000","-21,676,000","-5,121,000","-3,470,000"
10,12/31/2020,"-22,765,000","-22,765,000","3,194,000",-,-,"2,292,000","2,292,000",-,-,"-13,896,000","-113,000","429,000",-,"-179,000","-14,492,000",-,-,"4,752,000",-,-,"4,752,000","-1,667,000",-,"-2,822,000","-15,424,000","20,512,000","20,512,000","3,632,000","-2,264,000","-44,691,000","42,427,000",-,-,"19,104,000","23,730,000","-4,626,000",-,-,-,-,"40,000","20,095,000","20,095,000","-186,000","-3,961,000","235,000","-4,196,000","3,775,000",-,-,"55,000","58,000","-3,000","16,000","1,148,000","-1,132,000","-778,000","-398,000","-380,000",-,"-178,000","264,612,000","17,842,000","246,770,000",-,"-1,185,000","1,315,000",-,"1,206,000","235,000","-4,196,000","-1,135,000","-22,765,000"
11,9/30/2020,"-8,576,000","-8,576,000","2,219,000",-,-,"2,382,000","2,382,000",-,-,"-33,262,000","-47,000","384,000",-,"769,000","18,979,000",-,-,"-245,000",-,-,"-245,000","-289,000","-427,000","-3,572,000","23,512,000","42,658,000","42,658,000","9,985,000","8,186,000","-43,013,000","51,199,000",-,-,"24,465,000","27,573,000","-3,108,000",-,-,-,-,"22,000","-49,815,000","-49,815,000","-21,601,000","-16,340,000","237,000","-16,577,000","-5,261,000",-,-,"56,000","59,000","-3,000",0,0,0,"-655,000","-399,000","-256,000",-,"-119,000","246,770,000","-15,733,000","262,503,000",-,"106,000","1,554,000",-,"59,000","237,000","-16,577,000","-3,000","-8,576,000"
12,6/30/2020,"16,119,000","16,119,000","-2,332,000",-,-,"2,194,000","2,194,000",-,-,"-9,297,000","995,000","371,000",-,"9,534,000","14,654,000",-,-,"-3,920,000",-,-,"-3,920,000","90,000","489,000","4,481,000","13,514,000","103,687,000","103,687,000","7,176,000","33,016,000","-18,136,000","51,152,000",-,-,"63,364,000","13,905,000","49,459,000",-,-,-,-,"131,000","-8,112,000","-8,112,000","-40,046,000","-8,242,000","18,769,000","-27,011,000","-31,804,000",-,-,"243,000","245,000","-2,000",0,0,0,"-2,397,000","-2,023,000","-374,000",-,"-94,000","262,503,000","111,694,000","150,809,000",-,"2,047,000","2,066,000",-,"245,000","18,769,000","-27,011,000","-2,000","16,119,000"
13,3/31/2020,"17,273,000","17,273,000","505,000",-,-,"1,868,000","1,868,000",-,-,"2,344,000","3,486,000","582,000",-,"4,005,000","4,483,000",-,-,"933,000",-,-,"933,000","-1,448,000","-731,000","-10,391,000","16,120,000","-44,303,000","-44,303,000","15,675,000","-10,275,000","-41,137,000","30,862,000","500,000","500,000","-50,294,000","5,796,000","-56,090,000",-,-,-,-,"591,000","36,589,000","36,589,000","-10,891,000","1,332,000","18,895,000","-17,563,000","-12,223,000",-,-,"-3,198,000","209,000","-3,407,000","-502,000","1,968,000","-2,470,000","-2,312,000","-2,032,000","-280,000",-,"-411,000","150,809,000","9,559,000","141,250,000",-,"207,000","3,479,000",-,"2,177,000","18,895,000","-17,563,000","-5,877,000","17,273,000"
14,12/31/2019,"12,423,000","12,423,000","2,924,000",-,-,"2,135,000","2,135,000",-,-,"-9,634,000","-2,000","389,000",-,"644,000","15,967,000",-,-,"1,476,000",-,-,"1,476,000","-104,000","547,000","9,354,000","4,694,000","-2,526,000","-2,526,000","911,000","3,881,000","-20,545,000","24,426,000","674,000","674,000","-7,938,000","2,544,000","-10,482,000",-,-,-,-,"620,000","-17,378,000","-17,378,000","-21,291,000","-1,895,000","13,161,000","-15,056,000","-19,396,000",-,-,"-7,343,000","24,000","-7,367,000",0,-,0,"-2,466,000","-2,080,000","-386,000",-,"-410,000","141,250,000","-7,481,000","148,731,000",-,"2,309,000","4,329,000",-,"24,000","13,161,000","-15,056,000","-7,367,000","12,423,000"
15,9/30/2019,"-12,975,000","-12,975,000","4,812,000",-,-,"1,840,000","1,840,000",-,-,"-16,366,000","1,296,000","497,000",-,"695,000","-5,749,000",-,-,"8,073,000",-,-,"8,073,000","-2,321,000","-378,000","-13,514,000","2,391,000","-7,381,000","-7,381,000","9,068,000","-11,573,000","-31,098,000","19,525,000","587,000","587,000","-6,470,000","3,440,000","-9,910,000",-,-,-,-,"1,594,000","4,660,000","4,660,000","-3,890,000","-12,454,000","7,129,000","-19,583,000","8,564,000",-,-,"-7,334,000","114,000","-7,448,000",-,-,-,"-2,458,000","-2,164,000","-294,000",-,"-175,000","148,731,000","-15,696,000","164,427,000",-,"2,732,000","5,151,000",-,"114,000","7,129,000","-19,583,000","-8,998,000","-12,975,000"
