,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"73,785,000","44,950,000","54,024,000","38,228,000","38,228,000","12,488,000","3,308,000","9,074,000","2,349,000","582,000","5,505,000","638,000","28,835,000",-,"22,847,000","22,847,000","7,246,000","9,004,000",-,"4,355,000","2,242,000",-,"1,439,000","1,461,000","850,000","2,500,000","-1,650,000",-,"2,238,000","-1,534,000","57,277,000","2,881,000","2,881,000",-,"5,188,000","34,845,000","34,340,000","34,340,000","750,000",-,-,"505,000",-,-,-,-,"14,363,000",-,"-5,000",-,"5,000",-,-,"14,969,000","2,087,000","12,067,000","13,182,000","12,882,000","12,882,000",-,"300,000","1,115,000","12,067,000",-,-,-,-,"750,000","43,416,000","13,182,000","13,186,315","6,832,000","13,182,000","-5,000","-5,000",0,-685
1,12/31/2022,"73,785,000","44,950,000","54,024,000","38,228,000","38,228,000","12,488,000","3,308,000","9,074,000","2,349,000","582,000","5,505,000","638,000","28,835,000",-,"23,697,000","23,697,000","8,096,000","9,004,000",-,"4,355,000","2,242,000",-,"1,439,000","2,116,000","-655,000","-655,000","-1,650,000",-,"2,238,000","-1,534,000","57,277,000","2,881,000","2,881,000",-,"5,188,000","35,595,000","35,090,000","34,340,000","750,000",-,-,"505,000",-,-,-,-,"13,613,000",-,"-5,000",-,"5,000",-,-,"14,969,000","2,087,000","12,067,000","13,182,000","12,882,000","12,882,000",-,"300,000","1,115,000","12,067,000",3.17,3.14,"3,805,200","3,837,000","750,000","43,416,000","13,182,000","13,186,315","6,832,000","13,182,000","-5,000","-5,000",0,-685
2,12/31/2021,"78,492,000","35,779,000","39,694,000","29,499,000","29,499,000","9,861,000","334,000","3,915,000","388,000","-41,000","3,173,000","395,000","42,713,000",-,"29,361,000","29,361,000","11,876,000","11,011,000",-,"4,175,000","2,299,000",-,"2,354,000","284,000","6,980,000","6,980,000","3,562,000",-,"3,734,000","4,155,000","53,755,000","2,968,000","2,968,000","3,227,000","5,723,000","37,008,000","36,408,000","35,541,000","867,000",-,-,"600,000",-,-,-,-,"8,056,000",-,"-76,000",-,"76,000",-,-,"28,816,000","5,578,000","20,256,000","21,548,000","23,238,000","23,238,000",-,"-1,690,000","1,292,000","20,256,000",4.99,4.95,"4,061,900","4,096,200","867,000","39,934,000","21,548,000","21,609,288","7,890,000","21,548,000","-76,000","-76,000",0,"-14,712"
3,12/31/2020,"72,340,000","39,835,000","47,798,000","35,056,000","35,056,000","11,788,000","954,000","7,963,000","2,804,000","250,000","4,471,000","438,000","32,505,000",-,"25,886,000","25,886,000","10,095,000","2,872,000","9,375,000","3,544,000",-,"139,000","1,865,000","1,172,000","1,538,000","1,538,000","3,660,000",-,"2,044,000","-14,129,000","56,131,000","6,362,000","3,263,000","3,099,000","6,706,000","36,433,000","35,833,000","34,811,000","1,022,000",-,-,"600,000",-,-,-,-,"6,630,000",-,"-1,499,000",-,"1,499,000","-71,000",-,"581,000","-3,005,000","1,710,000","3,301,000","3,586,000","3,586,000",-,"-285,000","1,591,000","1,710,000",0.43,0.43,"4,118,000","4,134,200","1,022,000","25,706,000","3,301,000","4,395,270","8,736,000","3,301,000","-1,499,000","-1,499,000",0,"-404,730"
4,12/31/2019,"85,063,000","47,231,000","66,083,000","45,038,000","45,038,000","15,917,000","5,128,000","18,852,000","8,635,000","2,316,000","7,350,000","551,000","37,832,000","1,036,000","24,695,000","24,695,000","7,625,000","3,038,000","9,237,000","4,016,000","779,000","2,489,000","1,797,000","993,000","5,176,000","2,983,000","2,193,000",-,"4,135,000","-2,687,000","58,178,000","5,708,000","2,945,000","2,763,000","3,198,000","35,610,000","35,610,000","35,084,000","1,155,000","526,000","673,000","1,076,000","108,000","108,000","108,000","108,000","16,860,000",-,-,-,-,-,"-4,321,000","24,198,000","4,157,000","17,938,000","19,549,000","20,041,000","20,041,000",-,"-492,000","1,611,000","17,938,000",4.12,4.09,"4,393,100","4,425,400","1,155,000","44,544,000","19,549,000","19,549,000","108,000","19,549,000",-,-,0,0
5,12/31/2018,"86,408,000","49,995,000","64,647,000","44,891,000","44,891,000","15,398,000","4,358,000","14,652,000","5,622,000","1,717,000","6,703,000","610,000","36,413,000","1,080,000","26,132,000","26,132,000","8,573,000","3,316,000","9,436,000","3,907,000","900,000",-,"1,757,000","602,000","3,267,000","1,623,000","1,644,000",-,"3,575,000","-1,744,000","56,126,000","5,332,000","2,888,000","2,444,000",-,"34,134,000","34,134,000","33,024,000",-,"1,110,000",-,-,"1,058,000","1,058,000","1,058,000","1,058,000","16,660,000","1,515,000","32,000",-,-,"-32,000",-,"28,538,000","5,662,000","20,689,000","22,393,000","22,876,000","22,876,000",-,"-483,000","1,704,000","20,689,000",4.31,4.28,"4,799,700","4,838,400",-,"48,251,000","22,393,000","22,393,000","1,058,000","22,393,000","32,000","32,000",0,0
6,12/31/2017,"87,121,000","49,557,000","58,909,000","42,186,000","42,186,000","13,592,000","3,131,000","9,352,000","3,013,000","758,000","5,157,000","424,000","37,564,000","1,643,000","26,785,000","26,785,000","9,060,000","3,372,000","9,358,000","3,960,000","1,035,000",-,"1,765,000","1,053,000","3,402,000","479,000","2,923,000",-,"2,916,000","-2,528,000","58,484,000","5,086,000","2,849,000","2,237,000",-,"34,658,000","34,658,000","33,371,000",-,"1,287,000",-,-,"1,152,000","1,152,000","1,152,000","1,152,000","18,740,000","1,268,000","976,000","848,000",-,"-128,000",-,"27,377,000","4,917,000","20,554,000","22,183,000","22,460,000","22,460,000",-,"-277,000","1,629,000","20,554,000",4.14,4.10,"4,964,600","5,017,300",-,"47,029,000","22,183,000","22,183,000","5,406,000","22,183,000","976,000","976,000",0,0
7,12/31/2016,"87,388,000","47,754,000","53,663,000","40,298,000","40,298,000","11,754,000","1,611,000","5,909,000","1,395,000","330,000","3,830,000","354,000","39,634,000","1,855,000","27,352,000","27,352,000","9,637,000","3,336,000","9,216,000","3,936,000","1,227,000",-,"1,691,000","834,000","5,273,000","942,000","4,331,000",-,"2,629,000","-3,770,000","52,377,000","5,009,000","2,855,000","2,154,000",-,"33,061,000","33,061,000","31,893,000",-,"1,168,000",-,-,"1,192,000","1,192,000","1,192,000","1,192,000","14,307,000","879,000","704,000","660,000",-,"-44,000",-,"32,120,000","10,075,000","20,373,000","21,938,000","22,045,000","22,045,000",-,"-107,000","1,565,000","20,373,000",4.03,3.99,"5,052,800","5,108,300",-,"43,984,000","21,938,000","21,938,000","1,192,000","21,938,000","704,000","704,000",0,0
8,12/31/2015,"83,827,000","45,301,000","49,277,000","37,379,000","37,379,000","10,908,000","990,000","3,976,000","963,000","64,000","2,592,000","357,000","38,526,000","2,273,000","28,482,000","28,482,000","10,319,000","3,394,000","9,435,000","3,720,000","1,614,000",-,"1,639,000","614,000","5,012,000","952,000","4,060,000",-,"506,000","-2,442,000","49,774,000","4,949,000","2,886,000","2,063,000",-,"31,654,000","31,654,000","30,681,000",-,"973,000",-,-,"1,246,000","1,246,000","1,246,000","1,246,000","13,171,000","2,230,000","75,000",-,-,"-75,000",-,"33,841,000","10,431,000","21,604,000","23,028,000","23,410,000","23,410,000",-,"-382,000","1,424,000","21,604,000",4.18,4.12,"5,136,500","5,209,800",-,"42,859,000","23,028,000","23,028,000","1,246,000","23,028,000","75,000","75,000",0,0
9,12/31/2014,"81,967,000","43,527,000","47,552,000","36,497,000","36,497,000","10,123,000","932,000","4,025,000","1,096,000","59,000","2,488,000","382,000","38,440,000","2,213,000","28,737,000","28,737,000","11,326,000","3,387,000","9,183,000","3,431,000","1,410,000",-,"1,710,000","1,161,000","3,637,000","593,000","3,044,000",-,"982,000","-1,395,000","49,037,000","4,898,000","2,925,000","1,973,000",-,"30,870,000","30,870,000","29,942,000",-,"928,000",-,-,"1,370,000","1,370,000","1,370,000","1,370,000","13,269,000","2,380,000","28,000",-,-,"-28,000",-,"33,915,000","10,307,000","21,821,000","23,057,000","23,608,000","23,608,000",-,"-551,000","1,236,000","21,821,000",4.17,4.10,"5,237,200","5,324,400",-,"42,132,000","23,057,000","23,057,000","1,370,000","23,057,000","28,000","28,000",0,0
