,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"73,785,000","44,950,000","54,024,000","38,228,000","38,228,000","12,488,000","3,308,000","9,074,000","2,349,000","582,000","5,505,000","638,000","28,835,000",-,"22,847,000","22,847,000","7,246,000","9,004,000",-,"4,355,000","2,242,000",-,"1,439,000","1,461,000","850,000","2,500,000","-1,650,000",-,"2,238,000","-1,534,000","57,277,000","2,881,000","2,881,000",-,"5,188,000","34,845,000","34,340,000","34,340,000","750,000",-,-,"505,000",-,-,-,-,"14,363,000",-,"-5,000",-,"5,000",-,"14,969,000","2,087,000","12,067,000","13,182,000","12,882,000","12,882,000",-,"300,000","1,115,000","12,067,000",-,-,-,-,"750,000","43,416,000","13,182,000","13,186,315","6,832,000","13,182,000","-5,000","-5,000",0,-685
1,3/31/2023,"20,729,000","13,336,000","19,356,000","13,415,000","13,415,000","3,953,000","1,988,000","6,020,000","2,761,000","570,000","2,511,000","178,000","7,393,000",-,"5,502,000","5,502,000","1,736,000","2,114,000",-,"1,033,000","619,000",-,"326,000","1,342,000","-357,000","-357,000","120,000",-,"580,000","-1,207,000","13,676,000","713,000","713,000","922,000","1,229,000","9,746,000","9,592,000","9,415,000","177,000",-,-,"154,000",-,-,-,-,"1,988,000",-,0,-,0,-,"5,846,000","966,000","4,713,000","4,991,000","4,880,000","4,880,000",-,"111,000","278,000","4,713,000",1.24,1.23,"3,785,600","3,818,700","177,000","12,129,000","4,991,000","4,991,000","1,552,000","4,991,000",0,0,0,0
2,12/31/2022,"19,660,000","13,433,000","17,793,000","12,350,000","12,350,000","3,661,000","1,782,000","4,360,000","1,595,000","407,000","2,180,000","178,000","6,227,000",-,"5,346,000","5,346,000","1,601,000","2,049,000",-,"1,095,000","601,000",-,"331,000","552,000","-733,000","-733,000","-2,546,000",-,"731,000","-957,000","16,202,000","722,000","722,000",-,"1,357,000","8,784,000","8,606,000","8,415,000","191,000",-,-,"178,000",-,-,-,-,"5,339,000",-,0,-,0,-,"2,501,000","-127,000","2,585,000","2,864,000","2,628,000","2,628,000",-,"236,000","279,000","2,585,000",0.68,0.67,"3,799,900","3,832,700","191,000","12,476,000","2,864,000","2,864,000","1,579,000","2,864,000",0,0,0,0
3,9/30/2022,"19,505,000","12,098,000","14,494,000","10,278,000","10,278,000","3,199,000","1,017,000","2,396,000","513,000","158,000","1,553,000","172,000","7,407,000",-,"5,763,000","5,763,000","1,971,000","2,111,000",-,"1,119,000","562,000",-,"375,000","900,000","-28,000","-28,000","195,000",-,"397,000","-784,000","14,327,000","732,000","732,000",-,"1,235,000","8,524,000","8,398,000","8,212,000","186,000",-,-,"126,000",-,-,-,-,"3,836,000",-,0,-,0,-,"4,394,000","894,000","3,250,000","3,528,000","3,500,000","3,500,000",-,"28,000","278,000","3,250,000",0.86,0.85,"3,796,500","3,825,100","186,000","11,314,000","3,528,000","3,528,000","1,690,000","3,528,000",0,0,0,0
4,6/30/2022,"17,028,000","10,198,000","11,556,000","8,242,000","8,242,000","2,895,000","419,000","1,358,000","158,000","31,000","1,011,000","158,000","6,830,000",-,"6,016,000","6,016,000","2,016,000","2,346,000",-,"1,112,000","542,000",-,"286,000","446,000","-472,000","-472,000","162,000",-,"554,000","-580,000","12,883,000","705,000","705,000",-,"1,310,000","8,729,000","8,627,000","8,442,000","185,000",-,-,"102,000",-,-,-,-,"2,139,000",-,0,-,0,-,"3,565,000","613,000","2,839,000","3,119,000","2,952,000","2,952,000",-,"167,000","280,000","2,839,000",0.75,0.74,"3,793,800","3,819,600","185,000","9,618,000","3,119,000","3,119,000","1,772,000","3,119,000",0,0,0,0
5,3/31/2022,"17,592,000","9,221,000","10,181,000","7,358,000","7,358,000","2,733,000","90,000","960,000","83,000","-14,000","761,000","130,000","8,371,000",-,"6,572,000","6,572,000","2,508,000","2,498,000",-,"1,029,000","537,000",-,"447,000","218,000","578,000","578,000","548,000",-,"556,000","787,000","13,865,000","722,000","722,000","876,000","1,286,000","9,558,000","9,459,000","9,271,000","188,000",-,-,"99,000",-,-,-,-,"2,299,000",-,"-5,000",-,"5,000",-,"4,509,000","707,000","3,393,000","3,671,000","3,802,000","3,802,000",-,"-131,000","278,000","3,393,000",0.92,0.91,"3,831,100","3,868,900","188,000","10,008,000","3,671,000","3,675,195","1,791,000","3,671,000","-5,000","-5,000",0,-805
6,12/31/2021,"20,856,000","9,262,000","10,121,000","7,450,000","7,450,000","2,581,000","90,000","859,000","85,000","-13,000","690,000","97,000","11,594,000",-,"7,062,000","7,062,000","2,854,000","2,579,000",-,"1,071,000","558,000",-,"669,000","-177,000","2,589,000","2,589,000","-334,000",-,"1,451,000","452,000","13,132,000","725,000","725,000","827,000","1,468,000","8,895,000","8,670,000","8,475,000","195,000",-,-,"225,000",-,-,-,-,"2,044,000",-,"-66,000",-,"66,000",-,"8,110,000","1,711,000","5,470,000","5,750,000","6,399,000","6,399,000",-,"-649,000","280,000","5,470,000",1.39,1.38,"3,927,600","3,964,700","195,000","9,714,000","5,750,000","5,802,076","1,800,000","5,750,000","-66,000","-66,000",0,"-13,924"
7,9/30/2021,"18,834,000","8,909,000","9,834,000","7,229,000","7,229,000","2,500,000","105,000","925,000","99,000","-7,000","745,000","88,000","9,925,000",-,"6,411,000","6,411,000","1,926,000","2,882,000",-,"1,078,000","525,000",-,"547,000","1,244,000","1,114,000",0,"1,114,000",-,"609,000","1,395,000","13,302,000","1,479,000","738,000","741,000","1,417,000","8,843,000","8,690,000","8,690,000",-,-,-,"153,000",-,-,-,-,"1,563,000",-,"-1,000",-,"1,000",-,"6,926,000","1,521,000","4,787,000","5,122,000","5,405,000","5,405,000",-,"-283,000","335,000","4,787,000",1.18,1.17,"4,056,300","4,090,400",-,"10,304,000","5,122,000","5,122,771","1,917,000","5,122,000","-1,000","-1,000",0,-229
8,6/30/2021,"20,270,000","8,800,000","9,693,000","7,288,000","7,288,000","2,331,000","74,000","893,000","92,000","-12,000","712,000","101,000","11,470,000",-,"7,491,000","7,491,000","3,040,000","2,794,000",-,"1,077,000","580,000","21,000","570,000","21,000","2,696,000","2,696,000","1,372,000",-,"692,000","1,260,000","13,345,000","1,550,000","735,000","815,000","1,450,000","9,176,000","9,044,000","8,818,000","226,000",-,-,"132,000",-,-,-,-,"1,169,000",-,"4,000",-,"-4,000",-,"8,189,000","1,445,000","5,743,000","6,040,000","6,744,000","6,744,000",-,"-704,000","297,000","5,743,000",1.39,1.38,"4,124,600","4,156,100","226,000","10,060,000","6,040,000","6,036,772","1,936,000","6,040,000","4,000","4,000",0,772
9,3/31/2021,"18,063,000","8,798,000","10,036,000","7,522,000","7,522,000","2,449,000","65,000","1,238,000","112,000","-9,000","1,026,000","109,000","9,265,000",-,"7,283,000","7,283,000","2,942,000","2,756,000",-,"949,000","636,000","99,000","568,000","348,000","543,000","543,000","1,449,000",-,"523,000","1,048,000","13,976,000","1,614,000","770,000","844,000","1,388,000","9,874,000","9,784,000","9,558,000","226,000",-,-,"90,000",-,-,-,-,"1,100,000",-,"-13,000",-,"13,000",-,"5,122,000","326,000","4,363,000","4,742,000","4,796,000","4,796,000",-,"-54,000","379,000","4,363,000",1.05,1.05,"4,141,300","4,171,000","226,000","9,846,000","4,742,000","4,754,168","2,237,000","4,742,000","-13,000","-13,000",0,-832
