,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/4/2023Current,142.36B,N/A,10.97,7.97,0.76,1.89,0.88,N/A,N/A
1,3/31/2023,140.67B,N/A,11.90,7.90,0.75,1.94,0.88,N/A,N/A
2,12/31/2022,157.34B,N/A,10.72,8.11,0.17,2.13,1.01,N/A,N/A
3,9/30/2022,152.65B,N/A,9.65,8.08,0.17,2.13,0.97,N/A,N/A
4,6/30/2022,148.57B,N/A,8.14,9.60,12.00,2.03,0.93,N/A,N/A
5,3/31/2022,183.66B,N/A,9.79,12.59,4.84,2.53,1.10,N/A,N/A
6,12/31/2021,186.44B,N/A,11.40,13.09,0.21,2.69,1.10,N/A,N/A
7,9/30/2021,185.50B,N/A,12.38,13.14,0.22,2.59,1.09,N/A,N/A
8,6/30/2021,186.05B,N/A,31.23,14.41,0.25,2.58,1.12,N/A,N/A
9,3/31/2021,161.79B,N/A,95.29,15.77,0.28,2.23,0.99,N/A,N/A
10,12/31/2020,125.07B,N/A,77.38,14.90,N/A,1.69,0.78,N/A,N/A
11,9/30/2020,97.16B,N/A,26.12,11.32,1.95,1.28,0.61,N/A,N/A
12,6/30/2020,105.46B,N/A,8.95,18.98,3.51,1.36,0.65,N/A,N/A
13,3/31/2020,117.57B,N/A,7.09,7.39,1.06,1.49,0.71,N/A,N/A
14,12/31/2019,222.43B,N/A,11.59,12.27,2.15,2.84,1.30,N/A,N/A
15,9/30/2019,215.34B,N/A,10.42,11.01,1.75,2.72,1.22,N/A,N/A
16,6/30/2019,212.67B,N/A,10.47,9.95,1.36,2.61,1.20,N/A,N/A
17,3/31/2019,219.47B,N/A,11.29,9.75,1.07,2.71,1.26,N/A,N/A
18,12/31/2018,211.10B,N/A,10.89,9.09,0.87,2.65,1.20,N/A,N/A
19,9/30/2018,253.14B,N/A,13.37,10.22,0.96,3.05,1.38,N/A,N/A
20,6/30/2018,270.15B,N/A,13.76,12.21,1.55,3.21,1.50,N/A,N/A
21,3/31/2018,255.56B,N/A,12.78,11.04,1.40,3.05,1.41,N/A,N/A
22,12/31/2017,298.75B,N/A,15.68,13.83,1.57,3.56,1.65,N/A,N/A
23,9/30/2017,273.76B,N/A,13.58,12.50,1.32,3.24,1.51,N/A,N/A
24,6/30/2017,275.21B,N/A,13.85,13.35,1.41,3.27,1.56,N/A,N/A
25,3/31/2017,278.12B,N/A,13.95,13.19,2.36,3.28,1.59,N/A,N/A
26,12/31/2016,276.78B,N/A,13.67,13.19,2.35,3.24,1.55,N/A,N/A
27,9/30/2016,222.46B,N/A,10.93,10.47,1.87,2.68,1.26,N/A,N/A
28,6/30/2016,238.95B,N/A,11.63,11.29,2.05,2.90,1.38,N/A,N/A
29,3/31/2016,245.47B,N/A,11.74,10.58,1.92,3.01,1.44,N/A,N/A
30,12/31/2015,276.81B,N/A,13.13,12.27,2.56,3.40,1.62,N/A,N/A
31,9/30/2015,262.32B,N/A,12.49,11.51,1.83,3.25,1.56,N/A,N/A
32,6/30/2015,289.37B,N/A,13.75,12.77,3.11,3.58,1.73,N/A,N/A
33,3/31/2015,280.86B,N/A,13.27,12.14,2.70,3.53,1.70,N/A,N/A
34,12/31/2014,283.44B,N/A,13.44,12.97,2.82,3.62,1.74,N/A,N/A
35,9/30/2014,270.50B,N/A,12.81,12.20,2.65,3.46,1.67,N/A,N/A
36,6/30/2014,275.93B,N/A,13.07,12.14,2.25,3.49,1.74,N/A,N/A
37,3/31/2014,261.92B,N/A,12.79,11.57,2.18,3.25,1.70,N/A,N/A
38,12/31/2013,238.68B,N/A,11.95,11.22,2.12,2.92,1.57,N/A,N/A
39,9/30/2013,217.91B,N/A,11.20,10.14,1.91,2.62,1.47,N/A,N/A
40,6/30/2013,218.58B,N/A,11.69,10.35,1.95,2.62,1.48,N/A,N/A
41,3/31/2013,195.08B,N/A,11.01,9.41,2.61,2.34,1.35,N/A,N/A
42,12/31/2012,180.00B,N/A,10.17,9.32,1.39,2.16,1.24,N/A,N/A
43,9/30/2012,182.39B,N/A,11.43,9.27,1.16,2.24,1.34,N/A,N/A
44,6/30/2012,177.70B,N/A,11.53,8.87,1.11,2.20,1.32,N/A,N/A
45,3/31/2012,180.18B,N/A,12.11,9.41,0.68,2.29,1.41,N/A,N/A
46,12/31/2011,145.34B,N/A,10.21,8.61,0.56,1.83,1.15,N/A,N/A
47,9/30/2011,127.17B,N/A,8.93,7.21,0.50,1.60,1.01,N/A,N/A
48,6/30/2011,148.11B,N/A,10.88,8.16,0.83,1.83,1.19,N/A,N/A
49,3/31/2011,168.09B,N/A,13.05,8.79,0.90,2.02,1.38,N/A,N/A
50,12/31/2010,163.08B,N/A,14.02,10.82,1.08,1.93,1.39,N/A,N/A
51,9/30/2010,131.71B,N/A,15.13,8.69,0.87,1.51,1.15,N/A,N/A
52,6/30/2010,133.92B,N/A,15.80,N/A,N/A,1.46,1.21,N/A,N/A
53,3/31/2010,162.00B,N/A,18.98,N/A,N/A,1.69,1.52,N/A,N/A
54,12/31/2009,139.77B,N/A,15.42,N/A,N/A,1.39,1.35,N/A,N/A
55,9/30/2009,131.86B,N/A,36.60,N/A,N/A,1.58,1.46,N/A,N/A
56,6/30/2009,113.25B,N/A,34.66,N/A,N/A,1.47,1.36,N/A,N/A
57,3/31/2009,60.35B,N/A,21.91,N/A,N/A,0.96,0.88,N/A,N/A
58,12/31/2008,98.03B,N/A,39.31,17.42,1.39,2.37,1.45,N/A,N/A
59,9/30/2008,124.65B,N/A,18.86,N/A,N/A,2.99,2.69,N/A,N/A
60,6/30/2008,78.66B,N/A,10.89,N/A,N/A,1.92,1.67,N/A,N/A
61,3/31/2008,96.10B,N/A,12.54,N/A,N/A,2.46,2.03,N/A,N/A
62,12/31/2007,99.54B,N/A,12.68,N/A,N/A,2.64,2.11,N/A,N/A
63,9/30/2007,119.48B,N/A,13.65,N/A,N/A,3.29,2.56,N/A,N/A
