,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,12/31/2022,"89,545,000","4,423,000","1,997,000","657,000",-,"1,340,000","2,426,000","2,426,000",-,-,"294,000","3,000",-,"546,000","24,636,000","465,000","1,130,000","11,126,000","11,915,000",-,"54,700,000","55,275,000","8,000","20,738,000","595,000","33,934,000",-,"575,000",-,"386,000","386,000","1,408,000","2,434,000","264,000","943,000","1,076,000","151,000",-,"-1,026,000","1,065,000","1,027,000","38,000","2,924,000","84,652,000","71,652,000","35,875,000","35,875,000","35,777,000","10,417,000","10,417,000","3,085,000","7,100,000","7,100,000",-,-,"7,100,000","651,000","651,000",-,"4,000","61,000","1,871,000","4,893,000","4,893,000","2,194,000","440,000","1,754,000","5,811,000",-,-,"-3,112,000",-,-,"5,544,000","440,000","4,453,000","4,000","3,828,000","5,104,000","3,388,000","651,000","5,750,000","148,664","148,664","8,181"
1,12/31/2021,"93,200,000","13,011,000","10,878,000","595,000",-,"10,283,000","2,133,000","2,133,000",-,-,"11,000","8,000",-,"537,000","25,712,000","372,000","851,000","441,000","24,048,000",-,"50,094,000","50,607,000","83,000","19,380,000","509,000","30,635,000",-,"513,000",-,"327,000","327,000","1,319,000","2,343,000","265,000","868,000","1,042,000","168,000",-,"-1,024,000","1,015,000","1,014,000","1,000","1,714,000","85,737,000","82,789,000","41,736,000","41,736,000","41,053,000","903,000","903,000","482,000",-,-,-,-,-,"1,012,000","1,012,000",-,"4,000","40,000","993,000","7,463,000","7,463,000","2,368,000","440,000","1,928,000","5,175,000",-,-,"-80,000",-,-,"8,475,000","440,000","7,023,000","4,000","6,448,000","8,035,000","6,008,000","1,012,000",-,"151,625","151,625","8,181"
2,12/31/2020,"81,476,000","7,382,000","1,617,000","543,000",-,"1,074,000","5,765,000","5,765,000",-,"5,765,000","11,000","4,000",-,"532,000","17,450,000","266,000","817,000","636,000","15,731,000",-,"52,460,000","53,237,000","81,000","21,967,000","556,000","30,633,000",-,"777,000",-,"320,000","320,000","1,209,000","2,225,000","257,000","802,000","1,001,000","165,000",-,"-1,016,000","1,015,000","1,014,000","2,000","1,636,000","73,590,000","69,653,000","37,159,000","37,159,000","32,494,000","1,572,000","1,572,000","467,000",0,0,-,-,0,"1,336,000","1,336,000",-,"4,000","58,000","971,000","7,886,000","7,886,000","3,252,000","566,000","2,686,000","4,309,000",-,-,"325,000",-,-,"9,222,000","566,000","7,320,000","4,000","6,871,000","8,656,000","6,305,000","1,336,000",-,"164,090","164,090","13,230"
3,12/31/2019,"69,172,000","1,932,000","1,448,000","705,000",-,"743,000","484,000","484,000",-,"484,000","50,000","8,000","8,000","525,000","15,397,000","182,000","898,000","592,000","13,725,000",-,"48,009,000","48,504,000","129,000","17,153,000","657,000","30,565,000",-,"495,000",-,"334,000","334,000","1,142,000","2,095,000","235,000","747,000","949,000","164,000",-,"-953,000","1,014,000","1,014,000","1,000","1,336,000","61,819,000","57,085,000","33,509,000","33,509,000","23,576,000","2,053,000","2,053,000","581,000","1,000,000","1,000,000",-,-,"1,000,000","1,723,000","1,723,000",-,"4,000","59,000","899,000","7,353,000","7,353,000","3,301,000","566,000","2,735,000","4,009,000",-,-,"43,000",-,-,"9,076,000","566,000","6,787,000","4,000","6,339,000","8,510,000","5,773,000","1,723,000","275,000","165,057","165,057","13,230"
4,12/31/2018,"68,746,000","2,694,000","1,233,000","614,000",-,"619,000","1,461,000","1,461,000",-,"1,461,000","190,000","4,000","4,000","516,000","16,663,000","106,000","1,046,000","774,000","14,737,000",-,"45,985,000","46,480,000","93,000","16,174,000","671,000","29,542,000",-,"495,000",-,"327,000","327,000","1,124,000","1,995,000","238,000","736,000","876,000","145,000",-,"-871,000","1,015,000","1,014,000","1,000","934,000","61,168,000","54,101,000","30,456,000","30,456,000","23,645,000","5,653,000","5,653,000","612,000","4,500,000","4,500,000",-,-,"4,500,000","724,000","724,000",-,-,"57,000","633,000","7,578,000","7,578,000","566,000","566,000",-,"3,456,000","3,806,000",-,"-250,000",-,-,"8,302,000","566,000","7,012,000",-,"6,563,000","7,736,000","5,997,000","724,000","3,991,000","187,554","187,554","13,230"
5,12/31/2017,"66,288,000","1,844,000","1,330,000","548,000",-,"782,000","514,000","514,000",-,"514,000","154,000","4,000","4,000","506,000","17,108,000","148,000","1,029,000","770,000","15,161,000",-,"43,942,000","44,460,000","44,000","15,274,000","694,000","28,448,000",-,"518,000",-,"364,000","364,000","1,094,000","1,941,000","234,000","720,000","852,000","135,000",-,"-847,000","1,016,000","1,014,000","2,000","916,000","58,609,000","52,621,000","28,735,000","28,735,000","23,886,000","4,976,000","4,976,000","449,000","3,600,000","3,600,000",-,-,"3,600,000","383,000","383,000",-,"1,000","58,000","571,000","7,679,000","7,679,000","5,011,000","566,000","4,445,000","2,782,000",-,-,"-114,000",-,-,"8,062,000","566,000","7,113,000","1,000","6,663,000","7,496,000","6,097,000","383,000","2,652,000","197,532","197,532","13,230"
6,12/31/2016,"63,239,165","2,716,513","2,148,179","737,327",-,"1,410,852","568,334","568,334",-,"568,334",-,"4,255","4,255",-,"15,239,308","114,803","884,407","867,904","13,372,194",-,"41,830,412","42,397,934","171,934","14,230,000","671,000","27,325,000",265,"567,522",-,"423,000","423,000","1,019,508","1,864,924","229,398","683,450","812,508","139,568",-,"-845,416","1,022,549","1,014,129","8,420","983,620","55,604,859","53,235,830","29,120,718","29,120,718","24,115,112","827,269","827,269","221,706","500,000","500,000",-,-,"500,000","534,850","534,850",-,740,"64,911","941,999","7,634,306","7,634,306","5,434,316","709,601","4,724,715","2,321,571",-,-,"-121,581",-,-,"8,169,156","709,601","6,924,705",740,"6,611,757","7,459,555","5,902,156","534,850",-,"203,085","203,085","18,980"
7,12/31/2015,"59,669,525","7,526,201","6,906,443","798,319",-,"6,108,124","619,758","619,758",-,"619,758",-,"7,092","7,092",-,"9,085,076","48,168","848,144","545,648","7,643,116",-,"39,751,832","40,357,880","149,880","13,887,000","631,000","25,690,000",-458,"606,048",-,"442,000","442,000","905,462","1,722,504","229,693","598,643","755,403","138,765",-,"-817,042","1,030,401","1,014,129","16,272","921,461","52,162,006","50,374,091","28,097,427","28,097,427","22,276,664","346,987","346,987","235,724",0,0,-,-,0,"817,348","817,348",-,912,"74,838","548,742","7,507,519","7,507,519","5,595,221","828,490","4,766,731","1,966,910",-,-,"-54,612",-,-,"8,324,867","828,490","6,679,029",912,"6,477,118","7,496,377","5,648,628","817,348",-,"204,417","204,417","20,317"
8,12/31/2014,"57,204,843","9,406,330","8,020,039","845,905",-,"7,174,134","1,386,291","1,386,291",-,"1,386,291",-,"18,916","18,916",-,"5,428,051","70,601","865,950","647,252","3,844,248",-,"39,182,841","39,787,504","132,504","13,684,000","614,000","25,357,000",16,"604,663",-,"409,000","409,000","829,809","1,616,900","233,300","551,603","698,373","133,624",-,"-787,091","1,039,649","1,014,129","25,520","890,247","49,828,868","47,847,238","27,318,951","27,318,951","20,528,287","244,223","244,223","142,830","1,200","1,200",-,-,"1,200","1,092,282","1,092,282","22,156","1,062","81,076","564,049","7,375,975","7,375,975","5,727,866","1,004,011","4,723,855","1,776,150",-,-,"-128,041",-,-,"8,468,257","1,004,011","6,371,964","1,062","6,336,326","7,464,246","5,332,315","1,092,282",-,"203,015","203,015","20,313"
9,12/31/2013,"56,031,127","9,632,379","9,350,131","1,175,083",-,"8,175,048","282,248","282,248",-,"282,248",-,"46,105","46,105",-,"5,181,068","34,559","855,642","588,981","3,701,886",-,"38,080,037","38,826,328","171,328","12,930,000","554,000","24,821,000","350,000","746,291",-,"388,000","388,000","726,372","1,487,882","185,119","509,151","664,556","129,056",-,"-761,510","1,050,573","1,014,129","36,444","926,593","49,566,564","46,361,880","27,603,127","27,603,127","18,758,753","340,348","266,742","73,606",0,0,0,0,0,"2,273,575","2,273,575","22,736",639,"89,705","501,056","6,464,563","6,464,563","5,182,994","1,003,970","4,179,024","1,473,670",-,-,"-192,101",-,0,"8,738,138","1,003,970","5,460,593",639,"5,413,990","7,734,168","4,410,020","2,273,575",-,"184,678","184,678","20,312"
