,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,3/31/2023,"88,573,000","4,022,000","3,334,000","607,000",-,"2,727,000","688,000","688,000",-,-,-,"6,000",-,-,"23,736,000","12,000","1,169,000","10,961,000","11,594,000",-,"55,333,000","55,951,000","5,000","20,874,000","590,000","34,482,000",-,"618,000",-,"385,000","385,000","1,411,000",-,-,-,-,-,-,-,"1,063,000",-,-,"2,617,000","83,389,000","69,208,000","38,234,000","38,234,000","30,974,000","12,124,000","12,124,000",-,-,-,-,-,-,-,-,"663,000","663,000",-,-,"60,000","1,334,000","5,184,000","5,184,000","2,155,000","440,000","1,715,000","5,949,000",-,-,"-2,920,000",-,-,"5,847,000","440,000","4,744,000",-,"4,121,000","5,407,000","3,681,000","663,000",-,"148,100","148,100","8,181"
1,12/31/2022,"89,545,000","4,423,000","1,997,000","657,000",-,"1,340,000","2,426,000","2,426,000",-,-,"294,000","3,000",-,"546,000","24,636,000","465,000","1,130,000","11,126,000","11,915,000",-,"54,700,000","55,275,000","8,000","20,738,000","595,000","33,934,000",-,"575,000",-,"386,000","386,000","1,408,000","2,434,000","264,000","943,000","1,076,000","151,000",-,"-1,026,000","1,065,000","1,027,000","38,000","2,924,000","84,652,000","71,652,000","35,875,000","35,875,000","35,777,000","10,417,000","10,417,000","3,085,000",-,-,"7,100,000","7,100,000",-,-,"7,100,000","651,000","651,000",-,"4,000","61,000","1,871,000","4,893,000","4,893,000","2,194,000","440,000","1,754,000","5,811,000",-,-,"-3,112,000",-,-,"5,544,000","440,000","4,453,000","4,000","3,828,000","5,104,000","3,388,000","651,000","5,750,000","148,664","148,664","8,181"
2,9/30/2022,"88,474,000","4,637,000","1,840,000","549,000",-,"1,291,000","2,797,000","2,797,000",-,-,"151,000","3,000",-,"543,000","25,165,000","526,000","983,000","423,000","23,233,000",-,"53,055,000","53,596,000","25,000","20,186,000","594,000","32,791,000",-,"541,000",-,"347,000","347,000","1,388,000",-,-,-,-,-,-,-,"1,034,000",-,-,"2,845,000","83,778,000","75,995,000","36,862,000","36,862,000","39,133,000","5,363,000","5,363,000",-,-,-,-,-,-,-,-,"647,000","647,000",-,"4,000","49,000","1,724,000","4,696,000","4,696,000","2,239,000","440,000","1,799,000","5,597,000",-,-,"-3,140,000",-,-,"5,343,000","440,000","4,256,000","4,000","3,662,000","4,903,000","3,222,000","647,000",-,"149,611","149,611","8,181"
3,6/30/2022,"87,784,000","4,081,000","1,808,000","559,000",-,"1,249,000","2,273,000","2,273,000",-,-,"11,000",0,-,"541,000","27,055,000","304,000","840,000","614,000","25,297,000",-,"51,565,000","52,073,000","42,000","19,636,000","575,000","31,820,000",-,"508,000",-,"339,000","339,000","1,372,000",-,-,-,-,-,-,-,"1,015,000",-,-,"2,357,000","82,152,000","79,061,000","38,772,000","38,772,000","40,289,000","1,018,000","1,018,000",-,-,-,-,-,-,-,-,"671,000","671,000",-,"4,000","38,000","1,364,000","5,632,000","5,632,000","2,285,000","440,000","1,845,000","5,447,000",-,-,"-2,100,000",-,-,"6,303,000","440,000","5,192,000","4,000","4,617,000","5,863,000","4,177,000","671,000",-,"150,471","150,471","8,181"
4,3/31/2022,"91,126,000","8,138,000","5,793,000","700,000",-,"5,093,000","2,345,000","2,345,000",-,-,"11,000","4,000",-,"538,000","27,795,000","382,000","829,000","439,000","26,145,000",-,"50,489,000","50,967,000","43,000","19,381,000","520,000","31,023,000",-,"478,000",-,"318,000","318,000","1,346,000",-,-,-,-,-,-,-,"1,015,000",-,-,"2,021,000","84,832,000","82,351,000","40,414,000","40,414,000","41,937,000","638,000","638,000",-,-,-,-,-,-,-,-,"689,000","689,000",-,"4,000","36,000","1,118,000","6,294,000","6,294,000","2,329,000","440,000","1,889,000","5,311,000",-,-,"-1,346,000",-,-,"6,983,000","440,000","5,854,000","4,000","5,279,000","6,543,000","4,839,000","689,000",-,"151,348","151,348","8,181"
5,12/31/2021,"93,200,000","13,011,000","10,878,000","595,000",-,"10,283,000","2,133,000","2,133,000",-,-,"11,000","8,000",-,"537,000","25,712,000","372,000","851,000","441,000","24,048,000",-,"50,094,000","50,607,000","83,000","19,380,000","509,000","30,635,000",-,"513,000",-,"327,000","327,000","1,319,000","2,343,000","265,000","868,000","1,042,000","168,000",-,"-1,024,000","1,015,000","1,014,000","1,000","1,714,000","85,737,000","82,789,000","41,736,000","41,736,000","41,053,000","903,000","903,000","482,000",-,-,-,-,-,-,-,"1,012,000","1,012,000",-,"4,000","40,000","993,000","7,463,000","7,463,000","2,368,000","440,000","1,928,000","5,175,000",-,-,"-80,000",-,-,"8,475,000","440,000","7,023,000","4,000","6,448,000","8,035,000","6,008,000","1,012,000",-,"151,625","151,625","8,181"
6,9/30/2021,"88,306,000","11,897,000","10,039,000","597,000",-,"9,442,000","1,858,000","1,858,000",-,-,"11,000","21,000",-,"535,000","22,093,000","305,000","868,000","459,000","20,461,000",-,"49,961,000","50,452,000","67,000","19,710,000","518,000","30,157,000",-,"491,000",-,"293,000","293,000","1,282,000",-,-,-,-,-,-,-,"1,015,000",-,-,"1,744,000","80,532,000","77,884,000","38,734,000","38,734,000","39,150,000","579,000","579,000",-,-,-,-,-,-,-,-,"1,020,000","1,020,000",-,"4,000","38,000","1,011,000","7,774,000","7,774,000","2,685,000","440,000","2,245,000","5,025,000",-,-,"64,000",-,-,"8,794,000","440,000","7,334,000","4,000","6,759,000","8,354,000","6,319,000","1,020,000",-,"156,530","156,530","8,181"
7,6/30/2021,"87,208,000","12,325,000","10,611,000","525,000",-,"10,086,000","1,714,000","1,714,000",-,-,"11,000","23,000",-,"535,000","19,866,000","181,000","895,000","620,000","18,170,000",-,"50,622,000","51,157,000","66,000","20,623,000","540,000","29,928,000",-,"535,000",-,"307,000","307,000","1,239,000",-,-,-,-,-,-,-,"1,015,000",-,-,"1,811,000","79,175,000","76,105,000","37,977,000","37,977,000","38,128,000","741,000","741,000",-,-,-,-,-,-,-,-,"1,308,000","1,308,000",-,"4,000","39,000","982,000","8,033,000","8,033,000","3,005,000","440,000","2,565,000","4,853,000",-,-,"175,000",-,-,"9,341,000","440,000","7,593,000","4,000","7,018,000","8,901,000","6,578,000","1,308,000",-,"162,248","162,248","8,181"
8,3/31/2021,"85,121,000","10,318,000","9,003,000","576,000",-,"8,427,000","1,315,000","1,315,000",-,"1,315,000","11,000","3,000",-,"534,000","18,231,000","189,000","815,000","583,000","16,644,000",-,"52,593,000","53,239,000","77,000","22,542,000","534,000","30,086,000",-,"646,000",-,"310,000","310,000","1,236,000",-,-,-,-,-,-,-,"1,016,000",-,-,"1,414,000","77,188,000","73,853,000","37,971,000","37,971,000","35,882,000","1,032,000","1,032,000",-,-,-,-,-,-,-,-,"1,299,000","1,299,000",-,"4,000","49,000","955,000","7,933,000","7,933,000","3,219,000","566,000","2,653,000","4,566,000",-,-,"148,000",-,-,"9,232,000","566,000","7,367,000","4,000","6,917,000","8,666,000","6,351,000","1,299,000",-,"163,800","163,800","13,230"
9,12/31/2020,"81,476,000","7,382,000","1,617,000","543,000",-,"1,074,000","5,765,000","5,765,000",-,"5,765,000","11,000","4,000",-,"532,000","17,450,000","266,000","817,000","636,000","15,731,000",-,"52,460,000","53,237,000","81,000","21,967,000","556,000","30,633,000",-,"777,000",-,"320,000","320,000","1,209,000","2,225,000","257,000","802,000","1,001,000","165,000",-,"-1,016,000","1,015,000","1,014,000","2,000","1,636,000","73,590,000","69,653,000","37,159,000","37,159,000","32,494,000","1,572,000","1,572,000","467,000",-,-,0,0,-,-,0,"1,336,000","1,336,000",-,"4,000","58,000","971,000","7,886,000","7,886,000","3,252,000","566,000","2,686,000","4,309,000",-,-,"325,000",-,-,"9,222,000","566,000","7,320,000","4,000","6,871,000","8,656,000","6,305,000","1,336,000",-,"164,090","164,090","13,230"
