,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"1,470,000","1,470,000","907,000",-,-,-,-,-,"110,000","110,000",-,-,-,"-43,000","-43,000","-46,000",-,"30,000",-,"122,000","390,000",-,-,-,-,-,-,-,"48,000","-457,000","892,000","-93,000","1,405,000","1,405,000","5,878,000","-6,526,000","12,404,000",-,-,"-4,628,000",-,"-4,628,000","-190,000","-190,000",-,"318,000",-,-,"27,000","-2,813,000","-2,813,000","9,224,000","9,224,000","9,514,000","-290,000",-,-,-,"-193,000","9,000","-202,000",0,-,0,"-269,000",-,-,"-8,000",-,"657,000","62,000","595,000",-,"21,000","160,000","-190,000","9,000","9,514,000","-290,000","-202,000","1,280,000"
1,12/31/2022,"1,470,000","1,470,000","907,000",-,-,-,-,-,"110,000","110,000",-,-,-,"-43,000","-43,000","-46,000",-,"30,000",-,"122,000","390,000",-,-,-,-,-,-,-,"48,000","-457,000","892,000","-93,000","1,405,000","1,405,000","5,878,000","-6,526,000","12,404,000",-,-,"-4,628,000",-,"-4,628,000","-190,000","-190,000",-,"318,000",-,-,"27,000","-2,813,000","-2,813,000","9,224,000","9,224,000","9,514,000","-290,000",-,-,-,"-193,000","9,000","-202,000",0,-,0,"-269,000",-,-,"-8,000",-,"657,000","62,000","595,000",-,"21,000","160,000","-190,000","9,000","9,514,000","-290,000","-202,000","1,280,000"
2,12/31/2021,"629,000","629,000","1,129,000",-,-,-,-,-,"-14,000","-14,000",-,-,-,"32,000","32,000","-112,000",-,"28,000",-,"-276,000","-158,000",-,-,-,-,-,-,-,"14,000","-78,000","13,000","-107,000","-11,579,000","-11,579,000","-14,218,000","-19,486,000","5,268,000",-,-,"2,814,000","2,814,000",-,"-206,000","-206,000",-,-,-,-,"31,000","11,002,000","11,002,000","-955,000","-286,000",0,"-286,000","-669,000",-,"-669,000","-779,000","21,000","-800,000","-126,000",-,"-126,000","-261,000",-,-,"-13,000",-,"595,000","52,000","543,000",-,"442,000","81,000","-206,000","21,000",0,"-955,000","-926,000","423,000"
3,12/31/2020,"719,000","719,000","539,000",-,-,-,-,-,"86,000","86,000",-,-,-,"-58,000","-58,000","-29,000",-,"26,000",-,"414,000","-259,000",-,-,-,-,-,-,-,"-10,000","-223,000","57,000","-83,000","-12,204,000","-12,204,000","-7,388,000","-12,192,000","4,804,000",-,-,"-4,687,000",-,-,"-171,000","-171,000",-,-,-,-,"42,000","11,323,000","11,323,000","-910,000","-429,000",0,"-429,000","-481,000",-,"-481,000","-68,000","8,000","-76,000",-,-,-,"-259,000",-,-,"-8,000",-,"543,000","-162,000","705,000",-,"169,000","195,000","-171,000","8,000",0,"-910,000","-76,000","548,000"
4,12/31/2019,"697,000","697,000","816,000",-,-,-,-,-,"188,000","188,000",-,-,-,"-2,000","-2,000","-18,000",-,"27,000",-,"39,000","-353,000",-,-,-,-,-,-,-,"-84,000","-179,000","-14,000","-76,000","375,000","375,000","2,447,000","-2,073,000","4,520,000",-,-,"-1,957,000",-,-,"-117,000","-117,000",-,-,-,-,"2,000","-981,000","-981,000","-2,608,000","992,000","992,000",0,"-3,600,000",0,"-3,600,000","-1,088,000","14,000","-1,102,000",0,-,0,"-260,000",-,-,"-9,000",-,"705,000","91,000","614,000",-,"233,000","401,000","-117,000","14,000","992,000","-3,600,000","-1,102,000","580,000"
5,12/31/2018,"1,176,000","1,176,000","884,000","-1,000",-,"-1,000",-,-,"193,000","193,000",-,-,-,0,0,"-25,000",-,"26,000",-,"-40,000","139,000",-,-,-,-,-,-,-,"9,000","14,000","74,000","42,000","-2,706,000","-2,706,000","-640,000","-4,076,000","3,436,000","6,000","6,000","-1,943,000",-,-,"-129,000","-129,000",-,-,-,-,-,"1,596,000","1,596,000","1,012,000","335,000","497,000","-162,000","677,000","2,677,000","-2,000,000","-664,000","20,000","-684,000",0,-,0,"-236,000",-,-,-,-,"614,000","66,000","548,000",-,"207,000","237,000","-129,000","20,000","3,174,000","-2,162,000","-684,000","1,047,000"
6,12/31/2017,"928,000","928,000","592,000","-14,000",-,"-14,000",-,-,"179,000","179,000",-,-,-,"154,000","154,000","-29,000",-,"25,000",-,"17,000","4,000",-,-,-,-,-,-,-,"97,000","-89,000","29,000","-33,000","-3,919,000","-3,919,000","-1,631,000","-5,040,000","3,409,000","8,000","8,000","-2,135,000",-,-,"-169,000","-169,000",-,-,-,-,"8,000","2,802,000","2,802,000","3,996,000","-153,000",-,"-153,000","4,149,000","7,249,000","-3,100,000","-307,000","25,000","-332,000","-144,000",-,"-144,000","-129,000",-,-,-,-,"548,000","-189,000","737,000",-,"246,000","118,000","-169,000","25,000","7,249,000","-3,253,000","-476,000","759,000"
7,12/31/2016,"596,067","596,067","469,050",251,-,-102,-,-,"123,086","123,086",-,-,-,"-8,442","-8,442","3,352",-,-,-,"82,848","-74,078",-,-,-,-,-,-,-,972,"-9,609","1,194","-66,635","-3,436,254","-3,436,254","-1,144,976","-9,774,287","8,629,311","20,146","20,146","-2,101,518",-,-,"-195,663","-195,663",-,-,-,-,"-14,243","2,779,195","2,779,195","200,162","-280,120",-,"-280,120","480,282",-,-,"-72,168","25,072","-97,240","-126,144",-,"-126,144","-107,851",-,-,"1,874",-,"737,327","-60,992","798,319",-,"214,300","83,338","-195,663","25,072",-,"-280,120","-223,384","400,404"
8,12/31/2015,"535,169","535,169","309,471","141,515",-,"138,735",-,-,"151,088","151,088",-,-,-,"-29,803","-29,803","-14,355",-,-,-,"33,797","-56,544",-,-,-,-,-,-,-,"-5,978","-67,260","-5,759","22,453","-2,650,718","-2,650,718","-1,933,438","-5,574,402","3,640,964","24,806","24,806","-633,644",-,-,"-157,361","-157,361",-,-,-,-,"48,919","2,071,926","2,071,926","-184,988","-287,752",0,"-287,752","102,764",-,-,"22,392","22,392",-,"-175,669",-,"-175,669","-108,055",-,-,"-7,770",-,"798,319","-43,623","841,942",-,"131,665","101,623","-157,361","22,392",0,"-287,752","-175,669","377,808"
9,12/31/2014,"454,107","454,107","398,462","44,449",-,-,-,-,"128,648","128,648",-,-,-,"25,938","25,938","-30,710",-,-,-,"-106,711","-5,969",-,-,-,-,-,-,-,"38,610","-51,004","42,470","-36,045","-1,340,557","-1,340,557","-174,627","-2,062,358","1,887,731","54,056","54,056","-1,079,103",-,-,"-175,799","-175,799",-,0,-,-,"34,916","557,272","557,272","-1,319,400","-1,223,275",0,"-1,223,275","-96,125",-,-,"526,438","526,438",-,0,-,0,"-96,130",-,-,"-38,994",-,"845,905","-329,178","1,175,083",-,"182,954","152,783","-175,799","526,438",0,"-1,223,275",0,"278,308"
