,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"1,470,000","1,470,000","907,000",-,-,-,-,-,"110,000","110,000",-,-,-,"-43,000","-43,000","-46,000",-,"30,000",-,"122,000","390,000",-,-,-,-,-,-,-,"48,000","-457,000","892,000","-93,000","1,405,000","1,405,000","5,878,000","-6,526,000","12,404,000",-,-,"-4,628,000",-,"-4,628,000","-190,000","-190,000",-,"318,000",-,"27,000","-2,813,000","-2,813,000","9,224,000","9,224,000","9,514,000","-290,000",-,-,-,"-193,000","9,000","-202,000",0,0,"-269,000",-,-,"-8,000",-,"657,000","62,000","595,000",-,"21,000","160,000","-190,000","9,000","9,514,000","-290,000","-202,000","1,280,000"
1,12/31/2022,"494,000","494,000","284,000",-,-,-,-,-,"31,000","31,000",-,-,-,"-58,000","-58,000","-26,000",-,"5,000",-,"43,000","215,000",-,-,-,-,-,-,-,"-3,000","10,000","147,000","61,000","-549,000","-549,000","765,000","-318,000","1,083,000",-,-,"-1,602,000",-,-,"-36,000","-36,000",-,-,-,"6,000","163,000","163,000","5,053,000","9,514,000",-,0,-,-,-,"-50,000","1,000","-51,000",0,0,"-69,000",-,-,"2,000",-,"657,000","108,000","549,000",-,"16,000","97,000","-36,000","1,000",-,0,"-51,000","458,000"
2,9/30/2022,"172,000","172,000","217,000",-,-,-,-,-,"34,000","34,000",-,-,-,"-14,000","-14,000","-21,000",-,"3,000",-,"71,000","-118,000",-,-,-,-,-,-,-,"9,000","-262,000","356,000","-221,000","-1,343,000","-1,343,000","249,000","-214,000","463,000",-,-,"-1,550,000",-,-,"-52,000","-52,000",-,-,-,"10,000","1,161,000","1,161,000","4,346,000",0,-,0,"4,346,000",-,-,"-50,000",0,"-50,000",0,0,"-70,000",-,-,"1,000",-,"549,000","-10,000","559,000",-,"1,000","32,000","-52,000",0,-,0,"-50,000","120,000"
3,6/30/2022,"516,000","516,000","203,000",-,-,-,-,-,"26,000","26,000",-,-,-,"-10,000","-10,000","-12,000",-,"5,000",-,"41,000","263,000",-,-,-,-,-,-,-,"13,000","-89,000","262,000","77,000","2,366,000","2,366,000","3,529,000","-1,304,000","4,833,000",-,-,"-1,121,000",-,-,"-49,000","-49,000",-,-,-,"7,000","-3,023,000","-3,023,000","379,000",0,-,0,"379,000",-,-,"-48,000","2,000","-50,000",-,-,"-64,000",-,-,"-1,000",-,"559,000","-141,000","700,000",-,-,"20,000","-49,000","2,000",-,0,"-50,000","467,000"
4,3/31/2022,"288,000","288,000","203,000",-,-,-,-,-,"19,000","19,000",-,-,-,"39,000","39,000","13,000",-,"17,000",-,"-33,000","30,000",-,-,-,-,-,-,-,"29,000","-116,000","127,000","-10,000","931,000","931,000","1,335,000","-4,690,000","6,025,000",-,-,"-355,000",-,-,"-53,000","-53,000",-,-,-,"4,000","-1,114,000","-1,114,000","-554,000","-290,000",-,"-290,000","-264,000",-,-,"-45,000","6,000","-51,000",-,-,"-66,000",-,-,"-10,000",-,"700,000","105,000","595,000",-,-,"11,000","-53,000","6,000",-,"-290,000","-51,000","235,000"
5,12/31/2021,"166,000","166,000","213,000",-,-,-,-,-,"8,000","8,000",-,-,-,"-76,000","-76,000","-40,000",-,"5,000",-,"25,000","31,000",-,-,-,-,-,-,-,"1,000","99,000","-1,000","-68,000","-5,006,000","-5,006,000","-4,833,000","-6,039,000","1,206,000",-,-,"-143,000",-,-,"-53,000","-53,000",-,-,-,"23,000","4,838,000","4,838,000","319,000","-5,000",-,"-5,000","324,000",-,-,"-321,000","4,000","-325,000",0,0,"-62,000",-,-,"-4,000",-,"595,000","-2,000","597,000",-,0,"20,000","-53,000","4,000",-,"-674,000","-325,000","113,000"
6,9/30/2021,"180,000","180,000","240,000",-,-,-,-,-,"-11,000","-11,000",-,-,-,0,0,"13,000",-,"4,000",-,"-46,000","-20,000",-,-,-,-,-,-,-,"7,000","82,000","15,000","-124,000","-1,050,000","-1,050,000","-1,759,000","-3,060,000","1,301,000",-,-,"780,000",-,-,"-69,000","-69,000",-,-,-,"-2,000","942,000","942,000","-443,000","-281,000",-,"-281,000","-162,000",-,-,"-323,000","1,000","-324,000",0,0,"-70,000",-,-,0,-,"597,000","72,000","525,000",-,"15,000","18,000","-69,000","1,000",-,"-281,000","-324,000","111,000"
7,6/30/2021,"-201,000","-201,000","354,000",-,-,-,-,-,"-8,000","-8,000",-,-,-,"38,000","38,000","-67,000",-,"5,000",-,"-123,000","-400,000",-,-,-,-,-,-,-,"9,000","-471,000","53,000","9,000","-1,525,000","-1,525,000","-3,612,000","-4,824,000","1,212,000",-,-,"2,121,000",-,-,"-31,000","-31,000",-,-,-,"-3,000","1,675,000","1,675,000","-291,000",-,-,-,"-291,000",-,-,"-96,000","5,000","-101,000",-,-,"-63,000",-,-,"-1,000",-,"525,000","-51,000","576,000",-,"427,000","21,000","-31,000","5,000",-,-,"-227,000","-232,000"
8,3/31/2021,"484,000","484,000","322,000",-,-,-,-,-,"-3,000","-3,000",-,-,-,"70,000","70,000","-18,000",-,"14,000",-,"-132,000","231,000",-,-,-,-,-,-,-,"-3,000","212,000","-54,000","76,000","-3,998,000","-3,998,000","-4,014,000","-5,563,000","1,549,000",-,-,"56,000",-,-,"-53,000","-53,000",-,-,-,"13,000","3,547,000","3,547,000","-540,000",-,-,-,"-540,000",-,-,"-39,000","11,000","-50,000",-,-,"-66,000",-,-,"-8,000",-,"576,000","33,000","543,000",-,0,"22,000","-53,000","11,000",-,-,"-50,000","431,000"
9,12/31/2020,"171,000","171,000","284,000",-,-,-,-,-,"11,000","11,000",-,-,-,"39,000","39,000","-13,000",-,"4,000",-,"-67,000","-87,000",-,-,-,-,-,-,-,"-8,000","-38,000","26,000","-67,000","-3,023,000","-3,023,000","-4,302,000","-5,602,000","1,300,000",-,-,"1,317,000",-,-,"-48,000","-48,000",-,-,-,"10,000","2,819,000","2,819,000","320,000",0,0,0,"320,000",-,-,"3,000","3,000",0,-,-,"-64,000",-,-,0,-,"543,000","-33,000","576,000",-,"21,000","31,000","-48,000","3,000",0,"-481,000",0,"123,000"
10,9/30/2020,"150,000","150,000","175,000",-,-,-,-,-,"12,000","12,000",-,-,-,"-3,000","-3,000","-8,000",-,"4,000",-,"55,000","-85,000",-,-,-,-,-,-,-,"11,000","-56,000","-2,000","-38,000","-1,880,000","-1,880,000","-2,215,000","-3,792,000","1,577,000",-,-,"377,000",-,-,"-41,000","-41,000",-,-,-,"-1,000","1,736,000","1,736,000","393,000",0,0,0,"393,000",-,-,0,0,0,-,-,"-65,000",-,-,"-1,000",-,"576,000","6,000","570,000",-,"131,000","41,000","-41,000",0,0,0,0,"109,000"
11,6/30/2020,"245,000","245,000","66,000",-,-,-,-,-,"18,000","18,000",-,-,-,"-48,000","-48,000","-6,000",-,"5,000",-,"168,000","42,000",-,-,-,-,-,-,-,"5,000","-9,000","46,000",0,"-5,176,000","-5,176,000","34,000","-1,041,000","1,075,000",-,-,"-5,170,000",-,-,"-54,000","-54,000",-,-,-,"14,000","4,771,000","4,771,000","-3,335,000","-429,000",0,-,"-2,906,000",-,-,"2,000","3,000","-1,000",-,-,"-64,000",-,-,"2,000",-,"570,000","-160,000","730,000",-,"16,000","35,000","-54,000","3,000",0,-,"-1,000","191,000"
12,3/31/2020,"153,000","153,000","14,000",-,-,-,-,-,"45,000","45,000",-,-,-,"-46,000","-46,000","-2,000",-,"13,000",-,"258,000","-129,000",-,-,-,-,-,-,-,"-18,000","-120,000","-13,000","22,000","-2,125,000","-2,125,000","-905,000","-1,757,000","852,000",-,-,"-1,211,000",-,-,"-28,000","-28,000",-,-,-,"19,000","1,997,000","1,997,000","1,712,000",0,0,-,"1,712,000",-,-,"-73,000","2,000","-75,000",-,-,"-66,000",-,-,"-9,000",-,"730,000","25,000","705,000",-,"1,000","88,000","-28,000","2,000",0,-,"-75,000","125,000"
13,12/31/2019,"351,000","351,000","183,000",-,-,-,-,-,"45,000","45,000",-,-,-,0,0,"5,000",-,"4,000",-,"4,000","110,000",-,-,-,-,-,-,-,"-7,000","-33,000","52,000","98,000","978,000","978,000","871,000","-607,000","1,478,000",-,-,"128,000",-,-,"-23,000","-23,000",-,-,-,-,"-1,420,000","-1,420,000","-2,031,000","495,000","495,000",-,"-2,526,000",-,"-2,526,000","-270,000","6,000","-276,000",-,-,"-64,000",-,-,0,-,"705,000","-91,000","796,000",-,"54,000","86,000","-23,000","6,000","495,000","-2,526,000","-276,000","328,000"
14,9/30/2019,"126,000","126,000","222,000",-,-,-,-,-,"50,000","50,000",-,-,-,"-5,000","-5,000","-13,000",-,"5,000",-,"10,000","-143,000",-,-,-,-,-,-,-,"-38,000","20,000","7,000","-132,000","112,000","112,000","358,000","-273,000","631,000",-,-,"-208,000",-,-,"-34,000","-34,000",-,-,-,-,"20,000","20,000","-1,445,000",0,0,-,"-1,445,000",-,"-1,074,000","-274,000","1,000","-275,000",-,-,"-69,000",-,-,"1,000",-,"796,000","258,000","538,000",-,"47,000","116,000","-34,000","1,000","-371,000","-1,074,000","-275,000","92,000"
15,6/30/2019,"262,000","262,000","198,000",-,-,-,-,-,"49,000","49,000",-,-,-,"-12,000","-12,000","-2,000",-,"4,000",-,"21,000","4,000",-,-,-,-,-,-,-,"-38,000","-96,000","-30,000","168,000","-802,000","-802,000","250,000","-479,000","729,000",-,-,"-1,017,000",-,-,"-35,000","-35,000",-,-,-,0,"542,000","542,000","1,080,000",0,0,-,"1,080,000",-,"709,000","-272,000","3,000","-275,000",-,-,"-61,000",-,-,"-2,000",-,"538,000","2,000","536,000",-,-,"104,000","-35,000","3,000","371,000","709,000","-275,000","227,000"
16,3/31/2019,"-42,000","-42,000","213,000",-,-,-,-,-,"44,000","44,000",-,-,-,"15,000","15,000","-8,000",-,"14,000",-,"4,000","-324,000",-,-,-,-,-,-,-,"-1,000","-70,000","-43,000","-210,000","87,000","87,000","968,000","-714,000","1,682,000",-,-,"-860,000",-,-,"-25,000","-25,000",-,-,-,"4,000","-123,000","-123,000","-212,000","497,000","497,000",-,"-709,000",-,"-709,000","-272,000","4,000","-276,000",-,-,"-66,000",-,-,"-8,000",-,"536,000","-78,000","614,000",-,-,"95,000","-25,000","4,000","497,000","-709,000","-276,000","-67,000"
17,12/31/2018,"351,000","351,000","226,000",-,-,-,-,-,"52,000","52,000",-,-,-,"4,000","4,000","-7,000",-,"4,000",-,"6,000","67,000",-,-,-,-,-,-,-,"41,000","-13,000","-31,000","70,000","-1,967,000","-1,967,000","-970,000","-1,580,000","610,000",-,-,"-962,000",-,-,"-39,000","-39,000",-,-,-,-,"1,713,000","1,713,000","1,711,000","-162,000",0,"-162,000","1,873,000","1,873,000",0,"-249,000","1,000","-250,000",0,0,"-64,000",-,-,-,-,"614,000","97,000","517,000",-,"65,000","80,000","-39,000","1,000","1,873,000","-162,000","-250,000","312,000"
18,9/30/2018,"387,000","387,000","223,000",-,-,-,-,-,"49,000","49,000",-,-,-,"-6,000","-6,000","-4,000",-,"4,000",-,"-11,000","132,000",-,-,-,-,-,-,-,"2,000","79,000","20,000","31,000","-410,000","-410,000","174,000","-1,094,000","1,268,000",-,-,"-550,000",-,-,"-36,000","-36,000",-,-,-,"2,000","72,000","72,000","120,000","497,000","497,000",0,"-377,000",0,"-377,000","-184,000","2,000","-186,000",0,0,"-68,000",-,-,-,-,"517,000","49,000","468,000",-,"51,000","57,000","-36,000","2,000","497,000","-377,000","-186,000","351,000"
