,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Leases,Interest Income from Securities,Interest Income from Deposits,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Dividend Income,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"3,152,000","2,520,000","2,705,000","2,112,000","2,112,000",-,"593,000",-,-,"185,000","70,000",-,"115,000",-,"632,000","614,000","614,000","312,000","55,000","83,000","104,000","60,000","17,000",-,-,"1,000","1,000",-,-,-,"-122,000","1,877,000","152,000",-,-,"57,000","1,324,000","1,285,000","1,235,000","50,000",-,"39,000",-,-,-,-,"344,000",-,"-1,000","1,000",-,-,-,-,-,"1,152,000","245,000","870,000","907,000","907,000","907,000",-,-,-,-,"29,000",-,"870,000",-,-,-,-,"2,398,000","907,000","907,787",-,"110,000","907,000","-1,000","-1,000",0,-213
1,12/31/2022,"3,152,000","2,520,000","2,705,000","2,112,000","2,112,000",-,"593,000",-,-,"185,000","70,000",-,"115,000",-,"632,000","614,000","614,000","312,000","55,000","83,000","104,000","60,000","17,000",-,-,"1,000","1,000",-,-,-,"-122,000","1,877,000","152,000",-,-,"57,000","1,324,000","1,285,000","1,235,000","50,000",-,"39,000",-,-,-,-,"344,000",-,"-1,000","1,000",-,-,-,-,-,"1,152,000","245,000","878,000","907,000","907,000","907,000",-,-,-,-,"29,000",-,"878,000",5.80,5.79,"150,064","150,271","2,398,000","907,000","907,787",-,"110,000","907,000","-1,000","-1,000",0,-212.6736
2,12/31/2021,"2,911,000","2,208,000","2,267,000","1,935,000","1,935,000",-,"332,000",-,-,"59,000","30,000",-,"29,000",-,"703,000","575,000","575,000","303,000","50,000","73,000","95,000","54,000","43,000",-,-,"85,000","85,000",-,-,-,"276,000","1,740,000","259,000","131,000","128,000","68,000","1,171,000","1,152,000","1,127,000","25,000",-,"19,000",-,-,-,-,"242,000",-,"-1,000","1,000",-,-,-,"-12,000",-,"1,446,000","317,000","1,100,000","1,129,000","1,129,000","1,129,000",-,-,-,-,"29,000",-,"1,100,000",6.80,6.79,"159,913","160,234","2,484,000","1,129,000","1,129,781",-,"-14,000","1,129,000","-1,000","-1,000",0,-219.2254
3,12/31/2020,"2,789,000","2,215,000","2,368,000","2,050,000","2,050,000",-,"318,000","14,000",-,"153,000","105,000",-,"48,000",-,"574,000","549,000","549,000","302,000","62,000","77,000","82,000","26,000","24,000",-,-,"1,000","1,000",-,-,-,"-413,000","1,702,000","257,000","130,000","127,000","52,000","1,131,000","1,112,000","1,087,000","25,000",-,"19,000",-,-,-,-,"262,000",-,"-2,000","2,000",-,-,-,-,-,"672,000","133,000","505,000","539,000","539,000","539,000",-,-,-,-,"34,000",-,"505,000",3.06,3.02,"163,737","165,613","1,802,000","539,000","540,604","14,000","86,000","539,000","-2,000","-2,000",0,-395.8333
4,12/31/2019,"2,834,000","2,272,000","2,683,000","2,289,000","2,289,000",-,"394,000","32,000","32,000","411,000","254,000",-,"157,000",-,"562,000","525,000","525,000","274,000","60,000","78,000","92,000","21,000","34,000",-,-,"3,000","3,000",-,-,-,"-39,000","1,702,000","268,000","133,000","135,000","47,000","1,185,000","1,166,000","1,141,000","25,000",-,"19,000",-,-,-,-,"202,000",-,"-40,000","40,000",-,-,-,-,-,"1,053,000","237,000","782,000","816,000","816,000","816,000",-,-,-,-,"34,000",-,"782,000",4.41,4.16,"175,984","186,504","2,233,000","816,000","846,997","32,000","188,000","816,000","-40,000","-40,000",0,"-9,003"
5,12/31/2018,"2,782,000","2,230,000","2,481,000","2,102,000","2,102,000",-,"379,000","29,000","29,000","251,000","135,000",-,"116,000",-,"552,000","476,000","476,000","394,000","51,000",-,-,"31,000","43,000",-,"31,000","26,000","1,000","25,000",-,"7,000","39,000","1,673,000","258,000","132,000","126,000","52,000","1,146,000","1,120,000","1,070,000","50,000",-,"26,000",-,-,-,-,"217,000",-,"-5,000","5,000",-,-,-,-,-,"1,143,000","259,000","850,000","884,000","884,000","884,000",-,-,-,-,"34,000",-,"850,000",4.36,4.08,"193,589","206,501","2,269,000","884,000","887,867","29,000","193,000","884,000","-5,000","-5,000",0,"-1,133"
6,12/31/2017,"2,609,000","2,065,000","2,192,000","1,847,000","1,847,000",-,"345,000","19,000","19,000","127,000","59,000",-,"68,000",-,"544,000","460,000","460,000","388,000","42,000",-,-,"30,000","40,000",-,"30,000","39,000","14,000","25,000",-,"5,000","-24,000","1,638,000","259,000","129,000","130,000","54,000","1,086,000","1,064,000","1,011,000","53,000",-,"22,000","6,000","6,000","6,000","6,000","233,000",-,"-11,000","11,000",-,-,-,-,-,"936,000","344,000","550,000","592,000","592,000","592,000",-,-,-,-,"40,000",-,"550,000",2.71,2.60,"200,776","209,653","2,041,000","592,000","598,957","19,000","6,000","592,000","-11,000","-11,000",0,"-4,043"
7,12/31/2016,"2,382,957","1,867,348","1,954,314","1,728,706","1,728,706",-,"225,608","21,688","21,688","86,966","49,247",-,"37,719",-,"515,609","437,998","437,998","378,851","37,434",-,-,"21,713","24,053",-,"21,713","44,942","9,476","35,466",-,"8,616","-92,775","1,575,590","249,950","125,273","124,677","55,094","1,044,349","1,022,206","982,531","39,675",-,"22,143","7,853","7,853","7,853","7,853","218,344",-,"-9,684","9,331",-,-,353,-,-,"704,908","235,858","411,309","469,050","469,050","469,050",-,-,-,-,"47,982",-,"411,309",2.00,1.99,"203,855","204,269","1,774,573","469,050","475,494","21,688","7,853","469,050","-9,684","-9,684",0,"-3,240"
8,12/31/2015,"2,092,380","1,715,260","1,833,471","1,686,220","1,686,220",-,"147,251","23,165","23,165","118,211","49,344",-,"68,867",-,"377,120","432,116","432,116","375,237","31,224",-,-,"25,655","30,150",-,"25,655","-96,240","-126,971","30,731",-,"11,094","-40,035","1,597,956","242,725","119,529","123,196","50,421","1,032,448","1,007,134","972,712","34,422",-,"25,314","9,247","9,247","9,247","9,247","263,115",-,"-2,530","9,452",-,-,"2,530",-,-,"451,859","142,388","246,614","309,471","309,471","309,471",-,-,-,0,"62,857",0,"246,614",1.20,1.20,"203,265","203,698","1,675,225","309,471","311,204","23,165","9,247","309,471","-2,530","-2,530",0,-797.2435
9,12/31/2014,"2,188,633","1,679,995","1,852,993","1,729,643","1,729,643",-,"123,350","21,414","21,414","172,998","49,736",-,"123,262",-,"508,638","418,529","418,529","365,540","30,573",-,-,"22,416","43,662",-,"22,416","38,522","12,473","26,049",-,"7,925","98,082","1,610,395","231,013","115,701","115,312","66,011","1,013,702","988,602","956,428","32,174",-,"25,100","10,923","10,923","10,923","10,923","288,746",-,"-44,422",-,-,-,"44,422",-,-,"631,898","226,991","333,013","404,907","404,907","404,907",-,-,-,0,"71,894",0,"333,013",1.68,1.68,"192,207","192,789","1,778,077","404,907","433,372","21,414","10,923","404,907","-44,422","-44,422",0,"-15,957"
