,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Leases,Interest Income from Securities,Interest Income from Deposits,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Dividend Income,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"3,152,000","2,520,000","2,705,000","2,112,000","2,112,000",-,"593,000",-,-,"185,000","70,000",-,"115,000",-,-,"632,000","614,000","614,000","312,000","55,000","83,000","104,000","60,000","17,000",-,"1,000","1,000",-,-,-,"-122,000","1,877,000","152,000",-,-,"57,000","1,324,000","1,285,000","1,235,000","50,000",-,"39,000",-,-,-,-,"344,000",-,"-1,000","1,000",-,-,-,-,"1,152,000","245,000","870,000","907,000","907,000","907,000",-,-,-,-,"29,000","870,000",-,-,-,-,"2,398,000","907,000","907,787",-,"110,000","907,000","-1,000","-1,000",0,-213
1,3/31/2023,"839,000","679,000","920,000","726,000","726,000",-,"194,000",-,-,"241,000","82,000",-,"159,000",-,-,"160,000","151,000","151,000","80,000","15,000","17,000","24,000","15,000","11,000",-,"-2,000","-2,000",-,-,-,"-45,000","511,000","40,000",-,-,"13,000","369,000","357,000","339,000","18,000",-,"12,000",-,-,-,-,"89,000",-,"-1,000","1,000",-,-,-,-,"282,000","78,000","198,000","204,000","204,000","204,000",-,-,-,-,"6,000","198,000",1.33,1.33,"148,015","148,038","634,000","204,000","204,723",-,-,"204,000","-1,000","-1,000",0,-276.5957
2,12/31/2022,"873,000","720,000","835,000","656,000","656,000",-,"179,000",-,-,"115,000","38,000",-,"77,000",-,-,"153,000","153,000","153,000","76,000","14,000","22,000","27,000","14,000","9,000",-,"-9,000","-9,000",-,-,-,"-43,000","471,000","40,000",-,-,"15,000","329,000","318,000","304,000","14,000",-,"11,000",-,-,-,-,"87,000",-,0,0,-,-,-,-,"359,000","75,000","277,000","284,000","284,000","284,000",-,-,-,-,"7,000","277,000",1.84,1.84,"148,739","148,829","677,000","284,000","284,000",-,"31,000","284,000",0,0,0,0
3,9/30/2022,"828,000","663,000","707,000","551,000","551,000",-,"156,000",-,-,"44,000","19,000",-,"25,000",-,-,"165,000","156,000","156,000","75,000","14,000","25,000","27,000","15,000","-1,000",-,"10,000","10,000",-,-,-,"-71,000","479,000","38,000",-,-,"14,000","336,000","325,000","312,000","13,000",-,"11,000",-,-,-,-,"91,000",-,0,0,-,-,-,-,"278,000","61,000","211,000","217,000","217,000","217,000",-,-,-,-,"6,000","211,000",1.40,1.40,"149,628","149,792","592,000","217,000","217,000",-,"34,000","217,000",0,0,0,0
4,6/30/2022,"765,000","593,000","608,000","468,000","468,000",-,"140,000",-,-,"15,000","7,000",-,"8,000",-,-,"172,000","154,000","154,000","78,000","13,000","21,000","25,000","17,000","7,000",-,"11,000","11,000",-,-,-,"-41,000","463,000","36,000",-,-,"14,000","329,000","320,000","307,000","13,000",-,"9,000",-,-,-,-,"84,000",-,"-1,000","1,000",-,-,-,-,"260,000","57,000","195,000","203,000","203,000","203,000",-,-,-,-,"8,000","195,000",1.29,1.29,"150,635","150,838","552,000","203,000","203,781",-,"26,000","203,000","-1,000","-1,000",0,-219
5,3/31/2022,"686,000","544,000","555,000","437,000","437,000",-,"118,000",-,-,"11,000","6,000",-,"5,000",-,-,"142,000","151,000","151,000","83,000","14,000","15,000","25,000","14,000","2,000",-,"-11,000","-11,000",-,-,-,"33,000","464,000","38,000","38,000","52,000","14,000","330,000","322,000","312,000","10,000",-,"8,000",-,-,-,-,"82,000",-,0,0,-,-,-,-,"255,000","52,000","195,000","203,000","203,000","203,000",-,-,-,-,"8,000","195,000",1.27,1.27,"151,285","151,687","577,000","203,000","203,000",-,"19,000","203,000",0,0,0,0
6,12/31/2021,"743,000","553,000","566,000","471,000","471,000",-,"95,000",-,-,"13,000","7,000",-,"6,000",-,-,"190,000","152,000","152,000","75,000","13,000","24,000","25,000","15,000","19,000",-,"19,000","19,000",-,-,-,"-25,000","449,000","65,000","32,000","33,000","15,000","295,000","289,000","282,000","7,000",-,"6,000",-,-,-,-,"74,000",-,0,0,-,-,-,-,"269,000","56,000","207,000","213,000","213,000","213,000",-,-,-,-,"6,000","207,000",1.34,1.34,"153,248","153,635","528,000","213,000","213,000",-,"8,000","213,000",0,0,0,0
7,9/30/2021,"694,000","555,000","569,000","484,000","484,000",-,"85,000",-,-,"14,000","7,000",-,"7,000",-,-,"139,000","151,000","151,000","81,000","13,000","17,000","25,000","15,000","9,000",-,"-21,000","-21,000",-,-,-,"46,000","428,000","64,000","33,000","31,000","16,000","294,000","290,000","285,000","5,000",-,"4,000",-,-,-,-,"54,000",-,"-1,000","1,000",-,-,-,-,"311,000","71,000","234,000","240,000","240,000","240,000",-,-,-,-,"6,000","234,000",1.45,1.45,"160,221","160,480","601,000","240,000","240,772",-,"-11,000","240,000","-1,000","-1,000",0,-228
8,6/30/2021,"760,000","555,000","570,000","492,000","492,000",-,"78,000",-,-,"15,000","7,000",-,"8,000",-,-,"205,000","139,000","139,000","73,000","12,000","17,000","24,000","13,000","8,000",-,"58,000","58,000",-,-,-,"123,000","428,000","65,000","33,000","32,000","17,000","282,000","278,000","272,000","6,000",-,"4,000",-,-,-,-,"64,000",-,-,-,-,-,-,-,"455,000","101,000","345,000","354,000","354,000","354,000",-,-,-,-,"9,000","345,000",2.08,2.08,"162,742","163,054","678,000","354,000","354,000",-,"-8,000","354,000",-,-,0,0
9,3/31/2021,"714,000","545,000","562,000","488,000","488,000",-,"74,000","3,000",-,"17,000","9,000",-,"8,000",-,-,"169,000","133,000","133,000","74,000","12,000","15,000","21,000","11,000","7,000",-,"29,000","29,000",-,-,-,"132,000","435,000","65,000","33,000","32,000","20,000","300,000","295,000","288,000","7,000",-,"5,000",-,-,-,-,"50,000",-,-,-,-,-,-,-,"411,000","89,000","314,000","322,000","322,000","322,000",-,-,-,-,"8,000","314,000",1.90,1.90,"163,551","163,887","677,000","322,000","322,000","3,000","-3,000","322,000",-,-,0,0
